title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29
Classic Peanut Butter Cookies Recipe,Molly Allen,Cookie Recipes,5,32,NA,"Prep Time
10
minutes","Cook Time
10
minutes",NA,Total time: 20 minutes,"servings
20
Servings",9,"Preheat the oven to 350 F.
Cream the butter, white sugar, and brown sugar until light and fluffy.
Mix in the egg, then mix in the peanut butter.
In a separate bowl, mix together the flour, baking soda, and salt.
Mix the dry ingredients into the wet ingredients mixture. Mix until a soft dough forms.
Scoop out tablespoon-sized balls of cookie dough. Place each ball on a baking sheet lined with parchment paper, spaced apart.
Use a fork dipped in sugar to flatten the balls of dough, creating a crisscross pattern.
Chill the baking sheet, with the dough, in the fridge for 5 minutes.
Bake the cookies for 10 minutes until lightly golden. Remove from the oven and allow them to set on top of the stove.",8,½ cup butter,½ cup white sugar,½ cup brown sugar,1 egg,½ cup peanut butter,1 ⅓ cup flour,½ teaspoon baking soda,½ teaspoon salt,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/894989/classic-peanut-butter-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traditional Snickerdoodles Recipe,Eric Ngo,Cookie Recipes,5,48,NA,"Prep Time
15
minutes","Cook Time
14
minutes",NA,Total time: 29 minutes,"servings
16
Cookies",11,"Using a stand mixer with paddle attachment, cream the butter with ¾ cup of white sugar and brown sugar, mixing until smooth.
Add eggs and mix until smooth, making sure to stop halfway and scrape the bottom of the bowl in order to fully incorporate eggs with butter and sugar.
Add the flour, baking powder, and salt, and mix on low speed until dough is formed.
Chill the cookie dough in refrigerator for 2 hours before using.
Preheat the oven to 320 F.
Mix ¼ cup of white sugar and 1 tablespoon of cinnamon, and stir until combined.
Use a spoon to make cookie dough balls that weigh around 1.75 ounces (golf ball-sized balls).
Coat the cookie balls with cinnamon sugar, and place them on baking sheet lined with parchment paper or a silicone mat.
Bake the cookies for 14 minutes.
Cool down the cookies for 15 minutes before taking them off the sheet.
Coat the cookies in cinnamon sugar a second time, then serve and enjoy.",8,2 sticks unsalted butter,1 ⅔ cups brown sugar,"1 cup white sugar, divided",2 eggs,2 ⅔ cups all-purpose flour,1 teaspoon of baking powder,1 teaspoon salt,1 tablespoon cinnamon,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/908284/traditional-snickerdoodles-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan sandies recipe,Ting Dalton,Cookie Recipes,5,48,NA,"Prep Time
45
minutes","Cook Time
15
minutes",NA,Total time: 1 hour,"servings
20
Cookies",7,"In a large mixing bowl, add the butter and brown sugar. Beat with an electric mixer (or paddle attachment of stand mixer) until light and fluffy.
Add the flour, cinnamon, and vanilla extract. Continue mixing, scraping down the sides as needed to make sure all of the flour is combined.
Chill the dough in the fridge for 30 minutes. Preheat the oven to 325 F and line baking sheets with parchment paper.
Once dough is chilled, remove from the fridge and, using your hands, roll into 1- to 2-inch dough balls (this recipe should yield 20). Make sure to form them carefully, as the dough is quite dry and crumbly.
Place the balls onto the parchment paper, spacing them 2 inches apart. Using your palm or the bottom of a glass, gently press down to flatten slightly.
Bake in the oven until golden, about 15 minutes.
Remove from oven and dust sandies with powdered sugar if desired.",7,"1 cup salted butter, cubed, room temperature",½ cup light brown sugar,2 cups all-purpose flour,¼ teaspoon cinnamon,1 teaspoon vanilla extract,"1 cup pecans, finely chopped","Powdered sugar, for dusting",NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/852708/pecan-sandies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Chocolate Oatmeal Cookies Recipe,Kristen Carli,Cookie Recipes,5,132,NA,"Prep Time
10
minutes","Cook Time
5
minutes",NA,Total time: 15 minutes,"servings
24
servings",4,"In a medium saucepan, add the butter, cocoa powder, sugar, and milk. Heat over medium heat, stirring until the mixture is combined and the butter is melted.
Add the vanilla extract, oats, and peanut butter. Using a wooden spoon, stir well until combined.
Prepare a large baking sheet with parchment paper. Using a cookie scoop, scoop out portions from the wet dough and place them about 2 inches apart.
Allow them to cool and set completely before serving, about 30 minutes.",7,1 stick unsalted butter,¼ cup unsweetened cocoa powder,1 ⅔ cups sugar,½ cup whole milk,1 teaspoon vanilla extract,⅔ cup peanut butter,3 cups rolled oats,NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/801849/no-bake-chocolate-oatmeal-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Raspberry Cookies Recipe,Hayley MacLean,Cookie Recipes,4.9,24,NA,"Prep Time
10
minutes","Cook Time
10
minutes",NA,Total time: 20 minutes,"servings
18
cookies",7,"Preheat the oven to 375 F and line a baking sheet with parchment paper.
In a large mixing bowl, mix together the butter, granulated sugar, and brown sugar until well-combined. Add the vanilla and egg and mix thoroughly.
In another bowl, combine the flour, salt, and baking soda. Gradually add the dry ingredients to the wet ingredients until just combined and a crumbly dough is formed.
Fold in the white chocolate chips. Lastly, gently fold in the fresh raspberries until just incorporated, being careful not to mash them.
Make 2 tablespoon balls of dough and place them about 3-inches apart on the parchment-lined baking sheet.
Bake for 10-12 minutes, until the cookies are just set in the center. Remove them from the oven and sprinkle each cookie with crushed, freeze-dried raspberries.
Allow the cookies to cool on the baking sheet for 5-7 minutes before transferring to a cooling rack to cool completely.",11,"½ cup unsalted butter, room temperature",½ cup granulated sugar,½ cup light brown sugar,1 teaspoon vanilla extract,"1 egg, room temperature",1 ½ cups all-purpose flour,¼ teaspoon salt,½ teaspoon baking soda,½ cup white chocolate chips,"½ cup raspberries, chopped","¼ cup freeze-dried raspberries, crushed",NA,Tasting Table,https://www.tastingtable.com/783897/white-chocolate-raspberry-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Ingredient Nutella Cookies Recipe,Stephanie Rapone,Cookie Recipes,5,44,NA,"Prep Time
10
minutes","Cook Time
10
minutes",NA,Total time: 20 minutes,"servings
12
cookies",6,"Add the Nutella and egg to a mixing bowl and combine with a mixer. Add half the flour and mix on low until just incorporated.
Add the rest of the flour and mix on low until you don't see any more white bits — do not overmix. The dough will be very stiff.
Line a baking sheet with parchment paper or a silicone baking mat.
Use a 1 ounce scoop (or measure 2 tablespoons of the mixture) to make dough balls on the cookie sheet, about 2-inches apart.
Use a cup or glass to flatten the balls slightly.
Bake 8-10 min, until the edges are set, and the middle looks dry and is no longer sticky to the touch. Allow the cookies to cool for 5 min on the baking sheet, then move them to a rack to cool for at least 30 minutes before enjoying.",3,1 cup Nutella,1 large egg,1 cup all-purpose flour,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/752687/3-ingredient-nutella-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Pistachio Macaron Recipe,Eric Ngo,Cookie Recipes,5,30,NA,"Prep Time
20
minutes","Cook Time
15
minutes",NA,Total time: 35 minutes,"servings
25
Macarons",13,"Warm the heavy whipping cream in a pan, and heat the chopped white chocolate in the microwave for 2 minutes to melt it.
Add the hot heavy whipping cream to the white chocolate, and mix until smooth.
Add the pistachio paste, and mix until fully incorporated.
Put in a piping bag, and chill in the refrigerator for 2 hours, or until firm in texture.
In a mixing bowl, whisk the egg whites until they double in size.
Slowly add the sugar to the fluffed-up egg whites in 3 parts, 30 seconds apart.
Add the food coloring, to reach your desired shade of green, and mix until the color is uniform.
Add the icing sugar and almond flour to the egg mix, and fold until fully incorporated — the macaron batter should fall off the spatula like a ribbon. Add to a second piping bag.
Preheat oven to 320 F.
Pipe the macarons on a baking tray lined with parchment paper or a silicon mat.
Bake for 12 to 15 minutes, depending on the size of the macarons.
Cool down the macarons for 10 minutes before taking them off of the baking tray.
Pair up the macarons shells, and pipe in pistachio filling, then close cookies.",8,½ cup hot heavy whipping cream,1 cup chopped white chocolate,1 tablespoon pistachio paste,2 large egg whites,¼ cup sugar,green food coloring (to reach desired shade),1 cup icing sugar,¾ cup almond flour,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/663302/best-pistachio-macaron-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zucchini Oatmeal Cookies Recipe,Susan Olayinka,Cookie Recipes,5,43,NA,"Prep Time
10
minutes","Cook Time
20
minutes",NA,Total time: 30 minutes,"servings
9
Cookies",10,"Set the butter out an hour before you start the recipe to allow it to soften.
Add the butter, white granulated sugar, and brown sugar to a mixing bowl and mix together with an electric whisk.
Add the egg and continue whisking together to combine the ingredients.
Add the vanilla extract, baking powder, baking soda, and salt and mix everything together.
Add the oats to the mixture and use a spoon to mix them in. Finally, add the all-purpose flour in half-cup increments, mixing as you go.
Place the grated zucchini in sheets of paper towels and begin to squeeze out the excess water. Place the grated zucchini into the mixing bowl.
Stir the dough together, then use an ice cream scoop to scoop out servings on a lined baking sheet.
Place the baking sheet in the freezer for 30 minutes and preheat the oven to 350 F.
Place the chilled cookies in the oven and bake for 20 minutes.
Remove the cookies, let them cool, then enjoy.",11,4 ounces unsalted butter,4 ounces white granulated sugar,4 ounces brown sugar,1 egg,1 teaspoon vanilla extract,1 teaspoon baking powder,¼ teaspoon baking soda,1 teaspoon salt,7 ounces all-purpose flour,2 ounces oats,1 cup grated zucchini,NA,Tasting Table,https://www.tastingtable.com/762842/zucchini-oatmeal-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Cookies Recipe,Catherine Brookes,Cookie Recipes,5,90,NA,"Prep Time
20
minutes","Cook Time
10
minutes",NA,Total time: 30 minutes,"servings
16
Cookies",10,"In the bowl of a stand mixer, beat the butter and sugars on a medium speed until smooth (about 4 minutes).
Add the egg yolk, vanilla, and mashed banana, and beat again until well-combined.
In a separate bowl, whisk together the flour, salt, baking soda, and cinnamon.
Add the flour mixture to the bowl of the stand mixer and beat on a low speed until just combined into a sticky dough.
Add the chocolate chips and briefly mix again.
Chill the dough in the fridge for 1 hour, or in the freezer for 30 minutes.
Preheat the oven to 350 F and line two baking sheets with parchment paper.
Take handfuls of the mixture and shape them into balls with your hands. The dough will be fairly sticky. Place the cookie balls on the baking sheets, leaving enough room for spreading.
Bake for 10-12 minutes or until set and just starting to brown around the edges.
Leave the cookies on the baking sheet for about 15 minutes before using a spatula to transfer them to a wire rack to cool completely.",11,½ cup butter (at room temp),½ cup light brown sugar,½ cup white sugar,1 egg yolk,¾ cup mashed ripe banana (approx 2 medium bananas),1 teaspoon vanilla extract,2 cups all-purpose flour,¾ teaspoon baking soda,1 teaspoon cinnamon,¼ teaspoon salt,¾ cup dark chocolate chips,NA,Tasting Table,https://www.tastingtable.com/761520/banana-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Toffee Cookies Recipe,Jessica Morone,Cookie Recipes,5,145,NA,"Prep Time
10
minutes","Cook Time
17
minutes",NA,Total time: 27 minutes,"servings
30
cookies",6,"Line baking sheets with parchment paper and set aside.
Add the cut-up butter to a large, light-colored skillet or pot. Melt the butter over medium heat, whisking constantly. After the butter melts it will start to foam, but continue whisking it for another 5 to 7 minutes, until the butter begins browning and there are lightly browned pieces on the bottom of the pan. The butter will have a nutty aroma. Once browned, remove the pan from the heat and immediately pour the butter into a large, heatproof bowl. Let the butter cool for 5 minutes.
Add the brown sugar and granulated sugar to the butter and mix until smooth. Mix in the vanilla extract and eggs until well combined.
In a separate bowl, whisk together the flour, baking soda, and salt. Mix the dry ingredients into the butter mixture until completely combined. Fold in the chocolate toffee bits until they are well incorporated.
Use a medium-sized cookie scoop or spoon to drop rounded scoops onto the prepared cookie sheets, spacing them at least 2 inches apart. Chill in the refrigerator for 15 to 30 minutes.
Preheat the oven to 350 F. Bake the chilled cookie dough in the preheated oven for 12 to 14 minutes, until the edges begin to turn golden brown. Allow cookies to cool for 5 minutes, then transfer them to a cooling rack to cool completely.",9,"1 cup unsalted butter, cut into tablespoons",¾ cup brown sugar,½ cup granulated sugar,2 teaspoons vanilla extract,2 large eggs,2 cups all-purpose flour,1 teaspoon baking soda,½ teaspoon salt,1 (8-ounce) package milk chocolate toffee pieces,NA,NA,NA,Tasting Table,https://www.tastingtable.com/754954/brown-butter-toffee-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Cookies Recipe,Catherine Brookes,Cookie Recipes,5,47,NA,"Prep Time
15
minutes","Cook Time
10
minutes",NA,Total time: 25 minutes,"servings
12
Cookies",9,"In the bowl of a stand mixer, beat the butter and sugars on a medium speed until smooth and fluffy — about 4 minutes.
Add the egg and vanilla extract and beat again to combine.
In a separate bowl, whisk together the flour, baking soda, and desiccated coconut.
Add this to the bowl of the mixer and mix on a low speed until combined into a thick dough.
Put the dough in the fridge to chill for 1 hour, or in the freezer for about 25 minutes.
Preheat the oven to 350 F and line two baking sheets with parchment paper.
Roll the dough into balls with your hands and place them on the baking sheets, allowing enough room for spreading. There should be enough dough for 12 cookies.
Bake for 10-12 minutes or until just starting to brown around the edges.
Leave the cookies on the baking sheet for about 15 minutes before using a spatula to transfer them to a wire rack to cool completely.",8,½ cup butter,⅓ cup light brown sugar,⅓ cup white sugar,1 large egg,1 teaspoon vanilla extract,1 ½ cups all-purpose flour,¾ teaspoon baking soda,1 ½ cups toasted desiccated coconut,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/756794/coconut-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Cowboy Cookies Recipe,Hayley MacLean,Cookie Recipes,5,93,NA,"Prep Time
15
minutes","Cook Time
8
minutes",NA,Total time: 23 minutes,"servings
24
Cookies",8,"Preheat the oven to 375 F and line a baking sheet with parchment paper.
In a medium bowl, combine the flour, baking soda, and salt.
In another large bowl, beat together the butter, granulated sugar, and brown sugar until light and fluffy.
Add the vanilla and egg to the butter and sugar and continue to beat until well mixed. Slowly add the flour mixture to the wet ingredients until just combined.
Fold in the oats, coconut, pecans, and chocolate chips.
Using a spoon or scoop, drop 2 tablespoon-sized balls onto the parchment-lined baking sheet, about 2 inches apart.
Bake the cookies for 8 to 10 minutes, or until they're golden around the edges. This recipe will make 2 batches.
Remove the cookies from the oven and allow them to cool on the baking sheet for 1 to 2 minutes before transferring to a wire rack to cool completely. Serve and enjoy!",12,1 cup all-purpose flour,½ teaspoon baking soda,½ teaspoon salt,"½ cup unsalted butter, room temperature",½ cup granulated sugar,½ cup light brown sugar,2 teaspoons vanilla extract,"1 egg, room temperature",1 cup rolled oats,¾ cup sweetened shredded coconut,"1 cup toasted pecans, chopped",1 cup semi-sweet chocolate chips,Tasting Table,https://www.tastingtable.com/735849/best-cowboy-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cookies Recipe,Catherine Brookes,Cookie Recipes,5,130,NA,"Prep Time
20
minutes","Cook Time
10
minutes",NA,Total time: 30 minutes,"servings
12
cookies",10,"In the bowl of a stand mixer, beat the butter and sugars on a medium speed until smooth and fluffy — about 4 minutes. You can also do this by hand with a wooden spoon.
Add the egg, vanilla extract, and red food coloring and mix until well-combined.
Sift in the flour, cocoa powder, baking soda, baking powder, and salt and mix on a low speed until combined into a thick dough.
Add the white chocolate chips and mix them through.
Place the dough in the fridge to chill for 1 hour, or in the freezer for about 25 minutes.
Preheat the oven to 350 F and line two baking sheets with parchment paper.
Roll the dough into balls with your hands and place them on the baking sheets, leaving enough space between them for spreading.
Bake for 10 to 12 minutes, or until they're crinkly on top and set around the edges.
If desired, place a few extra white chocolate chips on top of cookie after you pull them from the oven.
Leave the cookies on the baking tray for about 15 minutes before using a spatula to transfer them to a wire rack to cool completely.",13,½ cup butter,½ cup white sugar,⅓ cup light brown sugar,1 large egg,1 teaspoon vanilla extract,¼ teaspoon red food coloring,1 ⅔ cups all purpose flour,2 tablespoons cocoa powder,¾ teaspoon baking powder,½ teaspoon baking soda,¼ teaspoon salt,1 cup white chocolate chips,Tasting Table,https://www.tastingtable.com/754068/red-velvet-cookies-recipe/,extra white chocolate chips for topping the cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexican Sugar Cookies Recipe,Catherine Brookes,Cookie Recipes,5,38,NA,"Prep Time
20
minutes","Cook Time
10
minutes",NA,Total time: 30 minutes,"servings
12
Cookies",8,"Preheat the oven to 350 F and line 2 baking sheets with parchment paper.
In the bowl of an electric stand mixer, beat the butter and sugar on a medium speed for about 3 minutes. You can also do this by hand with a wooden spoon.
Add the egg and vanilla extract, and beat again to combine.
Sift in the flour, baking soda, and salt, and mix on a low speed until combined.
Divide the dough equally between 3 bowls. Add a few drops of red food coloring to one bowl, yellow to the second, and green to the third. Mix each one well with your hands to distribute the color.
Roll the cookie dough into balls. Each should weigh approximately 1.7 ounces. Roll each dough ball into the sugar to coat it and place them on the prepared baking sheet.
Bake the cookies for 10 to 12 minutes, or until just they start to brown around the edges.
Leave the cookies on the baking sheets for about 10 minutes before transferring to a wire rack to cool.",8,"3/4 cup butter, room temperature",1 cup sugar + 3 tablespoons extra for rolling,1 large egg,1 teaspoon vanilla extract,2 1/4 cups all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt,9 drops food coloring,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/678567/mexican-sugar-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skillet Chocolate Chip Cookie Recipe,Jennine Rye,Cookie Recipes,5,43,NA,"Prep Time
10
minutes","Cook Time
40
minutes",NA,Total time: 50 minutes,"servings
8
Servings",7,"Preheat the oven to 350 F. Prepare a 9- to 10-inch cast iron skillet pan by greasing it with a little butter or oil.
In a stand mixer, mix together the melted butter with the brown sugar and the white sugar.
Add the eggs and the vanilla extract, then mix again until the ingredients are thoroughly combined.
Add the flour, baking soda, baking powder, and salt to the stand mixer and slowly mix together until the ingredients are just combined.
Gently fold the chocolate chips into the cookie dough and then move the dough to the prepared skillet pan, making sure that it is evenly spread out.
Bake the skillet cookie for 40 minutes, until the top is golden brown and the inside is still gooey.
Allow the skillet cookie to cool down for 20 minutes before serving. Serve with a generous helping of vanilla ice cream.",10,"1 ¼ cups unsalted butter, melted","1 ¼ cup brown sugar, packed",⅓ cup granulated sugar,"2 medium eggs + 1 egg yolk, room temperature",1 tablespoon vanilla extract,3 cups all-purpose flour,1 teaspoon baking soda,½ teaspoon baking powder,1 teaspoon salt,2 cups chocolate chips,NA,NA,Tasting Table,https://www.tastingtable.com/738208/skillet-chocolate-chip-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Oatmeal Raisin Cookie Recipe,Ting Dalton,Cookie Recipes,5,50,NA,"Prep Time
15
minutes","Cook Time
10
minutes",NA,Total time: 25 minutes,"servings
18
Cookies",6,"Preheat oven to 350 F. Line two baking trays with parchment paper.
Add the softened butter, brown sugar, and granulated sugar to a large mixing bowl. Using an electric beater, beat until smooth and creamy. Add the vanilla extract and egg and beat until combined, making sure to scrape down the sides of the bowl.
Add flour, baking powder, cinnamon, and salt and beat again until a cookie dough forms. Finally, add the rolled oats and raisins and mix using a spoon or spatula.
Scoop heaped tablespoons of cookie dough onto the prepared baking sheets. Space them out as they will spread when baking.
Bake the cookies for 10-12 minutes or until golden brown on the edges.
Leave the cookies to cool for 5 minutes before moving to a wire rack to cool completely.",11,"1 stick unsalted butter, room temperature",½ cup brown sugar,¼cup granulated sugar,1 teaspoon vanilla extract,1 large egg,¾ cup all-purpose flour,½ teaspoon baking powder,1 teaspoon cinnamon,Pinch of salt,1 ¼ cup rolled oats,½ cup raisins,NA,Tasting Table,https://www.tastingtable.com/750132/best-oatmeal-raisin-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Meringue Cookie Recipe,Susan Olayinka,Candy and Treat Recipes,5,59,NA,"Prep Time
10
minutes","Cook Time
1
hour",NA,"Total time: 1 hour, 10 minutes","servings
24
cookies",6,"Begin the recipe by pouring the egg whites into a large mixing bowl, then whisking them for 5 minutes until they forms stiff peaks
Add the granulated sugar ¼ cup at a time, every 10 seconds, whilst the electric whisk is spinning.
Add the vanilla extract and cream of tartar, then mix again together until the batter form stiff peaks.
Fill a piping nozzle and pipe swirls (2-inch width) onto a baking paper. Make sure that you pipe the cookies 1 inch apart.
Bake the meringues at 225 F for 1 hour, then leave the oven door open for 2 hours for them to further dry out.
Serve and enjoy.",4,4 (1 cup) egg whites,3/4 cup granulated sugar,½ teaspoon vanilla extract,2 teaspoons cream of tartar,NA,NA,NA,NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/739664/best-meringue-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Bourbon Cherry Cookie Recipe,Jessica Morone,Cookie Recipes,5,42,NA,"Prep Time
15
minutes","Cook Time
10
minutes",NA,Total time: 25 minutes,"servings
36
cookies",9,"In a small microwave-safe bowl, combine the dried cherries and the bourbon and heat the bowl in the microwave for 1 minute, then let sit for 15 minutes.
After 15 minutes, drain the cherries into a separate bowl, reserving 1 teaspoon of the liquid.
Meanwhile, preheat the oven to 350 degrees Fahrenheit.
In a large bowl, cream together the butter and sugar, mixing until fluffy.
Add the eggs and remaining bourbon liquid to the bowl and mix thoroughly, then add the cocoa powder, flour, baking soda, and salt, and mix until well-combined.
Gently fold the cherries into the batter.
Scoop dough onto baking sheets, making 36 little balls, then bake for 10 to 12 minutes.
Let cookies cool completely, and store extras in an airtight container.
Serve and enjoy.",9,1 cup dried tart cherries,½ cup bourbon,"1 cup butter, softened",1 ½ cups granulated sugar,2 eggs,¾ cup cocoa powder,2 cups all-purpose flour,1 teaspoon baking soda,½ teaspoon salt,NA,NA,NA,Tasting Table,https://www.tastingtable.com/664688/chocolate-bourbon-cherry-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walnut Pillow Cookies Recipe,Samantha Maxwell,Cookie Recipes,5,33,NA,"Prep Time
20
minutes","Cook Time
20
minutes",NA,Total time: 40 minutes,"servings
48
cookies",12,"To make the dough, put the flour, 1/2 cup sugar, baking powder, salt, and lemon zest in the bowl of a food processor and pulse a few times to combine. If mixing by hand, whisk together in a large mixing bowl.
Add the cold butter and pulse until the mixture appears sandy with pea-sized bits of butter. If mixing by hand, cut in the cold butter using a pastry blender or two knives.
Pulse in the egg and the egg yolk. When the dough starts to form large clumps, transfer the dough to a floured work surface. Using floured hands, fold the dough into itself until fully incorporated. The dough should come together easily and should not feel too sticky.
Form the dough into a ball and divide in half. Shape each half into 1-inch-thick rectangles. Wrap each in plastic wrap and refrigerate for at least 1 hour.
To make the walnut filling, process the walnuts, milk, melted butter, cinnamon, the egg white, and the remaining 1/2 cup of sugar in a food processor until the walnuts are finely ground and the filling is thick.
Preheat the oven to 350 degrees Fahrenheit.
Take the dough out of the refrigerator. Roll out each piece of dough on a floured work surface to a long rectangle, about 24 inches long by 5 inches wide.
Spread half of the filling lengthwise down the center of each.
Starting on the long side, fold the dough over the filling. Brush the opposite edge with water and fold over the top. Gently press the seams to seal.
Cut each rectangle into 1-inch strips. Place them seam-side down on parchment-lined baking sheets, spacing them about 1 to 2 inches apart. They won't spread much in the oven.
Bake the cookies for 20 minutes, or until the edges are golden brown. Cool for 5 minutes before removing from pans and transferring to wire racks to cool completely.
Serve and enjoy!",11,2 ½ cups all-purpose flour,"1 cup sugar, divided",1 teaspoon baking powder,½ teaspoon salt,Zest from 1 lemon,"14 tablespoons unsalted butter, cold, cut into 1/2-inch cubes","2 large eggs, one whole and one separated",1 ½ cups walnut pieces,2 tablespoons whole milk,"1 tablespoon unsalted butter, melted",½ teaspoon cinnamon,NA,Tasting Table,https://www.tastingtable.com/644312/walnut-pillow-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexican Wedding Cookies Recipe,Michelle Morey,Cookie Recipes,5,36,NA,"Prep Time
10
minutes","Cook Time
20
minutes",NA,Total time: 30 minutes,"servings
32
cookies",15,"Preheat the oven to 325 degrees and line two sheet pans with parchment paper. In the bowl of a food processor, add the walnuts. Pulse until coarsely ground (about 30 short pulses).
Remove 1/2 a cup of the walnuts and set aside in a medium-sized bowl.
Continue processing the remaining walnuts until finely ground and clumping together slightly. You should see a little of the walnuts' oils gathering on the side of the food processor bowl.
Add the finely ground walnuts to the coarsely ground walnuts in the bowl. To the nuts, add the flour and salt. Toss to combine.
Without washing the food processor, add the sugar. Process until finely ground—about 30-40 seconds. Set aside.
In the bowl of a stand mixer, cream the butter on medium-low speed until smooth.
Add in the finely processed sugar and the vanilla. Beat until fully incorporated.
Turn off the mixer and add in the flour nut mixture to the butter and sugar.
Stir until all ingredients are fully combined and no streaks of flour are showing. You can do this with a stand mixer or by hand. The dough will be stiff.
Scoop out the cookie dough 1 tablespoon at a time and roll into a ball.
Place the cookies on a parchment paper-lined sheet pan. Leave about an inch of space between each cookie, they don't spread much. Bake at 325 degrees for 20-23 minutes until the bottom edges have lightly browned.
Remove the cookies from the oven and allow them to cool for 20 minutes.
In a shallow dish, add the powdered sugar. Toss the slightly warm cookies in the powdered sugar and gently roll around the dish to coat.
Set the coated cookies aside on a cooling rack or back on the cookie sheet to finish cooling.
Once all the cookies are completely cooled, give one final toss in the powdered sugar to fully coat and serve.",7,1 1/2 cups of shelled walnuts,2 cups of all-purpose flour,1/2 teaspoon kosher salt,"1 cup (2 sticks) unsalted butter, softened",1/3 cup granulated sugar,2 teaspoons vanilla extract,1 1/2 cups powdered sugar,NA,NA,NA,NA,NA,Tasting Table,https://www.tastingtable.com/450439/mexican-wedding-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
