title,author,rating,cuisine,ratingnum,preptime,cooktime,totaltime,servings,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,source,link,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Cookie Dough Bars ,Carrie Barnard,5,American, 4 ,45 minutes,0 minutes,45 minutes,NA,8,12,▢ For cookie dough:,▢ 1/2 cup unsalted butter softened,▢ 3/4 cup brown sugar,▢ 1 tsp vanilla extract,Desserts on a Dime,https://dessertsonadime.com/cookie-dough-bars/,▢ 2 cups flour,▢ 14 oz can sweetened condensed milk,▢ 1 cup miniature chocolate chips,▢ 1 cup miniature M&M’s,▢ For topping:,▢ 1 cup chocolate chips,▢ 2 tablespoons butter,▢ 1/2 cup miniature M&M’s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Stuffed Cookies,Carrie Barnard,5,American, 4 ,30 minutes,10 minutes,45 minutes,NA,14,11,▢ 1 cup unsalted Butter,▢ 1 cup Sugar,▢ 1 cup Brown Sugar,▢ 2 large Eggs,Desserts on a Dime,https://dessertsonadime.com/oreo-stuffed-cookies/,▢ 2 tsp Vanilla Extract,▢ 3 cups Flour,▢ 2 tsp Cornstarch,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1 cup Semi-Sweet Chocolate Chips,▢ 1 package Double Stuffed Oreo Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fried Cookie Dough,Carrie Barnard,4.81,American, 31 ,10 minutes,4 minutes,14 minutes,NA,9,15,▢ For the Cookie Dough:,▢ 2 cups All Purpose Flour,▢ 1 cup unsalted butter softened at room temperature,▢ 1 cup Brown Sugar,Desserts on a Dime,https://dessertsonadime.com/deep-fried-cookie-dough/,▢ 1 cup Granulated Sugar,▢ 1/2 tsp Salt,▢ 2 Tbsp Milk may need more when making,▢ 1 tsp Vanilla Extract,▢ 1 cup Chocolate Chips,▢ For Frying:,▢ 1.5 cups Pancake Mix,▢ 1 egg,▢ 1 cup milk,▢ 2 tsp Vegetable Oil plus more for Frying,▢ 1/4 cup Powdered Sugar,NA,NA,NA,NA,NA,NA,NA,NA
Monster Cookies,Carrie Barnard,4.80,American, 5 ,10 minutes,10 minutes,20 minutes,NA,9,11,▢ 3 Eggs,▢ 1¼ cup Brown Sugar,▢ 1 cup Sugar,▢ 12 oz Peanut Butter,Desserts on a Dime,https://dessertsonadime.com/monster-cookies-recipe/,▢ ½ cup softened Butter,▢ ½ tsp Salt,▢ ½ tsp Vanilla,▢ 1½ cup M&M’s,▢ 1 cup Semi Sweet Chocolate Chips,▢ 2 tsp Baking Soda,▢ 4½ cup Quick Oats,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterscotch Cookies,Carrie Barnard,4.76,American, 58 ,10 minutes,10 minutes,25 minutes,NA,8,9,▢ 1 cup Butter Softened,▢ 1/2 cup Sugar,▢ 1/2 cup Brown Sugar,▢ 1 Tablespoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/butterscotch-cookies-recipe/,▢ 2 eggs,▢ 2 1/4 cups Flour,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 2 cups Butterscotch Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Cup Cookies,Carrie Barnard,5,American, 4 ,10 minutes,8 minutes,18 minutes,NA,3,11,▢ 1 3/4 cups all-purpose flour,▢ 1/2 teaspoon salt,▢ 1 teaspoon baking soda,▢ 1/2 cup butter softened,Desserts on a Dime,https://dessertsonadime.com/peanut-butter-cup-cookies-recipe/,▢ 1/2 cup white sugar,▢ 1/2 cup peanut butter,▢ 1/2 cup packed brown sugar,▢ 1 egg beaten,▢ 1 teaspoon vanilla extract,▢ 2 tablespoons milk,▢ about 30 miniature Reese’s butter cups unwrapped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Cocoa Cookies,Carrie Barnard,4.84,American, 6 ,10 minutes,12 minutes,22 minutes,NA,12,10,▢ 1 cup Butter softened (butter needs to be slightly soft at room temperature not melted),▢ 1/2 cup Sugar,▢ 1/2 Cup Brown Sugar,▢ 2 eggs,Desserts on a Dime,https://dessertsonadime.com/hot-cocoa-cookies-recipe/,▢ 1 tsp Vanilla Extract,▢ 2 1/4 cup Flour,▢ 1/2 Cup Cocoa Powder,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 24-36 Large Marshmallows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten Free Shortbread Cookies,Carrie Barnard,5,American, 3 ,10 minutes,10 minutes,20 minutes,NA,7,4,▢ 2 1/2 cups Almond Flour I personally love Bob’s Red Mill,▢ 6 tablespoons Butter softened,▢ 1/2 cup sugar or you can use Erythritol or other granular sweetener,▢ 1 tsp Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/gluten-free-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heart Shapes Chocolate Chip Cookies,Carrie Barnard,5,American, 2 ,15 minutes,10 minutes,25 minutes,NA,12,10,▢ 1 cup Unsalted Butter softened,▢ 1/2 cup Granulated Sugar,▢ 1/2 cup Brown Sugar,▢ 2 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/heart-shaped-chocolate-chip-cookies/,▢ 2 teaspoons Vanilla Extract,▢ 2 1/4 cups All Purpose Flour,▢ 1/2 teaspoon Salt,▢ 1 teaspoon Baking Soda,▢ 1 teaspoon Baking Powder,▢ 1 1/2 cups Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine Cake Mix Cookies,Carrie Barnard,4.63,American, 37 ,10 minutes,10 minutes,20 minutes,NA,5,4,▢ 1 Strawberry cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1 cup white chocolate chips,Desserts on a Dime,https://dessertsonadime.com/valentines-day-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Cookie Recipe,Carrie Barnard,5,American, 6 ,10 minutes,10 minutes,20 minutes,NA,8,11,▢ ½ cup shortening,▢ ½ cup butter you could use an entire cup of butter or an entire cup of shortening (but I liked it like this),▢ 1½ cups white sugar,▢ 2 eggs,Desserts on a Dime,https://dessertsonadime.com/homemade-snickerdoodle-cookie-recipe/,▢ 2¾ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 2 teaspoons cream of tartar,▢ ½ teaspoon salt,▢ Topping:,▢ 2 tablespoons white sugar,▢ 2 teaspoons ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Cookies,Carrie Barnard,4.88,American, 8 ,10 minutes,8 minutes,18 minutes,NA,7,10,▢ 1/2 cup Butter Flavored Shortening,▢ 1 cup Creamy Peanut Butter,▢ 1 1/2 cup Brown Sugar,▢ 3 Tbsp Milk,Desserts on a Dime,https://dessertsonadime.com/chocolate-peanut-butter-cookies/,▢ 1 tsp Vanilla,▢ 1 Egg,▢ 1 1/4 Flour,▢ 1/3 cup Cocoa,▢ 3/4 tsp Salt,▢ 3/4 tsp Baking Soda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cake Mix Cookies,Carrie Barnard,5,American, 2 ,10 minutes,10 minutes,25 minutes,NA,7,4,▢ 1 box Red Velvet Cake Mix,▢ 2 Large Eggs,▢ 1/3 cup Vegetable Oil,▢ 1 cup Powdered sugar,Desserts on a Dime,https://dessertsonadime.com/red-velvet-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copycat Crumbl Chocolate Chip Cookies ,Carrie Barnard,4.72,American, 7 ,10 minutes,15 minutes,40 minutes,NA,7,9,▢ 1 cup Butter softened at room temperature,▢ 1 1/4 cups Brown Sugar,▢ 1/2 cup Granulated Sugar,▢ 2 Large Eggs room temperature,Desserts on a Dime,https://dessertsonadime.com/crumbl-chocolate-chip-cookie-recipe/,▢ 2 tsp Vanilla Extract,▢ 3 cups All Purpose Flour,▢ 1 tsp Baking Soda,▢ 1 tsp Salt,▢ 2 cups Large Milk Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cookies,Carrie Barnard,5,American, 4 ,10 minutes,8 minutes,18 minutes,NA,12,10,▢ ½ cup butter room temperature,▢ ¾ cups sugar,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon almond extract,Desserts on a Dime,https://dessertsonadime.com/funfetti-cookies-recipe/,▢ 1 large egg room temperature,▢ 1 ½ cups flour,▢ 2 teaspoons cornstarch,▢ 1 ½ teaspoons baking powder,▢ ¼ teaspoon salt,▢ ½ cup Rainbow Jimmie Sprinkles plus more for rolling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Pudding Cookies,Carrie Barnard,5,American, 4 ,10 minutes,10 minutes,25 minutes,NA,10,10,▢ 1 cup unsalted butter softened at room temperature,▢ ¾ cup light brown sugar,▢ ¼ cup granulated sugar,▢ 2 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/chocolate-chip-pudding-cookies/,▢ 1 tsp Vanilla Extract,▢ 1 Box Instant Vanilla Pudding Mix 3.4 oz box,▢ 2 ¼ cups All Purpose Flour,▢ 1 tsp Baking Soda,▢ ½ tsp Salt,▢ 1 package Milk Chocolate Chips 11 oz bag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cheesecake Cookies,Carrie Barnard,4.62,American, 26 ,15 minutes,10 minutes,25 minutes,NA,8,6,▢ 1/3 cup butter melted,▢ 1 whole egg,▢ 1 cup white chocolate chips,▢ 15 ounce box strawberry cake mix,Desserts on a Dime,https://dessertsonadime.com/strawberry-cheesecake-cookies-recipe/,▢ 1/2 cup powdered sugar,▢ 8 oz cream cheese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Carrie Barnard,5,American, 10 ,10 minutes,8 minutes,18 minutes,NA,7,4,▢ 1 box chocolate cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1/2 cup powdered sugar,Desserts on a Dime,https://dessertsonadime.com/chocolate-crinkle-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Covered Oreos recipe,Carrie Barnard,4.83,American, 58 ,5 minutes,10 minutes,15 minutes,NA,7,3,▢ 12 regular oreos,▢ 8 oz white chocolate chips,▢ 8 oz semi-sweet chocolate chips,NA,Desserts on a Dime,https://dessertsonadime.com/chocolate-covered-oreos/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mickey Mouse Cookies,Carrie Barnard,5,American, 1 ,15 minutes,8 minutes,23 minutes,NA,15,11,▢ 2 1/2 cups All Purpose Flour,▢ 1 tsp baking powder,▢ 1/2 tsp salt,▢ 3/4 cup unsalted butter softened,Desserts on a Dime,https://dessertsonadime.com/mickey-mouse-cookies/,▢ 1 cup granulated sugar,▢ 2 Large Eggs,▢ 1 tsp Vanilla Extract,▢ 2 egg whites,▢ 1 cup powdered sugar,▢ 1/2 tsp cream of tartar,▢ Red and Black Gel Food Coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Oreo Cookies,Carrie Barnard,5,American, 4 ,NA,9 minutes,9 minutes,NA,10,12,▢ FOR THE COOKIES:,▢ 1 3/4 cup All Purpose Flour,▢ 1/2 cup unsweetened cocoa powder,▢ 1/2 tsp Salt,Desserts on a Dime,https://dessertsonadime.com/homemade-oreos-recipe/,▢ 1/2 cup unsalted Butter softened to room temperature,▢ 1 cup Sugar,▢ 1 Large Egg Room temperature,▢ 1 tsp Vanilla Extract,▢ FOR THE CREAM FILLING:,▢ 1/2 cup Unsalted Butter softened at room temperature,▢ 2 cups Powdered Sugar,▢ 1 tsp Vanilla Extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Cake Mix Cookies,Carrie Barnard,4.32,American, 16 ,5 minutes,10 minutes,15 minutes,NA,5,4,▢ 1 box Funfetti cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ Sprinkles optional,Desserts on a Dime,https://dessertsonadime.com/funfetti-cake-mix-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Mickey Mouse Cookies,Carrie Barnard,4.75,American, 4 ,15 minutes,NA,30 minutes,NA,9,5,▢ 20 Double Stuffed Oreo Cookies,▢ 20 Mini Oreo Cookies,▢ 1/2 cup White Candy Melts,▢ 1 cup Red Candy Melts,Desserts on a Dime,https://dessertsonadime.com/mickey-mouse-oreo-cookies/,▢ 40 White Circle Candy Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Christmas Cookies,Carrie Barnard,4.80,American, 74 ,10 minutes,10 minutes,25 minutes,NA,6,4,▢ 1 white cake mix,▢ 2 eggs,▢ 1/3 cup oil,▢ 1 cup Red and Green Christmas Sprinkles,Desserts on a Dime,https://dessertsonadime.com/christmas-cake-mix-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hot Chocolate Cookie Cups,Carrie Barnard,4.84,American, 6 ,30 minutes,12 minutes,42 minutes,NA,6,8,▢ 1 pkg Premade Sugar Cookie Dough Ready to Bake,▢ 2 cups Semi-Sweet Chocolate Chips,▢ 1 can Sweetened Condensed Milk 14 oz can,▢ 1 teaspoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/hot-chocolate-cookie-cups-recipe/,▢ Mini Marshmallow Bits,▢ Mini Candy Canes,▢ ½ cup White Chocolate Chips,▢ Christmas Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ooey Gooey Butter Cookies,Carrie Barnard,5,American, 3 ,10 minutes,10 minutes,25 minutes,NA,9,8,▢ 1/2 cup Butter softened,▢ 8 ounces Cream Cheese softened,▢ 1 1/2 cups Granulated Sugar,▢ 1 Large Egg,Desserts on a Dime,https://dessertsonadime.com/ooey-gooey-butter-cookies/,▢ 1 Tablespoon Vanilla Extract,▢ 2 1/2 cups All Purpose Flour,▢ 1 cup Powdered Sugar divided,▢ 2 teaspoons Baking Powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Meringues,Carrie Barnard,5,American, 2 ,20 minutes,45 minutes,35 minutes,NA,9,5,▢ 4 large Egg Whites room temperature,▢ 1/4 teaspoon Cream of Tartar,▢ 3/4 cup Granulated Sugar,▢ 1/2 teaspoon Peppermint Extract,Desserts on a Dime,https://dessertsonadime.com/peppermint-meringues/,▢ Red Gel Food Coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meringue Christmas Trees,Carrie Barnard,5,American, 3 ,20 minutes,45 minutes,35 minutes,NA,9,6,▢ 4 large Egg Whites room temperature,▢ 1/4 teaspoon Cream of Tartar,▢ 3/4 cup Granulated Sugar,▢ 1 teaspoon Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/meringue-christmas-trees/,▢ Green Food Coloring,▢ Multi-Colored Sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Tree Sugar Cookies,Carrie Barnard,5,American, 5 ,20 minutes,8 minutes,43 minutes,NA,14,13,▢ 2 1/2 cups All Purpose Flour,▢ 1 tsp baking powder,▢ 1/2 tsp salt,▢ 3/4 cup unsalted butter softened,Desserts on a Dime,https://dessertsonadime.com/christmas-tree-sugar-cookies-recipe/,▢ 1 cup granulated sugar,▢ 2 Large Eggs,▢ 1 tsp Vanilla Extract,▢ 8 oz Cream Cheese softened,▢ 1/4 cup Butter softened,▢ 3 cups Powdered Sugar,▢ 1/2 tsp Vanilla Extract,▢ Green Gel Food Coloring,▢ Sprinkles for decorating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Cookie recipe,Carrie Barnard,4.72,American, 7 ,15 minutes,10 minutes,25 minutes,NA,7,12,▢ 2 1/4 cup flour,▢ 1 1/2 teaspoons ground ginger,▢ 1 teaspoon baking soda,▢ 1 teaspoon ground cinnamon,Desserts on a Dime,https://dessertsonadime.com/soft-gingerbread-cookies-recipe/,▢ 1/2 teaspoon ground cloves,▢ 1/4 teaspoon salt,▢ 6 tablespoons butter or margarine softened,▢ 1 cup granulated sugar,▢ 1 egg,▢ 1 tablespoon orange juice,▢ 1/4 cup molasses,▢ 1/2 cup granulated sugar for rolling dough balls in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade peanut butter kiss cookies,Carrie Barnard,4.75,American, 8 ,15 minutes,12 minutes,27 minutes,NA,9,10,▢ 1/2 cup Peanut Butter,▢ 1/2 cup Butter,▢ 1/2 cup Granulated Sugar,▢ 1/2 cup Brown Sugar,Desserts on a Dime,https://dessertsonadime.com/peanut-butter-hershey-kiss-cookies/,▢ 1 tsp Vanilla,▢ 1 Egg,▢ 1 1/3 cup Flour,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 24 Hershey Kisses unwrapped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Light Cookies,Carrie Barnard,5,American, 1 ,10 minutes,12 minutes,37 minutes,NA,15,12,▢ 3 cups All Purpose Flour,▢ 1 cup Unsalted Butter softened,▢ 1 cup granulated sugar,▢ 1 Tablespoons Vanilla,Desserts on a Dime,https://dessertsonadime.com/christmas-light-cookies/,▢ 1 Egg,▢ 1 Tablespoons Baking Powder,▢ 1/4 teaspoon Salt,▢ 2 Egg Whites,▢ 1 cup Powdered Sugar,▢ 1/2 teaspoon Cream of Tartar,▢ Black Writing Gel,▢ Mini M&Ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reindeer Cookies,Carrie Barnard,5,American, 2 ,15 minutes,10 minutes,30 minutes,NA,12,12,▢ 1/2 cup Butter softened,▢ 1 cup Brown Sugar,▢ 3/4 cup Creamy Peanut Butter,▢ 2 Tablespoons Milk,Desserts on a Dime,https://dessertsonadime.com/reindeer-cookies/,▢ 1 teaspoons Vanilla Extract,▢ 1 Large Egg,▢ 1 3/4 cup All Purpose Flour,▢ 1/2 teaspoon Baking Soda,▢ 1/4 teaspoon Salt,▢ 48 Pretzel Twists,▢ 48 Candy Eyes,▢ 24 Red M&Ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Cane Cookies,Carrie Barnard,5,American, 2 ,NA,10 minutes,15 minutes,NA,14,10,▢ 1 cup Butter softened,▢ 1 cup Granulated Sugar,▢ 1 teaspoon Vanilla Extract,▢ 1 teaspoon Peppermint Extract,Desserts on a Dime,https://dessertsonadime.com/candy-cane-cookies/,▢ 1 teaspoon Baking Powder,▢ 1/2 teaspoon Salt,▢ 1 Large Egg,▢ 2 3/4 cup All Purpose Flour,▢ Red Gel Food Coloring,▢ Sparkling Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Peppermint Cookies,Carrie Barnard,5,American, 2 ,15 minutes,10 minutes,30 minutes,NA,9,12,▢ 1 1/2 cups All Purpose Flour,▢ 1 teaspoon Baking Powder,▢ 1/2 teaspoon Baking Soda,▢ 1/4 teaspoon Salt,Desserts on a Dime,https://dessertsonadime.com/white-chocolate-peppermint-cookies/,▢ 1/2 cup Butter softened,▢ 1/4 cup Brown Sugar,▢ 1/2 cup Granulated Sugar,▢ 1 Large Egg,▢ 1/2 teaspoon Peppermint Extract,▢ 1/2 teaspoon Vanilla Extract,▢ 1 cup White Chocolate Chips divided,▢ 6 Miniature Candy Canes crushed and divided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thumbprint Cookies ,Carrie Barnard,4.88,American, 8 ,20 minutes,12 minutes,37 minutes,NA,9,7,▢ 1 cup Unsalted Butter softened at room temperature,▢ 2/3 cup Sugar plus 3 Tbsp for rolling the cookies in,▢ 1 Large Egg Yolk,▢ 1 tsp Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/thumbprint-cookies/,▢ 1/2 tsp Salt,▢ 2 1/4 cup All Purpose Flour,"▢ 1/3 cup Jam or Preserves flavor or your choice, I love using Strawberry, Raspberry or Apricot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Wreath Cookies,Carrie Barnard,4.75,American, 16 ,20 minutes,NA,20 minutes,NA,7,6,▢ 4 cups Cornflakes Cereal,▢ 1/2 cup Butter,▢ 4 cups Mini Marshmallows,▢ 1/2 tsp Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/christmas-wreath-cookies-only-6-easy-ingredients/,▢ Green Gel Food Coloring,▢ Cinnamon Red Hot Candies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Dipped Shortbread Cookies,Carrie Barnard,5,American, 2 ,15 minutes,15 minutes,50 minutes,NA,12,8,▢ 2 cups all purpose flour,▢ ¼ teaspoon salt,▢ 1 cup unsalted butter,▢ ½ cup granulated sugar,Desserts on a Dime,https://dessertsonadime.com/chocolate-dipped-shortbread-cookies/,▢ 1 teaspoon vanilla extract,▢ 1 cup Chocolate Chips,▢ 2 teaspoons shortening,▢ Optional: Sea salt for sprinkling on chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Christmas Cookies,Carrie Barnard,4.88,American, 8 ,15 minutes,10 minutes,30 minutes,NA,10,11,▢ 1 cup Butter softened,▢ 1/2 cup Granulated Sugar,▢ 1 cup Brown Sugar,▢ 2 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/mm-christmas-cookies/,▢ 2 tsp Vanilla Extract,▢ 3 cups All Purpose Flour,▢ 2 tsp Cornstarch,▢ 1 tsp Baking Soda,▢ 1/2 tsp Salt,▢ 1 cup Semi-Sweet Chocolate Chips,▢ 1 cup Red and Green M&Ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rice Krispies Cookies,Carrie Barnard,4.67,American, 6 ,15 minutes,10 minutes,30 minutes,NA,8,12,▢ 1 cup Butter softened,▢ 1 cup Brown Sugar,▢ 1 cup Sugar,▢ 2 teaspoons Vanilla Extract,Desserts on a Dime,https://dessertsonadime.com/rice-krispies-cookies/,▢ 2 large Eggs,▢ 2 1/4 cups All Purpose Flour,▢ 1 teaspoon Baking Powder,▢ 1 teaspoon Baking Soda,▢ 1/2 teaspoon Salt,▢ 2 cups Rolled Oats,▢ 2 cups Rice Krispie Cereal,▢ 12 ounces Semi-Sweet Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Cookies,Carrie Barnard,5,American, 4 ,5 minutes,10 minutes,15 minutes,NA,17,11,▢ 1 cup unsalted butter softened,▢ ⅔ cup granulated sugar,▢ ½ teaspoon salt,▢ 1 large egg room temperature,Desserts on a Dime,https://dessertsonadime.com/chocolate-dipped-peppermint-cookie-recipe/,▢ 1 tablespoon vanilla extract,▢ 2 cups all-purpose flour,▢ 1 teaspoon peppermint extract,▢ 2-3 drops red food coloring,▢ Granulated sugar optional,▢ Chocolate almond bark or other melting chocolate,▢ Crushed peppermint or candy canes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas cut out Sugar Cookies,Carrie Barnard,4.74,American, 15 ,15 minutes,8 minutes,33 minutes,NA,19,11,▢ 5 cups All Purpose Flour,▢ 2 tsp baking powder,▢ 1 tsp salt,▢ 1 1/2 cups unsalted butter (softened),Desserts on a Dime,https://dessertsonadime.com/christmas-cut-out-sugar-cookie-recipe/,▢ 2 cups granulated sugar,▢ 4 eggs,▢ 2 teaspoons vanilla extract,▢ 2 egg whites,▢ 1 cup powder sugar,▢ 1/2 tsp cream of tartar,▢ Gel Food Coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Molasses Cookies Recipe,Carrie Barnard,5,American, 4 ,15 minutes,10 minutes,30 minutes,NA,10,11,▢ 2 cups Flour,▢ 2 tsp Baking Soda,▢ 2 tsp Ground Ginger,▢ 1 1/2 tsp Ground Cinnamon,Desserts on a Dime,https://dessertsonadime.com/ginger-molasses-cookies-recipe/,▢ 1/4 tsp ground cloves,▢ 1/2 tsp salt,▢ 3/4 cup Unsalted Butter softened,▢ 1/2 cup Brown Sugar,▢ 1/4 Granulated Sugar plus &frac13; cup sugar for rolling,▢ 1/4 cup Dark Molasses,▢ 1 Egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough,Carrie Barnard,5,American, 3 ,10 minutes,NA,10 minutes,NA,8,8,▢ 1 cup All Purpose Flour,▢ 1/2 cup unsalted butter softened at room temperature,▢ 1/2 cup Brown Sugar,▢ 1/2 cup Granulated Sugar,Desserts on a Dime,https://dessertsonadime.com/edible-cookie-dough/,▢ 1/4 tsp Salt,▢ 1 Tbsp Milk may need more when making,▢ 1 tsp Vanilla Extract,▢ 1/2 cup Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twix Thumbprint Cookies,Carrie Barnard,5,American, 2 ,20 minutes,13 minutes,3 minutes,NA,9,9,▢ 1 cup salted butter softened,▢ 1 cup granulated sugar,▢ 1 teaspoon vanilla extract,▢ 2 large eggs,Desserts on a Dime,https://dessertsonadime.com/twix-thumbprint-cookies/,▢ 3 teaspoons coarse sea salt,▢ 3 cups all-purpose flour,▢ 1 cup caramel bits,▢ 1 cup evaporated milk about ¾ cup,▢ 1 cup semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harry Potter Butterbeer Cookies,Carrie Barnard,5,American, 2 ,10 minutes,10 minutes,25 minutes,NA,8,11,▢ 1 cup Unsalted Butter softened,▢ ½ cup Brown Sugar,▢ ½ cup Granulated Sugar,▢ 2 large Eggs,Desserts on a Dime,https://dessertsonadime.com/harry-potter-butterbeer-cookies/,▢ 1 teaspoon Vanilla Extract,▢ 1 3- ounce package butterscotch instant pudding mix,▢ 2 1/4 cups All Purpose Flour,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1 cup white chocolate baking chips,▢ 1 cup butterscotch chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Sprinkle Cookies,Carrie Barnard,5,American, 3 ,NA,10 minutes,15 minutes,NA,11,10,▢ 1/2 cup Butter softened,▢ 1/2 cup Cream Cheese softened,▢ 1 1/2 cups Granulated Sugar,▢ 2 Large Eggs,Desserts on a Dime,https://dessertsonadime.com/christmas-sprinkle-cookies/,▢ 2 teaspoons Vanilla extract,▢ 2 1/2 cup All Purpose Flour,▢ 1 Tablespoon Cornstarch,▢ 1 teaspoon Baking Soda,▢ 1/4 teaspoon Salt,▢ 1 cup Red White and Green Round Sprinkles (nonpareils),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
