title,author,date,update,rating,ratingnum,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Classic Gingerbread Cookies,Diana,"September 8, 2022",NA,4.86,7,NA,Classic Gingerbread Cookies,30 minutes,10 minutes,NA,40 minutes,24 to 28 cookies,13,"In a large mixing bowl, mix together the flour, baking soda, salt, cloves, nutmeg, allspice, cinnamon and ginger. Mix well using a fork and set aside.
In a separate mixing bowl, cream together the butter and brown sugar until smooth.
Add in the molasses, egg, and vanilla and continue to mix until smooth and well blended.
Add in flour mixture and mix until fully blended using an electric mixer. Be sure to scrape the edges of the bowl with a rubber spatula. Your gingerbread dough should be smooth and velvety to the touch.
Chill the dough for at least three hours or overnight. Do not skip this step!
When the dough is properly chilled and ready for use, preheat the oven to 350°F/180°C and prepare a large cookie sheet with parchment paper. Roll dough out to about ¼ of an inch using a clean rolling pin.
Cut out gingerbread man shapes using a clean cookie cutter. Be sure to make your cuts close to one another to use as much dough as possible. You can re-roll the scraps of dough and repeat the cutting process, but you don't want to do this too many times.
Carefully transfer the gingerbread men to the cookie sheet and bake for 10 minutes. Allow the cookies to cool on the tray for a minute, then transfer them to a wire rack to cool completely.
While the cookies are baking, prepare your icing. Add all icing ingredients to a medium mixing bowl and begin to stir using a fork. Stir for several minutes as it will be very hard at first but should soften.
Remove two very small portions of the icing and set aside. This will be used for the green and red buttons on the gingerbread men.
When the gingerbread men have finished baking and have cooled completely, it’s time to decorate! Use a piping bag filled with your white icing to create two eyes and a smile. You can outline the gingerbread men and/or draw zig-zap patterns on the arms and legs.
Use a toothpick to add food coloring to the reserved icing, tinting it red and green. Add each color to a piping bag and add colorful buttons down the front of each man. 2-3 buttons are perfect!
Allow the icing to dry before storing your gingerbread cookies in an airtight container.",18,▢ 3 cups (425g) all purpose flour,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ ¼ teaspoon ground cloves,▢ ¼ teaspoon ground nutmeg,▢ ½ teaspoon ground allspice,▢ 1 tablespoon ground cinnamon,▢ 1 tablespoon ground ginger,"▢ 1 ½ sticks (¾ c, 170g) unsalted butter softened to room temperature",▢ ¾ cup brown sugar firmly packed,▢ ½ cup molasses,▢ 1 large egg at room temperature,Fun Cookie Recipes,https://funcookierecipes.com/classic-gingerbread-cookies/,▢ 1 teaspoon pure vanilla extract,▢ 3 cups powdered sugar,▢ 4 tablespoons milk,▢ ½ teaspoon pure vanilla extract,▢ 1 tablespoon light corn syrup,▢ gel food coloring red and green,NA,NA,NA,NA,NA,NA
No Bake Sugar Cokies,Diana,"September 3, 2022",NA,5,21,NA,No Bake Sugar Cookies,5 minutes,5 minutes,NA,10 minutes,24 Cookies,5,"Line a large baking sheet with parchment paper and set it aside while you mix up the cookies.
Add butter, sugar, and milk to a large saucepan. Cook over medium-high heat, and bring to a rolling boil. Boil for 1 minute, stirring constantly, then remove from the heat.
Quickly stir in in the vanilla extract, oats, powdered milk, and dry pudding mix. Stir until well combined.
Using a medium cookie scoop, drop the mixture onto the parchment lined pan. You can press down on them slightly, or leave them as they are. If desired, sprinkle the cookies with rainbow sprinkles.
Allow the no bake cookies to cool and set for at least an hour, or until they are firm.",8,▢ ¾ cup salted butter,▢ 2 cups granulated sugar,▢ ⅔ cup whole milk,▢ ½ teaspoon vanilla extract,"▢ 4 cups quick cooking oats aka,1-minute oats",▢ ¼ cup powdered milk or powdered coffee creamer,▢ 1 3.4-ounce box instant vanilla or cheesecake flavored pudding unprepared,▢ sprinkles,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/no-bake-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condensed Milk Cookies,Diana,"September 2, 2022",NA,4.88,40,NA,Condensed Milk Cookies,20 minutes,10 minutes,NA,NA,48 cookies,8,"Preheat the oven to 350°F/180°C degrees and line the baking sheet with parchment paper or a Silpat silicone mat.
Use a stand or a hand mixer, and combine the softened butter with the sweetened condensed milk.
Beat in the vanilla extract, salt, and powdered sugar until well combined.
Mix the flour in 1 cup at a time and mix well after each cup. Make sure that the flour is well incorporated but do not overmix the cookie dough.
Add the sprinkles and give them a quick mix.
Use a cookie scoop and make the cookie dough balls (see note below about cookie size). Place the cookies on the cookie sheet. You can flatten the cookies some by pressing down on them slightly.
Put the baking sheets in the oven and bake for 8-10 minutes. Once done, move them to a wire rack and let them cool.
After the cookies have cooled, drizzle on the vanilla icing.",8,▢ ½ cup salted butter soft but not melted,▢ 14 ounces sweetened condensed milk,▢ ½ cup powdered sugar,▢ 1 teaspoon pure vanilla extract,▢ 1 teaspoon salt,▢ 3¼ cups all-purpose flour leveled,▢ ¼ cup rainbow sprinkles,▢ vanilla icing optional,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/condensed-milk-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christmas Sprinkle Sugar Cookies,Diana,"September 1, 2022",NA,5,9,Christmas,Christmas Sprinkle Sugar Cookies,10 minutes,12 minutes,NA,22 minutes,24 cookies,11,"In a large mixing bowl, combine flour, baking soda, cream of tartar, and salt. Mix until all ingredients are combined well and set aside.
In a separate mixing bowl, cream together the butter and sugar using an electric mixer. Mix until smooth.
Add in egg and vanilla and continue to mix until well combined.
All flour mixture to butter mixer and mix for about 2 minutes until the dough forms. It will be crumbly at first.
Mix in half of your sprinkles until they are evenly distributed throughout the dough.
Cover and place inside the refrigerator for 2 hours or overnight to chill.
When you’re ready to bake the cookies, preheat the oven to 350 degrees and prepare a large cookie sheet with parchment paper.
Using a 1 inch cookie scoop, scoop dough from bowl and form into an even, smooth, round ball using the palms of your hands.
Dip one side of the ball down into the remaining sprinkles and place on parchment paper, sprinkle side up. Repeat for all of the dough, placing 12 cookies on a baking sheet at a time.
Cook for 8-10 minutes.
When done, allow to cool on the pan for 2 minutes before transferring to a cooling rack before serving.",9,▢ 1-½ cups all purpose flour,▢ ½ teaspoon baking soda,▢ 1 teaspoon cream of tartar,▢ ¼ teaspoon salt,▢ 1 stick unsalted butter softened at room temperature,▢ ½ cup granulated sugar,▢ 1 large egg at room temperature,▢ 1 teaspoon pure vanilla extract,▢ ½ cup holiday sprinkles,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/christmas-sprinkle-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Stuffed Cookies,Diana,"August 16, 2022",NA,5,3,NA,Oreo Stuffed Cookies,10 minutes,15 minutes,NA,55 minutes,12 large cookies,8,"Line 2 cookie sheets with parchment paper or Silpat mats.
In a bowl, combine the dry ingredients: flour, baking powder, and salt. Set aside.
In another bowl, using a hand mixer beat the butter with the sugar until smooth and creamy (2-3 minutes). Add in the egg, egg yolk, and vanilla extract, and mix again until smooth.
Add in the dry ingredients and mix until just combined, then gently fold in the chocolate chips.
Scoop out the cookie dough into 24 even balls, and place onto one baking sheet.
Flatten the balls slightly with your fingers, then place an oreo over half of the dough pieces, and cover with the other pieces. Very carefully roll each sandwich into a smooth cookie dough ball with the Oreo in the center.
Place the tray in the fridge for 30 minutes while you preheat the oven to 350°F/180°C.
Make sure that the cookies are placed about 2 inches apart on the baking sheet (you'll likely need to use two trays), then bake for 14-16 minutes or until the edges start turning golden brown. Remove from the oven, and allow to cool on the cookie sheet for 10 minutes then transfer to a wire rack to cool completely.",10,▢ 2¾ cups (330g) all purpose flour,▢ 1 teaspoon baking powder,▢ ¼ teaspoon salt,"▢ 2 sticks (1 cup, 225g) unsalted butter softened",▢ 1 cup granulated sugar,▢ 1 large egg at room temperature,▢ 1 large egg yolk at room temperature,▢ ½ teaspoon pure vanilla extract,▢ 1 cup semisweet chocolate chips,▢ 12 Oreos any style or flavor,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/oreo-stuffed-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dracula Cookies,Diana,"August 12, 2022",NA,5,9,Halloween,Dracula Cookies,20 minutes,10 minutes,NA,30 minutes,12 Cookies,7,"Preheat the oven to 350°F/180°C and line a cookie sheet with parchment paper.
Shape the cookie dough into 1 ½ balls (about 2 tablespoons) and place on the cookie sheet leaving at least two inches between each. You should be able to get about 12 cookies from one tube of dough.
Bake for 10-12 minutes, or until the cookies are done.
Remove from the oven, and cool completely.
Add red food coloring to the frosting until you get a blood red color.
Cut each chocolate chip cookie in half and spread the underside of each half with a thin layer of red frosting. Then arrange 6 or 7 mini marshmallows along the round edge of half of the frosted cookies (to look like teeth). Cover with a second frosted cookie to create a cookie sandwich shaped like Dracula's mouth.
Place two pointy slivered almonds into the teeth to look like fangs.",5,▢ 1 30 ounce tube refrigerated chocolate chip cookie dough,▢ 1 16 ounce can vanilla frosting,▢ red food coloring,▢ 1 cup mini marshmallows about 70-80 marshmallows,"▢ slivered almonds a handful, for fangs",NA,NA,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/dracula-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cake Mix Cookies,Diana,"August 10, 2022",NA,5,5,NA,Lemon Cake Mix Cookies,15 minutes,12 minutes,NA,27 minutes,30 cookies,6,"Preheat the oven to 350°F/180°C and line 2 half size baking sheets with parchment paper or silicone mats.
In a large bowl, combine lemon cake mix, eggs, and oil. With a spatula, mix together until combined. A few lumps are ok, do not over mix. For thicker cookies, add half a cup of flour. You can add up to 1 cup of flour, depending on the texture you'd like. (see note 1)
Using a small OXO cookie scoop (1 ½ tbsp size), scoop out cookie dough balls and place 3 inches apart on the baking sheets.
Bake in a preheated oven for 12 minutes, then cool down completely on a wire rack.
To make the glaze, in a bowl combine the powdered sugar, lemon zest and 1 tablespoon of lemon juice. Add additional lemon juice to create a thick glaze.
When the cookies have cooled down completely, glaze the cookies while they are still on the wire rack, so that the glaze can drip off of the cookies if needed. Leave to set until dry.",7,▢ 15.25 ounce (425g) boxed lemon cake mix,▢ 2 large eggs,▢ ¼ cup vegetable oil or coconut oil,"▢ ½ cup all-purpose flour optional, see note 1",▢ 1 cup powdered sugar,▢ 1-2 tablespoons fresh lemon juice,▢ 1 tablespoon lemon zest,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/lemon-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copycat Crumbl Key Lime Pie Cookies,Diana,"August 3, 2022",NA,5,9,NA,Copycat Crumbl Key Lime Pie Cookies,40 minutes,15 minutes,NA,NA,18 cookies,11,"Preheat the oven to 325°F/165°C. Line a sheet pan with parchment paper, and lay out your 4 inch tart pans on it.
Combine softened butter, sugar, brown sugar, oil, vanilla, and eggs in the bowl of a stand mixer. Beat on medium speed for 3-4 minutes, or until the mixture is light and fluffy.
Add the flour, 1 ½ cups of graham cracker crumbs, cornstarch, baking powder, and salt to the bowl with the butter. Continue mixing on medium speed until everything is combined into a dough.
Add the remaining 1 cup of graham cracker crumbs to a shallow bowl or plate.
Portion the dough into ¼ cup sized balls of dough, and roll each ball with your hands to smooth it out. Roll each dough ball in the graham cracker crumbs to coat it, then place in a tart tin.
Use a flat measuring cup or glass that is smaller than the tart tin to press the dough into the tin and create a cavity for the filling. If you find that the dough is sticking to your cup, add a bit of the crumbs to it first.
Bake the cookies in the preheated oven for 12-15 minutes, or until lightly golden. Remove from the oven and let cool completely, still in the tins on the bakings sheet.
Make the filling while the cookies are cooling. Start by whipping the heavy cream in your stand mixer until it forms stiff peaks. Transfer the whipped cream into a separate bowl and set aside.
Add the softened cream cheese to the mixer bowl, and beat on medium-high until smooth. Then stream the sweetened condensed milk into the cream cheese while the mixer is running. Mix in the lime juice, then gently fold in the prepared whipped cream.
When the cookies are cooled, carefully remove them from the tart tins. Scoop the filling evenly into the cookies, creating an overfilled, mounded effect.
If desired, garnish the cookies with lime wedges, whipped cream, lime zest, and a sprinkle of graham cracker crumbs. Serve cold.",20,▢ 1 cup salted butter softened,▢ ¾ cup light brown sugar packed,▢ ½ cup granulated sugar,▢ ½ cup canola or vegetable oil,▢ 2 large eggs,▢ 1 tablespoon vanilla extract,▢ 2 ½ cups all-purpose flour,▢ 2 ½ cups graham cracker crumbs divided (1½ cups and 1 cup),▢ 2 teaspoons cornstarch,▢ 1 ½ teaspoons baking powder,▢ 1 teaspoon salt,▢ 1 ½ cups heavy whipping cream,Fun Cookie Recipes,https://funcookierecipes.com/copycat-crumbl-key-lime-pie-cookies/,▢ 16 ounces cream cheese softened,▢ 28 ounces sweetened condensed milk,▢ ½ cup sour cream,▢ 10 ounces lime juice See Note 1,▢ whipped cream,▢ graham cracker crumbs,▢ 2-3 limes cut into small wedges,▢ lime zest from 2-3 limes,NA,NA,NA,NA
Coconut Matcha Crinkle Cookies,Diana,"July 29, 2022",NA,5,8,NA,Matcha Crinkle Cookies,15 minutes,10 minutes,NA,25 minutes,15 cookies,8,"In a bowl, using a whisk combine the flour with baking powder and matcha powder. Set aside.
In a separate bowl, whisk the eggs with the sugar, then add the vanilla extract and whisk again.
Add the dry ingredients to the wet ingredients and whisk until just combined.
Gently fold in the shredded coconut using a spatula or a wooden spoon.
Cover with plastic wrap, and chill the cookie dough in the fridge for 2 hours.
Preheat the oven to 350°F/180°C, and line 2 cookie sheets with parchment paper or Silpat silicone mats.
Using a medium cookie scoop (1.5 tablespoons size), scoop out cookie dough balls and directly drop into a bowl with granulated sugar (the dough will be quite soft and sticky). Roll the cookie in the sugar and transfer to a bowl with powdered sugar and roll again. Transfer to the cookie sheet.
Bake the cookies for 8-10 minutes, or until the edges have set with visible crinkles on the cookies, and the center is puffed up. Allow to cool on the cookie sheet for 5-10 minutes, then transfer to a wire rack to cool completely.",10,▢ 1¼ cups all-purpose flour,▢ 1 teaspoon baking powder,▢ ¼ cup matcha powder,▢ ¼ cup vegetable oil,▢ ¾ cup granulated sugar,▢ 2 large eggs at room temperature,▢ 1 teaspoon pure vanilla extract,▢ ½ cup shredded coconut optional,▢ ½ cup granulated sugar in a shallow bowl,▢ ½ cup powdered sugar in a shallow bowl,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/matcha-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Corn Marshmallow Squares,Diana,"July 27, 2022",NA,5,5,Brownies & Cookie Bars,Candy Corn Marshmallow Squares,5 minutes,15 minutes,NA,20 minutes,24 squares,7,"Line a 9×13 pan with foil, and lightly grease with butter or cooking spray.
Add the peanut butter chips, butterscotch chips, and peanut butter to a large saucepan. Cook over medium heat, stirring frequently until the mixture is smooth.
Remove the pan from the heat and let it cool for 1-2 minutes. Then add 1 cup of peanuts and the mini marshmallows. Stir to combine, making sure that everything is well coated.
Spread the mixture evenly into the prepared baking pan.
Sprinkle the remaining cup of peanuts and the candy cane over the bars.
Refrigerate for at least two hours, until set firmly. Cut into 24 squares.
Follow all of the above steps, but instead of heating the chips and peanut butter on the stove, add them to a large microwaveable bowl. Heat at 30-second increments, stirring after each until the mixture is smooth.",6,▢ 10 ounce bag peanut butter chips,▢ 11 ounce bag butterscotch chips,▢ 1 cup smooth peanut butter,▢ 1 ½ cups salted peanuts divided,▢ 10 ounce bag miniature marshmallows,▢ 1 cup candy corn,NA,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/candy-corn-marshmallow-squares/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harry Potter’s Butterbeer Cookies,Diana,"July 24, 2022",NA,5,27,NA,Harry Potter’s Butterbeer Cookies,10 minutes,12 minutes,NA,20 minutes,26 cookies,7,"Preheat the oven to 350°F/180°C. Line a cookie sheet with parchment paper or silicone baking mat.
In a large bowl, using a handheld or stand mixer beat the butter until creamy (30 seconds). Add sugar and beat until well combined (3-4 minutes).
Add eggs, vanilla, and butterscotch pudding mix, and beat until the eggs are well incorporated.
In a separate bowl, combine the dry ingredients (flour, baking soda, and salt). Mix that with the wet ingredients until just combined.
Fold in the white chocolate chips and butterscotch chips.
Using a small cookie scoop (1 tablespoon size), scoop out cookie balls onto a cookie sheet 2 inches apart. Bake in a preheated oven for 12 minutes or until the bottom of the cookie is lightly browned.
Allow the cookies to cool for 2 minutes on the baking sheet, then transfer to a wire rack to cool completely.",11,▢ 1 cup unsalted butter softened,▢ ½ cup light brown sugar lightly packed,▢ ½ cup granulated sugar,▢ 2 large eggs at room temperature,▢ 1 teaspoon pure vanilla extract,▢ 1 3-ounce package butterscotch instant pudding mix,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup white chocolate baking chips,▢ 1 cup butterscotch chips,NA,Fun Cookie Recipes,https://funcookierecipes.com/butterbeer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Pudding Cookies,Diana,"July 22, 2022",NA,4.98,44,NA,Pistachio Pudding Cookies,10 minutes,12 minutes,NA,20 minutes,60 small cookies,7,"Preheat the oven to 350°F/180°C. Line a cookie sheet with parchment paper or silicone baking mat.
In a large bowl, using a handheld or stand mixer beat the butter until creamy (30 seconds). Add sugar and beat until well combined (3-4 minutes).
Add eggs, pudding mix, and vanilla extract, and beat until the eggs are well incorporated.
In a separate bowl, combine the dry ingredients (flour, baking soda, and salt). Mix that with the wet ingredients until just combined.
Fold in the white chocolate chips, and the chopped pistachios.
Using a small cookie scoop (1 tablespoon size), scoop out cookie balls onto a cookie sheet 2 inches apart. Bake in a preheated oven for 12 minutes or until the bottom of the cookie is lightly browned.
Allow the cookies to cool for 2 minutes on the baking sheet, then transfer to a wire rack to cool completely",11,▢ 1 cup unsalted butter softened,▢ ½ cup light brown sugar lightly packed,▢ ½ cup granulated sugar,▢ 2 large eggs at room temperature,▢ 1 3.4oz package pistachio instant pudding mix,▢ 1 teaspoon pure vanilla extract,▢ 2 ½ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup white chocolate baking chips,▢ ½ cup shelled pistachios roughly chopped,NA,Fun Cookie Recipes,https://funcookierecipes.com/pistachio-pudding-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Copycat Crumbl Chocolate Cupcake Cookies,Diana,"July 9, 2022",NA,5,8,NA,Copycat Crumbl Chocolate Cupcake Cookies,15 minutes,15 minutes,NA,30 minutes,12 large cookies,9,"Line two cookie sheets with parchment paper and preheat the oven to 350°F/180°C.
Add the flour, baking powder, and salt to a large bowl. Stir and set aside.
In the bowl of a stand mixer fitted with a paddle attachment, cream the butter and sugar until light and fluffy. You can do this with a hand mixer as well. Add the eggs and then the egg yolks one at a time, mixing well between each. Add the cake batter extract, vanilla extract, and almond extract and mix to combine.
Add a third of the dry mixture to the bowl with the wet mixture. Mix the flour in completely. Repeat two more times until all of the flour is incorporated, scraping the sides of the bowl as needed.
Divide the cookie dough into 12 equal portions. If you want to weigh them, they should be just over 4 ounces each. Roll each piece of dough into a smooth ball, and place them on the prepared trays, leaving 6 inches of space between them. Gently press down on each ball to form a flat circle. The cookies will spread as they bake.
Bake for 13-15 minutes or until the edges are lightly golden and the centers of the cookies appear dry. Let the cookies cool completely on the cookie sheets.
Add the chopped chocolate to a bowl. Then add the heavy cream and corn syrup to a small saucepot and bring to a simmer, stirring occasionally. Remove from the heat once it simmers, and pour the milk over the chocolate. Allow the mixture to sit for 5 minutes to melt, then whisk until smooth.
Let the ganache come to room temperature. It should be solid but still soft enough to be piped. Be patient, this can take a while. Stir every so often to speed things along, or place in the fridge.
Add the cooled ganache frosting to a piping bag or a large ziplock bag fitted with an open star tip. Pipe a spiral of frosting over each cookie, starting from the center. Add chocolate sprinkles before the frosting sets up.",14,▢ 4 ½ cups all-purpose flour,▢ 1 tablespoon baking powder,▢ 1 teaspoon fine sea salt,▢ 1 ½ cups unsalted butter softened,▢ 1 ½ cups granulated sugar,▢ 2 large eggs,▢ 2 large egg yolks,▢ 1 teaspoon cake batter extract,▢ ½ teaspoon almond extract,▢ ½ teaspoon pure vanilla extract,▢ 16 ounces semi-sweet baking chocolate bars finely chopped,▢ 1 ¾ cups (14 ounces) heavy cream,Fun Cookie Recipes,https://funcookierecipes.com/copycat-crumbl-chocolate-cupcake-cookies/,▢ ¼ cup light corn syrup,▢ chocolate sprinkles optional decoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Peanut Butter Cookies,Diana,"July 8, 2022",NA,5,4,NA,3 Ingredient Peanut Butter Cookies,10 minutes,10 minutes,NA,20 minutes,24 cookies,4,"Preheat oven to 350°F/180°C, and line 2 cookie sheets with parchment paper or silpat silicone mats.
In a bowl, combine egg, peanut butter and sugar and beat with a hand mixer until just combined. If desired, mix in a teaspoon of vanilla extract.
Using a cookie scoop or your hands, scoop into 1 inch balls and drop on the cookie sheet. using a fork press the cookies creating a criss cross pattern.
Bake for 10 minutes or until lightly browned, do not over bake. Cool on pan for 10 minutes then transfer to a wire rack.",4,▢ 1 large egg at room temperature,▢ 1 cup creamy peanut butter,▢ 1 cup granulated sugar,▢ 1 teaspoon pure vanilla extract optional,NA,NA,NA,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/3-ingredient-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red White And Blue M&M Cookies,Diana,"July 3, 2022",NA,5,8,Summer,Red White And Blue M&M Cookies,15 minutes,12 minutes,NA,27 minutes,36 cookies,5,"Preheat the oven to 350°F/180°C, and line a couple of cookie sheets with a Silpat mat or parchment paper and set aside.
In a bowl, combine the dry ingredients using a whisk and set aside.
In a separate bowl or a bowl of a stand mixer, cream the butter and sugars for 2-3 minutes, then add the egg and vanilla extract and beat again for 1 minute.
Add the dry ingredients to the wet ingredients, and mix again at slow speed until just combined. And finally, fold in the candies.
Using a medium cookie scoop (1.5 tablespoons size), scoop the cookie dough onto the prepared cookie sheets and bake for 12 minutes or until the edges are lightly browned and the centers are still soft. Remove from the oven, allow to cool on the cookie sheets for 5 minutes then cool completely on a wire rack.",10,▢ 2¼ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 cup unsalted butter softened,▢ ¾ cup granulated sugar,▢ ¾ cup light brown sugar packed,▢ 1 large egg at room temperature,▢ 1 teaspoon pure vanilla extract,▢ 1½ cups patriotic M&M’s,▢ 3 tablespoons sprinkles,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/patriotic-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhubarb Cookies,Diana,"July 1, 2022",NA,4.89,45,NA,Rhubarb Cookies,10 minutes,12 minutes,NA,32 minutes,24 cookies,6,"Preheat oven to 375°F/190°C, and line a cookie sheet with parchment paper or a silicone mat.
In a large mixing bowl, using a stand or a hand mixer, beat the butter, sugar, and egg until smooth and creamy.
Add flour, ground cinnamon, baking soda, baking powder, and salt, and slowly beat again until just combined.
Fold in the diced rhubarb, then using a small 1-inch cookie scoop, scoop out balls of dough and place them onto the prepared cookie sheet.
Bake in the preheated oven for 12-14 minutes, or until set and lightly brown at the bottom.
Allow to cool for 5 minutes on the cookie sheet, then transfer to a wire rack to cool completely.",9,▢ 1 cup light brown sugar,▢ ½ cup (113g/1 stick) unsalted butter softened to room temperature,▢ 1 large egg at room temperature,▢ 1¾ cups (200g) all purpose flour,▢ 1 teaspoon ground cinnamon,▢ ½ teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ¼ teaspoon salt,▢ 1 cup finely diced fresh rhubarb,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/rhubarb-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornflake Peanut Butter Cookies (No Bake),Diana,"May 28, 2022",NA,5,34,NA,Cornflake Peanut Butter Cookies (No Bake),10 minutes,10 minutes,NA,50 minutes,18 cookies,5,"Line a baking sheet with parchment paper.
In a saucepan over low-medium heat, combine sugar, corn syrup, butter and peanut butter. Mix with a spatula and bring to a boil. Once it boils, immediately remove from the heat and stir in vanilla and salt.
GENTLY fold in the cornflakes so you don’t break them.
Get a small oxo cookie scoop, spray it with non stick spray and use it to scoop out cookies onto the parchment paper and gently flatten them if desired.
Allow the cookies to set for 30 minutes.",7,▢ ½ cup (100g) granulated sugar,▢ ½ cup (160g) light corn syrup see note 1,▢ 2 tablespoons unsalted butter optional,▢ ½ cup (120g) creamy peanut butter,▢ 1 teaspoon vanilla extract,▢ ¼ teaspoon salt,▢ 3 cups (85g) cornflake cereal,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/cornflake-peanut-butter-cookies-no-bake/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cake Mix Cookies,Diana,"May 27, 2022",NA,5,12,NA,Strawberry Cake Mix Cookies,15 minutes,12 minutes,NA,27 minutes,30 cookies,6,"Preheat the oven to 350°F/180°C and line 2 half size baking sheets with parchment paper or silicone mats.
In a large bowl, combine strawberry cake mix, eggs, oil, and flour if using. With a spatula, mix together until combined. A few lumps is ok, do not over mix. For thicker cookies, add half a cup of flour. You can add up to 1 cup of flour, depending on the texture you'd like. (see note 1)
Using a medium OXO cookie scoop (1 ½ tbsp size), scoop out cookie dough balls 3 inches apart.
Bake in a preheated oven for 12 minutes, then cool down completely on a wire rack.
To make the glaze, in a bowl combine the powdered sugar with strawberry puree and lemon juice.
When the cookies have cooled down completely, glaze the cookies while they are still on the wire rack, so that the glaze can drip off of the cookies if needed. Leave to set until dry.",7,▢ 15.25 ounce (425g) boxed strawberry cake mix,▢ 2 large eggs,▢ ¼ cup vegetable oil or coconut oil,"▢ ½ cup all-purpose flour optional, see note 1",▢ 1 cup powdered sugar,▢ 1 tablespoon strawberry puree see note 2,▢ 1 tablespoon fresh lemon juice,NA,NA,NA,NA,NA,Fun Cookie Recipes,https://funcookierecipes.com/strawberry-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
