title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,yield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Oreo Cheesecake Cookies,Michelle Lettrich,4,5 ,Snack,American,20 minutes,15 minutes,NA,35 minutes mins,12 cookies,5,"1. Preheat oven to 375 degrees F. Line a baking sheet with parchment paper and set aside.
2. In a mixing bowl, cream together the butter and cream cheese on medium speed until smooth and well-combined.
3. Add the sugar and vanilla extract and mix until the ingredients are well-combined. Add the flour and mix on low until the flour is incorporated. Stir in the mini chocolate chips with a rubber spatula.
4. Place the Oreo cookie crumbs in a small bowl. Scoop the cookies into about 1½ to 2"" balls and then roll in the cookie crumbs. Place the cookie balls on the baking sheet. Bake for 12 to 15 minutes, or until the edges are golden and the tops are slightly puffed.
5. Cool on the pan for 2 minutes before transferring to a wire rack to cool completely. Store in an airtight container.",7,"▢ ½ cup (113.5 g) unsalted butter, at room temperature","▢ 3 ounces (85.05 g) cream cheese, at room temperature",▢ 1 cup (200 g) granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 cup (125 g) all-purpose flour,Brown Eyed Baker,https://www.browneyedbaker.com/oreo-cheesecake-cookies/,▢ ½ cup (90 g) mini chocolate chips,▢ 1 cup (160 g) Oreo cookie crumbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moon Pies,Michelle Lettrich,4.23,9 ,Snack,American,15 minutes,30 minutes,NA,1 hour hr 45 minutes mins,18 double-decker moon pies,6,"1. To Make the Cookies: With a mixer on medium speed, beat the butter until creamy, about 3 minutes. Add the brown sugar and beat at medium-high speed until light and fluffy, about 3 minutes. Reduce the speed to medium, add the egg and the vanilla extract, and beat to combine. Reduce the speed to low, add the flour and the salt, and mix just until a soft dough forms. Divide the dough in two, shape into disks, wrap in plastic wrap and refrigerate for at least 30 minutes.
2. Preheat the oven to 350 degrees F. Line at least two baking sheets with parchment paper or a silicone baking mat; set aside. Working with one disk at a time, roll out the dough to about 1/8-inch thickness. Using a 2½-inch diameter round cutter, cut out the rounds and place them on the prepared baking sheets, about ½ an inch apart. Refrigerate the cookies (on the baking sheets) for 10 minutes.
3. Bake the cookies for 10 to 12 minutes, or until lightly browned. Cool on the pans for a couple of minutes, and then move to a cooling rack to cool completely.
4. To Make the Marshmallow Filling: Using a mixer with the whisk attachment, beat the the egg whites with the cream of tartar and the salt until firm peaks form, gradually increasing from medium-low speed to medium-high speed as the egg whites gain volume. Meanwhile, in a small saucepan, boil the corn syrup over high heat without stirring until it registers 230 to 235 degrees F on a candy thermometer (thread ball stage). Slowly drizzle the hot corn syrup into the egg whites and beat at high speed until glossy, about 2 minutes. Reduce the speed to medium-low, beat in the vanilla extract and the powdered sugar.
5. Using either a pastry bag or a spoon, mound about 1½ tablespoons of marshmallow filling into the center of a cookie. Top with another cookie and press lightly to spread the marshmallow to the edges. Add another mound on top of the second cookie, and top with another cookie, again pressing slightly to spread the filling to the edges. Repeat with the rest of the cookies.
6. To Make the Chocolate Coating: Using a double boiler or in the microwave on 50% power and in 30 second increments, melt the chocolate and vegetable oil together until completely smooth. Place the assembled cookies on a wire rack set over a sheet of wax paper. Spoon the melted chocolate over each cookie so that it runs down the sides and covers most of the cookie. Allow to set at room temperature for about 2 hours (or refrigerate to speed up the process). Store in an airtight container at room temperature.",14,"▢ 8 ounces (226.8 g) unsalted butter, at room temperature, (1 cup)",▢ ¾ cup (165 g) light brown sugar,▢ 1 egg,▢ 1 teaspoon vanilla extract,▢ 2¼ cups (281.25 g) all-purpose flour,Brown Eyed Baker,https://www.browneyedbaker.com/moon-pies-recipe/,▢ ½ teaspoon (0.5 teaspoon) salt,▢ 2 egg whites,▢ Pinch cream of tartar,▢ Pinch salt,▢ ⅔ cup (227.33 ml) light corn syrup,▢ 2 teaspoons vanilla extract,"▢ 1 cup (120 g) powdered sugar, sifted",▢ 12 ounces (340.2 g) semisweet chocolate,▢ ¼ cup (54.5 ml) vegetable oil,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Malted Whopper Cookies,Michelle Lettrich,NA,NA,Snack,American,15 minutes,12 minutes,NA,30 minutes mins,18 large cookies,4,"1. Preheat the oven to 350 degrees F and line two baking sheets with parchment paper or silicone baking mats.
2. Whisk together the flour, malted milk powder, cocoa powder, baking powder and salt in a medium bowl; set aside.
3. Cream the butter and sugar together on medium speed for about 3 minutes, until very smooth. Add the eggs one at a time, beating for 1 minute after each addition. Beat in the vanilla. Reduce the mixer speed to low and add half the dry ingredients, mixing just until it disappears into the batter. Mix in the milk, then the remaining dry ingredients, mixing only until they are incorporated. With the mixer still on low, or by hand with a rubber spatula, mix in the malted milk balls and chocolate chips.
4. Drop about 2 heaping tablespoonfuls worth of dough (I used a large cookie scoop) onto the sheets, leaving about 2 inches of space between each. Bake for 10 to 12 minutes, until puffed and set but still slightly soft to the touch. Let the cookies rest for 2 minutes before transferring them to a cooling rack to cool to room temperature. Store in an airtight container at room temperature.",12,▢ 1¾ cups (218.75 g) all-purpose flour,▢ 1 cup (125 g) malted milk powder,▢ ¼ cup (21.5 g) unsweetened cocoa powder,▢ 1½ teaspoons (1.5 teaspoons) baking powder,▢ ¼ teaspoon (0.25 teaspoon) salt,Brown Eyed Baker,https://www.browneyedbaker.com/chocolate-malted-whopper-cookies/,"▢ 1 stick (113 g) plus 3 tablespoons unsalted butter at room temp, (11 tbsp)",▢ ⅔ cup (133.33 g) granulated sugar,▢ 2 eggs,▢ 1 teaspoon vanilla extract,▢ ¼ cup (61 ml) whole milk,"▢ 2 cups (250 g) chocolate-covered malted milk balls (Whoppers), coarsely chopped, (6 ounces)","▢ 1 cup (180 g) chocolate chips, or 6 ounces chopped chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anisette Biscotti,Michelle Lettrich,4.60,5 ,Snack,Italian,20 minutes,45 minutes,NA,20 minutes mins,30 biscotti,5,"1. Preheat the oven to 325 degrees F. Line a baking sheet with parchment paper or a silicone baking sheet.
2. In a mixing bowl on medium speed, cream together the vegetable oil and sugar until light and fluffy. Add the eggs, one at a time, beating well after each addition. Add the anisette liquor and mix to combine. Reduce the speed to low and gradually add the flour mixture, mixing until just combined. Add the pecans and mix briefly to combine.
3. Turn out the dough onto a lightly floured surface and knead briefly to make sure the nuts are incorporated.
4. Divide the dough into two pieces and form each into a log approximately 12 inches by 3 inches. Place both on the baking sheet and bake for about 25 minutes, or until lightly browned on top.
5. Remove from the oven and let rest for about 20 minutes. Reduce the oven temperature to 300 degrees F. Slice the logs on the diagonal, about ½ to ¾-inch in width. Place the biscotti back on the baking sheet and bake for an additional 20 minutes, turned them once halfway through baking. Remove from the oven and let cool to room temperature before storing.",8,▢ 2 cups (250 g) + 2 tablespoons all-purpose flour,▢ 1½ teaspoons (1.5 teaspoons) baking powder,▢ ¼ teaspoon (0.25 teaspoon) salt,▢ ½ cup (109 ml) vegetable oil,▢ ¼ cup (50 g) granulated sugar,Brown Eyed Baker,https://www.browneyedbaker.com/anisette-biscotti/,"▢ 2 eggs, warm or at room temperature",▢ 2 tablespoons anisette liquor,▢ ⅔ cup (66 g) whole pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conversation Heart Sugar Cookies,NA,5,258 ,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,Brown Eyed Baker,https://www.browneyedbaker.com/conversation-heart-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry White Chocolate Chip Cookies,Michelle Lettrich,4.50,4 ,Snack,American,15 minutes,10 minutes,NA,25 minutes mins,24 cookies,4,"1. Preheat the oven to 375 degrees F. Line two baking sheets with parchment paper or a silicone baking mat; set aside.
2. In a medium bowl whisk together the flour, baking powder, baking soda and salt; set aside.
3. In the bowl of a stand mixer, cream the butter and both sugars together until light and fluffy, about 3 minutes. Add the egg and the vanilla extract and mix until well combined. Reduce the mixer speed to low and gradually add the flour mixture, mixing until just incorporated. Using a rubber spatula, stir in the oats, the white chocolate chips and the dried cranberries.
4. Roll dough into balls - about 2 tablespoons of dough per cookie - and place on the prepared baking sheets. Flatten the tops slightly with your fingers. Bake until cookies turn slightly golden about 10 minutes. Remove from the oven and let cool on the baking sheet for 2 minutes. Transfer to a wire rack until completely cool. Store in an airtight container at room temperature.",12,▢ 1¼ cups (156.25 g) all-purpose flour,▢ ½ teaspoon (0.5 teaspoon) baking powder,▢ ½ teaspoon (0.5 teaspoon) baking soda,▢ ¼ teaspoon (0.25 teaspoon) salt,"▢ ½ cup (113.5 g) unsalted butter, at room temperature",Brown Eyed Baker,https://www.browneyedbaker.com/cranberry-white-chocolate-chip-cookies/,▢ ½ cup (110 g) light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 egg,▢ 1 teaspoon vanilla extract,▢ 1 cup (81 g) old-fashioned rolled oats,▢ 1 cup (180 g) white chocolate chips,▢ 1 cup (121.21 g) dried cranberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Tassies,Michelle Lettrich,4.54,47 ,Dessert,American,45 minutes,25 minutes,NA,1 hour hr 10 minutes mins,48 cookies,5,"Preheat the oven to 350 degrees F. Prepare mini muffin pans by greasing cups if it is not a nonstick pan; set aside.
To make the dough, beat together the butter, cream cheese and flour on low speed of a stand or hand mixer until all of the flour is incorporated. Divide the dough into 48 pieces and roll into balls. Place on a plate or in a zip-top bag and refrigerate for about an hour.
Either press the dough balls into the muffin cups and up the sides, or flatten the balls slightly with your palm and use a rolling pin to roll into a disk about 2-3 inches in diameter (a little larger than the size of the muffin cup opening) and place into the muffin cups.
To make the filling, mix together the brown sugar, chopped pecans, eggs, melted butter and vanilla extra with a spoon and then evenly divide it between the dough-lined mini muffin cups. Top each with some additional chopped pecans.
Bake for 20 to 25 minutes or until the tops are set. Cool for a few minutes in the muffin cups and then remove to a cooling rack to cool completely. The tassies can be stored in an airtight container at room temperature.",8,▢ 1 cup (227 g) unsalted butter,▢ 6 ounces (170.1 g) cream cheese,▢ 2 cups (250 g) all-purpose flour,▢ 1½ cups (330 g) light brown sugar,"▢ 1 cup (99 g) chopped pecans, plus more for sprinkling on top",Brown Eyed Baker,https://www.browneyedbaker.com/pecan-tassies-recipe/,▢ 2 eggs,"▢ 2 tablespoons unsalted butter, melted",▢ ½ teaspoon (0.5 teaspoon) vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fig and Walnut Biscotti,Michelle Lettrich,4.66,32 ,Snack,Italian,20 minutes,25 minutes,NA,45 minutes mins,30 biscotti,6,"1. Preheat oven to 325 degrees F. Line a baking sheet with parchment paper and set aside.
2. In a large bowl, whisk together the flour, brown sugar, baking powder, salt and anise seed. In a medium bowl, whisk the eggs until they're thick and pale yellow, about 5 minutes. Whisk in the orange zest.
3. Fold the egg mixture into the flour mixture until combined. Fold in the figs and walnuts.
4. Turn out the dough onto a well-floured surface and divide in two. With floured hands, shape into two logs, about 2½ inches wide and 8 to 10 inches long. Place on prepared baking sheet.
5. Bake until the dough is firm but gives slightly when pressed, about 25 minutes. Transfer the baking sheet to a wire rack and let cool 10 minutes. Reduce the oven temperature to 300 degrees F.
6. Cut each log on the diagonal into ½-inch-thick slices; places slices, cut side up, on sheet. Bake for 7 minutes, flip biscotti, and bake 7 minutes more. transfer to a wire rack to cool completely. Store in an airtight container.",9,▢ 1¾ cups (218.75 g) all-purpose flour,▢ ¾ cup (165 g) dark brown sugar,▢ 2 teaspoons baking powder,▢ ¾ teaspoon (0.75 teaspoon) coarse salt,▢ ¾ teaspoon (0.75 teaspoon) anise seed,Brown Eyed Baker,https://www.browneyedbaker.com/fig-and-walnut-biscotti/,▢ 3 eggs,▢ 1 tablespoon orange zest,"▢ 1 cup (149 g) coarsely chopped dried figs, 6 ounces","▢ 1 cup (117 g) walnuts, roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Double Chocolate Peanut Butter Cookies,Michelle Lettrich,4,2 ,Snack,American,15 minutes,12 minutes,NA,30 minutes mins,16 to 18 large cookies,4,"1. Preheat oven to 350 degrees F. Line two baking sheets with parchment paper or a silicone baking mat.
2. In a medium bowl whisk together the flour, cocoa powder, baking powder, baking soda and salt; set aside.
3. Beat together the butter, peanut butter and both sugars on medium speed until light and fluffy, about 3 minutes, scraping the bowl as needed. Add the eggs one at a time, beating well after each addition. Add the vanilla extract. Scrape the bowl. Add the dry ingredients and mix on low until just combined. Using a rubber spatula, stir in the chocolate chips and peanuts.
4. Drop by two heaping tablespoonfuls of dough, spacing the cookies about 2 inches apart. Sprinkle a small pinch of coarse salt on top of each cookie. Bake for about 12 minutes, or until the outside of the cookies are set but the middles are still a little soft. Cool cookies on the baking sheets. Store in an airtight container.",14,▢ 1¼ cups (156.25 g) all-purpose flour,▢ ½ cup (43 g) unsweetened cocoa powder,▢ 1 teaspoon baking powder,▢ ½ teaspoon (0.5 teaspoon) baking soda,▢ ½ teaspoon (0.5 teaspoon) salt,Brown Eyed Baker,https://www.browneyedbaker.com/salted-double-chocolate-peanut-butter-cookies/,"▢ ½ cup (113.5 g) unsalted butter, at room temperature, (4 ounces )",▢ ¾ cup (193.5 g) creamy peanut butter,▢ ⅔ cup (146.67 g) light brown sugar,▢ ⅓ cup (66.67 g) granulated sugar,▢ 2 eggs,▢ 2 teaspoons vanilla extract,▢ 1 cup (180 g) semisweet chocolate chips,▢ ½ cup (73 g) peanuts,▢ Coarse salt for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Whoopie Pies with Maple-Cream Cheese Filling,Michelle Lettrich,4.58,88 ,Snack,American,15 minutes,12 minutes,NA,30 minutes mins,48 assembled whoopie pies (will vary depending on how large you make them),8,"1. Preheat oven to 350 degrees F. Line baking sheets with parchment paper or a silicone baking mat.
2. In a large bowl, whisk together the flour, cinnamon, baking powder, baking soda, salt, ginger and nutmeg. Set aside.
3. In a separate bowl, whisk the granulated sugar, the dark brown sugar, and the oil together. Add the pumpkin puree and whisk to combine thoroughly. Add the eggs and vanilla and whisk until combined.
4. Gradually add the flour mixture to the pumpkin mixture and whisk until completely combined.
5. Use a small cookie scoop or a large spoon to drop a rounded, heaping tablespoon of the dough onto the prepared baking sheets, about 1 inch apart.
6. Bake for 10 to 12 minutes, making sure that the cookies are just starting to crack on top and a toothpick inserted into the center of a cookie comes out clean. The cookies should be firm when touched. Remove from the oven and let the cookies cool completely on a cooling rack.
7. To make the filling, beat the butter on medium speed until smooth with no visible lumps, about 3 minutes. Add the cream cheese and beat until smooth and combined, about 2 minutes. Add the powdered sugar a little at a time, then add the maple syrup and vanilla and beat until smooth.
8. To assemble the whoopie pies: Turn half of the cooled cookies upside down. Pipe or spoon the filling (about a tablespoon) onto that half. Place another cookie, flat side down, on top of the filling. Press down slightly so that the filling spread to the edges of the cookie. Repeat until all the cookies are used. Put the whoopie pies in the refrigerator for about 30 minutes to firm before serving.",18,▢ 3 cups (375 g) all-purpose flour,▢ 2 tablespoons cinnamon,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,Brown Eyed Baker,https://www.browneyedbaker.com/pumpkin-whoopie-pies-maple-cream-cheese-frostin/,▢ 1 teaspoon ground ginger,▢ ½ teaspoon (0.5 teaspoon) ground nutmeg,▢ 1 cup (200 g) granulated sugar,▢ 1 cup (220 g) dark brown sugar,▢ 1 cup (218 ml) canola or vegetable oil,"▢ 3 cups (735 g) chilled pumpkin puree, canned pumpkin",▢ 2 eggs,▢ 1 teaspoon vanilla extract,▢ 3 cups (360 g) powdered sugar,"▢ 8 ounces (226.8 g) cream cheese, at room temperature","▢ 4 ounces (113.4 g) unsalted butter, at room temperature, (½ cup )",▢ 3 tablespoons maple syrup,▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA
Salted Chocolate Shortbread Cookies,Michelle Lettrich,4.40,28 ,Snack,American,10 minutes,12 minutes,NA,25 minutes mins,36 cookies,7,"1. Whisk together the flour, cocoa and baking soda in a small bowl; set aside.
2. Beat the butter on medium speed until soft and creamy. Add both sugars, the salt and vanilla extract and beat for 2 minutes more.
3. With the mixer off, add the dry ingredients. Turn the mixer on and off low speed (pulse) for a second or two about 5 times so that the flour mixture gets incorporated. Then mix on low speed for about 30 seconds, just until the flour disappears into the dough (the dough will look crumbly).
4. Turn the dough out onto a work surface and divide it in two. Shape each half into a 9-inch log. Wrap the logs in plastic wrap and refrigerate for at least 3 hours. (The dough can be refrigerated up to 3 days or frozen for up to 2 months. If you've frozen the dough, you don't need to defrost before baking - just slice the logs into cookies and baking the cookies 1 minute longer.)
5. Center a rack in the oven and preheat the oven to 325 degrees F. Line two baking sheets with parchment or silicone mats.
6. Using a sharp thin knife, slice the logs into rounds that are ½-inch thick. Arrange the rounds on the baking sheets, leaving about 1 inch between them. Sprinkle a small amount of extra salt on top of each round.
7. Bake the cookies one sheet at a time for 12 minutes - they won't look done, and won't be firm, but that's how they should be. Transfer the baking sheet to a cooling rack and let the cookies rest until they are only just warm, at which point you can serve them or let them reach room temperature. Store the cookies in an airtight container at room temperature.",8,▢ 1¼ cups (156.25 g) all-purpose flour,▢ ⅓ cup (28.67 g) unsweetened cocoa powder,▢ ½ teaspoon (0.5 teaspoon) baking soda,"▢ 1 stick (113 g) plus 3 tablespoons unsalted butter, at room temperature, (11 tablespoons)",▢ ⅔ cup (146.67 g) light brown sugar,Brown Eyed Baker,https://www.browneyedbaker.com/salted-chocolate-shortbread-cookies/,▢ ¼ cup (50 g) granulated sugar,"▢ ½ teaspoon (0.5 teaspoon) fleur de sel or ¼ teaspoon fine sea salt, plus extra for sprinkling",▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Ice Cream Cookie Sandwiches,Michelle Lettrich,5,1 ,Snack,American,20 minutes,NA,NA,NA,12 ice cream sandwiches,5,"1. Make the ice cream and bake the cookies. Let the ice cream sit at room temperature for 10-15 minutes to soften.
2. Turn one cookie over and place one (for a thin ice cream layer) or two (for a thicker ice cream layer) scoops of the ice cream onto the bottom of the cookie.
3. Place another cookie (right-side-up) on top of the ice cream and squeeze them together a bit to push the ice cream to the edges. Roll the edges in sprinkles, chocolate chips or nuts. Eat immediately or wrap in plastic wrap and place in freezer bag to eat later. (I personally think ice cream sandwiches are best eaten when they are freshly assembled.)
*Note 1: I made slightly smaller cookies than I normally do with the Thick & Chewy Chocolate Chip Cookies recipe. I made them 1.5 ounces each and got 24 cookies out of the batch.
*Note 2: If you are in the chocolate cake/wafer camp for ice cream sandwiches, you might want to try using the cookie part of the Homemade Oreo Cookies (they will soften after stored in an airtight container).",3,▢ 24 of your favorite chocolate chip cookies,▢ ½ - 1 quart (470 to 940 ml) vanilla ice cream,"▢ Add-ons of your choice, sprinkles, chopped nuts, mini chocolate chips, etc.",NA,NA,Brown Eyed Baker,https://www.browneyedbaker.com/homemade-ice-cream-cookie-sandwiches/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anise Cookies,Michelle Lettrich,4,10 ,Snack,American,15 minutes,10 minutes,NA,25 minutes mins,36 cookies (depending on size),8,"1. Preheat the oven to 375 degrees F. Line two baking sheets with parchment paper or a silicone baking mat.
2. In a medium bowl, whisk together the flour, baking powder and salt; set aside.
3. Cream the butter, shortening and granulated sugar on medium speed until light and fluffy, scraping the bowl as needed, about 3 minutes. Add the eggs one at a time, beating well after each addition. Mix in the anise extract.
4. On low speed or with a wooden spoon, mix in the flour and half-and-half alternately, beginning and ending with the flour.
5. Using 1-2 tablespoons of dough, roll into balls (or use a medium-sized cookie scoop) and place on the prepared baking sheets about 2 inches apart. Flatten slightly with your fingers. Bake for about 10 minutes, or until just lightly browned. Remove to cooling racks to cool completely before glazing.
6. For the glaze, whisk together the melted butter, powdered sugar, milk and anise extract until smooth. Dip the top of each cookie into the glaze, letting the excess drip off, and set right-side-up on the cooling rack. The glaze will harden once it dries. Store in an air-tight container at room temperature.
* Note 1: The amount of baking powder is not an error - this is what creates the cake-like texture of the cookies.
* Note 2: For an even more potent anise flavor, substitute 1 teaspoon of anise oil for the 1 tablespoon of anise extract in the cookies.",13,▢ 3½ cups (437.5 g) all-purpose flour,▢ 7 teaspoons baking powder,▢ ¼ teaspoon (0.25 teaspoon) salt,"▢ ¼ cup (56.75 g) unsalted butter, at room temperature",▢ ¼ cup (51.25 g) vegetable shortening,Brown Eyed Baker,https://www.browneyedbaker.com/anise-cookies/,▢ ¾ cup (150 g) granulated sugar,▢ 2 eggs,▢ 1 tablespoon anise extract,▢ ⅔ cup (157.73 ml) half-and-half,"▢ 1 tablespoon unsalted butter, melted",▢ 2½ cups (300 g) powdered sugar,▢ ¼ cup (61 ml) milk,▢ 1½ teaspoons (1.5 teaspoons) anise extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Thumbprint Cookies,Michelle Lettrich,4.07,16 ,Snack,American,15 minutes,10 minutes,NA,30 minutes mins,24 dozen cookies,4,"1. Preheat oven to 350 degrees F. Line a baking sheet with parchment paper or a silicone baking mat and set aside. If you are not using parchment or a silicone baking mat, you do not need to grease the baking sheet.
2. In the bowl of an electric mixer fitted with a paddle attachment, beat together 1 stick of the butter, sugar, salt, and vanilla on medium-high speed until smooth, about 2 minutes. Beat in the flour, beginning on low speed and increasing to medium-high.
3. Using a small cookie scoop or heaping teaspoons, roll the dough into balls, and place 1-inch apart on a baking sheet. Bake for 10 minutes, remove from oven, and make an indentation into the middle of each cookie. Return to oven, and bake until light brown on the edges, 7 to 9 minutes more. Remove to a wire rack to cool.
4. Combine chocolate, 2 tablespoons butter, and corn syrup in a small heat-proof bowl. Set over a pot of simmering water; stir occasionally until melted and smooth. (Alternately, you can microwave the mixture on 50% power in 30-second increments, stirring after each, until completely melted and smooth.) Allow to cool slightly. When cookies are cool, fill the thumbprints with the chocolate mixture.",7,"▢ 10 tablespoons unsalted butter, divided, (1¼ sticks )",▢ ½ cup (60 g) confectioners' sugar,▢ ¼ teaspoon (0.25 teaspoon) salt,▢ 1 teaspoon vanilla extract,▢ 1¼ cups (156.25 g) all-purpose flour,Brown Eyed Baker,https://www.browneyedbaker.com/chocolate-thumbprints/,"▢ 2 ounces (56.7 g) semisweet chocolate, finely chopped",▢ ¾ teaspoon (0.75 teaspoon) corn syrup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Classic Baby Shower Cookies,NA,5,258 ,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,Brown Eyed Baker,https://www.browneyedbaker.com/classic-baby-shower-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pecan Sandies,Michelle Lettrich,4.57,16 ,Snack,American,10 minutes,17 minutes,NA,30 minutes mins,12 cookies,4,"1. Preheat oven to 350 degrees F. Line baking sheets with parchment paper and set aside.
2. In the bowl of an electric mixer, beat the butter and sugar on medium speed until light and fluffy. Beat in the vanilla extract and salt until combined. Reduce the mixer speed to low and gradually add the flour, beating just until combined. Fold in the pecans.
3. Roll the dough into 1½-inch balls (I used a medium-size cookie scoop) and place on baking sheet 2 inches apart. With the dampened bottom of a glass, lightly flatten each ball.
4. Bake until cookies are golden brown, 15 to 17 minutes, rotating the pan halfway through. Transfer to a wire rack and cool. Store in an airtight container for up to 5 days.",6,"▢ ½ cup (113.5 g) unsalted butter, at room temperature, (4 ounces )",▢ ½ cup (110 g) light brown sugar,▢ 1½ teaspoons (1.5 teaspoons) vanilla extract,▢ ¼ teaspoon (0.25 teaspoon) salt,▢ 1 cup (125 g) all-purpose flour,Brown Eyed Baker,https://www.browneyedbaker.com/pecan-sandies/,"▢ 1 cup (99 g) pecans, coarsely chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple-Chocolate Cookies,Michelle Lettrich,4.63,8 ,Snack,American,20 minutes,10 minutes,NA,30 minutes mins,42 cookies,5,"1. Sift together the flour, cocoa, baking powder, and salt in a medium bowl; set aside.
2. Melt the chocolate in a medium heatproof bowl set over a pan of almost-simmering water, stirring once or twice, until smooth; remove from the heat. (Alternatively, you could melt the chocolate in the microwave.) In a small bowl, beat the eggs and vanilla lightly with a fork, sprinkle the coffee powder over to dissolve, and set aside.
3. Either by hand or with an electric mixer, beat the butter at medium speed until smooth and creamy, about 5 seconds. Beat in the sugars until combined, about 45 seconds; the mixture will look granular. Reduce the speed to low and gradually beat in the egg mixture until incorporated, about 45 seconds. Add the chocolate in a steady stream and beat until combined, about 40 seconds. Scrape the bottom and sides of the bowl wit a rubber spatula. With the mixer at low speed, add the dry ingredients and mix until just combined. Do not overbeat. Fold in the chocolate chips. Cover with plastic wrap and let stand at room temperature until the consistency is scoopable and fudge-like, about 30 minutes.
4. Meanwhile, adjust the oven racks to the upper- and lower-middle positions and heat the oven to 350 degrees. Line 2 baking sheets with parchment paper. Scoop the dough onto the prepared baking sheets with a 1¾-inch ice cream scoop, spacing the mounds of dough about 1½ inches apart.
5. Bake until the edges of the cookies have just begun to set but the centers are still very soft, about 10 minutes, rotating the baking sheets front to back and top to bottom halfway through the baking time. Cool the cookies on the sheets about 10 minutes, slide the parchment with cookies onto wire racks, and cool to room temperature. Cover one cooled baking sheet with a new piece of parchment paper. Scoop the remaining dough onto the parchment-lined sheet, bake, and cool as directed. Remove cooled cookies from the parchment with a wide metal spatula.",12,"▢ 2 cups (250 g) all-purpose flour, (10 ounces )","▢ ½ cup (43 g) Dutch-processed cocoa powder, (1½ ounces )",▢ 2 teaspoons baking powder,▢ ½ teaspoon (0.5 teaspoon) salt,"▢ 16 ounces (453.59 g) semisweet chocolate, chopped",Brown Eyed Baker,https://www.browneyedbaker.com/thick-and-chewy-triple-chocolate-cookies/,▢ 4 large eggs,▢ 2 teaspoons vanilla extract,▢ 2 teaspoons instant coffee or espresso powder,"▢ 10 tablespoons unsalted butter, softened but still cool, (1¼ sticks )","▢ 1½ cups (330 g) packed light brown sugar, (10½ ounces)","▢ ½ cup (100 g) granulated sugar, (3½ ounces )","▢ 12 ounces (340.2 g) semisweet chocolate chips, (about 2 cups )",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Egg Sugar Cookies,NA,5,258 ,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,Brown Eyed Baker,https://www.browneyedbaker.com/easter-egg-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Patrick’s Day Shamrock Cookies,NA,5,258 ,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,Brown Eyed Baker,https://www.browneyedbaker.com/st-patricks-day-shamrock-cookies-2/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
