title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,source,link,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Fruitcake Magic Bars,Angela Latimer,5,6,American,Cookies & Bars,NA,15 minutes,25 minutes,NA,40 minutes,24 servings,4,"Preheat your oven to 350°F (175°C) and lightly grease a 9x13 baking pan.
In a medium mixing bowl, mix the graham cracker crumbs and the melted butter together. Then press the mixture evenly into the bottom of your prepared baking pan.
Layer the white chocolate chips, golden raisins, chopped almonds, candied red and green cherries, and shredded coconut on top of the graham cracker crust. Pour the sweetened condensed milk over the top evenly. *Use a spatula to spread the sweetened condensed milk if needed.
Bake at 350°F (175°C) for 20-25 minutes or until the edges become golden. Completely cool before slicing into bars and serving.",8,▢ 2 cups graham cracker crumbs,▢ ½ cup butter (melted),▢ 1 cup white chocolate chips,▢ 1 cup golden raisins,▢ 1 cup almonds (chopped),"▢ 1 cup candied red and green cherries (glace cherries, quartered)",▢ 1 cup shredded coconut,▢ 1 can sweetened condensed milk (1 14-ounce can),NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/fruitcake-magic-bars/,NA,NA,NA,NA,NA,NA,NA
Christmas Magic Bars,Angela Latimer,5,2,American,Christmas Cookies & Desserts,NA,5 minutes,25 minutes,NA,30 minutes,24 servings,7,"Preheat your oven to 350°F (175°C) and lightly grease or line a 9x13 baking pan with parchment paper. 
Place the graham crackers in a Ziploc bag and seal it closed. Use your hands or a rolling pin to crush the crackers.
Add the crushed graham crackers to a mixing bowl and pour in the melted butter. Use a fork to mix them together completely.
Transfer the buttered graham cracker crumb mixture into your prepared baking pan and use your fingers to press the mixture into the bottom of the pan.
Evenly sprinkle the butterscotch chips over the graham cracker layer, then add the shredded coconut followed by chopped pecans and ¾ of the holiday M&M's. Lastly, pour the sweetened condensed milk over everything as evenly as possible, using a spatula to spread the milk if needed.
Bake at 350°F (175°C) until they turn golden brown, about 25-30 minutes.
Remove from oven and gently press the remaining ¼ cup of red and green M&M's candies into the top of the bars. Let them cool completely before slicing or serving.",7,▢ 2 cups graham cracker crumbs (about 16 graham crackers crushed),▢ ½ cup unsalted butter (melted),▢ 1 cup butterscotch chips,▢ 1 cup shredded sweetened coconut,"▢ 1 cup pecans (or walnuts, or almonds, chopped or crushed)",▢ 14 oz sweetened condensed milk (1 14 ounce can),▢ 1 cup Christmas M&M candies (divided into ¾ cup and ¼ cup portions),NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/christmas-magic-bars/,NA,NA,NA,NA,NA,NA,NA
Fruitcake Cookies,Angela Latimer,5,9,American,Cookies & Bars,NA,10 minutes,8 minutes,NA,18 minutes,60 cookies,5,"Preheat oven to 375°F (190°C) and line baking sheet(s) with parchment paper or silicone baking mats for easy cleanup.
Add the butter, sugar, and light brown sugar to a large mixing bowl, or the bowl of your stand mixer. Cream the ingredients together until smooth. Add the vanilla extract, baking soda, and salt and mix again.
Mix in the eggs one at a time until the dough is smooth. Then, gradually add the flour, mixing until it has all been incorporated into the dough. Finally, fold in the mixed peel, candied cherries, and raisins until well combined.
Use a cookie scoop or a spoon to portion out the dough in heaping tablespoons onto the prepared baking sheet(s). Leave 2 inches between each cookie to account for spreading.
Bake at 375°F (190°C) for 8-11 minutes, or just until the edges start turning golden-brown. Remove the cookies from the oven and let them set on the baking sheet for 5 minutes before transferring them to a wire cooling rack to cool completely.",11,"▢ 1 cup butter (salted, 2 sticks - softened at room temperature)",▢ ¾ cup sugar,▢ ¾ cup light brown sugar (packed),▢ 2 teaspoon vanilla extract,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ 2 large eggs (room temperature),▢ 2 ½ cups all-purpose flour,▢ 2 cups mixed peel (see my recipe or use store bought),"▢ ½ cup glace cherries (red and green candied cherries, quartered or chopped)",▢ ¼ cup raisins,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/fruitcake-cookies/,NA,NA,NA,NA,NA,NA,NA
Christmas M&M Oatmeal Cookies,Angela Latimer,5,3,American,Cookies & Bars,NA,10 minutes,10 minutes,30 minutes,50 minutes,36 cookies,9,"Cream together the softened butter, light brown sugar, and granulated sugar n a large bowl (or the bowl of your stand mixer) until smooth.
Mix in the eggs, molasses, and vanilla extract. If needed, add 1 tablespoon of the all-purpose flour to the wet mixture to keep it from looking curdled.
Next, stir in the baking soda and salt. Once combined, mix in the all-purpose flour until it has been thoroughly incorporated into the wet ingredients.
Fold in the oats and M&Ms until everything is evenly distributed. The dough should be sticky once everything is combined. 
Chill the dough in the fridge for at least 30 minutes, though an hour is ideal.
Preheat your oven to 350°F (175° C) and line a baking sheet(s) with parchment paper or a silicone baking mat.
Portion the dough out into roughly ½ tablespoon amounts and roll them into 1-inch balls (add more dough as needed to get the right size of dough ball). Place them onto your prepared baking sheets with 2 inches of space between each cookie.
Place the cookies on the middle of the center rack in your oven and bake at  350°F (175° C). Smaller cookies take about 10 minutes and larger cookies take closer to 12-15 minutes. Remove them from the oven once the edges are just slightly golden but the center still looks under-baked.
Let the cookies cool on the baking sheet for 5 minutes before you transfer them to a wire cooling rack to cool off completely.",11,"▢ 1 cup butter (softened, at room temperature)",▢ 1 cup light brown sugar (packed - or dark brown sugar),▢ ¼ cup sugar,▢ 2 large eggs (at room temperature),▢ 2 tablespoon molasses,▢ 1 tablespoon vanilla extract,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 1⅔ cups all-purpose flour,▢ 3 cups old-fashioned rolled oats,▢ 1½ cups M&Ms candies (red & green Christmas M&Ms),NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/christmas-mm-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA
Cranberry Orange Shortbread,Angela Latimer,5,6,American,Cookies & Bars,NA,35 minutes,10 minutes,30 minutes,15 minutes,24 cookies,8,"Using your stand mixer (or a hand mixer), cream together your room-temperature butter, confectioners' sugar, and vanilla extract until nice and smooth.
Gradually add in the all-purpose flour and mix until just combined and the dough is crumbly.
Fold in the orange zest and chopped craisins (dried cranberries) until everything is well dispersed in the dough.
Transfer the dough to a sheet of plastic wrap (or parchment paper) and roll it into a log shape.
Using the plastic wrap, tightly wrap up the dough log and then place it in your fridge. Allow the dough to chill for at least 30 minutes (but ideally 4 hours).
When your chilled dough is nice and firm, go ahead and preheat the oven to 350°F (175°C). Remove the dough from the fridge, unwrap it, and use a sharp knife to cut the dough log into slices that are roughly ¼-½ inch thick.
Place the slices onto a baking sheet that is lined with parchment paper, leaving some space in between each cookie. Bake in the preheated oven at 350°F (175°C) for about 10-12 minutes, or until the center is slightly puffy.
Once baked, remove the cookies from the oven and allow them to cool completely on the pan. Shortbread cookies are exceptionally tender and soft and can easily break apart if you try to move them while they are still warm.",6,"▢ 1 cup butter (I use salted butter in my shortbread recipes - softened, at room temperature)",▢ ¾ cup confectioners sugar,▢ 1 teaspoon vanilla extract,▢ 2 cups all-purpose flour,▢ 1 tablespoon orange zest,▢ 2 cups dried cranberries (chopped),NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/cranberry-orange-shortbread/,NA,NA,NA,NA,NA,NA,NA
Gingerdoodles,Angela Latimer,5,2,American,Cookies & Bars,NA,15 minutes,10 minutes,NA,25 minutes,28 servings,7,"Preheat oven to 350°F (175°C). Line your baking sheet(s) with a silicone mat or parchment paper and set aside.
In a large mixing bowl or the bowl of a stand mixer, cream together butter and the first 1 cup portion of granulated sugar until light and fluffy. Mix in the molasses, egg, and vanilla extract until thoroughly combined.
Add in the cornstarch, baking soda, the first 1 teaspoon portion of cinnamon, salt, ginger, cloves, and nutmeg until well combined. Next, gently mix in the flour until it is evenly distributed and the dough has formed.
In a small mixing bowl or shallow dish, combine the remaining ¼ cup of sugar and the remaining 1 teaspoon of ground cinnamon.
Form the dough into one heaping tablespoon size ball and roll in the cinnamon sugar mixture. Place dough balls on the baking sheets, leaving about 2 inches in between each ball.
Bake at 350°F (175°C) for 8-10 minutes, until edges become light golden brown. Remove the cookies from the oven and sprinkle with any remaining cinnamon sugar mixture. 
Let the cookies cool for 2-3 minutes on the baking sheet before you transfer them to a wire cooling rack to cool completely.",13,"▢ ¾ cup butter (softened, at room temperature)","▢ 1 ¼ cups granulated sugar (divided, 1 cup and ¼ cup portions)",▢ 1 tablespoon molasses,▢ 1 large egg (at room temperature),▢ 2 teaspoon vanilla extract,▢ 1 teaspoon cornstarch,▢ 2 teaspoon baking soda,"▢ 2 teaspoon ground cinnamon (divided, 2 portions of 1 teaspoon each)",▢ 1 teaspoon ground ginger,▢ ½ teaspoon salt,▢ ¼ teaspoon cloves,▢ ⅛ teaspoon ground nutmeg,▢ 2 ⅛ cups all-purpose flour,NA,NA,Bake It With Love,https://bakeitwithlove.com/gingerdoodles/,NA,NA,NA,NA,NA,NA,NA
Cowboy Cookies,Angela Latimer,5,11,American,Cookies & Bars,NA,10 minutes,15 minutes,NA,25 minutes,36 servings,9,"To get started, preheat your oven to 400°F (205°C) and line a baking sheet(s) with parchment paper or a silicone baking mat.
In a dry medium-sized skillet, add your chopped pecans and toast them over medium heat until fragrant. Immediately remove them from the heat and transfer the pecans into a clean bowl to stop the toasting. Set aside.
In a large mixing bowl (or using your stand mixer), cream together the butter, brown sugar, and white sugar on low speed. Once combined, increase the speed to medium and beat the mixture until nice and smooth.
Add in the eggs, one at a time, and beat between each addition. Then, mix in the vanilla, cinnamon, baking powder, baking soda, and salt. Mix until combined. 
Next, gradually add in the all-purpose flour and beat until just combined.
Use a rubber spatula to gently fold in the oats, chocolate chips, pecans, and shredded coconut.
Roll your dough into equal-sized balls (about ¼-cup of dough each) and space them out on the prepared baking sheets. 
Bake in the oven at 400°F (205°C) for 15-17 minutes, turning the cookie sheets halfway through baking. If you are making smaller cookies, adjust the baking time accordingly. 
Once the tops have begun to brown, remove the cookies from the oven and allow them to cool on the pans for 15 minutes before transferring them to a wire rack to cool completely. ",14,"▢ 1½ cups butter (softened, at room temperature)",▢ 1½ cup light brown sugar (packed),▢ 1½ cup sugar,▢ 3 large eggs (at room temperature),▢ 1 tablespoon vanilla extract,▢ 1 tablespoon baking powder,▢ 1 tablespoon baking soda,▢ 1 tablespoon ground cinnamon,▢ 1 teaspoon salt,▢ 3 cups all-purpose flour (spoon and leveled),▢ 3 cups old fashioned oats,▢ 3 cups semi-sweet chocolate chips,"▢ 2 cups pecans (chopped, toasted)",▢ 2 cups shredded unsweetened coconut,NA,Bake It With Love,https://bakeitwithlove.com/cowboy-cookies/,NA,NA,NA,NA,NA,NA,NA
Whipped Shortbread Cookies,Angela Latimer,5,6,American,Cookies & Bars,NA,10 minutes,20 minutes,NA,30 minutes,36 servings,6,"In a large mixing bowl or the bowl of your stand mixer, cream butter and sugar for 3-4 minutes. Add vanilla extract or optional flavors at this time if desired, and mix for another minute.
Add in sifted all-purpose flour, confectioners sugar, and cornstarch. Mix on medium-high speed, (level 8 on Kitchenaid stand mixer) until thoroughly blended.
Chill dough in the refrigerator for 2 hours or until the dough is firm. You may also speed up this process and freeze the dough until it""s firm.
Roll the dough into 36 cookie dough balls. Then press the top of the cookies with a fork dipped in cornstarch. Top cookies with sprinkles, if desired.
Preheat your oven to 325°F (162°C) and line a baking sheet with parchment paper. Place cookies on the baking sheet and chill them in the freezer until the oven is completely preheated. Bake cookies for 12 minutes, or until the tops have set.
Allow cookies to completely cool on a wire cooling wrack and serve.",6,"▢ 1 ½ cups butter (3 sticks of butter is equivalent to 1 ½ cups, at room temperature)",▢ ¾ cup confectioners sugar,▢ 2 teaspoon vanilla extract,▢ 2 ¼ cups all-purpose flour,▢ ¾ cup cornstarch,▢ ¼ cup sprinkles (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/whipped-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA
Peppermint Sugar Cookie Bars,Angela Latimer,5,3,American,Cookies & Bars,NA,15 minutes,15 minutes,NA,30 minutes,16 servings,8,"To get started, preheat your oven to 350°F (175°C) and line a 9x13 baking dish with parchment paper. Then, lightly spritz it with some non-stick cooking spray.
In a large mixing bowl or the bowl of your stand mixer, cream together the butter and sugar until fluffy and smooth. 
Add the eggs, one at a time, beating between each addition. Then, mix in the vanilla extract, baking powder, and cornstarch, making sure to scrape down the sides and bottom of the mixing bowl.
Gently mix in the all-purpose flour until just combined. Then, pour the batter into your prepared baking dish. 
Bake the batter in the preheated oven at 350°F (175°C) for 14-16 minutes, or until the bars have begun to rise and barely darkened. These bars should still be very pale in color, as they will finish baking as they cool off. Remove the bars from the oven and allow them to cool completely before adding the frosting.
To prepare the frosting, cream together the room-temperature butter and peppermint extract (or vanilla extract) in a large mixing bowl until well combined. 
Alternate between adding small increments of the heavy whipping cream and powdered sugar, mixing well in between each addition. Continue until you have incorporated all of the sugar and cream and the frosting is fluffy. 
Once your cookie bars have cooled, spread the buttercream frosting over the tops of the bars in an even layer. Sprinkle the crushed candy canes over the top before cutting them into squares and serving.",12,▢ 1 cup butter (softened at room temperature),▢ 1 cup sugar,▢ 2 large eggs (at room temperature),▢ 1 tablespoon vanilla extract,▢ 1 teaspoon baking powder,▢ 1 tablespoon cornstarch,▢ 2 ¼ cups all-purpose flour,▢ ½ cup butter (softened at room temperature),▢ ½ teaspoon peppermint extract (or vanilla extract),▢ ¼ cup heavy whipping cream,▢ 2¼ cups confectioners sugar,▢ ¼ cup candy canes (crushed),NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/peppermint-sugar-cookie-bars/,NA,NA,NA,NA,NA,NA,NA
How To Make Shortbread Cookies,Angela Latimer,5,2,"English, Scottish",How To,NA,5 minutes,10 minutes,NA,15 minutes,16 servings,10,"Using your stand mixer (or a mixing bowl with a hand mixer), beat together the room-temperature butter and vanilla extract.
Mix in the confectioners' sugar and salt until well combined.
Slowly and gradually mix in the all-purpose flour, making sure to scrape down the sides and bottom of the bowl, stopping once the flour has been completely incorporated.
Press the shortbread dough into the shape of a rectangular prism and tightly wrap it with plastic wrap. Place the wrapped dough into the refrigerator and allow it to chill for at least an hour. 
Preheat your oven to 350°F (175°C) and line a baking sheet with some parchment paper.
Remove the chilled dough from the fridge and remove the plastic wrap. Using a sharp knife, slice the dough into slices that are about ½-inch thick. 
Place the dough slices onto the prepared baking sheet, leaving them space apart by about an inch. 
Use a fork or skewer to poke indentions onto the top of the cookies.
Bake in the oven at 350°F (175°C) for 10 minutes, rotating the baking sheet halfway through the cooking time. 
Remove the shortbread from the oven and allow them to cool slightly before transferring them to a wire rack to finish cooling. ",5,"▢ 10 tablespoon butter (unsalted, softened at room temperature)",▢ ½ teaspoon vanilla extract,▢ ½ cup confectioners sugar,▢ ½ teaspoon salt (omit if using salted butter),"▢ 1½ cups all-purpose flour (spoon and leveled, sifted)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/how-to-make-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA
Shortbread,Angela Latimer,5,3,"English, Scottish",Cookies & Bars,NA,5 minutes,10 minutes,NA,15 minutes,16 servings,10,"Using your stand mixer (or a mixing bowl with a hand mixer), beat together the room-temperature butter and vanilla extract.
Mix in the confectioners' sugar and salt until well combined.
Slowly and gradually mix in the all-purpose flour, making sure to scrape down the sides and bottom of the bowl, stopping once the flour has been completely incorporated.
Press the shortbread dough into the shape of a rectangular prism and tightly wrap it with plastic wrap. Place the wrapped dough into the refrigerator and allow it to chill for at least an hour. 
Preheat your oven to 350°F (175°C) and line a baking sheet with some parchment paper.
Remove the chilled dough from the fridge and remove the plastic wrap. Using a sharp knife, slice the dough into slices that are about ½-inch thick. 
Place the dough slices onto the prepared baking sheet, leaving them space apart by about an inch. 
Use a fork or skewer to poke indentions onto the top of the cookies.
Bake in the oven at 350°F (175°C) for 10 minutes, rotating the baking sheet halfway through the cooking time. 
Remove the shortbread from the oven and allow them to cool slightly before transferring them to a wire rack to finish cooling. ",5,"▢ 10 tablespoon butter (unsalted, softened at room temperature)",▢ ½ teaspoon vanilla extract,▢ ½ cup confectioners sugar,▢ ½ teaspoon salt (omit if using salted butter),"▢ 1½ cups all-purpose flour (spoon and leveled, sifted)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/shortbread/,NA,NA,NA,NA,NA,NA,NA
Kringla vs Kringle,Angela Latimer,5,2,"Norwegian, Swedish",Tips Tricks and Information,NA,NA,6 minutes,NA,6 minutes,24 servings,7,"Start the night before by mixing together the heavy cream and sour cream in a small bowl. Whisk until smooth, then cover with cling film and refrigerate.
When ready to start, set the cream mixture out to room temperature. Next, preheat your oven to 475°F (246°C) and line your baking sheets with parchment paper or silicone baking mats.
In a large bowl cream together the sugar, shortening, and egg yolk.
Stir in the vanilla extract, baking powder, baking soda, and salt into the cream mixture then transfer the wet ingredients into the creamed sugar. Mix until well combined. Add the flour until completely incorporated into the dough, which should be sticky when done. *You can chill the dough for an hour before handling it to make the next step easier if desired.
Since the dough is sticky, use a well-floured surface to roll the dough out onto. Pull off roughly 1 ½-inch ball-shaped portions of the dough and roll them in the flour to coat all sides. Then move them to the side of your working surface where there is less flour and roll them out to a rope shape (approximately 8-9 inches long). Shape the rope into an '8' or 'infinity sign' or fold over like a pretzel shape, or you can also shape them into round coils - but these take longer to bake.
Place each shaped dough piece onto your prepared baking sheets then bake for 5-6 minutes, or until the bottom just begins to turn a light golden color. *Depending on the thickness of the 'ropes', the cooking time can be longer.
Remove from the oven when done and allow to cool on the baking sheet for about 5 minutes before transferring to a wire cooling rack to cool completely.",10,▢ 1 cup heavy cream,▢ 1 cup sour cream,▢ 1 ⅓ cups sugar,▢ 2 tablespoon shortening,▢ 1 large egg yolk,▢ 1 teaspoon vanilla extract,▢ 2 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ ¼ teaspoon salt,▢ 3 cups all-purpose flour (plus more for rolling & shaping),NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/kringla-vs-kringle/,NA,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Crinkle Cookies,Angela Latimer,5,6,American,Recipes,NA,5 minutes,15 minutes,10 minutes,30 minutes,20 servings,10,"To begin, preheat your oven to 350°F (175°C) and line two baking sheets with parchment paper or a silicone baking mat.
Add your chopped chocolate and butter to a microwave-safe bowl and heat it for 30 seconds. Remove the chocolate from the microwave and stir. Continue to heat it in 15-second increments, stirring in between each one, until the chocolate is melted and smooth. Set aside.
In a large mixing bowl, combine your sugar, brown sugar, eggs, and peppermint extract. Whisk until smooth and then add in the baking powder, salt, and baking soda.
Whisk in the cooled, melted chocolate. Once smooth, gently fold in the sifted cocoa powder and all-purpose flour until just combined. 
Fold in the crushed peppermint candy canes. Then, allow the dough to rest at room temperature for 10 minutes.
Pour your granulated sugar and confectioner's sugar into two separate shallow dishes. 
Using a cookie scoop that has been coated with non-stick cooking spray, scoop the cookie dough into balls that are roughly 1½ inches in size.
Roll the dough balls in the granulated sugar first, followed by the powdered sugar, and then place the balls onto the prepared cookie sheets. Make sure to leave about 2 inches of space in between each ball of dough.
Bake in the preheated oven at 350°F (175°C) for 14-15 minutes, rotating the pans halfway through baking. You'll know your cookies are done when they have puffed up, the edges have set, and the tops have cracked. 
Remove the baked crinkle cookies from the oven and allow them to cool for 15 minutes on the pan before transferring them to a wire rack to finish cooling. ",14,▢ 4 oz unsweetened chocolate (chopped),▢ 4 tablespoon butter (cubed),▢ ¾ cup sugar,▢ ¾ cup light brown sugar (packed),▢ 2 large eggs (room temperature),▢ ½ teaspoon peppermint extract,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ ¼ teaspoon baking soda,▢ ½ cup unsweetened cocoa powder (sifted),▢ 1 cup all-purpose flour (spoon and leveled),▢ 4 candy canes (crushed),▢ ½ cup sugar,▢ ½ cup confectioners sugar,NA,Bake It With Love,https://bakeitwithlove.com/chocolate-peppermint-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA
Kolaczki,Angela Latimer,5,54,Polish,Cookies & Bars,NA,5 minutes,12 minutes,NA,17 minutes,60 cookies,8,"In a large mixing bowl combine the softened cream cheese and butter. Beat until thoroughly combined, light and fluffy.
Add the flour into the creamed butter mixture 1 cup at a time until your dough is fully mixed. Wrap the dough in cling film and flatten slightly so that it chills quickly. Chill for an hour.
Preheat your oven to 350°F (175°C) and line your baking sheets with parchment paper or a silicone baking mat.
Dust your working surface with an equal combination of sugar and confectioners' sugar, then roll out the cream cheese dough until it is ¼-inch in thickness. *I use a quarter portion of the dough at a time, meanwhile, it is important that the remaining dough is returned to the refrigerator and kept chilled.
Cut the dough into 2-inch squares or rounds then place ½ to 1 teaspoon of your pastry filling into the centerline of each cut square or round of the dough.
Overlap the opposite corners or sides and brush the bottom corner with water or egg white to seal the dough. Pinch or press the dough together to seal securely.
Bake at 350°F (175°C) for 12-15 minutes, or until the cookie bottoms just begin to show a light golden color. Remove from the oven and allow to cool on the baking sheet for about 5 minutes before transferring to a wire cooling rack to cool completely.
Once your cookies are completely cooled, dust with confectioners' sugar (or just before serving).",6,"▢ 8 oz cream cheese (1 brick, softened)","▢ 1 ½ cups butter (3 sticks, softened)",▢ 3 cups all-purpose flour,"▢ 16 oz pie or pastry filling (2 flavors, at least 8 ounces of each flavor)",▢ water (or egg white - for sealing the overlapped dough),▢ ½ cup confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/kolaczki/,NA,NA,NA,NA,NA,NA,NA
Fudge Brownies,Angela Latimer,5,3,American,Cookies & Bars,NA,10 minutes,35 minutes,30 minutes,15 minutes,18 servings,7,"Preheat your oven to 350°F (175°C) and lightly coat or spray a 9x13 baking pan with oil or non-stick spray. For easy removal of the brownies, you can also line the pan with parchment paper, if desired.
Combine the melted butter, coconut oil, white sugar, brown sugar, and salt, in a large mixing bowl or the bowl of your stand mixer. Stir to combine.
Next, add in the eggs, vanilla extract, and the optional coffee, if using. Stir to combine once more.
Sift the all-purpose flour and unsweetened cocoa powder into the wet ingredients. Gently fold all of the ingredients together until they are well-combined, but be careful not to over-mix the batter!
If using the optional grated chocolate, gently fold it into the batter until evenly dispersed. (You may also use cut pieces of baking chocolate or chocolate chunks). 
Bake at 350°F (175°C) for 35-40 minutes, or until you can insert a toothpick into the center of the brownie without any wet batter sticking to it. *There will still be plenty of brownie on the toothpick but that's okay because it will continue to set as it cools.
Remove your fudge brownies from the oven and set them aside to cool in the pan for at least 15 minutes before you transfer them to a cooling rack or serving them.",11,"▢ 1 cup butter (melted, cooled - 2 sticks or 16 tablespoons)",▢ 2 tablespoon coconut oil (or preferred cooking oil),▢ 1 ¼ cups sugar,▢ 1 cup light brown sugar (packed),▢ ¼ teaspoon salt,▢ 4 large eggs (at room temperature),▢ 1 tablespoon vanilla extract,▢ 1 tablespoon strong brewed coffee (optional),▢ 1 cup all-purpose flour,▢ 1 cup unsweetened cocoa powder,"▢ 1.55 oz chocolate bar (optional (milk chocolate or semi-sweet) - grated, up to 2 ounces)",NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/fudge-brownies/,NA,NA,NA,NA,NA,NA,NA
Italian Ricotta Cookies,Angela Latimer,4.99,54,Italian,Cookies & Bars,NA,20 minutes,15 minutes,NA,35 minutes,48 servings,9,"In a large mixing bowl or the bowl of your stand mixer cream together the butter, sugar, and lemon zest until light and the butter pales in color. Add in the ricotta and vanilla extract and mix until smooth.
Mix the eggs into the dough one at a time, then add the salt and baking powder. Gradually add the flour and mix until fully combined.
Use plastic cling film to cover the mixing bowl and chill the dough for at least 2 hours, or up to 2 days at most.
Preheat your oven once the dough is chilled. Set the oven to 350°F (175°C) and line a baking sheet(s) with parchment paper or a silicone baking mat.
Drop the chilled dough in 1-inch balls onto your prepared baking sheet leaving 2 inches of spacing between cookies. *These were portioned using a melon baller and dropped directly onto the baking sheet (rather than hand-rolled).
Bake for 12-15 minutes until the top no longer looks raw and the cookie bottoms are just turning a light golden color. Remove from the oven and allow the cookies to cool on the baking sheet for 5 minutes before transferring them to a wire cooling rack to cool completely.
Once the cookies have fully cooled, mix the icing ingredients in a small bowl until smooth. Add liquid or more confectioners' sugar as needed to reach your desired consistency. You want the icing to cling to your spoon with a slow drizzle (that way it stays on your cookies!).
Dip each of the cookies into the bowl of icing, allow the icing to run off until the drizzle slows, then turn and set onto the wire cooling rack. Add sprinkles after every few cookies are glazed, if using.
Allow the icing to set at room temperature before serving or storing.",13,"▢ 1 cup butter (softened, at room temperature)",▢ 1 ¾ cups sugar,"▢ 1 large lemon (zested and juiced, reserve the juice for icing)",▢ 1 ¾ cups ricotta (15 ounces of fresh whole milk ricotta),▢ 1 tablespoon vanilla extract,▢ 2 large eggs,▢ 2 ½ teaspoon baking powder,▢ ½ teaspoon salt (or use ¾ teaspoon with unsalted butter),▢ 3 ½ cups all-purpose flour,▢ 2 cups confectioners' sugar,▢ 2 tablespoon lemon juice (reserved after zesting your lemon above),"▢ 2 tablespoon milk (or more, as needed)",▢ 1 teaspoon vanilla extract,NA,NA,Bake It With Love,https://bakeitwithlove.com/italian-ricotta-cookies/,NA,NA,NA,NA,NA,NA,NA
Sprinkle Crinkle Cookies,Angela Latimer,5,6,American,Cookies & Bars,NA,20 minutes,12 minutes,NA,32 minutes,60 cookies,5,"In a large mixing bowl or the bowl of your stand mixer cream together the softened butter and granulated sugar until light and fluffy, about 1 minute. Beat the eggs in one at a time, just enough to fully incorporate the eggs. Add the vanilla extract, baking powder, baking soda, and salt then mix to combine.
Add the flour and mix until fully combined, then fold in the sprinkles.  Cover your mixing bowl with plastic cling film and set aside for 15 minutes while the oven preheats.
Preheat your oven to 325°F (163°C) and line a baking sheet(s) with parchment paper or a silicone baking mat.
Put the confectioners' sugar in a small bowl or a shallow dish, then shape the dough into 1-inch balls (I'm using a #50 scoop or melon baller). Roll each dough ball in the confectioners' sugar before placing them onto your prepared baking sheets, leaving 2-inches of spacing between the cookies.
Bake at 325°F (163°C) for 12-14 minutes or until the cookie bottoms are just beginning to turn light golden brown. Allow the cookies to cool on the baking sheet for about 5 minutes then transfer to a wire cooling rack to cool completely.",10,"▢ 1 cup butter (softened, at room temperature)",▢ 1 ½ cups sugar,▢ 2 large eggs (at room temperature),▢ 2 teaspoon vanilla extract,▢ 2 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ 3 cups all-purpose flour,▢ ⅓ cup sprinkles (holiday or assorted colors),▢ 1 cup confectioners' sugar,NA,NA,NA,NA,NA,Bake It With Love,https://bakeitwithlove.com/sprinkle-crinkle-cookies/,NA,NA,NA,NA,NA,NA,NA
