title,author,rating,ratingnum,categories,INFOCARD,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31
Spiced cookie wheels,Good Food team,3,5,"Freezable (dough only)
Vegetarian","Makes about 30
Easy
Prep: 20 mins
Cook: 10 mins
plus 1 hr chilling",19,80g butter,30g light brown soft sugar,80g caster sugar,3 tbsp double cream,1 egg yolk,½ lemon zested,½ orange zested,180g plain flour plus extra for dusting,½ tsp  ground cinnamon,BBC Good Food,https://www.bbcgoodfood.com/recipes/spiced-cookie-wheels,¼ tsp ground  ginger,¼ tsp ground  cardamom,¼ tsp ground  coriander seeds,¼ tsp ground cloves,¼ tsp freshly grated nutmeg,½ tsp bicarbonate of soda,about 80g  flaked almonds,about 2 tbsp milk,round 5cm biscuit cutter,a glass that’s embossed on the base milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clove sugar cookies,Good Food team,3.6,5,Freezable,"Makes about 28
Easy
Prep: 30 mins
Cook: 15 mins",6,250g butter softened,100g hazelnuts,1 tsp vanilla extract,250g icing sugar,1 ½ tsp ground cloves,350g plain flour,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/clove-sugar-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tahini, white chocolate and black sesame cookies",Ailsa Burt,2.5,5,Freezable (unbaked dough only),"Serves 18 - 20
Easy
Prep: 15 mins
Cook: 30 mins
plus overnight chilling",10,125g salted butter softened,125ml tahini,100g golden caster sugar,100g light brown muscovado sugar,2 eggs,1 tsp vanilla extract,175g plain flour,¾ tsp bicarbonate of soda,150g white chocolate roughly chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/tahini-white-chocolate-cookies,1 tbsp black sesame seeds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chocolate, peanut butter & pretzel cookie bars",Cassie Best,3.1,5,NA,"makes 15
Easy
Prep: 20 mins
Cook: 50 mins",12,"175g butter softened, plus extra for greasing",200g soft light brown sugar,100g golden caster sugar,1 tbsp vanilla extract,2 large eggs beaten,250g plain flour,1 tsp bicarbonate of soda,2 tbsp full-fat milk,150g dark chocolate chopped into chunks,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-peanut-butter-pretzel-cookie-bars,100g chunky peanut butter,50g small salted pretzels,½ tsp sea salt flakes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crazy cookies,Good Food team,3.6,5,Freezable,"Makes 36
Easy
Prep: 40 mins
Cook: 15 mins
Plus chilling",7,350g plain flour plus extra,200g salted butter cubed,120g golden caster sugar,2 tsp vanilla extract,2 egg yolks,"x tubs ready-to-use royal icing (We used Dr Oetker, Sainsbury's)",red and yellow food colourings,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/crazy-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alice in Wonderland wedding cookies,Miriam Nice,4,5,Freezable (uncooked dough only),"Makes about 50 biscuits
More effort
Prep: 1 hr
Cook: 1 hr and 30 mins
plus chilling",13,400g plain flour,200g unsalted butter at room temperature ,1 large egg,280g white caster sugar,½ tsp vanilla extract,½ tsp cream of tartar,200g unsalted butter at room temperature ,350g plain flour,50g cocoa powder,BBC Good Food,https://www.bbcgoodfood.com/recipes/eat-me-chessboard-sugar-cookie-cards-0,1 large egg,280g white caster sugar,½ tsp vanilla extract,½ tsp cream of tartar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Show your spots cookie sandwiches,Cassie Best,4,5,NA,"Makes 20
Easy
Prep: 30 mins
Cook: 12 mins
Plus chilling",10,200g butter softened,140g icing sugar,1 tsp vanilla extract,2 large eggs 1 beaten for glazing,350g plain flour plus extra for dusting,147g bag  Smarties,4 tbsp hundreds and thousands,100g butter softened,140g icing sugar,BBC Good Food,https://www.bbcgoodfood.com/recipes/show-your-spots-cookie-sandwiches,¼ tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewy cranberry choc-nut cookie kit,Sarah Cook,3.8,5,NA,"Makes 1 gift jar
Easy
Total time : 15 mins
Ready in 15 mins",7,1 large (1 litre approx) jar - Kilner or with a good screw lid,100g caster sugar,100g light muscovado sugar,250g self-raising flour,85g macadamia nut roughly chopped,85g dried cranberry,"100g white  chocolate chip buttons, or roughly chopped chunks",NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chewy-cranberry-choc-nut-cookie-kit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies & cream ice cream,Barney Desmazery,3.5,5,Freezable,"Serves 6
More effort
Prep: 15 mins
Cook: 20 mins",5,600ml double cream,1 plump vanilla pod,100g golden caster sugar,4 egg yolks,300g/11oz pack chocolate chip cookie dough,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/cookies-cream-ice-cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slow-cooked pork, cider & sage hotpot",Anna Glover,4.8,5,"Freezable
Egg-free
Nut-free","Serves 6
More effort
Prep: 40 mins
Cook: 3 hrs",14,4 tbsp olive oil plus a little extra,1kg diced pork shoulder,"20g butter cubed, plus a little extra",4 leeks trimmed and thickly sliced,4 garlic cloves crushed,3 tbsp plain flour,500ml dry cider,400ml chicken stock,2 bay leaves,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-pork-cider-sage-hotpot,½ small bunch parsley finely chopped,"small bunch sage leaves picked, 5 left whole, the rest chopped",200ml single cream,400g Maris Piper or King Edward potatoes,400g sweet potatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citrus burst syllabub with almond heart cookies,Good Food team,4,5,Freezable (Freeze cookies only),"Serves 2 with leftovers
Easy
Prep: 20 mins
Cook: 15 mins
Plus chilling",13,juice ½ orange plus pinch grated zest and a little pared zest to serve- cut out the segments from remaining ½ orange,juice ½ lemon plus pinch grated zest,1 tbsp orange liqueur (we used Grand Marnier),1 tbsp golden caster sugar,150ml double cream,50g butter,50g golden caster sugar,85g plain flour plus extra for rolling,few drops  vanilla extract,BBC Good Food,https://www.bbcgoodfood.com/recipes/citrus-burst-syllabub-almond-heart-cookies,pinch  lemon zest,2 tbsp ground almond,1 egg beaten,2 tbsp flaked almond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked soy-glazed chicken,Tom Kerridge,4.7,5,NA,"Serves 4 - 6
Easy
Prep: 30 mins
Cook: 2 hrs
plus 1 hr marinating and resting",17,1 chicken (about 2kg),small piece of ginger peeled and finely grated (peel reserved),1 tsp Chinese five-spice powder,3 garlic cloves finely grated,1 tbsp Shaohsing wine or dry sherry,2 tbsp soy sauce,150ml chicken stock,1 tbsp honey,3 tbsp soy sauce,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-soy-glazed-chicken,2 star anise,2 Little Gem lettuces leaves separated,1 bunch of spring onions trimmed and finely shredded,½ cucumber cut into thin strips,1 red chilli sliced,small bunch of coriander chopped,"50g roasted peanuts or cashews, roughly chopped",cooked rice to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked harissa lamb,Tom Kerridge,4.7,5,NA,"Serves 6
Easy
Prep: 30 mins
Cook: 5 hrs
plus at least 1 hr marinating",12,2kg whole leg of lamb on the bone,10 red onions cut in half,300ml chicken stock,4 tbsp chopped coriander,20 dried chillies,6 garlic cloves grated,100ml olive oil,2 tsp ground coriander,2 tsp ground cumin,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-harissa-lamb,2 tsp caraway seeds,2 tsp smoked paprika,2 tbsp red wine vinegar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thumbprint cookies,Einfach Backen Team,NA,NA,NA,"Makes 55-60 cookies
Easy
Prep: 45 mins
Cook: 15 mins
plus cooling",7,2 cups plus 1 tbsp all-purpose flour,⅔ cup powdered sugar plus about 2 tbsp for dusting,1 tbsp vanilla sugar or 1 tbsp granulated sugar plus 1 tsp vanilla extract,1 tsp lemon zest grated,1⅓ sticks butter cut into cubes,2  egg yolks,⅓ cup redcurrant jelly (or raspberry jelly),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/us/thumbprint-cookies-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar cookies,Liberty Mendez,NA,NA,"Freezable (dough only)
Nut-free
Vegetarian","Makes 20-22
Easy
Prep: 20 mins
Cook: 10 mins
plus chilling and cooling",7,½ cup granulated sugar,1 stick unsalted butter softened,2  eggs,1 tsp vanilla extract,¼ cup  corn starch,2½ cups all-purpose flour,icing to decorate,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/us/sugar-cookies-recipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread cookies,Esther Clark,NA,NA,Vegetarian,"Makes 20 cookies
Easy
Prep: 20 mins
Cook: 12 mins
plus chilling",11,1 stick plus 1 tbsp unsalted butter softened,1½ tbsp dark molasses,1⅓ cups light brown soft sugar,½ tsp fine sea salt,1  egg,1¾ cups plus 1 tbsp all-purpose flour,¼ tsp baking soda,¼ tsp ground cloves,1½ tsp ground ginger,BBC Good Food,https://www.bbcgoodfood.com/us/gingerbread-cookies-recipe,½ tsp ground cinnamon,¼ cup granulated sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maamoul (date cookies),Victoria Prever,NA,NA,"Egg-free
Vegetarian","Makes 24 cookies
Easy
Prep: 30 mins
Cook: 20 mins
plus 1 hr chilling and 1 hr freezing",12,300g  plain flour,150g  fine semolina,½ tsp  baking powder,1 tsp  mahleb (available online or at specialist supermarkets),75g  icing sugar plus extra for dusting,200g  butter softened ,5 tbsp  sunflower oil,½ tsp  vanilla extract,¼-½ tsp  rose water depending on strength,BBC Good Food,https://www.bbcgoodfood.com/recipes/maamoul-date-cookies,450g  medjool dates pitted and roughly chopped,¼ tsp  rose water,¼ tsp  ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked lamb with onions & thyme,Mary Cadogan,4.7,5,Freezable,"Serves 4
Easy
Total time : 3 hrs and 30 mins",5,half a leg of lamb (about 1.25kg/2lb 12oz),1kg onion (about 4 large ones),handful of thyme sprigs,300ml red wine,large handful parsley,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-lamb-onions-thyme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watch John's slow-cooked Greek lamb,John Torode,4.5,5,"Freezable
Gluten-free","Serves 6
Easy
Prep: 15 mins
Cook: 5 hrs - 6 hrs",10,shoulder of lamb about 2kg,1 garlic bulb cloves separated but the skin left on,about 30g anchovies,2 tbsp olive oil,10 tomatoes left whole,6 carrots peeled but left whole,handful fresh sage,handful fresh rosemary,handful fresh thyme,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-greek-lamb,"tzatziki chickpea salad and flatbreads, to serve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked chunky beef lasagne,Esther Clark,4.3,5,Freezable (sauces only),"Serves 6 - 8
Easy
Prep: 45 mins
Cook: 3 hrs",22,2 tbsp olive oil,400g beef shin diced,1 onion finely chopped,1 large carrot finely chopped,1 celery stick finely chopped,160g smoked pancetta diced,150ml red wine,400g can chopped tomatoes,3 tbsp tomato purée,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-chunky-beef-lasagne,300ml beef stock,1 bay leaf,2 rosemary sprigs,2 tsp sugar,500g dried lasagne sheets,30g parmesan grated,150g mozzarella grated,green salad to serve (optional),100g butter,100g plain flour,1 litre whole milk,50g parmesan grated,grating of nutmeg,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rangoli cookies,Chetna Makan,NA,NA,Vegetarian,"Serves 16 - 18
More effort
Prep: 1 hr
Cook: 10 mins - 14 mins
plus resting",9,175g unsalted butter softened,200g caster sugar,1 tsp ground cardamom,1 egg,370g plain flour,2 egg whites (freeze the yolks for another recipe),400g icing sugar,1 tsp lemon juice,"3 food colourings (we used red, yellow and orange)",BBC Good Food,https://www.bbcgoodfood.com/recipes/rangoli-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry & orange linzer cookies,Helena Busiakiewicz,NA,NA,Vegetarian,"Serves 10 - 12
Easy
Prep: 30 mins
Cook: 10 mins - 15 mins
plus at least 1 hr 30 mins chilling",10,300g plain flour plus extra for dusting,1 orange zested,100g ground almonds,100g golden caster sugar,100g salted butter cold and cut into cubes,1 egg plus 1 yolk (freeze the white for another recipe),½ tsp almond extract,15g flaked almonds,100g cranberry sauce,BBC Good Food,https://www.bbcgoodfood.com/premium/cranberry-orange-linzer-cookies,icing sugar to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giant jammy biscuit,Abi Pastry,NA,NA,"Nut-free
Vegetarian","Serves 2 - 4
Easy
Prep: 30 mins
Cook: 20 mins
plus chilling",7,115g unsalted butter softened,115g caster sugar plus extra for dusting,1 egg,225g plain flour,50g cornflour,150g fresh or frozen raspberries,185g jam sugar,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/giant-jammy-biscuit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Three-ingredient cookies,Ailsa Burt,NA,NA,Gluten-free,"Serves 18
Easy
Prep: 10 mins
Cook: 12 mins
plus cooling",4,150g caster sugar,250g nut butter (we used peanut butter),1 egg,chopped nuts for sprinkling (optional),NA,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/three-ingredient-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honey tahini cookies,Victoria Prever,NA,NA,Vegetarian,"Makes 20-25
Easy
Prep: 10 mins
Cook: 18 mins
plus 1 hr chilling",9,125g butter softened,75g honey,75g golden caster sugar,1 tsp vanilla extract,½ tsp ground cinnamon,90ml tahini (not roasted),225g plain flour,5g baking powder,50-60g sesame seeds (regular or a mixture of black and white),BBC Good Food,https://www.bbcgoodfood.com/recipes/honey-tahini-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reindeer peanut butter thumbprint cookies,Cassie Best,NA,NA,Vegetarian,"Makes 22
Easy
Prep: 25 mins
Cook: 12 mins
plus cooling",10,100g smooth peanut butter,2 eggs,100g golden caster sugar,1 tsp vanilla extract,225g plain flour,¼ tsp baking powder,½ jar seedless raspberry or strawberry jam,22 small  pretzels,22 pairs of  edible eye decorations,BBC Good Food,https://www.bbcgoodfood.com/premium/reindeer-peanut-butter-thumbprint-cookies,white icing pen or mix a little icing sugar with a drop of water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked marrow with fennel & tomato,Rosie Birkett,4.3,5,Vegetarian,"Serves 4
Easy
Prep: 30 mins
Cook: 1 hr",16,1 young marrow (about 1kg),4 tbsp olive oil plus a drizzle to serve,1 rosemary sprig plus extra leaves chopped to serve,pinch of fennel seeds,2 red onions finely sliced,pinch of dried chilli,½ fennel bulb sliced,2 garlic cloves crushed,50ml white wine,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-marrow-fennel-tomato,500g tomatoes chopped,1 tbsp red wine vinegar,2 tbsp capers,400g can butter beans drained,2 large slices of sourdough to serve,soft fresh goat’s cheese to serve,1 tbsp oregano to serve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maltesers thumbprint cookies,Good Food team,NA,NA,NA,"Makes 20
Easy
Prep: 30 mins
Cook: 12 mins",9,green colouring paste to colour,175g self-raising flour,25g desiccated coconut,50g cocoa powder,100g golden caster sugar,"100g unsalted butter cubed, at room temperature",1 egg beaten,10-12 Maltesers,10 Maltesers Chocolate Mini Bunnies,BBC Good Food,https://www.bbcgoodfood.com/recipes/maltesers-thumbprint-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked BBQ-spiced pulled pork,Cassie Best,4.5,5,"Freezable
Gluten-free","Serves 6
Easy
Prep: 10 mins
Cook: 5 hrs - 7 hrs",6,2½ kg boneless pork shoulder joint,1 quantity of ultimate BBQ spice blend (see 'goes well with'),2 bay leaves,3 tbsp cider vinegar,3 tbsp light brown soft sugar,"6 tbsp BBQ sauce (gluten-free, if needed)",NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-bbq-spiced-pulled-pork,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malty NYC-style choc chunk cookies,Cassie Best,NA,NA,"Freezable
Vegetarian","Makes 12
Easy
Prep: 25 mins
Cook: 20 mins
plus 30 mins chilling, 2 hrs freezing",12,200g salted butter softened,175g light muscovado sugar,75g caster sugar,2 medium eggs,1 tsp vanilla extract,325g plain flour,2 tbsp malted milk powder (we used Horlicks),2 ½ tsp  baking powder,½ tsp sea salt flakes plus a pinch,BBC Good Food,https://www.bbcgoodfood.com/premium/malty-nyc-style-choc-chunk-cookies,75g walnuts roughly chopped (optional),200g dark chocolate roughly chopped,100g milk chocolate roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked courgette pasta,Helena Busiakiewicz,4,5,"High-fibre
Vegetarian","Serves 2 - 3
Easy
Prep: 10 mins
Cook: 55 mins",8,95ml olive oil,"3-4  courgettes finely sliced using a mandoline, if you have one",3 garlic cloves finely sliced,½ tsp chilli flakes,35g panko breadcrumbs,1 lemon zested and juiced ,300g  spaghetti,"40g parmesan or vegetarian alternative, finely grated",NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-courgette-pasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to cook a tomahawk steak,Barney Desmazery,5,5,"Egg-free
Gluten-free
High-protein
Low sugar
Nut-free","Serves 3 - 4
More effort
Prep: 5 mins
Cook: 30 mins - 45 mins
plus 1 hr coming to room temperature and resting",5,1 tomahawk steak (about 1.2–1.4kg),2 tbsp  olive oil,2 tbsp  unsalted butter,"a few  rosemary sprigs or a few thyme leaves, plus extra to serve  ",2 whole garlic cloves lightly bashed,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/how-to-cook-a-tomahawk-steak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mincemeat half-baked cookies,Ailsa Burt,NA,NA,"Freezable
Vegetarian","Serves 15
Easy
Prep: 30 mins
Cook: 15 mins
plus at least 1 hr 30 mins chilling",8,125g salted butter,100g golden caster sugar,100g light brown soft sugar,2 eggs,1 tsp vanilla extract,350g plain flour,¾ tsp bicarbonate of soda,"250g orange & brandy mincemeat (see 'goes well with', below), or use shop-bought (vegetarian, if needed)",NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/mincemeat-half-baked-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-free Linzer cookies,Apetit Online,NA,NA,"Gluten-free
Vegetarian","Makes 20-25
Easy
Prep: 1 hr - 20 mins
Cook: 8 mins - 12 mins
plus 1 hr resting",7,150g butter softened,120g icing sugar plus extra for dusting,1 tsp vanilla extract,1 egg,70g ground almonds,325g gluten-free flour plus extra for dusting,100g raspberry jam,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/gluten-free-linzer-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberries & cream cookie sandwiches,Blondies Kitchen,NA,NA,NA,"Serves 6
Easy
Prep: 40 mins
Cook: 15 mins
plus at least 7 hrs 30 mins chilling",12,150g unsalted butter softened,75g light brown soft sugar,75g golden caster sugar,1 egg,1 tbsp vanilla bean paste,190g self-raising flour,200g white chocolate chips or chunks,ice cream to serve (optional),350g strawberries hulled,BBC Good Food,https://www.bbcgoodfood.com/recipes/strawberries-cream-cookie-sandwiches,100g icing sugar,6 gelatine leaves,375ml double cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate fudge crinkle biscuits,Anamaria Cook,4.8,5,"Freezable
Dairy-free
Nut-free
Vegetarian","Makes 35-40 mini biscuits
Easy
Prep: 20 mins
Cook: 10 mins
plus 1 hr chilling (optional)",7,60g cocoa powder sieved,200g caster sugar,60ml vegetable oil,2 large eggs,180g plain flour,1 tsp baking powder,70g icing sugar,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/chocolate-fudge-crinkle-biscuits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slow-cooked beef brisket with chimichurri,Helena Busiakiewicz,4.8,5,NA,"Serves 4 - 6
Easy
Prep: 35 mins
Cook: 3 hrs",17,1kg beef brisket cut into large chunks,3 tbsp plain flour,4 tbsp vegetable oil,2 onions roughly chopped,4 garlic cloves roughly chopped,1 cinnamon stick,2 tsp fennel seeds,800ml good-quality beef stock,2 tsp chipotle paste,BBC Good Food,https://www.bbcgoodfood.com/recipes/slow-cooked-beef-brisket-with-chimichurri,2 tbsp dark soy sauce,crispy fried potatoes to serve,40g flat-leaf parsley finely chopped,2 garlic cloves finely chopped,1 green chilli finely chopped,5 tbsp extra virgin olive oil,2-3 tbsp red wine vinegar,½ tsp caster sugar (optional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-cook strawberry cheesecake sundaes,Barney Desmazery,5,5,Vegetarian,"Serves 4
Easy
Prep: 30 mins
No cook",10,600g strawberries thickly sliced,1 tbsp golden caster sugar,½ lemon juiced,300ml double cream,50g icing sugar sifted,1 tsp vanilla extract,165g full fat soft cheese,2 tbsp strawberry jam,8 shortbread biscuits roughly crumbled,BBC Good Food,https://www.bbcgoodfood.com/recipes/no-cook-strawberry-cheesecake-sundaes,8 scoops vanilla ice cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy biscuits,Good Food team,4,5,"Easily doubled
Easily halved
Freezable
Nut-free
Vegetarian","Makes about 30 cookies
Easy
Prep: 5 mins
Cook: 15 mins",5,250g butter softened,140g caster sugar,1 egg yolk,2 tsp vanilla extract,300g plain flour,NA,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/basic-biscuit-dough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oat biscuits,Good Food team,4.7,5,"Egg-free
Nut-free
Vegetarian","10 large biscuits or 15 medium ones
Easy
Prep: 15 mins
Cook: 10 mins",7,75g wholemeal flour,1 tsp baking powder,75g porridge oats,50g caster sugar,75g butter,1 tbsp golden syrup,2 tbsp milk,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/oat-biscuits-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air fryer almond choc chunk Passover cookies,Victoria Prever,NA,NA,"Gluten-free
Vegetarian","Makes approx 16
Easy
Prep: 10 mins
Cook: 1 hr",9,60g light brown soft sugar,60g caster sugar,½ tsp  vanilla essence,1 egg beaten,180g almond flour or ground almonds (or half of each),80g potato flour,½ tsp kosher baking powder,¼ tsp kosher bicarbonate of soda,100-150g  dairy-free dark chocolate chunks or chips ,BBC Good Food,https://www.bbcgoodfood.com/recipes/air-fryer-almond-choc-chunk-passover-cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan-cooked feta with beetroot salsa & bean mash,Sara Buenfeld,4.3,5,"Healthy
Vegetarian","Serves 2
Easy
Prep: 10 mins
Cook: 7 mins",10,"about 100g vegetarian, light feta thickly sliced",a little flour for dusting,65g pack rocket,250g cooked beetroot diced,½ red onion finely chopped,grated zest and juice 0.5 lime,2 tbsp chopped dill plus extra for sprinkling,1 tsp olive oil plus a little extra for cooking,1 garlic clove finely chopped,BBC Good Food,https://www.bbcgoodfood.com/recipes/pan-cooked-feta-beetroot-salsa-bean-mash,400g can cannellini beans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White chocolate biscuit cake,NA,NA,NA,NA,"Serves 6
Easy
Prep: 30 mins
Cook: 10 mins",6,200g malted milk biscuits,200g milk chocolate chopped,200g white chocolate chopped,350ml double cream,250ml mascarpone,500g puffed wheat cereal,NA,NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/white-chocolate-biscuit-cake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon cheesecake (no-bake),Member recipe by Caroline93,4.7,5,"Egg-free
Nut-free
Vegetarian","Serves 6
Easy
Prep: 20 mins
Cook: 5 mins
plus chilling",7,110g digestive biscuits,50g butter,25g light brown soft sugar,350g mascarpone,75g caster sugar,1 lemon zested,2-3 lemons juiced (about 90ml),NA,NA,BBC Good Food,https://www.bbcgoodfood.com/recipes/lemon-cheesecake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
