title,author,recipesubmitter,tester,rating,ratingnum,description,category,times1,timesyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Anise Icebox Cookies,By Taste Of Home Editorial Team,Recipe by Sharon Nichols,Tested by Taste of Home Test Kitchen,5,4,"These crisp, old-fashioned spice cookies are one of my favorite anise recipes to cook up&mdash;especially around the holidays. &mdash;Sharon Nichols, Brookings, South Dakota",Cookies,Total Time:Prep: 25 min. + chilling Bake: 10 min./batch,"Yield:about 5-1/2 dozen
Prep:25 min
Cook:10 min",3,"In a large bowl, cream butter and sugars until light and fluffy, 5-7 minutes. Beat in egg. Combine the flour, baking soda, salt, cinnamon and cloves; gradually add to creamed mixture and mix well. Stir in pecans and aniseed. 
   Shape into two 8-1/2-in. rolls; wrap each in waxed paper. Refrigerate for 4 hours.
   Preheat oven to 375°. Unwrap dough; cut 1/4 in. off the ends of each roll. Cut dough into 1/4-in. slices. Place 2 in. apart on ungreased baking sheets. Bake 8-10 minutes or until golden brown. Remove to wire racks to cool.",11,"1 cup butter, softened",1 cup sugar,1 cup packed brown sugar,"1 large egg, room temperature",2-1/2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon salt,1/2 teaspoon ground cinnamon,1/2 teaspoon ground cloves,1/2 cup finely chopped pecans,1 tablespoon aniseed,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/anise-icebox-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crisp Rosettes,By Taste Of Home Editorial Team,"Recipe by Rita Christianson, Glenburn, North Dakota",Tested by Taste of Home Test Kitchen,5,2,"Shaped like delicate snowflakes, these crisp rosettes make a lovely winter dessert. Field editor Rita Christianson of Glenburn, North Dakota points out, ""We make these Norwegian treats for Christmas and special occasions.""",Dishes & Beverages,Total Time:Prep: 5 min. Cook: 1 hour + cooling,"Yield:2-1/2 dozen
Prep:5 min
Cook:1 hour",3,"In a small bowl, beat the eggs, milk, sugar and salt. Gradually add flour; beat until smooth. 
   In a deep-fat fryer or electric skillet, heat 2-1/2 in. of oil to 375°. Place rosette iron in hot oil for 30 seconds. Blot iron on paper towels, then dip iron in batter to three-fourths the way up the sides (do not let batter run over top of iron). Immediately place in hot oil; loosen rosette with fork and remove iron. 
   Fry for 1-2 minutes on each side or until golden brown. Remove to a wire rack covered with paper towels. Repeat with remaining batter. Sprinkle with confectioners' sugar before serving.",7,2 eggs,1 cup 2% milk,1 teaspoon sugar,1/4 teaspoon salt,1 cup all-purpose flour,Oil for deep-fat frying,Confectioners' sugar,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/crisp-rosettes/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-Dipped Cookies,By Taste Of Home Editorial Team,Recipe by Taste of Home Test Kitchen,Tested by Taste of Home Test Kitchen,3,3,"This tender, flavorful cookie from our Test Kitchen is made even better by being dipped in chocolate. The contrasting drizzle is a fancy finishing touch.",Cookies,Total Time:Prep: 25 min. + chilling Bake: 10 min./batch + cooling,"Yield:4-1/2 dozen
Prep:25 min
Cook:10 min",4,"In a large bowl, cream butter and sugar. Beat in egg and vanilla. Combine the flour, cocoa, baking soda and salt; gradually add to the creamed mixture. Stir in almonds and chocolate chips. Cover and refrigerate for 2 hours. Divide dough in half. Shape into two 8-in. rolls; wrap each in plastic wrap. Refrigerate for 3 hours or until firm.
   Unwrap and cut into 1/4-in. slices. Place 2 in. apart on greased baking sheets. Bake at 350° for 8-10 minutes or until set. Remove to wire racks to cool.
   Dip half of the cookies in white coating; allow excess to drip off. Place on waxed paper. Repeat with remaining cookies in dark chocolate coating. 
   Place milk chocolate coating in a resealable plastic bag; cut a small hole in one corner of the bag. Pipe designs on cookies. Let stand for 30 minutes or until set.",13,"1/2 cup butter, softened",3/4 cup sugar,1 large egg,1 teaspoon vanilla extract,1 cup all-purpose flour,1/3 cup baking cocoa,1/2 teaspoon baking soda,1/4 teaspoon salt,1/2 cup chopped almonds,1/2 cup miniature semisweet chocolate chips,"12 ounces white candy coating disks, melted","12 ounces dark chocolate candy coating disks, melted","2 ounces milk chocolate candy coating disks, melted",Taste of Home,https://www.tasteofhome.com/recipes/chocolate-dipped-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rugelach Recipe,By Lisa A. Kaminski and Val Goodrich,"Recipe by Becky Phillips, Chippewa Falls, Wisconsin",Tested by Taste of Home Test Kitchen,4,6,This rugelach recipe makes the most amazing cinnamon-sugar treats for your holiday dessert spread.,Dishes & Beverages,Total Time:Prep: 40 min. + chilling Bake: 25 min./batch,"Yield:4 dozen
Prep:40 min
Cook:25 min",4,"In a large bowl, beat butter and cream cheese until smooth. Combine flour and salt; gradually add to cream cheese mixture and mix well. Divide dough into fourths. Wrap each portion; refrigerate for 1 hour or until easy to handle.
   Roll out each portion between 2 sheets of waxed paper into a 12-in. circle. Remove top sheet of waxed paper. Combine sugar and cinnamon. Brush each circle with 1 tablespoon melted butter. Sprinkle each with 3 tablespoons cinnamon-sugar and 2 tablespoons pecans. Cut each into 12 wedges.
   Roll up wedges from the wide end; place pointed side down 2 in. apart on ungreased baking sheets. Curve ends to form a crescent shape. 
   Bake at 350° until golden brown, 24-26 minutes. Remove to wire racks. Brush warm cookies with remaining butter; sprinkle with remaining cinnamon-sugar.",9,"1 cup butter, softened","1 package (8 ounces) cream cheese, softened",2 cups all-purpose flour,1/2 teaspoon salt,filling:,1 cup sugar,2 tablespoons ground cinnamon,"1/2 cup butter, melted, divided",1/2 cup finely chopped pecans,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/rugelach/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Cranberry Cookies,By Taste Of Home Editorial Team,"Recipe by Arlene Kroll, Vero Beach, Florida",Tested by Taste of Home Test Kitchen,5,2,I came up with this recipe one year when looking for a cookie that had a little red and green in it. The combination of cranberries and pistachios is delicious.,Cookies,Total Time:Prep: 15 min. Bake: 10 min./batch,"Yield:5 dozen
Prep:15 min
Cook:10 min",2,"In a large bowl, cream the butter, oil and sugars until light and fluffy. Beat in egg and vanilla. Combine the flour, salt, baking powder and baking soda; gradually add to the creamed mixture and mix well. Stir in the cereal, oats, cranberries and pistachios.
   Drop by tablespoonfuls 2 in. apart onto ungreased baking sheets. Bake at 350° for 10-12 minutes or until lightly browned. Remove to wire racks to cool.",14,"1/2 cup butter, softened",1/2 cup canola oil,1/2 cup sugar,1/2 cup packed brown sugar,1 egg,1 teaspoon vanilla extract,1-3/4 cups all-purpose flour,1/2 teaspoon salt,1/2 teaspoon baking powder,1/2 teaspoon baking soda,1 cup crisp rice cereal,1/2 cup old-fashioned oats,1/2 cup dried cranberries,Taste of Home,https://www.tasteofhome.com/recipes/pistachio-cranberry-cookies/,1/2 cup chopped pistachios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutch Almond Cookies,By Taste Of Home Editorial Team,"Recipe by Linda DeJong, Lynden, Washington",Tested by Taste of Home Test Kitchen,5,1,This recipe comes from ladies of Dutch descent at my sister's church. The pleasant almond flavor pairs well with a cup of coffee.,Cookies,Total Time:Prep: 25 min. + chilling Bake: 10 min./batch,"Yield:3 dozen
Prep:25 min
Cook:10 min",3,"In a large bowl, cream butter and sugar. Beat in eggs and extract. Combine the flour, baking powder, baking soda and salt; gradually add to the creamed mixture and mix well. Cover and refrigerate for 1 hour or until easy to handle.
   On a lightly floured surface, roll out dough to 1/4-in. thickness; cut with a floured 2-in. round cookie cutter. Place half of the circles 2 in. apart on ungreased baking sheets. Crumble 1/2 teaspoon almond paste over each; top with remaining circles. Pinch edges to seal.
   Cut a small slit in top of each cookie. Brush with egg white. Press an almond in each slit. Bake at 350° for 10-12 minutes or until lightly browned. Remove to wire racks to cool.",11,"1 cup butter, softened",2 cups sugar,2 eggs,1 teaspoon almond extract,3-1/2 cups all-purpose flour,1 teaspoon baking powder,1 teaspoon baking soda,1/2 teaspoon salt,6 tablespoons almond paste,"1 egg white, lightly beaten",3 dozen whole almonds,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/dutch-almond-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fig Cookies,By Suzanne Podhaizer,"Recipe by Linda Kappelt, Linesville, Pennsylvania",Tested by Taste of Home Test Kitchen,5,3,"Packed with a variety of dried fruits and pecans, our lemon-glazed fig cookies are like Fig Newtons, but even more interesting. These Italian cookies are traditionally served at Christmastime.",Dishes & Beverages,Total Time:Prep: 30 min. + chilling Bake: 10 min./batch + cooling,"Yield:About 2-1/2 dozen
Prep:35 min
Cook:10 min",4,"In a large bowl, cream butter and sugars. Beat in egg and vanilla. Combine the flour, baking soda and salt; stir into the creamed mixture. Divide dough in half; cover and refrigerate for at least 3 hours.
   In a saucepan, combine the first 8 filling ingredients. Bring to a boil. Reduce heat; simmer, uncovered, for 4-6 minutes or until the fruit is tender and liquid is absorbed, stirring occasionally. Remove from the heat; stir in pecans. Cool to room temperature.
   Roll out each portion of dough between 2 pieces of waxed paper into a 10x8-in. rectangle. Cut each into two 10x4-in. rectangles. Spread 1/2 cup filling down the center of each rectangle. Starting at a long side, fold dough over filling; fold other side over top. Pinch to seal seams and edges. Place seam side down on parchment-lined baking sheets.
   Bake at 375° for 10-15 minutes or until lightly browned. Cut each rectangle diagonally into 1-in. strips. Remove to wire racks to cool. Combine glaze ingredients; drizzle over cookies.",21,"1/2 cup butter, softened",1/4 cup sugar,1/4 cup packed brown sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,1-3/4 cups all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt,filling:,2/3 cup finely chopped raisins,1/2 cup finely chopped dates,1/2 cup finely chopped dried figs,1/2 cup orange juice,Taste of Home,https://www.tasteofhome.com/recipes/fig-filled-cookies/,1/3 cup finely chopped dried cherries or cranberries,2 teaspoons sugar,1 teaspoon grated lemon zest,1/4 teaspoon ground cinnamon,1/2 cup finely chopped pecans,glaze:,3/4 cup confectioners' sugar,2 to 3 teaspoons lemon juice,NA,NA,NA,NA
Orange-Cinnamon Chocolate Chip Cookies,By Taste Of Home Editorial Team,Recipe by Daniel Kaepp,Tested by Taste of Home Test Kitchen,5,5,"I developed this recipe after years of searching for a chocolate chip cookie that would stand out from all others. Orange and cinnamon are tasty additions. —Daniel Kaepp, Coldwater, Michigan",Cookies,Total Time:Prep: 15 min. + chilling Bake: 15 min./batch,"Yield:3 dozen
Prep:15 min
Cook:15 min",3,"In a large bowl, cream butter and sugars until light and fluffy, 5-7 minutes. Beat in the eggs, orange zest and vanilla. Combine the flour, baking soda, cinnamon and salt; gradually add to the creamed mixture and mix well. Stir in the chips and walnuts. Cover and chill for 2 hours or until easy to handle.
   On lightly floured surface, roll out dough to 1/2-in. thickness. Cut with a lightly floured 3-in. round cookie cutter. Place 1 in. apart on greased baking sheets. 
   Bake at 375° for 12-14 minutes or until lightly browned. Remove to wire racks to cool.",12,"1 cup butter, softened",3/4 cup sugar,3/4 cup packed brown sugar,"2 large eggs, room temperature",1 tablespoon grated orange zest,1 teaspoon vanilla extract,3-1/2 cups all-purpose flour,1-1/2 teaspoons baking soda,1-1/4 teaspoons ground cinnamon,3/4 teaspoon salt,2 cups semisweet chocolate chips,1 cup chopped walnuts,NA,Taste of Home,https://www.tasteofhome.com/recipes/orange-cinnamon-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Peanut Butter Oatmeal Cookies,By Taste Of Home Editorial Team,"Recipe by Kristi Christianson, East Grand Forks, Minnesota",Tested by Taste of Home Test Kitchen,5,4,"These soft cookies are a favorite of relatives and friends. When I double the recipe and take them to work, they always disappear.",Cookies,Total Time:Prep: 15 min. Bake: 10 min./batch,"Yield:6-1/2 dozen
Prep:15 min
Cook:10 min",2,"Preheat oven to 350°. In a large bowl, cream peanut butter, butter and sugars until light and fluffy, 5-7 minutes. Add eggs, 1 at a time, beating well after each addition. Beat in baking soda, vanilla and corn syrup. Stir in oats, chips and toffee bits.
   Drop by rounded tablespoonfuls 2 in. apart onto greased baking sheets. Bake until lightly browned, 10-12 minutes. Cool 1 minute before removing from pans to wire racks.",11,1 jar (12 ounces) peanut butter,"1/2 cup butter, softened",1 cup plus 2 tablespoons packed brown sugar,1 cup sugar,"3 large eggs, room temperature",2 teaspoons baking soda,3/4 teaspoon vanilla extract,3/4 teaspoon corn syrup,4-1/2 cups quick-cooking oats,1 cup miniature semisweet chocolate chips,1/2 cup English toffee bits or almond brickle chips,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/soft-peanut-butter-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hazelnut Madeleine Cookies,By Taste Of Home Editorial Team,Recipe by Taste of Home Test Kitchen,Tested by Taste of Home Test Kitchen,3,1,"These soft, cakelike cookies have a delicate hazelnut flavor&mdash;perfect for making great memories! They’re baked in the distinctive shell-shaped madeleine pan, available in kitchen specialty stores. &mdash;Taste of Home Test Kitchen",Dishes & Beverages,Total Time:Prep: 30 min. Bake: 20 min. + cooling,"Yield:2 dozen
Prep:30 min
Cook:20 min",3,"In a food processor, combine the hazelnuts and confectioners' sugar; cover and process until nuts are finely chopped. Set aside. Melt 1 tablespoon butter; brush two 12-shell madeleine pans with butter. Dust with 2 tablespoons flour; tap pans to remove excess flour and set aside. Place remaining 1/2 cup butter in a saucepan; melt over low heat until it turns a light amber color,  4-5 minutes. Set aside to cool.
   In a large bowl, beat egg yolks and sugar until thick and a pale lemon color. Stir in melted butter and vanilla. Combine the baking powder, salt and remaining flour; stir into butter mixture just until combined. In a small bowl, beat egg whites on high speed until stiff peaks form; fold into batter. Gently fold in reserved nut mixture.
   With a tablespoon, fill prepared pans two-thirds full. Bake at 325° until golden brown, 18-20 minutes. Cool for 2 minutes before inverting pans onto wire racks to remove cookies. Cool completely. Lightly dust with additional confectioners' sugar if desired.",10,"1/2 cup whole hazelnuts, toasted",1 tablespoon confectioners' sugar,"1 tablespoon plus 1/2 cup butter, divided","2 tablespoons plus 1 cup all-purpose flour, divided","2 large eggs, separated, room temperature",2/3 cup sugar,1/4 teaspoon vanilla extract,1 teaspoon baking powder,1/8 teaspoon salt,"Additional confectioners' sugar, optional",NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/hazelnut-madeleine-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tumbleweed Dessert,By Kelli Acciardo,"Recipe by Peggy Gray, Savannah, Tennessee",Tested by Taste of Home Test Kitchen,5,3,"These easy-to-make tumbleweed dessert clusters are a perfect blend of salty and sweet. They're great for after-school snacks, birthday parties and other casual get-togethers.",Candy,Total Time:Prep: 25 min. + chilling,"Yield:5 dozen
Prep:25 min",2,"In a microwave-safe bowl, melt butterscotch chips and peanut butter in a microwave; stir until smooth. Stir in peanuts and potato sticks. 
   Drop by tablespoonfuls onto waxed paper-lined pans. Refrigerate until set. Store in an airtight container.",4,1 package (11 ounces) butterscotch chips,2 tablespoons creamy peanut butter,1 jar (12 ounces) dry roasted peanuts,1 can (4 ounces) potato sticks,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/four-ingredient-tumbleweeds/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poinsettia Pinwheel Cookies,By Taste Of Home Editorial Team,"Recipe by Patricia Eckard, Singers Glen, Virginia",Tested by Taste of Home Test Kitchen,2.8,5,"I must make 30 different kinds of cookies during the Christmas season—many to give away as gifts. Judging from the comments I get, these pretty pink poinsettias with a hint of cinnamon flavor are not just my own personal favorite!—Patricia Eckard, Singers Glen, Virginia",Dishes & Beverages,Total Time:Prep: 30 min. + chilling Bake: 10 min. + cooling,"Yield:5 dozen
Prep:30 min
Cook:10 min",3,"In a large bowl, cream butter and confectioners' sugar. Beat in egg and food coloring. Combine flour and salt; gradually add to the creamed mixture. Stir in red-hots. Divide dough in half; wrap in plastic. Refrigerate for at least 1 hour or until firm.
   On a lightly floured surface, roll out one portion of dough into a 12x10-in. rectangle. With a sharp knife or pastry wheel, cut dough into 2-in. squares. Place 1 in. apart on lightly greased baking sheets. Cut through dough from each corner of square to within 1/2 in. of center. Fold alternating points of square to center to form a pinwheel; pinch gently at center to seal. Repeat with remaining dough.
   Bake at 350° for 7-9 minutes or until set. Remove to wire racks to cool completely. Combine the confectioners' sugar and milk. Pipe 1/2 teaspoon frosting in center of each cookie; top with red-hot.",11,"1 cup butter, softened",1 cup confectioners' sugar,1 egg,2 to 3 drops red food coloring,2-1/3 cups all-purpose flour,3/4 teaspoon salt,1/4 cup finely crushed red-hot candies,frosting:,1 cup confectioners' sugar,4 teaspoons milk,Additional red-hot candies,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/poinsettia-pinwheel-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Sandwich Spritz,By Taste Of Home Editorial Team,Recipe by Joan O'Brien,Tested by Taste of Home Test Kitchen,5,2,"I started baking these Christmas classics when I was a sophomore in high school...and I and still making them now for my grown children and grankids. The combination of jam, buttery shortbread, chocolate and sprinkles adds up to a fancy and festive treat.",Cookies,Total Time:Prep: 30 min. Bake: 10 min./batch + standing,"Yield:about 2 dozen
Prep:30 min
Cook:10 min",4,"Preheat oven to 375°. Cream butter and sugar until light and fluffy. Beat in egg and vanilla. In another bowl, whisk together flour, salt and baking powder; gradually beat into creamed mixture.
   Using a cookie press fitted with a ribbon disk, press long strips onto ungreased baking sheets; cut ends to release from disk. Cut each strip into 2-in. lengths (no need to separate them).
   Bake until edges are golden brown, 12-15 minutes. Re-cut cookies if necessary. Remove from pans to wire racks; cool completely.
   Spread jam on bottoms of half of the cookies; top with remaining cookies. Dip each end of cookies in melted chocolate; allow excess to drip. Dip in sprinkles. Place on waxed paper; let stand until set.",10,"1 cup butter, softened",3/4 cup sugar,1 large egg,1 teaspoon vanilla extract,2-1/4 cups all-purpose flour,1/2 teaspoon salt,1/4 teaspoon baking powder,1 cup seedless raspberry jam,"1 cup semisweet chocolate chips, melted",Chocolate sprinkles,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/raspberry-sandwich-spritz/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apricot Tea Cookies,By Taste Of Home Editorial Team,"Recipe by Judith McVickers, Pittsburg, Kansas",Tested by Taste of Home Test Kitchen,5,4,"It just wouldn't be Christmas without these dainty melt-in-your-mouth apricot cookies on my platter! Filled with fruit and drizzled with frosty glaze, they couldn't be more delectable. —Judith McVickers, Pittsburg, Kansas",Dishes & Beverages,Total Time:Prep: 35 min. + chilling Bake: 20 min. + cooling,"Yield:about 4 dozen
Prep:35 min
Cook:20 min",4,"In a large bowl, combine the flour, sugar and salt. Cut in cream cheese and butter until mixture resembles coarse crumbs. Add sour cream, tossing with a fork until dough forms a ball. Cover and refrigerate for at least 1 hour. 
   Meanwhile, in a large saucepan, combine the filling ingredients; bring to a boil. Reduce heat; cover and simmer for 10 minutes. Uncover; simmer 7-9 minutes longer or until most of the liquid is absorbed, stirring occasionally. Cool.
   Divide dough in half. On a well-floured surface, roll out each portion into a 10-in. square; cut each into 2-in. squares. Place about 1/2 teaspoon of filling in the center of each square. Bring 2 opposite corners of square to the center; pinch firmly to seal. 
   Place on greased baking sheets. Bake at 325° for 18-20 minutes or until edges are lightly browned. Remove to wire racks to cool. Combine the glaze ingredients; drizzle over cooled cookies.",13,1-1/4 cups all-purpose flour,6 tablespoons sugar,1/8 teaspoon salt,4 ounces cream cheese,"1/2 cup cold butter, cubed",1 tablespoon sour cream,filling:,1-1/4 cups chopped dried apricots,1/2 cup sugar,5 tablespoons orange juice,glaze:,1 cup confectioners' sugar,4 teaspoons water,Taste of Home,https://www.tasteofhome.com/recipes/apricot-tea-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fudge-Filled Dessert Strips,By Taste Of Home Editorial Team,"Recipe by Kimberly Santoro, Palm City, Florida",Tested by Taste of Home Test Kitchen,4.2,18,"This family favorite was handed down to me by my mother, and everyone who tastes the flaky chocolate-filled strips asks for the recipe. They're delicious! —Kimberly Santoro, Palm City, Florida",Dishes & Beverages,Total Time:Prep: 40 min.+ chilling Bake: 30 min./batch + cooling,"Yield:about 7 dozen
Prep:40 min
Cook:30 min",5,"In a large bowl, cream butter and cream cheese until light and fluffy, 3-4 minutes. Gradually add flour and mix well. 
   Turn onto a lightly floured surface; knead until smooth, about 3 minutes. Divide dough into fourths; cover and refrigerate for 1-2 hours or until easy to handle. 
   In a microwave-safe bowl, melt chocolate chips and milk; stir until smooth. Stir in walnuts. Cool to room temperature. 
   Roll out each portion of dough on an ungreased baking sheet into an 11x6-1/2-in. rectangle. Spread 3/4 cup chocolate filling down the center of each rectangle. Fold long sides to the center; press to seal all edges. Turn over so the seam sides are down.
   Bake at 350° for 27-32 minutes or until lightly browned. Remove to wire racks to cool completely. Cut into 1/2-in. slices. Dust with confectioners' sugar if desired.",7,"1 cup butter, softened","1 package (8 ounces) cream cheese, softened",2 cups all-purpose flour,2 cups semisweet chocolate chips,1 can (14 ounces) sweetened condensed milk,2 cups chopped walnuts,"Confectioners' sugar, optional",NA,NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/fudge-filled-dessert-strips/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swedish Spritz,By Taste Of Home Editorial Team,"Recipe by Irmgard Sinn, Sherwood Park, Alberta",Tested by Taste of Home Test Kitchen,5,5,"A touch of almond extract gives these spritz wonderful flavor. For Christmas, you could tint half of the dough with red food coloring and the other half with green. — Irmgard Sinn, Sherwood Park, Alberta",Dishes & Beverages,Total Time:Prep: 20 min. Bake: 15 min./batch + cooling,"Yield:4 dozen
Prep:20 min
Cook:10 min",2,"In a large bowl, cream butter and sugar until light and fluffy, 5-7 minutes. Beat in egg and extracts. Combine the flour and baking powder; gradually add to the creamed mixture.
   Using a cookie press fitted with the disk of your choice, press dough 1 in. apart onto ungreased baking sheets. Bake at 350° until edges are firm and lightly browned, 12-13 minutes. Remove to wire racks to cool. Frost and decorate as desired.",8,"1 cup butter, softened",2/3 cup sugar,"1 large egg, room temperature",1/2 teaspoon almond extract,1/2 teaspoon vanilla extract,2-1/4 cups all-purpose flour,1 teaspoon baking powder,"Prepared frosting, assorted sprinkles and decorating sugars",NA,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/swedish-spritz/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Rugelach,By Taste Of Home Editorial Team,"Recipe by Jean Doxon, Omaha, Nebraska",Tested by Taste of Home Test Kitchen,4.3,3,"These traditional Polish treats will keep for a long time in an airtight container. One year, I sent a batch to my sister, but the box got lost. She received it 12 days later and reported that the cookies were worth the wait! —Jean Doxon, Omaha, Nebraska",Dishes & Beverages,Total Time:Prep: 25 min. + chilling Bake: 20 min./batch,"Yield:about 5 dozen
Prep:25 min
Cook:20 min",5,"In a large bowl, cream the butter, cream cheese and sugar until light and fluffy, 5-7 minutes. Combine flour and salt; gradually add to creamed mixture and mix well. 
   Turn onto a lightly floured surface; knead for 3 minutes or until smooth. Divide into 8 portions. Roll each portion into a ball; flatten into a 4-in. circle. Wrap and refrigerate at least 1 hour.
   In a small bowl, combine sugar, cranberries, walnuts, butter, cinnamon and allspice. On a lightly floured surface, roll 1 portion of dough into an 8-in. circle. Sprinkle with 3 tablespoons of filling to within 1/2 in. of edges. Cut into 8 wedges. 
   Roll up wedges from wide end and place point side down 2 in. apart on foil-lined baking sheets. Curve ends to form a crescent shape. Brush with egg; sprinkle with additional sugar. 
   Repeat with remaining dough and filling. Bake at 350° for 18-20 minutes or until golden brown. Remove to wire racks to cool.",14,"1 cup butter, softened","1 package (8 ounces) cream cheese, softened",1/2 cup sugar,2-3/4 cups all-purpose flour,1 teaspoon salt,filling:,3/4 cup sugar,"2/3 cup dried cranberries, finely chopped","1/2 cup finely chopped walnuts, toasted","1/3 cup butter, melted",2 teaspoons ground cinnamon,1 teaspoon ground allspice,"1 large egg, lightly beaten",Taste of Home,https://www.tasteofhome.com/recipes/cranberry-rugelach/,Additional sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil Nut Cookies,By Taste Of Home Editorial Team,Recipe by Charlotte Mains,Tested by Taste of Home Test Kitchen,4.5,6,"Brazil nuts may be an unusual ingredient for a cookie recipe, but the flavor is absolutely outstanding. The recipe from my mother for these rich buttery cookies goes back more than 70 years.",Cookies,Total Time:Prep: 15 min. Bake: 10 min./batch,"Yield:about 4-1/2 dozen
Prep:15 min
Cook:10 min",2,"In a large bowl, cream butter and sugar until light and fluffy. Add eggs, one at a time, beating well after each addition. Beat in vanilla. Combine the flour, baking soda and salt; gradually add to creamed mixture and mix well. Stir in nuts and coconut. 
   Drop by tablespoonfuls 3 in. apart onto ungreased baking sheets. Bake at 350° for 10-12 minutes or until bottom of cookies are lightly browned. Remove to wire racks.",9,"1 cup butter, softened",1 cup sugar,2 eggs,1-1/2 teaspoons vanilla extract,2-1/4 cups all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt,2 cups chopped Brazil nuts,1/2 cup sweetened shredded coconut,NA,NA,NA,NA,Taste of Home,https://www.tasteofhome.com/recipes/brazil-nut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate-Dipped Orange Cookies,By Taste Of Home Editorial Team,"Recipe by Linda Call, Falun, Kansas",Tested by Taste of Home Test Kitchen,0,10,"These tender cookies are pretty to look at—and the combination of cream cheese, orange, chocolate and almonds makes them almost irresistible. —Linda Call, Falun, Kansas",Cookies,Total Time:Prep: 40 min. Bake: 20 min./batch + cooling,"Yield:6 dozen
Prep:40 min
Cook:20 min",4,"Preheat oven to 325°. In a large bowl, beat butter, cream cheese, sugar and salt until blended. Beat in orange zest and vanilla. Gradually beat in flour. Stir in almonds.
   Shape dough into 1-in. balls; place 2 in. apart on ungreased baking sheets. Flatten with bottom of a glass dipped in sugar.
   Bake until firm, 20-25 minutes. Remove from pans to wire racks to cool completely. 
   For glaze, in a microwave, melt chocolate and butter; stir until smooth. Dip each cookie halfway in chocolate; allow excess to drip off. Sprinkle with almonds. Place on waxed paper; let stand until set.",12,"1 cup butter, softened","1 package (8 ounces) cream cheese, softened",1 cup sugar,1/2 teaspoon salt,2 tablespoons grated orange zest,1/2 teaspoon vanilla extract,2-1/2 cups all-purpose flour,1 cup finely chopped blanched almonds,glaze:,"5 ounces semisweet chocolate, chopped",3 tablespoons butter,1/4 cup finely chopped blanched almonds,NA,Taste of Home,https://www.tasteofhome.com/recipes/chocolate-dipped-orange-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
