title,author,rating,ratingnum,card1,card2,card3,card4,yield,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,source,link,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42
Red Velvet Crinkle Cookies,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,12," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ¾ cup (193.5 g) creamy peanut butter
"," 1 ⅓ cups (267 g) granulated sugar
"," 1 large egg, room temperature
"," 2 tablespoons whole milk, room temperature
"," 2 teaspoons vanilla extract
"," 1 teaspoon red food coloring
"," 3 tablespoons unsweetened cocoa powder
"," 1 ½ cups (187.5 g) all-purpose flour
",i am baker,https://iambaker.net/red-velvet-crinkle-cookies/," 1 teaspoon baking soda
"," 1 pinch kosher salt
", 1 cup (125 g) confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Batch White Chocolate Chip Cranberry Cookies,Amanda Rettke,5,3,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,12," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," ¼ cup (2 ounces) cream cheese, room temperature
"," ¾ cup (150 g) brown sugar, packed
"," ¼ cup (30 g) confectioners' sugar
"," 1 large egg, room temperature
"," 1 tablespoon vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," 2 teaspoons cornstarch
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/white-chocolate-cranberry-cookies/," 1 teaspoon kosher salt
"," 2 cups white chocolate morsels, or chips
", 1 cup dried cranberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Chex Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,NA,Resting Time 30 minutes mins,Total Time 40 minutes mins,NA,8," 1 cup (200g) granulated sugar
"," 1 cup (340g) corn syrup
"," 1 tablespoon pumpkin pie spice
"," 1 teaspoon vanilla
"," 1½ cups (387g) creamy peanut butter
"," 1 pinch kosher salt
"," 5 cups Chex cereal, I used Rice Chex
", 2 cups mini marshmallows,NA,i am baker,https://iambaker.net/pumpkin-chex-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Sandwich Cookies,Amanda Rettke,5,29,Prep Time 20 minutes mins,Cook Time 10 minutes mins,NA,Total Time 30 minutes mins,NA,18,"Ginger Cookies
"," 2 ¼ cups (281 g) all-purpose flour
"," 2 teaspoons ground ginger
"," 2 teaspoons baking soda
"," 1 teaspoon ground cinnamon
"," ½ teaspoon ground cloves
"," ¼ teaspoon kosher salt
"," ¾ cup (1 ½ sticks / 170 g) unsalted butter, softened
"," 1 cup (200 g) brown sugar
",i am baker,https://iambaker.net/ginger-sandwich-cookies/," 1 large egg, room temperature
"," ¼ cup (84 g) molasses
"," 4 tablespoons granulated sugar, for rolling"," Filling
"," ½ cup (1 stick / 113 g) butter, softened
"," ¼ teaspoon almond extract
"," 1 pinch kosher salt
"," 2 cups (250 g) confectioners' sugar
", 1 jar (7 ounces) marshmallow creme or fluff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Sugar Cookie,Amanda Rettke,4.20,5,Prep Time 20 minutes mins,Cook Time 12 minutes mins,NA,Total Time 32 minutes mins,NA,18,"COOKIES
"," 1 cup (2 sticks or 226g) unsalted butter, softened
"," 1¼ cups (250g) granulated sugar
"," ¾ cup (94g) confectioners' sugar
"," ¾ cup (163.5g) vegetable oil
"," 2 large eggs, room temperature
"," 2 tablespoons water
"," 1 teaspoon vanilla
"," 4½ cups (562.5g) all-purpose flour
",i am baker,https://iambaker.net/chocolate-sugar-cookie/," 1 cup (118g) dutch process cocoa powder
"," 1 teaspoon kosher salt
"," ½ teaspoon baking soda
", ½ teaspoon cream of tartar," CHOCOLATE FROSTING
"," 2 cups (250g) confectioners' sugar
"," ¼ cup (29.5g) cocoa powder, sifted
"," ¼ cup (61g) whole milk
"," ¼ cup (1/2 stick or 57g) butter, melted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Pie Snickerdoodles,Amanda Rettke,4.58,7,Prep Time 15 minutes mins,Cook Time 12 minutes mins,NA,Total Time 27 minutes mins,NA,14,"Apple Filling
"," 1 cup (243 g) apple pie filling, homemade or canned, finely chopped, divided"," Snickerdoodle Cookie Dough
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 ½ cups (300 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 tablespoon vanilla extract
"," 2 ¾ cups (352 g) all-purpose flour
"," 1 teaspoon cream of tartar
",i am baker,https://iambaker.net/apple-pie-snickerdoodles/," 1 teaspoon baking soda
", ¼ teaspoon kosher salt," Cinnamon Sugar
"," 3 tablespoons granulated sugar
", 1 tablespoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Sugar Cookies,Amanda Rettke,4.50,4,Prep Time 20 minutes mins,Cook Time 12 minutes mins,NA,Total Time 32 minutes mins,NA,20,"LEMON SUGAR COOKIE
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 ¼ cups (250 g) granulated sugar
"," ¾ cup (94 g) confectioners' sugar
"," ¾ cup (168 g) vegetable oil
"," 3 large eggs, room temperature
"," 2 teaspoons lemon juice
"," 1 teaspoon lemon zest
"," ½ teaspoon lemon extract
",i am baker,https://iambaker.net/lemon-sugar-cookies/," 1 teaspoon cream of tartar
"," 1 teaspoon kosher salt
", 5 ½ cups (688 g) all-purpose flour," LEMON FROSTING
"," ½ cup (1 stick / 113 g) unsalted butter, softened
"," ¾ cup (173 g) sour cream
"," 2 teaspoons lemon juice
"," 1 teaspoon kosher salt
"," ½ teaspoon lemon extract
"," 4-5 cups (500 g-625 g) confectioners' sugar
", 1 drop yellow food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Sugar Cookies,Amanda Rettke,4.86,7,Prep Time 20 minutes mins,Cook Time 12 minutes mins,NA,Total Time 32 minutes mins,NA,20,"ORANGE SUGAR COOKIE
"," 1 cup (2 sticks or 226g) unsalted butter, softened
"," 1¼ cups (250g) granulated sugar
"," ¾ cup (94g) confectioners' sugar
"," ¾ cup (168g) vegetable oil
"," 3 large (6 ounces) eggs, room temperature
"," 2 teaspoons orange juice
"," 1 teaspoon orange zest
"," ½ teaspoon orange extract
",i am baker,https://iambaker.net/orange-sugar-cookies/," 1 teaspoon cream of tartar
"," 1 teaspoon kosher salt
", 5½ cups (688g) all-purpose flour," ORANGE FROSTING
"," ½ cups (1 stick or 113g) unsalted butter, softened
"," ¾ cup (173g) sour cream
"," 2 teaspoons orange juice
"," 1 teaspoon kosher salt
"," ½ teaspoon orange extract
"," 4-5 cups (500-625g) confectioners' sugar
"," 1 drop orange food coloring, red + yellow food coloring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Ooey Gooey Butter Cookies,Amanda Rettke,4.91,10,Prep Time 5 minutes mins,Cook Time 11 minutes mins,NA,Total Time 16 minutes mins,NA,9," ½ cup (113 g) salted butter, softened
"," 1 package (8 ounces) cream cheese, softened
"," 1½ cups (300g) granulated sugar
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 1½ cups (187.5 g) all-purpose flour
"," 1 cup (125 g) confectioners' sugar, divided
"," ¾ cup unsweetened cocoa powder
", 3 teaspoons baking powder,i am baker,https://iambaker.net/chocolate-ooey-gooey-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookie Cups,Amanda Rettke,NA,NA,Prep Time 10 minutes mins,Cook Time 40 minutes mins,NA,Total Time 50 minutes mins,NA,10," 1 cup (200 g) granulated sugar
"," ½ cup (100 g) brown sugar, packed
"," 1 cup (2 sticks / 227 g) unsalted butter, softened
"," 1 teaspoon vanilla
"," 1 large egg, room temperature
"," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
"," 1 package (12 ounces or 2 cups) mini semisweet chocolate chips
",i am baker,https://iambaker.net/chocolate-chip-cookie-cups/, 12 mini Reese's Peanut Butter Cups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cream Pies,Amanda Rettke,5,18,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Chill 30 minutes mins,Total Time 50 minutes mins,NA,15,"Cookies
"," 1 cup (2 sticks / 227g) butter, softened
"," 1 cup (200 g) brown sugar, packed
"," ½ cup (100 g) granulated sugar
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla
"," 1 ½ cups (187.5 g) all-purpose flour
"," 3 cups (270 g) old-fashioned oats
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/oatmeal-cream-pies/, 2 teaspoons cinnamon," Filling
"," ¾ cup (1 ½ sticks / 170g) butter, softened
"," 3 cups (375 g) confectioners' sugar
"," 1 jar (7 ounces) marshmallow creme
", 1-3 tablespoons whole milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Skillet Cookie,Amanda Rettke,4.25,4,Prep Time 10 minutes mins,Cook Time 30 minutes mins,NA,Total Time 40 minutes mins,NA,5," 2 tubes (33 ounces) cookie dough
"," 6 Oreo cookies
"," 14 mini Snickers
"," 14 mini Reese's Peanut Butter Cups
", 18 mini Kit Kat bars,NA,NA,NA,NA,i am baker,https://iambaker.net/skillet-candy-cookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookies and Cream Cookies,Amanda Rettke,5,5,Prep Time 10 minutes mins,Cook Time 10 minutes mins,NA,Total Time 20 minutes mins,NA,10," 1 cup (2 sticks / 227 g) butter, softened
"," ½ cup (100 g) brown sugar
"," ½ cup (100 g) granulated sugar
"," 1 package (3.4 ounces) vanilla instant pudding mix
"," 2 large eggs, room temperature
"," 1 teaspoon vanilla extract
"," 2 ¼ cups (281 g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 cup (168 g) white chocolate chips
",i am baker,https://iambaker.net/cookies-and-cream-cookies/," 15 Oreo cookies, roughly crushed (big chunks are ok)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Creamsicle Cookies,Amanda Rettke,5,19,Prep Time 20 minutes mins,Cook Time 11 minutes mins,NA,Total Time 31 minutes mins,NA,13,"Creamsicle Cookie Recipe
"," ½ cup (1 stick / 113 g) salted butter, softened
"," 1 package (8 ounces) cream cheese, softened
"," 1 teaspoon fresh orange zest
"," 1 ½ cups (300 g) granulated sugar
"," 1 large egg, room temperature
"," 1 teaspoon vanilla extract
"," 1 teaspoon orange extract, starting with ½ teaspoon and taste testing the dough
"," 1 drop red food coloring, or more depending on how dark you want the orange to be
",i am baker,https://iambaker.net/creamsicle-cookies/," 2 drops yellow food coloring, or more depending on how dark you want the orange to be
"," 2 ¼ cups (282 g) all-purpose flour
"," 2 teaspoons baking powder
"," 1 cup (126 g) confectioners' sugar, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giant Cookie,Amanda Rettke,5,2,Prep Time 10 minutes mins,Cook Time 30 minutes mins,NA,Total Time 40 minutes mins,NA,9," 1 cup (2 sticks / 227 g) butter, room temperature
"," 1 cup (200 g) brown sugar
"," ½ cup (100 g) granulated sugar
"," 1 teaspoon vanilla extract
"," 2 large eggs, room temperature
"," 2 teaspoons baking soda
"," ¾ teaspoon kosher salt
"," 3 cups (375 g) all-purpose flour
", 2 cups semi-sweet chocolate chunks,i am baker,https://iambaker.net/tiktok-giant-cookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Marshmallow Butterscotch Pizza,Amanda Rettke,5,5,Prep Time 15 minutes mins,Cook Time 11 minutes mins,NA,Total Time 26 minutes mins,NA,13,"Peanut Butter Cookie Crust
"," 1 cup (258g) peanut butter, creamy or crunchy
"," ½ cup (100g) granulated sugar
"," ½ cup (100g) brown sugar
"," 1 large egg, room temperature
"," 1 teaspoon baking soda
"," 1 teaspoon vanilla
"," 1 pinch salt
", 2 cups miniature marshmallows,i am baker,https://iambaker.net/peanut-butter-marshmallow-butterscotch-dessert-pizza/," Peanut Butter Sauce
"," ½ cup (129g) peanut butter, I use chunky
"," ½ cup (1 stick or 113g) unsalted butter
", ½ cup (85g) butterscotch chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sourdough Chocolate Chip Cookies,Amanda Rettke,4.83,135,Prep Time 10 minutes mins,Cook Time 10 minutes mins,Resting time 15 minutes mins,Total Time 35 minutes mins,NA,10," 14 tablespoons (1 stick + 3/4 stick) unsalted butter, slightly softened
"," ½ cup (100g) granulated sugar
"," ½ cup (100g) brown sugar
"," 1 large egg, room temperature
"," 1 cup sourdough starter, unfed
"," 1 tablespoon vanilla extract
"," 2 cups (250g) all-purpose flour
"," 1 teaspoon Kosher salt
"," 1 teaspoon baking soda
",i am baker,https://iambaker.net/sourdough-chocolate-chip-cookies/, 2 cups (16 ounces) large chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Peanut Butter Cookies,Amanda Rettke,5,14,Prep Time 5 minutes mins,Cook Time 10 minutes mins,NA,Total Time 15 minutes mins,NA,3," 1 cup (258g) peanut butter, creamy or chunky
"," 1 cup (200g) granulated sugar
"," 1 large egg, room temperature",NA,NA,NA,NA,NA,NA,i am baker,https://iambaker.net/easy-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanilla Wafers,Amanda Rettke,4.86,34,Prep Time 15 minutes mins,Cook Time 15 minutes mins,Chill batter 15 minutes mins,Total Time 45 minutes mins,NA,9," 1 ½ cups all-purpose flour
"," ¾ teaspoon baking powder
"," ½ teaspoon Kosher salt
"," ½ cup unsalted butter, room temperature
"," ½ cup confectioners' sugar
"," ¼ cup granulated sugar
"," 1 large egg, room temperature
"," 1 tablespoon vanilla extract
", 1 tablespoon whole milk,i am baker,https://iambaker.net/vanilla-wafers/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Blueberry Thumbprint,Amanda Rettke,4.50,6,Prep Time 10 minutes mins,Cook Time 12 minutes mins,NA,Total Time 22 minutes mins,NA,11,"THUMBPRINT COOKIE
"," 1 cup (226 g) butter, softened
"," ⅔ cup (150 g) granulated sugar
"," 1 tablespoon lemon zest
"," 1 large egg yolk
", 2 cups all-purpose flour," TOPPING
"," ½ cup blueberry jam
"," 1 cup (63 g) confectioners' sugar
",i am baker,https://iambaker.net/lemon-blueberry-thumbprint/," 2 teaspoons fresh lemon juice
", 1 teaspoon milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Peanut Butter Chocolate Chip Cookies,Amanda Rettke,5,3,Prep Time 10 minutes mins,Cook Time 13 minutes mins,Chilling Time 1 hour hr,Total Time 1 hour hr 23 minutes mins,NA,9," 2 large eggs, room temperature
"," 1 cup (258 g) creamy peanut butter
"," ¾ cup (150 g) light brown sugar, packed
"," ¼ cup (50 g) granulated sugar
"," 2 teaspoons vanilla extract
"," ¾ cup (67.5 g) old fashioned oats
"," ½ teaspoon baking soda
"," ½ teaspoon kosher salt
", ½ cup (86.5 g) mini semisweet chocolate chips,i am baker,https://iambaker.net/flourless-pb-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Cheesecake Sugar Cookie,Amanda Rettke,5,NA,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,16,"SUGAR COOKIES
"," 4 1/2 cups (576g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon cream of tartar
"," 1 cup (2 sticks or 226g) salted butter, room temperature
"," 1 cup (224g or 8 ounces) vegetable oil
"," 1 cup (200g) granulated sugar
"," 1 cup (125g) confectioners sugar
"," 2 large (3.50 ounces - 4.0 ounces) eggs, room temperature
",i am baker,https://iambaker.net/orange-cheesecake-sugar-cookie/, 2 teaspoons vanilla extract," FILLING
"," 8 ounces cream cheese, room temperature
"," 1/4 cup (62.5g) confectioners' sugar
"," 1 teaspoon orange extract
"," 2 teaspoons orange juice, I prefer fresh squeezed
"," 1 drop orange food coloring, or more if desired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookies with Chocolate Chip Cheesecake Filling,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 15 minutes mins,NA,Total Time 30 minutes mins,NA,14,"SUGAR COOKIES
"," 4 1/2 cups (576g) all-purpose flour
"," 1 teaspoon baking soda
"," 1 teaspoon Cream of Tartar
"," 1 cup (2 sticks or 226g) salted butter, room temperature
"," 1 cup (224g or 8 ounces) vegetable oil
"," 1 cup (200g) granulated sugar
"," 1 cup (125g) confectioners sugar
"," 2 large (3.50 ounces - 4.0 ounces) eggs, room temperature
",i am baker,https://iambaker.net/cheesecake-stuffed-sugar-cookies/, 2 teaspoons vanilla extract," FILLING
"," 8 ounces cream cheese, room temperature
"," 1/4 cup brown sugar, packed
", 3/4 cups mini chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Cheesecake Chocolate Sugar Cookies,Amanda Rettke,NA,NA,Prep Time 15 minutes mins,Cook Time 15 minutes mins,NA,Total Time 30 minutes mins,NA,15,"CHOCOLATE SUGAR COOKIES
"," 4 1/2 cups (576g) all-purpose flour
"," 1/2 cup (59g) dark chocolate cocoa powder
"," 1 teaspoon baking soda
"," 1 teaspoon McCormick Cream of Tartar
"," 1 cup (2 sticks or 226g) salted butter, room temperature
"," 1 cup (224g or 8 ounces) vegetable oil
"," 1 cup (200g) granulated sugar
"," 1 cup (125g) confectioners sugar
",i am baker,https://iambaker.net/chocolate-raspberry-stuffed-cookie/," 2 large (3.50 ounces - 4.0 ounces) eggs, room temperature
", 2 teaspoons Vanilla Extract," FILLING
"," 8 ounces cream cheese, room temperature
"," 1/4 cup (62.5g) confectioners' sugar
", 2 teaspoons imitation raspberry extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheesecake Stuffed Chocolate Chip Cookies,Amanda Rettke,5,NA,Prep Time 10 minutes mins,Cook Time 17 minutes mins,NA,Total Time 27 minutes mins,NA,15,"COOKIES
"," 1 ⅔ cups (208 grams) cake flour
"," 1 ⅔ cups (208 grams) bread flour
"," 1 ¼ teaspoon baking soda
"," 1 ½ teaspoon baking powder
"," 1 ¼ cups (284g) unsalted butter, room temperature
"," 1 ½ teaspoon coarse salt
"," 1 cup (200g) granulated sugar
"," 1 ¼ cups (10 ounces or 225g) packed light brown sugar
",i am baker,https://iambaker.net/cheesecake-chocolate-chip-cookies/," 2 large eggs, room temperature
"," 2 teaspoons vanilla
", 16 ounces (about 3 cups) chocolate chips," FILLING
"," 8 ounces cream cheese, room temperature
", ¼ cup confectioners' sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Whoopie Pies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 8 minutes mins,Chilling Time 30 minutes mins,Total Time 58 minutes mins,NA,16,"WHOOPIE PIES
"," 2 cups (256 g) all-purpose flour
"," ½ cup (64 g) unsweetened cocoa powder
"," 1½ teaspoons baking soda
"," ½ teaspoon baking powder
"," ½ teaspoon kosher salt
"," 1 cup (200 g) granulated sugar
"," ½ cup (1 stick / 113 g) unsalted butter, room temperature
"," 1 large egg, room temperature
",i am baker,https://iambaker.net/peppermint-whoopie-pies/," 1 teaspoon McCormick Pure Vanilla Extract
", 1 cup (245 g) whole milk," PEPPERMINT WHIPPED CREAM
"," 1 pint heavy whipping cream
"," ½ cup (64 g) confectioner's sugar
"," 1 teaspoon McCormick Pure Peppermint Extract
", 6-8 drops McCormick Green Food Color,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheesy Thumbprint Appetizer,Amanda Rettke,4.50,2,Prep Time 20 minutes mins,Cook Time 14 minutes mins,Chill 30 minutes mins,Total Time 1 hour hr 4 minutes mins,NA,6," 2 cups (226 g) sharp cheddar cheese, shredded
"," 1 cup (125 g) all-purpose flour
"," 6 tablespoons (85 g) unsalted butter, chilled, cubed
"," ½ teaspoon kosher salt
"," ¼ teaspoon garlic powder
"," 1 cup homemade onion bacon jam, for filling",NA,NA,NA,i am baker,https://iambaker.net/cheesy-thumbprint-appetizer/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Cookie,Amanda Rettke,4.97,52,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,11," 2 ¼ cups (281 g) all-purpose flour
"," 2 teaspoons ground ginger
"," 2 teaspoons baking soda
"," 1 teaspoon ground cinnamon
"," ½ teaspoon ground cloves
"," ¼ teaspoon salt
"," ¾ cup (170 g) butter, softened
"," 1 cup (200 g) dark brown sugar
"," 1 large egg, room temperature
",i am baker,https://iambaker.net/ginger-cookie/," ¼ cup (84 g) molasses
"," 4 tablespoons granulated sugar, for rolling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Patty Stuffed Chocolate Cookies,Amanda Rettke,NA,NA,Prep Time 20 minutes mins,Cook Time 10 minutes mins,NA,Total Time 30 minutes mins,NA,11," 1 cup (2 sticks / 227 g) butter, softened
"," 1 cup (200 g) granulated sugar
"," 1 cup (200 g) brown sugar
"," 2 large eggs
"," 2 teaspoons vanilla extract
"," 3 cups (375 g) all-purpose flour
"," ½ cup (59 g) cocoa powder
"," 1 teaspoon baking soda
"," ½ teaspoon kosher salt
",i am baker,https://iambaker.net/peppermint-chocolate-cookies/," 36 whole peppermint patties, mini or regular-sized
"," 1 tablespoon confectioners sugar, for dusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butter Pecan Cookies,Amanda Rettke,5,6,Prep Time 15 minutes mins,Cook Time 10 minutes mins,NA,Total Time 25 minutes mins,NA,9," 1 ½ cups (163.5 g) chopped pecans, roasted*, cooled, divided
"," 1 cup (2 sticks / 227 g) unsalted butter, cold, cubed
"," 1 cup (200 g) granulated sugar
"," ½ cup (100 g) brown sugar, lightly packed
"," 2 large eggs, room temperature
"," 1 tablespoon vanilla extract
"," 2 ½ cups (312 g) all-purpose flour
"," 1 teaspoon baking soda
", ½ teaspoon kosher salt,i am baker,https://iambaker.net/butter-pecan-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colossal Snickerdoodle Cookie Sandwich,Amanda Rettke,5,NA,Prep Time 15 minutes mins,Cook Time 15 minutes mins,NA,Total Time 23 minutes mins,NA,18,"Snickerdoodle Cookie Dough
"," 1 cup (2 sticks / 227 g) unsalted butter, softened but not melted
"," 1½ cups (300 g) granulated sugar
"," 2 large eggs (4 ounces total), room temperature
"," 1 tablespoon McCormick Vanilla Extract
"," 2¾ cups (352 g) all-purpose flour
"," 1 teaspoon baking soda
"," ¼ teaspoon kosher salt
", 2 teaspoons freshly-squeezed lemon juice,i am baker,https://iambaker.net/snickerdoodle-cookie-sandwich/," Cinnamon Sugar
"," 3 tablespoons granulated sugar
", 3 teaspoons McCormick Ground Cinnamon," Cinnamon Marshmallow Frosting
"," 3 cups confectioners' sugar
"," 4 ounces cream cheese, softened
"," 7 ounces marshmallow fluff
"," 1 teaspoon McCormick Ground Cinnamon
"," caramel topping, 1 tablespoon per cookie sandwich, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
