title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14
Caramel stuffed cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack","American, British",30 minutes,15 minutes,NA,45 minutes,Servings: 12,10,"Preheat your oven to 180C / 170C Fan / 350F and line 2-3 baking trays with baking or parchment paper.
Measure out the butter and sugar and add them both to a large mixing bowl or free-standing mixer.Using the k-paddle of your free-standing mixer, a hand held mixer or wooden spoons, cream the butter and sugar together for a few minutes until it looks light and fluffy.
Crack an egg into a small bowl then add it to your mixing bowl. Add the vanilla extract. Mix them in.
Measure out the flour, add it to your bowl and give it a good mix so it is well incorporated.
Finally, pour the chocolate chips in and using a spatula or wooden spoon, mix them in thoroughly.
Scoop out a dollop of cookie mixture and flatten out the centre of it in your hand. Spoon a little dollop of caramel into the centre, then wrap the dough around it to form a ball again with your hands. If you need to add, a little more dough on top of the caramel so it's well covered.Pop it on a prepared baking tray and repeat with the others leaving room between each cookie for them to spread.
Chill the cookies in the fridge for 20-30 minutes before you bake them to stop them spreading too much in the oven.
Bake the cookies for around 12-15 minutes. They're ready when they've turned a nice golden brown colour.
Remove them from the oven and leave them to cool on the baking tray for a few minutes before putting them on a wire rack to cool completely.
Serve and enjoy!",7,100 g (½ cup) butter,150 g (⅔ cup) soft brown sugar,1 egg,½ tsp vanilla extract,200 g (1 ¼ cups) self raising flour,100 g (½ cup) chocolate chips,12 teaspoons of caramel we used Carnation caramel,Cooking With My Kids,https://www.cookingwithmykids.co.uk/caramel-cookies/,NA,NA,NA,NA,NA,NA,NA
Cornish Fairings,cookingwithmykids,NA,NA,"Afternoon tea, Snack",British,20 minutes,10 minutes,NA,30 minutes,Servings: 16,9,"Preheat your oven to 180C / 160C Fan / 350F and line 2 baking trays with baking or greaseproof paper.
Measure the flour out and put it in a large mixing bowl. Add the baking powder and bicarbonate of soda to your bowl. Next, measure the butter and cut it into small pieces.
Now, using your fingers rub the butter into the flour until the mixture resembles breadcrumbs.
Measure the sugar and spices out and add them to your mixing bowl. Mix them in.
Finally, measure out the golden syrup into a small bowl. Pop it in the microwave for ten seconds or so, or heat it gently on the hob until it has warmed. Add it to your bowl and use a wooden spoon to mix it in.
Keep mixing your biscuit/cookie mixture until it comes together in a nice dough. You might need to use your hands to help bring it all together.
Take small pieces of dough and roll them into balls the size of a walnut. You'll get roughly 16 balls from the mixture. Pop the Cornish Fairings on the prepared baking trays, leaving a gap between each one. Gently press down on each one just to flatten them slightly.
Bake the Cornish Fairings for 8-10 minutes. They're ready when they have started to turn a nice golden brown colour and have crackled on top.
Remove them from the oven and leave them on the baking trays to cool for a few minutes before putting them on a wire rack to cool completely.",9,100 g (½ cup) butter,100 g (½ cup) caster sugar,200 g (1 ⅔ cups) plain / all-purpose flour,1 ½ teaspoon baking powder,1 teaspoon bicarbonate of soda baking soda,4 tablespoons (87g) golden syrup,3 teaspoon ground ginger,Cooking With My Kids,https://www.cookingwithmykids.co.uk/cornish-fairings/,1 teaspoon mixed spice,1 teaspoon ground cinnamon,NA,NA,NA,NA,NA
Fudge cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack",British,20 minutes,12 minutes,NA,32 minutes,Servings: 16,9,"Preheat your oven to 180C / 170C Fan / 350F and line two baking trays with baking or parchment paper.
Measure out the butter and sugar and put them in a free-standing mixer or large mixing bowl.Cream the butter and sugar together with the k-paddle of your free-standing mixer, a hand held mixer or some wooden spoons. Cream it for a minute or so until it is light and fluffy. 
Crack the egg into a small bowl then put that into your mixing bowl. Add the vanilla then mix the egg and vanilla into the creamed sugar / butter mixture.
Measure in the flour and baking powder. Make sure you use your finger to level the tea spoon so you add just the right amount of baking powder.
Mix everything in until it is well combined.
Finally, pour in the fudge pieces, then using a spatula or wooden spoon, mix them in.
Take small pieces of cookie dough and gently roll them into balls. Lay them on your prepared baking tray leaving enough space between them so they've got room to spread in the oven.
Once you've rolled out all the cookies, pop your baking trays in the fridge for a least 15 minutes, to stop them spreading too much in the oven.
Bake the fudge cookies in the oven for 10-12 minutes. They're ready when they have spread and hardened a little and look nice and golden at the edges.Remove them from the oven and leave them to cool on the baking tray. They'll continue to harder as they cool.",7,150 g (2/3 cup) butter,175 g (1 cup) soft brown sugar,1 egg,1 tsp vanilla extract,225 g (1 ¼ cup) plain / all-purpose flour,1 tsp baking powder,100 g (½ cup) fudge chunks,Cooking With My Kids,https://www.cookingwithmykids.co.uk/fudge-cookies/,NA,NA,NA,NA,NA,NA,NA
Sprinkles cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack","American, British",30 minutes,10 minutes,NA,40 minutes,Servings: 16 cookies,16,"Preheat the oven to 180C / 170C Fan / 350F and line two baking trays with baking or parchment paper.
CREAM THE BUTTER AND SUGAR TOGETHER
Measure out the butter and sugar and add them to a large mixing bowl or free-standing mixer.
Using the k-paddle of your free-standing mixer, a hand held mixer or wooden spoons, cream the butter and sugar together until they are light and fluffy.
ADD THE EGG AND VANILLA
Crack the egg into a small bowl, then add that to your mixing bowl and add the vanilla.
Mix the egg and vanilla in until they are well combined. The mixture will look quite wet at this point.
ADD THE FLOUR
Measure out the flour then add that to your mixing bowl. Mix it in until it has all come together in a nicely mixed cookie dough.
MAKE THE SPRINKLE COOKIES
Start by pouring the sprinkles out into a small bowl.Take small balls of cookie dough and roll them into balls – approximately the size of ping pong balls is about right.
Roll each ball of cookie dough in the sprinkles, pressing them in gently so they stick, then pop them on your prepared baking trays. Leave a little space between them as they'll spread a little when they cook.
Put your baking trays in the fridge for 15 minutes or so, to stop the cookies spreading too much in the oven.
BAKE THE SPRINKLES COOKIES
Bake the cookies for around 8-10 minutes. They're ready when they are just starting to turn golden brown at the edges.
Remove them from the oven and leave them on the baking trays to cool.",6,100 g (¼ cups + 3 tbsp) butter,150 g (¾ cup) granulated sugar,1 egg,½ tsp vanilla extract,200 g ( ¼ cup) self raising flour*,65 g sprinkles,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/sprinkles-cookies/,NA,NA,NA,NA,NA,NA,NA
Orange biscuits,cookingwithmykids,3,1,"Afternoon tea, Snack",British,20 minutes,12 minutes,NA,32 minutes,Servings: 12,10,"Preheat your oven to 180C / 160C Fan / 350F and line 2 baking trays with  baking / greaseproof paper.
Measure out the butter and sugar and add them to a large mixing bowl or free-standing mixer. Beat it together with a hand held mixer, wooden spoons or the k-paddle of your free-standing mixer, until it is light and fluffy.
Get your kids to measure the flour and add it to your mixing bowl.Zest your oranges with the small side of a grater or zester and add that to your mixing bowl.
Mix the zest and flour in until it is well combined. The biscuit dough will be quite stiff at this point.
Crack the egg into a small bowl then add it to your mixing bowl. Juice one of your oranges until you have about 1 table spoon's worth of juice. Add it to your mixing bowl.
Mix it all in until the biscuit dough starts to come together. You might find it easier to do the last bit with your hands, just to bring all the crumbs together.
Take pieces of dough and roll them into balls about the size of a walnut / ping pong ball.Put them on your prepared baking tray then press them down gently with their hands or a fork.
Chill the biscuits in the fridge for 15 minutes.
Bake the orange biscuits in the oven for about 12 minutes. They're ready when they have started to turn a nice golden brown colour.
Remove the biscuits from the oven and leave them on their baking trays to cool for 5 minutes before putting them on a wire rack to cool completely.",6,"100 g (½ cup) butter, softened",75 g (⅓ cup + 1 tbsp) caster sugar,225 g (1 ¾ cup) plain/all-purpose flour,1 egg,orange zest from 2 oranges,1 tbsp orange juice,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/orange-biscuits/,NA,NA,NA,NA,NA,NA,NA
Strawberry cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack","American, British",25 minutes,10 minutes,NA,35 minutes,Servings: 12,12,"Preheat your oven to 180C / 160C Fan / 350F and line 2 baking trays with baking or greaseproof paper.
Cut up the strawberries into small pieces. Put the chopped strawberries into a small bowl and  measure in the lemon juice and caster sugar. Stir it all in then set it aside for ten minutes while you make the cookie dough. 
Measure both the sugars and the butter out and put them in a large mixing bowl or free-standing mixer. Beat them together with the k-paddle of your free-standing mixer, a hand held mixer or wooden spoons until they are light and fluffy.
Crack the egg into a small bowl then add it to your mixing bowl. Measure the vanilla then add it to your mixing bowl.
Mix the egg and vanilla in until they are well combined.
Measure out the flour and baking powder and add them to your mixing bowl. Make sure to use your finger to level the ½ tea spoon before you add it so you get just the right amount.
Mix the flour in until it has just come together.
Strain the strawberries and dab them with some kitchen roll to remove any excess liquid. Add them to your cookie dough and mix them in with a spatula or wooden spoon.
Dollop a spoon of cookie dough on to your prepared baking trays. Shape them with your hands so you end up with neat balls but don't flatten them. 
Chill the baking trays for 15 minutes before you put them in the oven.
Bake the cookies in the oven for 10-11 minutes. They're ready when they've turned a slightly golden colour and have started to turn crispy on top. They might still be a little soft on top as they'll continue cooking when they're out of the oven.
Remove them from the oven and leave them to cool for a few minutes before putting them on a wire rack to cool completely.",10,140 g strawberries,1 tbsp lemon juice,1 tbsp caster sugar,100 g (½ cup) butter,100 g (½ cup) caster sugar,50 g (¼ cup) soft brown sugar,1 egg,Cooking With My Kids,https://www.cookingwithmykids.co.uk/strawberry-cookies/,½ tsp vanilla extract,250 g (1 ½ cups) plain / all-purpose flour,½ tsp baking powder,NA,NA,NA,NA
Rapberry and white chocolate cookies,cookingwithmykids,NA,NA,"Afternoon tea, Snack","American, British",20 minutes,12 minutes,NA,32 minutes,Servings: 12,11,"Preheat your oven to 180C / 160C Fan / 350F and line 2 baking trays with baking or greaseproof paper.
Measure out the raspberries. Crush them slightly so you don't have too many large pieces. Then set them aside on a plate on some kitchen roll to absorb any excess moisture while you make the cookie dough.
Measure out the butter and sugars and add them to a mixing bowl or free-standing mixer. Beat them together with a hand held mixer, wooden spoons or the k paddle of your free-standing mixer until they are light and fluffy.
Crack the egg into a small bowl then add it to your mixing bowl.  Mix it together until it is well combined.
Measure the flour and baking powder and add them to your mixing bowl. When adding the baking powder, make sure to use your finger to level the top of the tea spoon so you get just the right amount.Mix it in until it has come together into a nice cookie dough.
Pour in the white chocolate chips or, if you are using white chocolate, cut it into chunks then add that to your mixing bowl.
Using a spatula or wooden spoons, stir in the chocolate until it is well spread through the cookie dough.
Finally, pour in the raspberries and gently stir them into the cookie dough. Be very careful doing this, and don't stir them too much so they don't break down too much.
Dollop 12 balls of cookie dough onto your prepared baking tray. Try and get a mixture of raspberries and chocolate chips within each cookie and make them all a similar size.Neaten/shape the cookies into balls but don't press them flat.
Put the baking trays into the fridge to chill for 5-10 minutes before baking the cookies. This will stop them spreading too much when they bake.
Bake the cookies for 10-12 minutes. They're ready when they have started to turn a golden colour and have crisped up on top.Remove them from the oven and leave them to cool on the baking tray.",8,125 g (1 cup) frozen raspberries,"100 g (½ cup) butter, softened",100 g (½ cup) caster sugar,50 g (¼ cup) soft brown sugar,1 egg,250 g (1 ½ cup) plain / all-purpose flour,½ tsp baking powder,Cooking With My Kids,https://www.cookingwithmykids.co.uk/raspberry-and-white-chocolate-cookies/,100 g (⅔cup) white chocolate chips / white chocolate,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/easter-bunny-cookies/,NA,NA,NA,NA,NA,NA,NA
Shrewsbury biscuits,cookingwithmykids,4,1,"Afternoon tea, Snack",British,20 minutes,15 minutes,NA,35 minutes,Servings: 24,17,"Measure out the sugar and add it to a large mixing bowl or free-standing mixer.
Measure out the butter and chop it into small pieces to make it easier to mix in.
Using the k paddle of your mixer, a hand held mixer or wooden spoons, cream the butter and sugar together until it is light and fluffy.
Separate the egg yolk and egg white. Set the egg white aside for later and add the egg yolk to your mixing bowl. Mix it in.
Using a zester or the small side of a grater, grate the zest from the lemon.
Tip the flour and lemon zest into your mixing bowl. If you want to make your biscuits lighter, you can sieve the flour in.
Mix the flour and lemon zest in.
Measure out the currants and add them to your mixing bowl. Using a spatula or wooden spoon, mix them in.
If you need to, add a splash of milk (no more than a tablespoon or two), just enough for it all to come together into a nice soft biscuit dough.
Tip your biscuit dough out onto a lightly floured work surface. Knead it gently with your hands so it all comes together in a ball.
Roll the dough out until it is about 5mm or ¼ inches thick.
Using a 6cm (2 ½ inch) round or fluted cutter cut out the biscuits and pop them on your prepared baking trays.
Bring together the scraps of dough back into a ball and roll it out again. When you're finished you should have around 24 biscuits.
Bake the biscuits in the oven for 8-10 minutes.
Remove them from the oven then brush the whisked egg white over the top of each biscuit, and sprinkle a little caster sugar on top.
Return the biscuits to the oven and bake them for another 4-5 minutes. They're ready when they are turning a lovely pale golden brown colour.
Remove them from the oven and leave them to cool on the baking trays for a few minutes before putting them on a wire rack to cool completely.",8,100 g (½ cup) butter,75 g (⅓ cup) caster sugar,1 egg,200 g (1 ¼ cups) plain /all-purpose flour,grated rind of 1 lemon,50 g (¼ cup) currants,1-2 tbsp milk,Cooking With My Kids,https://www.cookingwithmykids.co.uk/shrewsbury-biscuits/,caster sugar for sprinkling,NA,NA,NA,NA,NA,NA
Heart cookies,cookingwithmykids,NA,NA,Afternoon tea,"American, British",20 minutes,10 minutes,Decorating time 30 minutes mins,NA,Servings: 24,18,"Preheat your oven to 190C / 170C Fan / 375F and line 2 baking trays with baking or parchment paper.
Measure out the sugar and butter. Chop the butter into small pieces and then put them in a large mixing bowl or free-standing mixer.
Beat the butter and sugar together with the k paddle of your free-standing mixer, a hand held mixer or wooden spoons. Keep going for a few minutes until the mixture is light and fluffy. 
Measure the flour then add it to your mixing bowl. Measure out the baking powder. Make sure to level the top of the teaspoon with your finger.
Mix it all in. It'll make quite a dry, crumbly mixture at this point.
Crack the egg into a small bowl, then add it to your large mixing bowl.  Mix it together until it comes together into a nice biscuit dough. If it's easier, tip out your mixture and use your hands to bring it together.
Divide your mixture into two to make it easier to roll out.
Sprinkle a little flour down on your work surface and roll out the dough until it is about 5mm thick. Rotate it 90 degrees every few rolls so it doesn't stick.
Using heart shaped cutters  cut out the heart cookies and then put them on your prepared baking trays. We found using a small palette knife made lifting the cookies off the worktop a bit easier. Leave a little room between each cookie for them to spread slightly in the oven.
When you can't cut out any more bring the scraps back together, re-roll it and cut out some more. Repeat that until you've used all the dough. 
Chill the cookies in the fridge for 15 minutes or so to stop them spreading too much in the oven.
Bake the cookies in the oven for 8-10 minutes. Keep an eye on them – they're ready when they've started to turn a nice golden brown colour at the edges.
Remove them from the oven and leave them to cool on the baking trays for a few minutes before removing them from the trays and putting them on a wire rack to cool completely.
Measure the icing sugar out, then add a table spoon or two of hot water. Mix it together – if you need to add a little more water you can, just enough to make it runny enough to spread but not so runny that it will run off the edges of the cookies. If you find you've added too much water, simply add a little more icing sugar.
If you're planning to make more than one colour of icing, divide what you've made into different bowls. Add a drop or two red or pink food colouring and mix it well.
Either add the icing to a small piping bag or small freezer bags then cut a small hole in the corner. If you don't have piping bags or freezer bags or if you just find it easier, you can spread the icing on with the back of a tea spoon.
Pipe the icing in to each cookie and add some sprinkles before the icing sets. We found it worked best when we piped around the edges of the cookie then added more icing into the middle.
Leave the cookies to set on a wire rack.",9,250 g (1 cup) butter,250 g (1 cup) caster sugar,1 tsp baking powder,400 g (2 1/2 cups) plain / all purpose flour,1 egg,1 tsp vanilla extract,250 g (1 1/2 cups) icing / confectioners sugar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/heart-cookies/,pink/red food colouring,sprinkles,NA,NA,NA,NA,NA
Lebkuchen,NA,5,9,"Afternoon tea, Snack",German,45 minutes,12 minutes,Chilling time 1 hour hr,57 minutes,Servings: 15 cookies,16,"Weigh the butter and honey.  Put the butter and honey into a small pot and heat it gently over a low heat. Stir it until it is completely melted.
Transfer the mix into a large mixing bowl and pop it in the fridge for five minutes.
Weigh out all the dry ingredients (flour, ground almonds, baking powder, bicarb and spices) into a bowl.
Remove your honey/butter mixture from the fridge and sieve all the dry ingredients into them. Squeeze the juice from half an orange and add the juice to your bowl.
Using a wooden spoon, mix everything together. Keep mixing it until it has all come together. It'll be quite a soft and sticky dough.
Put your mixture back into the fridge for at least an hour (we left ours overnight). Once it has been chilled it will become much easier to form into cookies.
Preheat your oven to 200C / 180C Fan / 390F and line two baking trays with baking /parchment paper.
Remove your dough from the fridge and form the cookies.
To make the round Lebkuchen simply  roll pieces of dough (about the size of a ping pong ball) into balls. Put the Lebkuchen on your baking tray, leaving a little room for them to spread.
To make the shaped cookies, roll the dough out onto a lightly floured work surface until it is about 1+ cm (just less than an inch) thick. Cut the dough out using a star cutter or any other shape you like and put them on your baking tray.
Bake the cookies in the oven for around 12-15 minutes. They're ready when they have risen and turned a nice golden brown colour. They should also feel a little firm to touch.
Remove them from the oven and leave them to cool on their baking trays for a few minutes before putting them on a wire rack to cool completely.
You can either decorate the cookies with an iced glaze, chocolate or a mixture or both (which is what we did).
To decorate with icing, simply measure out the icing sugar into a small bowl and mix it with enough water to form a runny glaze. Dip the top of the cookies into the glaze, let the excess run off then leave them to set on a wire rack to set (icing side up).
To decorate with the chocolate, melt the chocolate in a heat proof bowl over a pan of simmering water (a double boiler or bain marie). Alternatively, melt it in the microwave in short bursts until it is completely smooth. Dip one side of the Lebkuchen  into the chocolate and leave it to set (chocolate side up) on your wire rack.
You can also decorate the biscuits with piped icing. Make sure the icing isn't too runny and put it in a piping bag or a small freezer bag with a tiny hole cut in the corner. Pipe tiny dots or lines or any other decoration onto the Lebkuchen.",14,200 g 2/3 cup runny honey,85 g 1/3 cup or 3/4 stick butter,200 g 1 + 2/3 cup plain / all-purpose flour,100 g 1 cup ground almonds,1 tsp baking powder,¼ tsp bicarbonate of soda,1 tsp ground cinnamon,Cooking With My Kids,https://www.cookingwithmykids.co.uk/lebkuchen/,1 tsp ground ginger,½ tsp mixed spice or all-spice,½ tsp nutmeg,½ orange,135 g 1 cup icing sugar,1-2 tbsp boiling water,100 g chocolate milk or dark
Chocolate thumbprint cookies,cookingwithmykids,5,1,Dessert,"American, British",30 minutes,10 minutes,NA,40 minutes,Servings: 16,12,"Preheat the oven to 180C/170C Fan/350F/Gas 4, and line a baking tray with baking paper.
Measure the butter and sugar, and add to a freestanding mixer, or large mixing bowl. Using your paddle attachment or a hand held mixer, beat the butter and sugar together until they are light and fluffy.
Separate the egg yolk from the white and add to your bowl. Add the vanilla extract.
Mix everything again, until it is well combined.
Measure the flour and add to your mixture. Mix everything together one last time until you have a nice, smooth dough.
Roll the dough into small balls (about a tablespoon size) and place on your prepared baking tray. 
Use your thumbs or the back of a small measuring spoon to make an indent in the middle of each biscuit.
Bake the biscuits in the oven for around 10-12 minutes. They're ready when the edges start to crack and they are slightly firm to touch.
Remove the biscuits from the oven and allow them to cool for a few minutes before placing them on a wire rack to cool completely. If the indents have risen, use the back of a small spoon to re-do them before they cool.
Measure the cocoa powder and icing sugar into a small bowl. Add the water and stir until it forms a nice thick chocolate filling.
Use a tea spoon to fill each biscuit with the chocolate filling and add a smartie/M&M or some sprinkles on top.
Leave to set and enjoy!",8,"115 g (½ cup) butter, unsalted",50 g (¼ cup) caster sugar,1 egg yolk,2 tsp vanilla extract,185 g (1 ½ cups) plain/all-purpose flour,3 tbsp cocoa powder,1 cup icing /powdered sugar,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-thumbprint-biscuits/,2-3 tbsp hot water,NA,NA,NA,NA,NA,NA
Jam thumbprint cookies,cookingwithmykids,5,2,Snack,"American, British",20 minutes,12 minutes,NA,32 minutes,Servings: 25,8,"Get your little one to measure the butter (zap it in the microwave for 10 seconds or so if it’s not soft), sugar and vanilla and add to a large mixing bowl or freestanding mixer.
Beat together with the paddle attachment of your mixer, a hand held mixer or wooden spoons until the mixture is pale and fluffy.
Crack the egg in a small bowl first then add to your mixture. Beat it together until it is well combined.
Measure the flour, baking powder and salt and add to your biscuit dough. Mix everything together until you have a soft dough.
Roll small bits of dough into balls (about 3cm in diameter) and place on your baking tray. Leave a gap between the biscuits as they’ll spread in the oven.
Gently press your thumb into the centre of each biscuit to create a small hollow.
Spoon a small amount of jam (about ½ tsp) into the centre of each biscuit until the hollow is full.
Bake in the oven for round 12-15 minutes. They’re ready when they have started to turn golden at the edges. Leave to cool on the baking trays before moving to a wire rack.",8,200 g (7/8 cup) butter (unsalted) (softened ),200 g (7/8 cup) golden caster sugar,1 tsp vanilla extract,320 g (3 cups) plain flour,1 egg,½ tsp baking powder,½ tsp salt,Cooking With My Kids,https://www.cookingwithmykids.co.uk/jam-thumbprint-cookies/,50 g raspberry jam,NA,NA,NA,NA,NA,NA
Nutella stuffed cookies,cookingwithmykids,5,3,Afternoon tea,"American, British",20 minutes,10 minutes,Freezing and chilling 4 hours hrs 30 minutes mins,NA,Servings: 12,14,"Using a spoon, spoon 12 dollops of Nutella onto a baking tray. If you need to, use another spoon to get the Nutella off the first spoon!
Freeze the Nutella for 4 hours, or longer (preferably overnight.)
Preheat your oven to 180C / 170C Fan / 350F and line 2-3 baking trays with baking or parchment paper.
Start by measuring out the butter and sugar and add them both to a large mixing bowl or free-standing mixer.
If your butter isn't soft (we always forget to take ours out the fridge beforehand), pop it in the microwave for 10 seconds or so. Just enough to soften it. You don't want it to melt.
Cream the butter and sugar together with a hand held mixer, the k paddle of your free-standing mixer or wooden spoons until it looks light and fluffy.
Crack an egg into a small bowl then add it to your mixing bowl. Add the vanilla extract.
Mix everything together.
Measure out the flour, add it to your bowl and give it a good mix so it is well incorporated.
Finally, pour the chocolate chips in. Using a spatula or wooden spoon, mix them in thoroughly.
Scoop out a dollop of cookie mixture and flatten it out in your hand. Take one of your frozen bits of Nutella and put it into the centre of the dough. Wrap the dough around the Nutella and form a ball again with your hands. Pop it on your prepared baking tray. 
Chill the cookies in the fridge for 20-30 minutes before you bake them to stop them spreading too much in the oven.
Bake the cookies for around 8-10 minutes. They're ready when they've turned a nice golden brown colour.
Remove them from the oven and leave them to cool on the baking tray for a few minutes before putting them on a wire rack to cool completely.",7,Nutella,100 g butter,150 g soft brown sugar,1 egg,½ tsp vanilla extract,200 g self raising flour,100 g chocolate chips,Cooking With My Kids,https://www.cookingwithmykids.co.uk/nutella-stuffed-cookies/,NA,NA,NA,NA,NA,NA,NA
Condensed milk cookies,cookingwithmykids,4,2,Afternoon tea,"American, British",15 minutes,15 minutes,Chilling time 30 minutes mins,NA,Servings: 12 cookies,11,"Measure the sugar out then add it to a large mixing bowl or freestanding mixer.
Measure the butter and chop it into small pieces. If your butter is too hard, (I always forget to take our out of the fridge to soften), then you can pop it in the microwave for 10 seconds or so to soften (not melt) it.
Add the butter to your mixing bowl.
Either using the k paddle of your mixer or a wooden spoon beat the butter and sugar together until it looks light and fluffy.
Measure out the condensed milk. (For us it was about half a can), then pour it into your mixing bowl.
Give everything another mix until it is well combined.
Measure out the flour then add it to your bowl. Mix it in to everyythig else until it comes together in a slightly, soft, sticky cookie dough.
Grab little walnut sized pieces and roll them into balls. Pop each cookie onto the prepared baking trays, allowing some room for the cookies to spread.
Chill the cookies in the firdge for 30 minutes before you bake them in the oven to stop them spreading too much.
Bake the cookies in the oven for 12-15 minutes. They're ready when they've started to turn a nice golden brown around the edges. They might feel a little bit soft but should harden a little as they cool.
Remove them from the oven and leave them for a few minutes to cool before putting them on a wire rack to cool completely.",4,150 g (2/3 cup) butter,150 g (¾ cup) caster sugar,200 g (2/3 cup) condensed milk,300 g (2 ½ cups) self raising flour,NA,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/condensed-milk-cookies/,NA,NA,NA,NA,NA,NA,NA
Melting moments,cookingwithmykids,4.88,8,Snack,scottish,20 minutes,12 minutes,NA,32 minutes,Servings: 14,15,"Preheat your oven to 180C / 160C Fan / 350F and line 2 or 3 baking trays with baking or parchment paper.
Measure the butter and sugar out and then add them to a mixing bowl or freestanding mixer.
Using the k-paddle of your mixer, a hand held mixer or wooden spoons, cream the butter and sugar together until it looks light and fluffy.
You might need to use a spatula to scrape down the sides of your bowl, to make sure it all mixes in.
Crack the egg into a small bowl before adding it to your mixing bowl. 
Add the vanilla extract.
Mix everything together until it is well combined. 
Measure the flour and add it to your mixing bowl. Mix everything together until it comes together in a nice ball of dough.
Pour the rolled oats into a small bowl or plate. You don't need to be too accurate, around 50g will do.
Roll out around 12-14 balls of biscuit dough then roll them in the oats. 
Pop them on the prepared baking trays and squash them down slightly.
Put a quarter glacé cherry on top.
Pop the melting moments in the oven for 10-12 minutes. They're ready when they've started to turn golden brown.
Remove them from the oven and leave them to cool on the baking trays for a few minutes before putting them on a wire rack to cool completely.
Serve and enjoy.",6,"200 g (7/8 cup) butter, softened",125 g (1 cup) caster sugar,1 egg,½ tsp vanilla extract,250 g (2 cups) self raising flour,50 g (½ cup) rolled oats,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/melting-moments/,NA,NA,NA,NA,NA,NA,NA
Danish butter cookies,cookingwithmykids,5,4,Snack,"British, danish",25 minutes,10 minutes,NA,35 minutes,Servings: 15,10,"Preheat your oven to 170C / 160C Fan / 340F and line 2 baking trays with baking paper.
Weigh the butter and icing sugar out and add them to a large mixing bowl or freestanding mixer.
Cream the butter and icing sugar togethe with the k paddle of your mixer, a hand held mixer or just some wooden spoons. Cream them, until they are light and fluffy.
Add the vanilla extract and mix it in to your butter /icing sugar mixture.
Measure the flour, and cornflour (or just cake flour if you're using it) and add it to your bowl.
Mix the flour in until everything comes together in a soft ball of dough.
Add the butter biscuit dough to a piping bag with a star nozzle attached.
Pipe circles of biscuit dough on to your prepared baking tray. 
Chill the cookies in the fridge for 20-30 minutes (to help them keep their shape).
Bake the butter cookies in the oven for 10-12 minutes. They're ready when they have started to turn golden brown at the edges.",5,125 g (1/2 cup) butter,40 g (1/2 cup) icing sugar,1 tsp vanilla extract,125 g (1 cup) plain / all-purpse flour,2 tbsp cornflour,NA,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/danish-butter-cookies/,NA,NA,NA,NA,NA,NA,NA
Chocolate dipped cookies,NA,NA,NA,Snack,British,30 minutes,10 minutes,Decorating time 5 minutes mins,45 minutes,Servings: 12 biscuits,9,"Preheat your oven to 180C / 170C Fan / 350F and line two baking trays with baking paper.
Measure out the butter, flour, icing sugar and cornflour. Add them to a free standing mixer or large mixing bowl. Using wooden spoons, your hands or the k paddle of your mixer if you're using one, mix everything together until it all comes together and forms a nice soft ball of dough. 
Lightly flour your work surface and roll out your dough until it is about ¼ inches or ½ cm thick. If the dough sticks to the rolling pin either sprinkle a little flour on it or put a sheet or baking paper on top.
Using a round cutter (about 7 or 8 cm wide) cut out biscuits and pop them on a  baking tray. 
Pop the cookies in the oven for 10 minutes. They're ready when they are just starting to turn golden brown. Remove them from the oven and leave them to cool on a wire rack.
Break the chocolate into pieces and put them in a microwavable bowl. Melt them in short bursts in a microwave. If you don't have a microwave, put the chocolate in a heatproof bowl and put it over a pan of simmering water (a double boiler), stirring it until it melts.
While the chocolate is melting, choose your sprinkles and pour them into small bowls.
This works best if the melted chocolate is in a small bowl which makes the chocolate deeper as you can get more of the biscuit dipped.
Dip each biscuit in turn, into the chocolate. As soon as you've done that, sprinkle the sprinkles over the top of the chocolate. Leave it to set on a wire rack or baking tray.",6,175 g (¾ cup) butter softened,175 g (1.5 cup) plain flour,50 g (½ cup) icing sugar,50 g (½ cup) cornflour,250 g milk chocolate,spinkles,NA,Cooking With My Kids,https://www.cookingwithmykids.co.uk/chocolate-dipped-cookies/,NA,NA,NA,NA,NA,NA,NA
