title,author,date,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Ooey-Gooey Chewy Maple Chocolate Chip Cookies,Sarah Fennel,"Jun 15, 2020",4,2,Cookies,NA,NA,NA,NA,NA,6,"Preheat oven to 350°F. Grease two cookie sheets and set aside.
In a standing mixer with a paddle attachment, cream the butter, granulated sugar, brown sugar, and maple syrup for 2 minutes until light and fluffy.
Add in egg, maple extract, vanilla extract, and salt, and beat for an additional minute. Pour in flour and turn the mixer to its lowest speed, working in the flour only until it incorporates.
Remove from mixer and fold in chocolate chunks. Use a 2 ounce cookie scoop to scoop cookies onto prepared cookie sheets.
Bake cookies for 10 minutes. Listen, I know they’ll look super underdone, but I’ve made this recipe a jillion times and 10 minutes is the magic number. Remove the cookies from the oven and allow them to sit on the baking sheet, untouched, for 10 minutes. They will continue to cook and crisp up around the edges during this time.
Once the cookies have sat for 10 minutes, you can remove them from the cookie sheet and serve!",10,"6 tablespoons Challenge salted butter, room temperature",1/4 cup granulated sugar,1/4 cup light brown sugar,1/4 cup pure maple syrup,"1 large egg, room temperature",2 teaspoons maple extract or maple flavor,1 teaspoon vanilla extract,Broma Bakery,https://bromabakery.com/ooey-gooey-chewy-maple-chocolate-chunk-cookies/,1/2 teaspoon salt,1 cup plus 5 tablespoons all-purpose flour,"1 cup dark chocolate, cut into large chunks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espresso Brownie Sandwich Cookies,Sarah Fennel,"Jun 15, 2020",5,3,Cookies,NA,NA,NA,NA,NA,7,"Preheat oven to 350°F. Grease or line two baking sheets with parchment paper. Set aside.
In a standing mixer with a paddle attachment, cream butter and brown sugar on medium for 2 minutes. Add in the egg, vanilla extract, and salt and beat 1 minute more.
Turn mixer to low and mix in cocoa, flour, and baking soda, mixing until just combined.
Use a 1/2 oz cookie scoop (or use a 1 oz cookie scoop and divide the dough in half) to scoop balls of dough. Roll each ball between palms to form perfect circle, then place on prepared baking sheet and push down slightly, making a slightly flattened disk. You should have between 36-38 scoops of dough.
Bake for 7 minutes, then remove from heat and allow cookies to cool on baking sheets until they reach room temperature.
To make the buttercream, beat the butter, espresso powder, sugar, and milk until light and fluffy, about 2 minutes. Place frosting into a piping bag with a medium tip.
Pipe roughly 1 tablespoon of frosting onto half of the cookies, then sandwich with remaining cookies. Keep refrigerated. Will last up to 5 days in the fridge.",12,"1/2 cup butter, room temperature",1 cup light brown sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,1/2 teaspoon salt,1 cup cocoa,1/2 cup flour,Broma Bakery,https://bromabakery.com/espresso-brownie-sandwich-cookies/,1/2 teaspoon baking soda,6 tablespoons salted butter,2 tablespoons instant espresso powder,1 1/4 cups powdered sugar,1 teaspoon milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden Raisin Cardamom Oatmeal Cookies,Sarah Fennel,"Jun 15, 2020",5,3,Cookies,NA,NA,NA,NA,NA,4,"Preheat oven to 350°F. Line two cookie sheets with parchment paper and set aside.
In a standing mixer fitted with a paddle attachment, cream the butter and sugars until light and fluffy, about 3 minutes. Beat in the egg and vanilla extract for an additional minute.
In a separate bowl, whisk together the flour, ground cardamom, salt, baking soda, and baking powder. With the wet ingredients mixing on low speed, slowly incorporate in the dry ingredients until almost combined. Remove from mixer and fold in oats and golden raisins with a spatula.
Scoop 3 ounces of cookie dough into a ball and place on cookie sheet, leaving 2 inches in between each cookie. Bake cookies for 12 minutes, or until just beginning to get light golden brown. Allow to cool slightly on cooling rack before noshing.",12,"1/2 cup butter, room temperature",1/2 cup white sugar,1/2 cup light brown sugar,"1 large egg, room temperature",2 teaspoons vanilla extract,1 cup plus 2 tablespoons flour,1 teaspoon freshly ground green cardamom,Broma Bakery,https://bromabakery.com/cardamom-oatmeal-cookies-recipe/,1 teaspoon salt,1/2 teaspoon baking soda,1/4 teaspoon baking powder,1 cup old-fashioned oats,1/2 cup golden raisins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sea Salt Olive Oil Chocolate Chip Cookies,Sarah Fennel,"Jun 15, 2020",4.8,5,Cookies,NA,NA,NA,NA,NA,3,"Preheat oven to 350°F. Line a large cookie tray with parchment paper.
In a medium bowl, combine melted butter, olive oil, egg, both sugars, salt, and vanilla extract. In a separate bowl, whisk together flour and baking soda. Fold the flour mixture into the wet ingredients until just combined. Fold in chopped chocolate.
Scoop dough using a 2 ounce cookie scoop, keeping about 1 inch between each cookie. Bake for 12 minutes, or until light golden brown. They will continue to bake once out of the oven!! Allow to cool slightly before topping with flaked sea salt.",10,"6 tablespoons unsalted butter, melted (I use Challenge butter!)",2 tablespoons high quality extra virgin olive oil,"1 large egg, room temperature",3/4 cup light brown sugar,1/4 cup granulated sugar,1/2 teaspoon salt,1 teaspoon vanilla extract,Broma Bakery,https://bromabakery.com/sea-salted-olive-oil-chocolate-chip-cookies/,scant 1/2 teaspoon baking soda,1 1/3 cup all-purpose flour,"4 ounces dark chocolate, roughly chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoas Macarons,NA,"Jun 15, 2020",5,3,Cookies,NA,NA,NA,NA,NA,11,"Using a fine mesh strainer, sift the almond flour, powdered sugar, cinnamon, and cocoa powder into a medium bowl.
In a standing mixer using a whisk attachment (or mixing bowl with a hand mixer), whip the egg whites and salt on high speed for about 2 minutes, until soft peaks form. Add in granulated sugar and continue to beat for 1 minute until very stiff peaks form. The egg whites should be foamy and firmly hold their shape.
Carefully pour the powdered sugar mixture on top of the whipped egg whites. Fold a spatula into the center of the mixture, scooping down to the bottom of the bowl, and then scooping upwards along the side of the bowl. You should be making a rough circle with your spatula: center, down, out, center, down, out. Slowly but surely, your two mixtures should come together. Continue to fold the mixture until it resembles molten lava- when you pick the mixture up with your spatula, large ribbons should fall down into the bowl, unbroken by the air, and the entire mixture should slowly seep downwards like molten lava.*
Fit a large pastry bag with a ½ inch tip and scoop your mixture into the bag. Pipe 1¼ inch circles onto 2-3 parchment-lined cookie sheets, leaving at least 1¼ inches between each macaron. The best way to make even circles is to pipe from directly above the macaron so your pastry tip is perpendicular to the cookie sheet. Squeeze the pastry bag from the top with one hand while using your other hand to steady the tip. Once you’ve piped your circle, swirl the pastry tip in a small spiral and lift upwards at the same time to finish your macaron.* Garnish the macarons with 2-4 dried lavender flowers. Allow macarons to air out for at least 1 hour, and up to 2 hours.
Preheat oven to 300°F. Bake macarons for 17 minutes. Allow to cool completely on their tray before frosting.
In a small saucepan, heat the sugar on medium-high heat for about 5 minutes. Use a spatula to occasionally stir the sugar, getting to the bottom of the pan. At first the sugar will be lumpy, but will soon melt and start turning a brownish color. Don’t stir too often, just enough to keep everything evenly cooking.
After 5 minutes, the sugar should become fully melted. Once it becomes an amber hue, remove from heat immediately and stir in butter. The mixture will violently bubble. You’re doing it right.
Use your spatula to stir the butter and sugar until they melt together completely. This can take 1-2 minutes.
Next, pour in the heavy cream. Stir until combined, then place back on the stove for about 30 seconds, stirring the whole time. Remove from heat and stir in coconut, then allow to cool for 15 minutes.
Place a small amount of the caramel coconut mixture onto one macaron, then sandwich it with another. Repeat with all remaining macarons.
Melt your chocolate slowly over a double boiler. Transfer to a small pastry bag fitted with a tiny tip. Drizzle over macarons!",12,2/3 cup almond flour,1 1/2 cups powdered sugar,1/8 teaspoon cinnamon,2 teaspoons cocoa powder,"3 large egg whites, room temperature",pinch salt,1/4 cup granulated white sugar,Broma Bakery,https://bromabakery.com/samoas-macarons-and-thoughts-on-writing/,1/2 cup granulated sugar,"3 tablespoons unsalted butter, room temp, cut into tablespoons","1/4 cup heavy cream, room temp",1 1/2 cups shredded coconut,2 ounces dark chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Linzer Cookies,NA,"Jun 15, 2020",5,3,Cookies,NA,NA,NA,NA,NA,0,,1,NA,NA,NA,NA,NA,NA,NA,Broma Bakery,https://bromabakery.com/cherry-linzers-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chai Latte Sandwich Cookies,Sarah Fennel,"Jun 15, 2020",5,4,Cookies,20 mins,8 mins,NA,28 mins,NA,5,"Preheat oven to 350°F. Line two large cookie sheets with parchment paper.
In a large mixing bowl with a paddle attachment, cream the butter, cream cheese, and sugar until light and fluffy. Add in egg and beat until combined.
In a separate bowl, combine flour, baking soda, salt, and spices. Slowly add the dry ingredients into the wet, mixing on low speed until just combined.
Roll out 1/2 ounce balls of dough (about the size of a large marble) and press slightly into the cookie sheet, forming a flattened disk. Bake for roughly 8 minutes, so that the cookies are still soft to the touch. Allow to cool completely before frosting.
To make the frosting, whip the butter, cream cheese, sugar, and chai concentrate until light and fluffy. Place into a small piping bag and pip out dollops of frosting over the undersides of half of the cookies. Top with other half of cookies to make cookie sandwiches!",17,"6 tablespoons butter, room temperature","2 ounces cream cheese, room temperature",3/4 cup granulated sugar,"1 large egg, room temperature",2 cups flour,1/2 teaspoon baking soda,1/2 teaspoon salt,Broma Bakery,https://bromabakery.com/chai-latte-sandwich-cookies/,2 teaspoons ground ginger,1 teaspoon fresh ground cardamom,1/2 teaspoon ground cinnamon,1/2 teaspoon black pepper,scant 1/4 teaspoon nutmeg,scant 1/4 teaspoon cloves,3 tablespoons butter,1.5 tablespoons cream cheese,1 cup powdered sugar,1.5 tablespoons chai concentrate,NA,NA,NA,NA,NA,NA
Nutella-Stuffed Gingersnap Cookies,Sarah Fennel,"Jun 15, 2020",5,4,Cookies,NA,NA,NA,NA,NA,5,"Line a large flat plate with parchment paper. Scoop 18 tablespoons of Nutella onto cookie sheet, forming flat-ish balls. Freeze for at least 15 minutes before stuffing into cookies. This will ensure the Nutella does not seep into the cookie when baked.
Once the Nutella has frozen, preheat oven to 350°F. Line a large cookie sheet with parchment paper. Set aside.
In a large bowl, combine butter, sugar, molasses, egg, vanilla extract, and fresh ginger. In a separate bowl, combine flour, baking soda, cinnamon, salt, and cloves. Fold the dry ingredients into the wet, stirring until combined. Using a 1 ounce cookie scoop, make heaping scoops (go for 1.5 oz) of dough and break in half. Flatten both halves slightly into thick pancakes. Place frozen Nutella on top of one pancake, then place other pancake on top of Nutella. Working between your hands, pinch the edges of the cookie batter together and flatten the entire ball of dough slightly more so it is about ¾ of an inch thick at the center.
In a small bowl, combine granulated sugar and powdered ginger. Dip each flattened cookie into the coating, then place on prepared cookie sheet. Do not place more than 10 cookies into the oven at a time, as they will not crack as well.
Bake for 10 minutes and no longer. This will keep the cookies nice and soft! Serve.",14,1 cup plus 2 tablespoons Nutella,"1/2 cup salted butter, melted",3/4 cup granulated sugar,1/4 cup dark molasses,"1 large egg, room temperature",1 teaspoon Rodelle Pure Vanilla Extract,2 teaspoons fresh ginger,Broma Bakery,https://bromabakery.com/nutella-stuffed-gingersnap-cookies-recipe/,2 cups flour,1 1/2 teaspoons baking soda,1 teaspoon cinnamon,1/2 teaspoon salt,1/4 teaspoon cloves,1/2 cup granulated sugar,1 teaspoon powdered ginger,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dark Chocolate Peanut Butter Sandwich Cookies,Sarah Fennel,"Jun 15, 2020",5,2,Cookies,20 mins,8 mins,NA,28 mins,NA,6,"Preheat your oven to 350°F. Lightly grease two baking sheets and set aside.
In a medium bowl, cream the butter and brown sugar together until the mixture becomes light and airy (with a KitchenAid, about 3 minutes. with a manual whisk, about 5 minutes). Add in the egg and vanilla.
In another bowl, sift together the flour, cocoa powder, baking soda, and salt. Next, add the dry ingredients into the butter mixture, stirring until just combined, being careful not to overmix the dough.
Using a 1/2 oz cookie scoop, scoop dough onto cookie sheets, leaving about 1.5″ of space in between each ball of dough. Bake for 8-10 minutes, being sure to keep an eye on the consistency of the baking cookies. Let cool completely before frosting.
In a medium bowl, whisk together the peanut butter, butter, milk, and powdered sugar. Place the frosting into a piping bag (or a ziplock bag with the corner cut off) and pipe frosting onto the underside of half of cookies, then sandwich with remaining cookies. Drizzle tops of cookies with melted peanut butter.
Devour.",13,"1/2 cup salted butter, room temperature",1 cup firmly packed light brown sugar,"1 large egg, room temperature",1 teaspoon vanilla,3/4 cup all purpose flour,1/3 cup dutch process cocoa powder,1/4 teaspoon baking soda,Broma Bakery,https://bromabakery.com/dark-chocolate-peanut-butter-sandwich-cookies/,3/4 teaspoon salt,1/3 cup peanut butter,"1/4 cup unsalted butter, room temperature",2 tablespoons milk,1 cup powdered sugar,"2 tablespoons peanut butter, melted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Pumpkin Chocolate Chip Cookies,Sarah Fennel,"Jun 15, 2020",4.7,3,Cookies,NA,NA,NA,NA,NA,4,"Preheat oven to 350°F. Line two cookie sheets with parchment paper and set aside.
In a standing mixer fitted with a paddle attachment, cream the coconut oil and brown sugar until light, about 3 minutes. Beat in the egg, pumpkin puree, and vanilla extract for an additional minute. If using food coloring, add it in now!
In a separate bowl, whisk together the flour, salt, and baking soda. With the wet ingredients mixing on low speed, slowly incorporate in the dry ingredients until almost combined. Remove from mixer and fold in chocolate chips with a spatula.
Using a 2 oz cookie scoop, scoop the dough onto the cookie sheet, leaving 2 inches in between each cookie. Try to resist rolling the dough into perfect balls- if you keep them a little messy, they’ll develop a beautiful crust. Bake cookies for 10-12 minutes, or until just beginning to get light golden brown. Do not overbake!! Allow to cool on cooling rack before serving.",10,1/2 cup coconut oil,3/4 cup light brown sugar,"1 large egg, room temperature",3 tablespoons pumpkin puree,1 teaspoon vanilla extract,orange food coloring (optional),1 1/2 cups all-purpose flour,Broma Bakery,https://bromabakery.com/softbatch-pumpkin-chocolate-chip-cookies/,1/2 teaspoon baking soda,3/4 teaspoon salt,"1 cup bittersweet chocolate, chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mom’s Chocolate Chip Cookies,Sarah Fennel,"Jun 15, 2020",4.9,10,Cookies,10 mins,NA,NA,10 mins,NA,5,"Preheat oven to 350°F. Grease two large baking sheets, or line with parchment paper.
In a large bowl, mix together the butter and brown sugar. Mix in the egg and vanilla extract.
In a separate bowl, combine the flour, salt, baking soda, and cornstarch. Incorporate the dry ingredients into the wet. Mix in 3/4 of the chocolate chips as everything is coming together. Do not overmix.**
Scoop the dough 2 tablespoons at a time and form into balls. Place on baking sheet at least 1 inch apart from each other. Top each cookie with remaining chocolate chips.
Bake for 10-14 minutes. Oven times greatly vary, so rather than baking for a time, bake for how the cookies look– you want the cookies to be a light golden brown color and still soft to the touch in the middle, as they will continue to cook as they cool. Cookies will last up to 5 days in the fridge– they’re amazing cold, too!",10,"1/2 cup salted butter, room temperature (I use Challenge butter!)","1 cup light brown sugar, packed","1 large egg, room temperature",1 teaspoon vanilla extract,1 cup plus 3 tablespoons AP flour,1/2 teaspoon salt,1/2 teaspoon baking soda,Broma Bakery,https://bromabakery.com/moms-chocolate-chip-cookies/,1 teaspoon cornstarch,1 cup bittersweet chocolate chips,"corse sea salt, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lavender Coconut Macarons,Sarah Fennel,"Jun 15, 2020",5,3,Cookies,1 hour 30 mins,17 mins,NA,1 hour 47 mins,NA,6,"Using a fine mesh strainer, sift the almond flour and powdered sugar into a medium bowl. Sift the mixture again two more times. You should be left with small almond granules each time you sift. Toss these out after each sifting.
In a standing mixer using a whisk attachment (or mixing bowl with a hand mixer), whip the egg whites and salt on high speed for about 2 minutes, until soft peaks form. Add in granulated sugar and coconut extract and continue to beat for 1 minute until very stiff peaks form. The egg whites should be foamy and firmly hold their shape.
Carefully pour the powdered sugar mixture on top of the whipped egg whites. Fold a spatula into the center of the mixture, scooping down to the bottom of the bowl, and then scooping upwards along the side of the bowl. You should be making a rough circle with your spatula: center, down, out, center, down, out. Slowly but surely, your two mixtures should come together. Continue to fold the mixture until it resembles molten lava- when you pick the mixture up with your spatula, large ribbons should fall down into the bowl, unbroken by the air, and the entire mixture should slowly seep downwards like molten lava.*
Fit a large pastry bag with a ½ inch tip and scoop your mixture into the bag. Pipe 1¼ inch circles onto 2-3 parchment-lined cookie sheets, leaving at least 1¼ inches between each macaron. The best way to make even circles is to pipe from directly above the macaron so your pastry tip is perpendicular to the cookie sheet. Squeeze the pastry bag from the top with one hand while using your other hand to steady the tip. Once you’ve piped your circle, swirl the pastry tip in a small spiral and lift upwards at the same time to finish your macaron.* Garnish the macarons with 2-4 dried lavender flowers. Allow macarons to air out for at least 1 hour, and up to 2 hours.
Preheat oven to 300°F. Bake macarons for 17 minutes. Allow to cool completely on their tray before frosting.
To make your buttercream, combine the milk and lavender flowers in a small pot and heat until the milk just begins to bubble around the edges. Turn off heat and allow to come to room temperature. Use a fine mesh strainer to strain the lavender flowers from the milk into a small bowl. Beat the butter and vanilla extract until light and fluffy, about 2 minutes. Add in the powdered sugar, infused milk, and food coloring, beating again until light and fluffy, 1 minute more. Transfer to a small pastry bag fitted with a ½ inch tip. Once your macarons have cooled, frost and serve!",13,2/3 cup almond flour,1 1/2 cups powdered sugar,"3 large egg whites, room temperature",pinch salt,1/4 cup granulated white sugar,1/2 teaspoon coconut extract,"dried lavender, for garnish",Broma Bakery,https://bromabakery.com/lavender-coconut-macarons/,1/4 cup whole milk,1 tablespoon dried lavender flowers,"4 tablespoons unsalted butter, room temperature",1/2 teaspoon vanilla extract,1 1/2 cups powdered sugar,10-15 drops purple (or a combo of red and blue) food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Fig Newtons Recipe,Sarah Crawford,"Feb 18, 2020",4.7,6,Cookies,1 hour 30 minutes,20 minutes,NA,1hr 50mins,NA,8,"In a large bowl, cream the butter and sugar until light and fluffy, about 3 minutes. Beat in the egg, vanilla extract, and orange zest.
In a separate bowl, combine the flour, whole wheat pastry flour, cinnamon, baking soda, and salt. Sift the dry ingredients over the wet, then mix until just combined.
Scoop the dough into a ball and cover with plastic wrap. Chill for at least 1 hour, or up to 1 day.
To make the fig filling, place all ingredients except for the honey into a small saucepan and cook over low heat for 10 minutes, until the liquids have evaporated and the figs begin to plump up. Remove from heat and allow to cool for a few minutes. Then, place all ingredients in a food processor, drizzle in honey, and pulse until a thick paste is formed. Remove paste from food processor, then place in a large ziplock bag.
Preheat oven to 325°F. Line a large baking tray with a silicon mat or parchment paper. Set aside.
On a floured surface, roll the chilled dough into a 10″ x14″ rectangle, using a knife or pizza cutter to cut even edges. Cut the dough lengthwise into three 3.5″x14″ strips.
Cut a 3/4 inch tip into the corner of your ziplock bag and squeeze the paste down the middle of each strip of dough. Then carefully fold each edge of dough on top of the fig paste, making a log, sealing the edges as best you can. Roll each log slightly to bond the dough together, then place seam side down onto your baking tray.
Bake for 20 minutes at 325°F, then turn on the broiler for 1 minute to slightly brown the tops of the cookies. Remove from oven and cut each log into 2″ cookies. Devour!",17,"1/2 cup unsalted butter, softened",1/2 cup light brown sugar,"1 large egg, room temperature",1 teaspoon vanilla extract,zest of 1/4 orange,1 cup all purpose flour,1/2 cup whole wheat pastry flour,Broma Bakery,https://bromabakery.com/homemade-fig-newtons-recipe/,1/4 teaspoon cinnamon,1/4 teaspoon baking soda,1/2 teaspoon salt,9 oz dried black mission figs,1/2 cup water,juice of 1/2 orange,zest of 1/2 orange,1/2 teaspoon cinnamon,1/2 teaspoon salt,1 tablespoon honey,NA,NA,NA,NA,NA,NA
White Chocolate Blueberry Oatmeal Cookies,Sarah Fennel,"Jun 15, 2020",4.7,6,Cookies,NA,NA,NA,NA,NA,4,"Preheat oven to 350°F. Line two cookie sheets with parchment paper and set aside.
In a standing mixer fitted with a paddle attachment, cream the butter and sugars until light and fluffy, about 3 minutes. Beat in the egg and vanilla extract for an additional minute.
In a separate bowl, whisk together the flour, cornstarch, salt, baking soda, and baking powder. With the wet ingredients mixing on low speed, slowly incorporate in the dry ingredients until almost combined. Remove from mixer and fold in oats and white chocolate chips with a spatula. Once incorporated fully, carefully fold in blueberries, making sure not to break them!
Using a 3 oz cookie scoop, scoop the dough onto the cookie sheet, leaving 2 inches in between each cookie. Bake cookies for 19 minutes, or until just beginning to get light golden brown. Allow to cool on cooling rack before serving!",13,"1/2 cup butter, room temperature",1/2 cup white sugar,1/2 cup light brown sugar,"1 large egg, room temperature",2 teaspoons vanilla extract,1 cup plus 2 tablespoons flour,2 teaspoons cornstarch*,Broma Bakery,https://bromabakery.com/white-chocolate-blueberry-oatmeal-cookies/,1/2 teaspoon salt,1/2 teaspoon baking soda,1/4 teaspoon baking powder,1 cup old-fashioned oats,2/3 cup white chocolate chips,1 cup fresh blueberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Ginger Oatmeal Cookies,Sarah Fennel,"Jun 15, 2020",5,1,Cookies,NA,NA,NA,NA,NA,5,"Preheat oven to 350°F. Line two cookie sheets with parchment paper and set aside.
In a standing mixer fitted with a paddle attachment, cream the butter and sugars until light and fluffy, about 3 minutes. Beat in the egg and vanilla extract for an additional minute.
In a separate bowl, whisk together the flour, ginger, salt, baking soda, and baking powder. With the wet ingredients mixing on low speed, slowly incorporate in the dry ingredients until almost combined. Remove from mixer and fold in oats with a spatula.
Scoop 2 tablespoons of cookie dough into a ball and place on cookie sheet, leaving 2 inches in between each cookie. Bake cookies for 12 minutes, or until just beginning to get light golden brown. Allow to cool on cooling rack before frosting.
Melt the white chocolate in a double boiler until completely melted, then dunk each cookie half-way into the white chocolate. Place frosted cookies on parchment paper, then sprinkle with candied ginger pieces. Allow for white chocolate to harden completely before devouring!!!",13,"1/2 cup butter, room temperature",1/2 cup white sugar,1/2 cup light brown sugar,"1 large egg, room temperature",2 teaspoons vanilla extract,1 cup plus 2 tablespoons flour,1 teaspoon ground ginger,Broma Bakery,https://bromabakery.com/white-chocolate-ginger-oatmeal-cookies/,1 teaspoon salt,1/2 teaspoon baking soda,1/4 teaspoon baking powder,1 cup old-fashioned oats,"1 1/2 cups white chocolate, chopped","1/4 cup candied ginger, finely diced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Poppy Seed Sandwich Cookies,Sarah Fennel,"Jun 15, 2020",5,2,Cookies,30 mins,8 mins,NA,38 mins,NA,5,"Preheat oven to 350°F. Line 2 large cookie sheets with parchment paper or silicon baking mats. Set aside.
In a standing mixer, cream the butter and sugar until light and fluffy, about 2 minutes. Add in egg and beat on medium speed until combined. Add in lemon extract, vanilla extract, baking powder, salt, and poppy seeds and beat until combined. Remove from mixer and fold in flour and cornmeal.
Roll tablespoons of dough into balls and place on cookie sheets at least 1.5″ apart. You should have at least 40 dough balls total. Use the back of a cup or flat surface to push the ball into a circular disk (you may have to dust with flour to keep it from sticking to the dough balls). Bake for 8 minutes, then remove immediately from oven and allow to cool on a cooling rack.
While the cookies are cooling, make the frosting. Beat the butter until light and fluffy, then add the salt, lemon juice, lemon zest, and lemon extract, beating until combined. Slowly add the powdered sugar and beat for an additional minute.
Place frosting into a piping bag fitted with a small star tip. If you’d like, you can place a small stripe of yellow gel food coloring in the bag for a pop of color. Frost 1/2 the cookies, then sandwich them together with the remaining 1/2 of cookies. Devour.",16,"1/2 cup butter, room temperature",3/4 cup sugar,"1 egg, room temperature",1 tablespoon lemon extract,2 teaspoons vanilla extract,1/2 tsp baking powder,1/2 teaspoon salt,Broma Bakery,https://bromabakery.com/lemon-poppy-seed-sandwich-cookies-recipe/,1 tablespoon poppy seeds,1 1/4 cups flour,1/2 cup cornmeal,"1/2 cup butter, room temperature",1/2 teaspoon salt,1 tablespoon lemon juice,zest of 1 lemon,1 teaspoon lemon extract,1 1/2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA
Toasted Marshmallow Nutella Sandwich Cookies,Sarah Fennel,"Jun 15, 2020",5,4,Cookies,20 mins,10 mins,NA,30 mins,NA,6,"Preheat oven to 350°F. Line a cookie sheet with parchment paper and set aside.
In a large bowl, combine Nutella, sugar, egg, and vanilla extract and mix until combined. Fold in flour and mix until incorporated.
Roll 1 1/2 tablespoons of dough into a ball and place on cookie sheet. Use the back of a fork to flatten the cookie slightly (I made fork hashtags in my cookies). Repeat until you’ve made 14 flattened cookie dough balls. Bake for 10 minutes exactly, then remove from oven and place on a cooling rack until completely cooled.
While the cookies are baking, make your marshmallow. In a double boiler, combine egg whites and sugar, whisking constantly for 2-3 minutes. Once the mixture becomes white and somewhat thickens, remove from heat and add in vanilla extract. Using a standing mixer or using a hand mixer, whip marshmallow until stiff peaks form, about 5 minutes.
Transfer marshmallow into a pastry bag fitted with a large star tip. Once cookies are cooled, pipe the underside of half of the cookies with the marshmallow. Top with another cookie, creating a cookie sandwich.
Toast the marshmallow using a pastry torch, then serve!",8,3/4 cup Nutella,3/4 cup sugar,1 egg,1 teaspoon vanilla extract,3/4 cup flour,3 large egg whites,1/2 cup sugar,Broma Bakery,https://bromabakery.com/toasted-marshmallow-nutella-sandwich-cookies/,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Chocolate Cookies,Sarah Fennel,"Jun 15, 2020",3,3,Cookies,NA,NA,NA,NA,NA,3,"Preheat oven to 350°. Grease a silpat or parchment lined baking sheet (yes, grease! these cookies stick easily, so you’ll need a little something extra).
Mix together the powdered sugar, cocoa powder, and salt. Creating a well in the center of your bowl, whisk the egg, egg white, and chocolate extract until aerated, then begin to incorporate into the powered sugar mixture. The consistency should be a thick brownie batter. Stir in chocolate chips.
Using a tablespoon scoop, scoop the batter onto baking sheet, keeping 1 1/2 inches apart. Bake for 8-10 minutes, until the cookies are shiny. Allow to cool for 4-5 minutes before placing on wire rack to cool completely. Or, you can eat them hot, because they’re just that good!",7,1 1/2 cups plus 2 tablespoons powdered sugar,1/4 cup plus 3 tablespoons dutch cocoa powder,1 teaspoon salt,"1 large egg, room temperature","1 large egg white, room temperature",1 teaspoon chocolate extract*,3/4 cup chocolate chips,Broma Bakery,https://bromabakery.com/flourless-chocolate-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
