title,author,date,rating,ratingnum,cuisine,course,categories1,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25
Chocolate Cake Mix Cookies,Jessica & Nellie,"June 19, 2020",5,3,American,"Cookies, Dessert",Home_Cake Mix Cookies,Keyword: mint chocolate cake mix cookies,10 minutes,10 minutes,NA,NA,NA,4,"Preheat oven to 350 degrees F. Spray a cookie sheet with non-stick spray.
Combine cake mix and eggs in a medium mixing bowl. Add melted butter. Mix well. Mixture will be thick.
Add in chocolate chips and walnuts and stir to combine. Cookie dough will be firm.
Use a small cookie scoop to measure out dough and place on the cookie sheet. Bake for 8-10 minutes. Once they’re done, remove from oven and let them rest for another 3-5 minutes on the hot cookie sheet. Transfer to baking racks to cool completely.",5,1 box 18.25 oz Chocolate Cake Mix,2 eggs,1/3 cup melted butter (or coconut oil),1 heaping cup of semi-sweet chocolate chips,1/2 cup chopped pecans,Family Cookie Recipes,https://familycookierecipes.com/chocolate-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIRTHDAY CAKE COOKIES,Jessica & Nellie,"June 11, 2020",5,4,American,Cookies,Home_Birthday Cookies,Keyword: birthday cake cookies,5 minutes,10 minutes,NA,NA,NA,5,"Using a hand mixer, cream the butter and sugars. Add the pudding mix and mix until well blended.
Add the eggs and vanilla and mix well.
Add the flour and baking soda and continue mixing.
Stir in the sprinkles.
Drop cookies by rounded teaspoonfuls (I use a cookie scoop) onto a greased cookie sheet. Bake for 10 minutes at 350°.",8,1 cup butter softened,1 cup sugar,1 3.4 oz pkg instant vanilla pudding mix,2 eggs,1 tsp vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/birthday-cake-cookies/,2 1/4 cups flour,1 tsp baking soda,1/3-1/2 cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanilla Meringue Cookies,Jessica & Nellie,"June 1, 2020",5,2,American,"Cookies, Dessert",Home_Easy Cookie Recipes,Keyword: Vanilla Meringue Cookies,10 minutes,30 minutes,NA,40 minutes,24 cookies,11,"Preheat the oven to 300°F and line two baking sheets with nonstick parchment paper.
Whisk the egg whites in a clean bowl, using a hand-held electric whisk, until very stiff. (You can use a stand mixer instead!)
Pour the powdered sugar and cornstarch in a strainer and shake over the bowl, releasing a little at a time, whisking until the meringue is very stiff.
Mix in the vinegar and vanilla extract. Using a medium cookie scoop, mound mixture on to the prepared baking sheets.
Bake for 30 minutes. Cool on the baking sheets, then remove them from the paper with a metal spatula. Yields about 20 cookies. Store in an airtight container on the countertop.
Using a metal spatula, remove them from the paper. I think meringue cookies need to sit at least a few hours, even up to a day, before they taste the best.
Preheat the oven to 300°F and line two baking sheets with nonstick parchment paper.
Whisk the egg whites in a clean bowl, using a hand-held electric whisk, until very stiff. (You can use a stand mixer instead!)
Pour the powdered sugar and cornstarch in a strainer and shake over the bowl, releasing a little at a time, whisking until the meringue is very stiff.
Mix in the vinegar and vanilla extract. Using a medium cookie scoop, mound mixture on to the prepared baking sheets.
Bake for 30 minutes. Cool on the baking sheets, then remove them from the paper with a metal spatula. Yields about 20 cookies. Store in an airtight container on the countertop.",5,2 Egg Whites,½ cup Powdered Sugar sifted,1 tbsp Cornstarch sifted,1 tsp White Vinegar,½ tsp Vanilla Extract,Family Cookie Recipes,https://familycookierecipes.com/vanilla-meringue-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Italian Cookies,Jessica & Nellie,"May 25, 2020",5,2,Italian,"Cookies, Dessert",Home_Frosted Cookies,Keyword: Frosted Italian Cookies,24 minutes,15 minutes,NA,9 minutes,7 dozen,6,"In a large bowl, mix together the eggs, oil, both extracts, milk, and sugar.
Add in 5 cups of flour and baking powder. The dough should be firm and not sticky. If necessary, add in a little more flour.
Chill the dough for 30 minutes to cool. Then turn the dough out onto a floured surface, add flour to your hands and begin shaping the cookies. If your dough is sticking to your hands add in more flour.
Place your dough onto a prepared baking sheet and bake at 350 degrees F for 10-14 minutes. When finished cookies will be lightly golden brown on the bottom, let cool before adding the glaze.
In a small bowl, mix together the powdered sugar, vanilla, and milk. Stir until well combined. If needed, add more powdered sugar to get a good consistency so that the glazes coats the cookies, dripping down gently on the sides.
Dip your cookies in the glaze and lay them back on the baking sheet to set. If desired, you can top with sprinkles while the glaze is wet. Let set, serve, & enjoy!",12,4 eggs,¾ cup canola oil,1 tsp vanilla extract,1 tsp almond extract,¾ cup milk,Family Cookie Recipes,https://familycookierecipes.com/frosted-italian-cookies/,1 cup sugar,5 cups flour,4 tsp baking powder,1 cup powdered sugar,1 tsp vanilla,splash of milk,food coloring if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Chip Cookies,Jessica & Nellie,"May 19, 2020",5,4,American,Cookies,Home_Chocolate Cookies,Keyword: Double Chocolate Chip Cookies,20 minutes,15 minutes,NA,35 minutes,NA,7,"In a medium bowl whisk together flour, cocoa powder, baking soda and salt.
In a large bowl cream together butter, heavy cream, both sugars and vanilla with a hand mixer.
Add eggs one at a time.
Add melted chocolate last. (Be careful your chocolate is not too hot!)
Add ⅓ of flour mixture into creamed sugar mixture. Repeat until well combined.
Stir in the chocolate chips.
Scoop onto a lined or greased cookie sheet. Bake at 350 degrees F for 15-17 minutes.",12,2 cups flour,1 cup cocoa powder,1 tsp baking soda,1/4 tsp salt,1/2 cup butter,Family Cookie Recipes,https://familycookierecipes.com/double-chocolate-chip-cookies/,1/2 cup heavy cream,1 cup brown sugar,1 cup sugar,1 tsp vanilla,2 eggs,1/3 cup melted semisweet chocolate chips,2 cups chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Cheesecake Cookie Cups,Jessica & Nellie,"May 16, 2020",5,2,American,Cookie Cups,Home_Cookie Cup Recipes,NA,10 minutes,7 minutes,NA,NA,NA,9,"Preheat oven to 350°.
In a large bowl, combine graham cracker crumbs, flour, baking soda and salt.
In another bowl, beat the butter and sugars together for 2-3 minutes. Add the egg and vanilla and continue to beat for about 2-3 minutes.
Add the dry ingredients and mix just until barely combined.
Use a cookie scoop to scoop the dough into a well-greased mini muffin pan. No need to press the dough down, you will be doing that after they bake.
Bake for 7 minutes, or until the dough is just barely beginning to brown around the edges. Immediately make indentions in each cookie cup by using the back of a tablespoon (I actually use a half tablespoon). Let the cookie cups cool completely in the pan before removing them.
You can wait to make the filling until the cookie cups have cooled, or you can make the filling while they are cooling and keep it in the refrigerator until ready to use.
To make the filling, cream the butter and cream cheese together for 2-3 minutes. Add the vanilla and mix until combined. Add the powdered sugar and continue to mix until the powdered sugar is well incorporated. Add the raspberries and use the electric mixer to mix them in.
Scoop the raspberry filling into the cooled cookie cups. I like to use an icing bag with a tip, but you can use a Ziplock bag with a small hole cut in the corner to pipe out the filling. Or you can just use a small spoon and scoop it the old-fashioned way. If the cheesecake filling has been chilled for a couple of hours, it will hold it's shape better when you pipe it in. If you want, you can add a raspberry to the top of each cookie cup. Keep in the refrigerator until ready to serve.",14,1 cup graham cracker crumbs,1 1/4 cups all-purpose flour,1/2 tsp baking soda,1/2 tsp salt,1/2 cup butter softened to room temperature,Family Cookie Recipes,https://familycookierecipes.com/raspberry-cheesecake-cookie-cups/,1/2 cup brown sugar,1/3 cup sugar,1 egg,1 tsp vanilla extract,8 oz. cream cheese softened to room temperature,1/4 cup butter softened to room temperature,4 cups powdered sugar,1 tsp vanilla extract,1 pint raspberries 6 oz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fudgy Oatmeal Cookie Bars,Jessica & Nellie,"May 12, 2020",5,2,American,Dessert,Home_Cookie Bars,Keyword: Fudgy Oatmeal Cookie Bars,10 minutes,20 minutes,NA,NA,NA,7,"Preheat oven to 350°.
In a large bowl, combine the oats, flour, baking soda and salt.
In a separate bowl, beat the butter for 2-3 minutes until whipped. Add brown sugar and beat for another 2 minutes. Add the eggs and vanilla and continue to beat for another 1-2 minutes.
Add the dry ingredients to the butter/sugar mixture and mix just until barely combined. Set aside while making the chocolate layer.
In a medium saucepan, mix all of the chocolate fudge ingredients together over low heat. Stir until everything is melted and smooth and then remove from heat.
Press 2/3 of the oatmeal cookie dough into the bottom of a greased 9X13 pan. Spread the chocolate fudge over the oatmeal layer and then drop the remaining oatmeal cookie dough over the top.
Bake for 20-25 minutes or until the top begins to lightly brown. Let cool completely before cutting. They can be stored and served at room temperature, but they are delicious cold from the fridge as well!",12,3 cups quick oats,2 1/2 cups flour,1 tsp baking soda,1 tsp salt,1 cup butter softened,Family Cookie Recipes,https://familycookierecipes.com/fudgy-oatmeal-cookie-bars/,2 cups brown sugar,2 eggs,2 tsp vanilla,2 tsp vanilla,1 can sweetened condensed milk,1 1/2 cups semi-sweet chocolate chips,2 Tbsp butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Creamsicle Cookies,Jessica & Nellie,"May 12, 2020",4.72,7,American,"Cookies, Dessert",Home_Pudding Cookies,Keyword: Orange Creamsicle Cookies,10 minutes,10 minutes,NA,20 minutes,36 cookies,6,"Preheat the oven to 375 F. Line two cookie sheets with parchment paper or silicon mats, set them aside.
Using an electric mixer, cream together the sugar and butter. Add the egg, vanilla, orange extract, and milk. Mix again to combine.
In separate bowl, combine the sour cream, pudding mix, salt, and baking soda.
Then add the flour and sour cream to the butter mixture, mixing until smooth.
Fold in the white chocolate chips and add orange coloring if desired.
Drop by rounded tablespoonfuls onto the prepared baking sheets. Bake for 10 minutes. Let cookies cool, serve, & enjoy!",12,1 cup sugar,½ cup butter softened,1 egg,1 tsp vanilla extract,1 tsp orange extract (or 3-4 drops orange essential oil),Family Cookie Recipes,https://familycookierecipes.com/orange-creamsicle-cookies/,⅓ cup sour cream,1 TBSP milk,½ tsp salt,½ tsp baking soda,2 cups flour,12 oz bag white chocolate chips,3.4 oz box vanilla pudding mix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Lemon Cookies,Jessica & Nellie,"April 27, 2020",5,2,American,Cookies,Home_Cookies Perfect for Spring,Keyword: double lemon cookies,10 minutes,10 minutes,NA,NA,36 cookies,5,"Using a hand mixer, cream the butter and sugars. Add the pudding mix and mix until well blended.
Add the eggs and vanilla and mix well.
Add the flour and baking soda and continue mixing.
Stir in the Lemon Oreo cookie chunks.
Drop cookies by rounded teaspoonfuls (I use a cookie scoop) onto a greased cookie sheet. Bake for 10 minutes at 350°.",9,1 cup butter softened,1/2 cup brown sugar,1/2 cup sugar,1 3.4 oz pkg instant lemon pudding mix,2 eggs,Family Cookie Recipes,https://familycookierecipes.com/double-lemon-cookies/,1 tsp vanilla extract,2 1/4 cups flour,1 tsp baking soda,15 Lemon Oreo cookies coarsely crushed (you want big chunks!),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Cream Cookies,Jessica & Nellie,"April 21, 2020",5,2,American,"Cookies, Dessert",Home_Cookie Cup Recipes,Keyword: Lemon Cream Pie Cookies,10 minutes,18 minutes,NA,43 minutes,24 cookies,6,"Prep: Preheat oven to 325 degrees F. Liberally spray a mini muffin tin with non-stick cooking spray.
Cookie dough: Using a hand mixer, cream the sugar and butter. Add the egg and vanilla extract, mix again. Then add the sour cream, salt, and baking soda. Add in the flour and beat until smooth.
Scoop out 1 TBSP of dough into each muffin cup, using a cookie scoop for ease. You'll have enough dough to make 24 cookie cups, plus about 6 more cookies. I just baked these additional cookies like normal on a cookie sheet.
Bake: Place the cookies in the preheated oven and bake for 17-18 minutes. Let the cookies stand for 1-2 minutes after taking them out of the oven. Spray the round side of a 1 tsp measuring spoon with non-stick spray and press down into the center of each cookie to create a well. Let them cool completely- if you need to hurry this process, feel free to stick the pan in the freezer for 20 minutes.
Lemon filling: Whisk the box of dry pudding mix and the milk until smooth. Add in the whipped topping and stir gently until combined. Transfer the filling to a pastry bag or a ziplocked bag and store in the fridge until the cookies are fully cool.
Take cookies out of muffin tin- I just slid the tip of a knife down 1 side and they popped right out. Pipe the lemon cream into each cup and top with lemon zest. Serve & enjoy!",11,1 cup sugar,½ cup butter softened,1 egg,1 tsp vanilla extract,⅓ cup sour cream,Family Cookie Recipes,https://familycookierecipes.com/lemon-cream-pie-cookies/,½ tsp baking soda,2 cups flour,3.4 oz box lemon flavored instant pudding,½ cup milk,8 oz tub of whipped topping or Cool Whip,lemon zest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Sprinkle Cookies,Jessica & Nellie,"April 6, 2020",5,2,American,"Cookies, Dessert",Home_Holiday Cookies_Easter Cookies,Keyword: Pastel Sprinkle Cookies,10 minutes,10 minutes,NA,20 minutes,NA,7,"Preheat the oven to 350°.
Either using a stand mixer or a handmixer, cream together the butter and sugar. Cream for about two minutes or until light and fluffy. Scrape down the sides of the bowl.
Add in the eggs and vanilla and mix until well combined.
Add in the flour, baking powder, and salt. Mix until fully incorporated. The dough will be sticky.
Pour your sprinkles into a bowl. Scoop the cookie dough out of the mixing bowl and place in the sprinkles. Roll the dough around in the sprinkles until it is fully covered. Reshaped the dough into a ball before placing on a parchment paper lined cookie sheet.
The cookies will spread quite a bit while baking, so I suggest limiting each cookie sheet to about eight cookies.
Bake at 350° for 10 minutes. Cool completely on the pan. The cookies will stay fresh in an airtight container for 2 to 3 days",8,1 cup butter room temp,1 cup granulated sugar,2 eggs,3 tsp vanilla,2 1/4 cups all purpose flour,Family Cookie Recipes,https://familycookierecipes.com/easter-sprinkle-cookies/,2 tsp baking powder,1/2 tsp salt,1 cup Easter colored sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Double Chocolate Cookies,Jessica & Nellie,"March 27, 2020",3.67,3,American,Cookies,Home_Chocolate Cookies,Keyword: flourless double chocolate cookies,5 minutes,10 minutes,NA,NA,24 cookies,5,"Preheat oven to 350°. Line baking sheets with silicone baking mats or parchment paper. If using parchment paper, you'll want to spray a little bit of non-stick cooking spray on top of the parchment paper as well. This cookie dough is very runny and can stick very easily!
In a large bowl, mix together the powdered sugar, cocoa powder and salt.
Add egg whites and vanilla extract and mix just until combined with a spoon. Fold in the chocolate chips.
Use a cookie scoop to scoop batter onto prepared baking sheets. Make sure to leave at least an inch (or more) between cookies. They really won't spread much more while baking.
Bake for about 10-12 minutes. Let the cookies cool completely before transferring to a plate.",6,2 1/2 cups powdered sugar,3/4 cups unsweetened cocoa powder,1/4 tsp salt,4 large egg whites about 3/4 cup liquid egg whites,1/2 tsp vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/flourless-double-chocolate-cookies/,1 1/2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Shortcake Cookies,Jessica & Nellie,"March 19, 2020",4.60,5,American,"Cookies, Cookies, Dessert",Home_Cookies with Fruit,Keyword: strawberry shortcake cookies,10 minutes,8 minutes,NA,18 minutes,24 cookies,9,"Preheat oven to 350°. Line two baking sheets with parchment paper or silicon mats, set them aside.
In the bowl of a stand mixer cream the butter and sugar together for a full 3 minutes. Scrape sides down and add in the vanilla extract and egg white. Mix until combined.
Add flour and baking powder to the bowl. Mix slowly at first gradually getting faster until the dough comes together. The texture should be like Playdoh. Add a little flour or water if needed to get it to a soft, pliable consistency.
Turn the dough out onto a floured surface. Use a rolling pin and roll until the dough is about ¼ inch thick. The cookies will not rise while baking, they will not get thinner while baking. Roll out to your desired FINISHED thickness.
Use cookie cutters and cut out desired shapes. Transfer the cookies to your prepared baking sheets.
Bake for 6-8 minutes or until the centers are puffy and no longer glossy. Pull the cookies out of the oven BEFORE they start turning brown. If they turn brown, the cookie will be dry and ‘crackery’ instead of soft and chewy.
Make the frosting by combing the butter, powder sugar, vanilla extract, and milk in the bowl of a stand mixer using the whisk attachment. Whip until well combined.
In a separate bowl, use beaters and whip the heavy whipping cream until stiff peaks form. This usually takes 5-7 minutes.
Gently fold the buttercream and whipping cream together until combined and smooth. Spread a generous amount of the Whipped Cream Frosting onto the sugar cookie base. Top with strawberry slices. Serve & enjoy!",12,½ cup butter softened,½ cup granulated sugar,2 tsp vanilla extract,1 egg white,1 tsp baking powder,Family Cookie Recipes,https://familycookierecipes.com/strawberry-shortcake-cookies/,1 ½ cups flour,¼ cup butter,1 ½ cup powdered sugar,1 tsp vanilla extract,1 TBSP milk,½ cup heavy whipping cream,Sliced Strawberries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Cake Mix Cookies,Jessica & Nellie,"March 11, 2020",5,2,American,Cookies,Home_Cake Mix Cookies,Keyword: mint chocolate cake mix cookies,5 minutes,9 minutes,NA,NA,24 cookies,4,"Preheat oven to 350°.
Mix together the cake mix, egg and butter. The less mixing the better, and since the butter is melted, you can just use a large spoon to easily mix the cookie dough. I think that the mint flavor from the M&Ms is enough, but you if you want a little bit more mint flavor, add 1/2-1 tsp of mint extract to the cookie dough and mix in completely. Fold in the M&Ms.
Use a cookie scoop to scoop out 1 Tablespoon sized balls. Place the cookie dough balls on a baking sheet and bake for 8-9 minutes. Let the cookies cool on the baking sheets for a few minutes before transferring to wire racks to cool completely.
Cookies can be stored in an airtight container for 3-4 days, or in the freezer for up to a month.",5,"1 box chocolate cake mix any kind, about 15-16 ounces",1 egg,1/2 cup butter melted,1-2 cups Dark Chocolate Mint M&Ms,1/2 tsp mint extract optional,Family Cookie Recipes,https://familycookierecipes.com/mint-chocolate-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Lemon Jello Sugar Cookies,Jessica & Nellie,"February 25, 2020",4.50,4,American,"Cookies, Dessert",Home_Sugar Cookies,"Keyword: lemon cookies, sugar cookie",10 minutes,8 minutes,NA,18 minutes,36 cookies,6,"In a large bowl cream the butter and sugar for about 2 minutes with an electric mixer. Add the jello powder and continue to mix for 1-2 minutes. Mix in the eggs until incorporated.
Mix flour, baking powder, and salt together in a separate bowl and then add to the wet mixture. Mix just until thoroughly combined. 
If rolling into ball, scoop the dough out by tablespoons and roll into smooth balls. Place on prepared cookie sheet. Spray the bottom of a measuring cup with cooking spray and then press the measuring cup onto a plate with a thin layer of sugar on it. Press each cookie ball with the bottom of the measuring cup, dipping into the sugar in between each cookie. 
If making cut-out cookies, chill the dough for at least 2 hours. Divide in half and roll out each half to about ¼"" thick. Cut out shapes and place on a prepared cookie sheet.
Bake cookies at 375° for 8-9 minutes. Let cookies fully cool before frosting.
Mix butter, sour cream, 2 cups powdered sugar, 1 tsp vanilla, and reserved Jello power with an electric mixer until smooth. Add milk ½ TBSP at a time until the mixture reaches desired consistency. Frost cookies and enjoy!",13,1 cup butter softened to room temp,1 cup sugar,3 oz box Lemon Jello,3 eggs,3 cups flour,Family Cookie Recipes,https://familycookierecipes.com/lemon-jello-sugar-cookies/,1 tsp baking powder,½ tsp salt,¼ cup butter softened to room temp,1 tbsp sour cream (or plain yogurt),2 cups powdered sugar,1 tsp vanilla extract,1-2 TBSP milk,1 TBSP Lemon Jello Powder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluffernutter Cookies,Jessica & Nellie,"February 21, 2020",4.75,4,American,Cookies,Home_Peanut Butter Cookies,Keyword: fluffernutter cookies,10 minutes,10 minutes,NA,NA,24 cookies,6,"Preheat the oven to 350°. Line a baking sheet with a silicone baking mat or parchment paper.
Mix the peanut butter and the sugars together in a large bowl. Beat with an electric mixer for 2-3 minutes. Add the egg and vanilla and beat for a few more minutes. Add the salt and baking soda and stir just until combined.
Use a cookie scoop to scoop out tablespoonfuls of the dough and shape them into balls. Place on the baking sheet and press an indentation in the middle of each dough ball. You can use your thumb or the back of a tablespoon.
Bake the cookies for 10-12 minutes. I tend to bake cookies on the shorter end of the range because I like them a little bit underdone, but if you like them a little bit on the crispier side, you can leave them in a minute or two longer.
As soon as you take the cookies out of the oven, use a tablespoon to press down the indentation a little bit more and then let the cookies cool for 2-3 minutes on the baking sheet. Transfer the cookies to a wire rack and cool completely.
When the cookies are cool, add a spoonful of marshmallow cream to the top of each cookie. The easiest way to do this is to use two spoons. Scoop with one of them and then push it off the spoon with the other spoon.",8,1 cup peanut butter,"1/2 cup brown sugar, lightly packed",1/2 cup granulated sugar,1 egg,1 tsp vanilla extract,Family Cookie Recipes,https://familycookierecipes.com/fluffernutter-cookies/,1/4 tsp salt,1 tsp baking soda,1 (7.5 oz)jar marshmallow cream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strawberry Cheesecake Cookie Bars,Jessica & Nellie,"February 11, 2020",5,3,American,Cookies,Home_Cake Mix Cookies,Keyword: strawberry cheesecake cookie bars,5 minutes,20 minutes,NA,NA,NA,5,"Preheat oven to 350°.
In a mixing bowl, combine the cake mix with the eggs and melted butter. Mix until smooth and then pour into a greased 9X13 pan.
In a separate bowl, beat the cream cheese with the sugar and vanilla until smooth. Place tablespoon sized dollops of the cream cheese filling evenly spread on top of the cake batter in the pan.
Use a knife or skewer to swirl the cream cheese filling into the cake batter. The cake batter is pretty thick because it is more like cookie dough, so it takes a little bit of effort to swirl the cream cheese filling in. Don't worry if it doesn't seem to be very pretty - it will all be fine once it bakes! If desired, add some sprinkles on top.
Bake for 20-23 minutes or until toothpick inserted in the center comes out clean. The edges should be a light golden brown. Let the bars cool completely and then slice and serve.",6,1 strawberry cake mix,2 eggs,1/2 cup butter melted,8 oz. cream cheese softened to room temperature,1/4 cup sugar,Family Cookie Recipes,https://familycookierecipes.com/strawberry-cheesecake-cookie-bars/,1 tsp vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentines Cake Mix Cookies,Jessica & Nellie,"February 7, 2020",5,2,American,"Cookies, Dessert",Home_Holiday Cookies_Valentine's Day Cookies,Keyword: Valentines Cake Mix Cookies,15 minutes,9 minutes,NA,24 minutes,36 cookies,6,"Preheat the oven to 350° F. Line two baking sheets with parchment paper and set aside.
Using an electric mixer, combine the cake mix and egg whites. The texture of the mixture will be similar to wet sand.
Add the coconut oil to the cake mix mixture, combine until smooth. The cookie dough will be very thick and slightly sticky.
Allow the cookie dough to rest for a couple of minutes, this will make scooping and rolling easier. Scoop the cookie dough and then roll each ball to smooth the edges before arranging them on the parchment paper-lined cookie sheet.
Bake for 8-10 minutes, pulling them out when the cookies are puffy and the tops are no longer glossy. Let cool for 3-4 minutes on the cookie sheet, then transfer them to a cooling rack.
Whisk icing ingredients together until smooth. Add food coloring if desired. Spoon on top of cooled cookies, topping with Valentines candy and sprinkles, if desired. Let the icing set, then serve & enjoy!",8,16.25 oz box White Cake Mix,3 egg whites,⅓ cup coconut Oil melted,2 TBSP butter melted,2 TBSP milk,Family Cookie Recipes,https://familycookierecipes.com/valentines-cake-mix-cookies/,1 ½ cups powdered sugar,½ tsp vanilla extract,Valentine’s Sprinkles & Candies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Bars Recipe,Jessica & Nellie,"January 30, 2020",5,2,American,Dessert,Home_Cookie Bars,Keyword: sugar cookie bars,10 minutes,15 minutes,NA,NA,24 servings,6,"Preheat oven to 350°. Line a 9X13 pan with parchment paper and lightly spray the parchment paper with nonstick spray.
In a large bowl, cream together the butter and sugar for about 3-4 minutes. Add the eggs, vanilla extract and almond extract and beat together for another 2-3 minutes.
In a separate bowl, whisk together the flour, salt and baking powder.
Add the flour mixture to the butter mixture and mix just until combined. Press the cookie dough evenly into the prepared pan.
Bake for 15-18 minutes or until the edges barely start to turn a light golden brown. Cool completely before frosting.
To make the frosting, just mix the butter, sour cream (or yogurt), powdered sugar and vanilla together with an electric mixer until well combined. Add food coloring if desired and then add the milk, just a little bit at a time to get the consistency that you want.",14,¾ cup butter softened to room temperature,1 cup sugar,2 eggs,½ tsp vanilla extract,½ tsp almond extract,Family Cookie Recipes,https://familycookierecipes.com/sugar-cookie-bars/,2 ½ cups flour,¾ tsp salt,¼ tsp baking powder,½ cup butter softened,2 Tbsp sour cream/plain yogurt,4 cups powdered sugar,2 tsp vanilla,food coloring if desired,1-2 Tbsp of milk to consistency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Chocolate Chip Cookies,Jessica & Nellie,"January 29, 2020",5,2,American,"Cookies, Dessert",Home_Chocolate Chip Cookies,"Keyword: banana cookies, chocolate chip cookies, pudding cookies",15 minutes,10 minutes,NA,25 minutes,36 cookies,4,"Preheat oven to 350 degrees F. Line two baking sheets with parchment paper or silicon mats, set them aside.
In a small bowl mash the ripe banana. In a large bowl cream together the sugar and butter. Add the eggs, pudding mix, mashed banana, salt, and baking soda. Stir until smooth.
Add flour 1 cup at a time, mixing until smooth between additions. Stir in chocolate chips.
Drop by rounded tablespoonfuls onto greased cookie sheet. Bake for 10-11 minutes. Transfer to a cooling rack and enjoy!",9,1 cup sugar,½ cup butter softened,2 eggs,3.4 oz box vanilla pudding mix,½ tsp salt,Family Cookie Recipes,https://familycookierecipes.com/banana-chocolate-chip-cookies/,½ tsp baking soda,2 ½ cups flour,2 cups semi-sweet chocolate chips,1 ripe banana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cherry Oatmeal Cookies,Jessica & Nellie,"January 16, 2020",5,5,American,Cookies,Home_Oatmeal Cookies,Keyword: white chocolate cherry oatmeal cookies,30 minutes,10 minutes,NA,NA,36 cookies,10,"Put the cherries in a heatproof bowl. In a small saucepan, bring the orange juice to a boil over medium heat. Pour the orange juice over the cherries and set them aside for about 30 minutes to soak. Drain the cherries well and pat dry with a paper towel to remove any remaining moisture. Set the cherries aside.
Preheat the oven to 350°.
Mix the flour, cinnamon, baking soda and salt together in a small bowl and set aside.
In a larger bowl, cream the butter and sugars together for at least 2-3 minutes, until light and creamy.
Add the eggs and vanilla and mix for another 2-3 minutes.
Add the dry mixture and mix just until combined.
Stir in the oats, mixing just until they are fully incorporated in the dough.
Fold in the drained cherries and the white chocolate chips, mixing just until barely combined. Do not overmix the dough after you have added the flour mixture!
Use a cookie scoop to scoop the dough onto prepared cookie sheets. I prefer to use silicone baking mats, but parchment paper or lightly greased cookie sheets work fine as well.
Bake the cookies for about 10-12 minutes, or until the edges just barely start to brown. Let the cookies cool for a few minutes on the baking sheets before transferring to a wire rack to cool completely.",13,2 cups dried cherries I had two different varieties of dried cherries which is why there are two different colors - both of them worked well!,1 cup orange juice,1 1/2 cups all-purpose flour,1 Tbsp ground cinnamon,1 tsp baking soda,Family Cookie Recipes,https://familycookierecipes.com/white-chocolate-cherry-oatmeal-cookies/,1/2 tsp salt,1 1/2 cups butter softened to room temperature,1 cup light brown sugar,1/2 cup sugar,2 eggs,1 Tbsp vanilla extract,3 cups old-fashioned rolled oats,1 bag 12 oz white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
