title,author,datelisted,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,source,link,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Funfetti Cheesecake Pudding Cookies,Alyssa Rivers,05/17/21,5,2,Desserts,15 minutes,10 minutes,NA,25 minutes,24 Cookies,5,"Preheat your oven to 350 and prepare baking sheets by lining with parchment paper.
In a large bowl mix together flour, baking soda, salt, and cheesecake pudding mix. Set aside.
In your mixer cream together butter, sugar and brown sugar. Add eggs and vanilla and mix together. Add your bowl of dry ingredients. Add rainbow sprinkles and mix together. Lastly add the white chocolate chips.
Scoop out the cookie dough into about 1 inch balls.
Bake for about 10-12 minutes or until slightly golden. Let cool and enjoy!",11,▢ 2 1/4 cups flour,▢ 1 teaspoon baking soda,"▢ 1 package cheesecake pudding mix 3.4 oz., vanilla will also work as a substitute",▢ 1/2 teaspoon salt,▢ 1 cup unsalted butter softened,▢ 3/4 cup brown sugar,▢ 1/4 cup granulated sugar,▢ 2 large eggs,▢ 1 teaspoon vanilla extract,▢ 2 cups white chocolate chips,▢ 1/2 cup rainbow sprinkles,NA,NA,The Recipe Critic,https://therecipecritic.com/funfetti-cheesecake-pudding-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Bars,Kristen Stevens,Updated 11/25/21,5,2,Desserts,10 minutes,25 minutes,NA,35 minutes,16 bars,6,"Preheat your oven to 350 degrees. Butter a 9×9 or 9×13 baking dish then lightly dust it with flour.
Cream the butter, brown sugar, and granulated sugar in a large bowl or stand mixer until light and fluffy, about 2 minutes.
Add the eggs, milk, and vanilla and beat until combined.
Add the flour, rolled oats, baking soda, and salt and stir until mostly mixed using a wooden spoon. Add ¾ cup of both the chocolate chunks and chocolate chips and stir until they are mixed into the batter.
Transfer the batter to the baking dish and gently press the top down so that it is smooth. Top with the reserved ¼ cup of both the chocolate chunks and chocolate chips.
Bake for 20-25 minutes if using a 9×13 inch pan or 25-30 minutes if using a 9×9 inch pan. The edges should be golden and the center not wiggly if you shake the pan. Let the bars cool completely before cutting them into squares.",12,▢ 1 cup butter at room temperature,▢ ¾ cup brown sugar packed,▢ ¼ cup granulated sugar,▢ 2 large eggs,▢ 1 tablespoon milk,▢ 1 tablespoon vanilla,▢ 1 ½ cups all-purpose flour,▢ 2 cups old-fashioned rolled oats,▢ 1 ½ teaspoons baking soda,▢ ½ teaspoon salt,▢ 1 cup chocolate chunks divided,▢ 1 cup chocolate chips divided,NA,The Recipe Critic,https://therecipecritic.com/oatmeal-chocolate-chip-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugar Cookie Bars,Alyssa Rivers,05/09/21,NA,NA,Desserts,15 minutes,17 minutes,NA,32 minutes,12 Bars,4,"Preheat oven to 375 degrees Fahrenheit. Grease a 9 x 13-inch pan and set it aside. In a large mixing bowl, combine 2 ½ cups all-purpose flour, ½ teaspoon baking powder and ½ teaspoon salt, then set it aside.
In a stand mixer or with beaters, cream together ½ cup butter and 1 cup granulated sugar until fluffy, about 3 minutes. Combine 1 large egg, 1 egg white, 1 ½ tablespoons sour cream, and 1 teaspoon vanilla extract. Mix together until fully incorporated. Add the dry ingredients until all is fully combined.
Gently press the dough into the bottom of your 9 x 13-inch pan. Bake for 17-20 minutes until the edges are lightly golden and a toothpick inserted in the center is clean. Let them completely cool before frosting.
To make the frosting, whip together ¼ cup unsalted butter, 2 cups powdered sugar, and 2-3 tablespoons half and half until fluffy. Add ½ teaspoon vanilla. Add any color of food coloring if using. Spread on top of the cooled bars.",14,▢ ½ cup butter softened,▢ 1 cup granulated sugar,▢ 1 large egg,▢ 1 egg white,▢ 1 ½ tablespoons sour cream,▢ 1 teaspoon vanilla extract,▢ 2 ½ cups all-purpose flour,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ ¼ cup unsalted butter softened,▢ 2 cups powdered sugar,▢ 2-3 tablespoons half and half,▢ ½ teaspoon vanilla,The Recipe Critic,https://therecipecritic.com/sugar-cookie-bars/,▢ any color of food coloring optional,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Raisin Cookies,Alyssa Rivers,Updated 11/25/21,4.59,12,Desserts,15 minutes,10 minutes,NA,25 minutes,24 Cookies,5,"In a medium size bowl combine the flour, cinnamon, baking soda, and salt.
In another bowl cream the butter, brown sugar, sugar, eggs, vanilla and honey.
Slowly combine the flour mixture.
Add in the oats and raisins and mix until combined. Chill for 30 minutes.
Preheat the oven to 350 degrees. Scoop out a tablespoon of cookie dough and place on a parchment lined baking sheet. Bake for 8-10 minutes or until golden brown.",12,▢ 2 cups flour,▢ 1 teaspoon cinnamon,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1 cup butter softened,▢ 1 cup brown sugar,▢ 1/2 cup sugar,▢ 2 large eggs,▢ 1 Tablespoon Vanilla,▢ 2 Tablespoons honey,▢ 3 cups old fashioned oats,▢ 1 heaping cup raisins,NA,The Recipe Critic,https://therecipecritic.com/oatmeal-raisin-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Air Fryer Chocolate Chip Cookies,Alyssa Rivers,03/29/21,NA,NA,Desserts,10 minutes,20 minutes,NA,30 minutes,12 Cookies,3,"In a medium sized mixing bowl cream together cream butter, and sugars. Add eggs and vanilla and beat until fluffy.
Add flour, baking soda, baking powder and salt until combined. Add the chocolate chips and mix well.
Line your air fryer with parchment paper. Using a 1 inch cookie scoop, scoop out the dough and drop 4 cookies into the basket of the air fryer. Using a cup press the cookies so they are flat. Bake at 350 for 5-7 minutes.",10,▢ 1 cup butter softened,▢ ¾ cup brown sugar,▢ 1 cup sugar,▢ 2 large eggs,▢ 2 teaspoon vanilla,▢ 3 ½ cups flour,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon baking powder,▢ 1 teaspoon salt,▢ 2 cups milk chocolate chips,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/air-fryer-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Thin Mints,Alyssa Rivers,03/09/21,NA,NA,Desserts,20 minutes,15 minutes,NA,35 minutes,17 cookies,9,"Beat together 4 ounces unsalted butter, ⅓ cup granulated sugar, ¼ teaspoon peppermint extract, and ½ teaspoon pure vanilla extract in a mixing bowl until combined and fluffy.
Sift 1 cup all-purpose flour and ¼ cup Dutch-processed cocoa powder into a small mixing bowl. Stir in ⅛ teaspoon kosher salt. Add the flour mixture to the butter mixture. Mix until a dough forms, scraping the side of the bowl as necessary while mixing to ensure the flour is mixed well with the butter.
Scrape the dough out of the bowl onto a piece of plastic wrap. Flatten it into a disk, wrap well, and refrigerate for at least 30 minutes and up to 1 hour.
When the dough is firm but still malleable, remove it from the refrigerator and roll it into a ¼ inch thick on a cocoa-dusted surface. Cut with a 2-inch cookie cutter. Reroll the scraps and keep cutting out cookies until the dough is gone.
Place the cookies in a container or a lined baking sheet and freeze for about 15 minutes.
Preheat the oven to 350 degrees Fahrenheit. When the oven is ready, place cookies on another parchment-lined baking sheet 1-2 inches apart and bake for 15 minutes.
Remove from the oven, and let cookies cool on the baking sheet for 5-10 minutes before transferring to a wire rack to cool completely.
Combine 8 ounces chocolate melting wafers, ¼ teaspoon coconut oil, and ¼ teaspoon peppermint extract in a heatproof bowl, set it over a pot of simmering water, and stir until the chocolate is completely melted.
Dip cooled cookies in the melted chocolate using a fork, then turn to coat both sides. Tap excess chocolate off and place coated cookies on a parchment-lined baking sheet. Allow the chocolate coating to dry completely at room temperature or refrigerate to speed it up.",10,▢ 4 ounces unsalted butter room temperature,▢ ⅓ cup granulated sugar,▢ ½ teaspoon pure vanilla extract,▢ ¼ teaspoon peppermint extract,▢ 1 cup all-purpose flour,▢ ¼ cup Dutch-processed cocoa powder,▢ ⅛ teaspoon kosher salt,▢ 8 ounces chocolate melting wafers,▢ ¼ teaspoon coconut oil,▢ ¼ teaspoon peppermint extract,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/thin-mints/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy Oatmeal Cookies,Aimee Mars,Updated 11/25/21,4.60,5,Desserts,10 minutes,10 minutes,NA,30 minutes,16 servings,6,"Preheat the oven to 350ºF and line a rimmed baking sheet with parchment paper or use a silicone baking mat.
Whisk the maple syrup, coconut oil, egg, and vanilla extract together in a large bowl until smooth. To keep the coconut oil from solidifying when you add it to the bowl making sure the other ingredients are at room temperature.
In a separate medium bowl mix the instant oats, flour, baking powder, cinnamon, salt, and raisins together.
Use a wooden spoon to mix the dry ingredients into the wet until fully combined. Using a cookie scoop or the same spoon scoop out the dough and place it on the prepared baking sheet. The dough will be crumbly and you can use your hands to shape them and misplace any dough pieces.
Flatten the tops of the cookies with the back of the spoon or cookie scoop to about 3/4-inch in thickness.
Bake for 10 minutes and then let the cookies cool on the baking sheet for an additional 10 minutes before moving them to a baking rack.",10,▢ 1/3 cup Maple Syrup or honey,▢ 1/4 cup Coconut Oil melted,▢ 1 large Egg room temperature,▢ 1 teaspoon Vanilla Extract,▢ 1 cup Quick Oats,▢ 1/2 cup Whole Wheat Flour,▢ 1 teaspoon Baking Powder,▢ 1 teaspoon Cinnamon,▢ 1/4 teaspoon Salt,▢ 1/4 cup Raisins,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/healthy-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Cookies,Serene Herrera,12/08/20,5,5,Desserts,5 minutes,12 minutes,NA,47 minutes,18 Servings,9,"In a large bowl combine 1 ½ cups all-purpose flour, ½ cup almond flour, ½ teaspoon salt, and ½ teaspoon baking powder. Mix together and set aside.
Using a stand or a hand mixer, beat 1 cup unsalted butter until smooth and creamy. 
Add in 1 large egg, ¾ cup granulated sugar, and 1 teaspoon almond extract. Mix until well combined. 
Add the flour mixture into the butter mixture. Mix until combined, scraping the sides of the bowl as needed. 
Cover the bowl of dough and place in the refrigerator to chill for 30 minutes. 
Preheat the oven to 350 degrees Fahrenheit and line a baking sheet pan with a parchment paper. 
Using a small cookie scoop, scoop the cookie dough and place it on the baking sheet 2 inches apart. Gently press down the dough to flatten to about ½ inch thickness. Top with sliced almonds. 
Bake for 10-12 minutes until just starting to brown along the edges. 
Allow cookies to cool on the baking sheet for about 5 minutes then transfer to a wire rack to continue cooling. ",9,▢ 1 ½ cups all-purpose flour,▢ ½ cup almond flour,▢ ½ teaspoon salt,▢ ½ teaspoon baking powder,▢ 1 cup unsalted butter softened,▢ 1 large egg,▢ ¾ cup granulated sugar,▢ 1 teaspoon almond extract,▢ sliced almonds,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/almond-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brookies Cookies,Amy Nash,12/07/20,5,2,Desserts,20 minutes,10 minutes,NA,30 minutes,24 cookies,7,"Line a couple of baking sheets with parchment paper and preheat the oven to 375 degrees Fahrenheit.
In a microwave-safe bowl, heat ½ cup salted butter in the microwave until melted. Add ¾ cup brown sugar and beat well with a hand mixer for 1-2 minutes until light. Add 1 egg and 1 teaspoon vanilla extract and mix again.
Mix in 1 cup all-purpose flour, ⅓ cup unsweetened cocoa powder, ¼ teaspoon baking soda, ¼ teaspoon salt, and ½ cup chocolate chips until combined. Stick the bowl in the fridge while preparing the chocolate chip cookie dough.
In a separate bowl, combine ½ cup softened salted butter, ¼ cup granulated sugar, and ½ cup light brown sugar. Beat for 1-2 minutes until creamy and smooth.
Add 1 egg, 1 egg yolk, and 1 teaspoon vanilla extract and beat for another 2 minutes until light. Add in 1 ⅓ cups all-purpose flour, ½ teaspoon baking soda, 2 tablespoons cornstarch, ½ teaspoon salt, and 1 cup chocolate chips, mixing just until combined. There is no need to chill this dough.
Use a small, tablespoon-size cookie scoop to scoop mounds of each kind of dough, then combine one of each kind and roll them into a ball to make cookies that have both flavors. Space the balls of two-toned cookie dough a few inches apart on the prepared baking sheet so that one type of dough is visible on each side rather than one on top and one on bottom.
Once all of the cookies are formed, bake them in the oven for 9-11 minutes, until they are light brown and set around the edges. Press a few extra chocolate chips into the tops of each cookie as soon as they come out of the oven.",20,▢ ½ cup salted butter,▢ ¾ cup brown sugar,▢ 1 egg,▢ 1 teaspoon vanilla extract,▢ 1 cup all-purpose flour,▢ ⅓ cup unsweetened cocoa powder,▢ ¼ teaspoon baking soda,▢ ¼ teaspoon salt,▢ ½ cup chocolate chips,▢ ½ cup softened salted butter,▢ ½ cup light brown sugar,▢ ¼ cup granulated sugar,▢ 1 teaspoon vanilla extract,The Recipe Critic,https://therecipecritic.com/brookies-cookies/,▢ 1 egg,▢ 1 egg yolk,▢ 1 ⅓ cups all-purpose flour,▢ 2 tablespoons cornstarch,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,▢ 1 cup chocolate chips plus more for the tops of the cookies,NA,NA
Linzer Cookies,Alyssa Rivers,11/28/20,5,3,Desserts,15 minutes,12 minutes,NA,27 minutes,15 Cookies,11,"Add ½ cup granulated sugar and 1 teaspoon orange zest, to a stand mixer bowl, use a hand whisk or your fingers to rub the mixture together to release the citrus oil.
Add 4 ounces room-temperature unsalted butter and beat the mixture with the paddle attachment until fluffy. Add 1 large room-temperature egg yolk and ½ teaspoon vanilla extract, and beat until combined.
In a small mixing bowl, whisk together 1 cups all-purpose flour, ¾ cup almond flour, ¼ teaspoon kosher salt, and ¼ teaspoons cinnamon. Add the flour mixture to the butter mixture and mix until just combined.
Scrape the dough out of the bowl onto a piece of plastic wrap, pat it into a flat disc or rectangle, wrap well, and refrigerate for at least 1 hour or until firm.
On a lightly floured countertop, roll the dough to ¼” thick and cut with a 2” circular cookie cutter. Use a smaller cookie cutter to make a cutout in the center of half of the cookies.
Gather the scraps and roll the dough back out again, continue cutting until it's all been used. Place the cutout cookies on a parchment-lined baking sheet about 1” apart. Refrigerate while waiting for the oven to preheat.
Preheat the oven to 350 degrees Fahrenheit.
Bake for 10-12 minutes until the edges are just beginning to brown. Let them cool on the baking sheet for 5 minutes before moving them to a wire rack to cool completely.
Place the cookies with the center cutouts on a separate baking sheet and sift powdered sugar for finishing over the top.
Place the whole cookies on another baking sheet with the bottom side up, spoon 1 teaspoonful of 15 teaspoons jam, on top, and use a butter knife to spread it slightly.
Place sugar-dusted cookies on top of the jam to complete the assembly.",11,▢ 4 ounces room-temperature unsalted butter,▢ ½ cup granulated sugar,"▢ 1 teaspoon orange zest, or lemon zest",▢ 1 large room-temperature egg yolk,▢ ½ teaspoon vanilla extract,▢ 1 cups all-purpose flour,▢ ¾ cup almond flour,▢ ¼ teaspoon kosher salt,▢ ¼ teaspoons cinnamon,"▢ 15 teaspoons jam, strawberry, raspberry or your choice",▢ powdered sugar for finishing,NA,NA,The Recipe Critic,https://therecipecritic.com/linzer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royal Icing,Aimee Mars,Updated 04/12/22,5,1,Desserts,10 minutes,NA,NA,10 minutes,3 cups,4,"Sift the 4 cups powdered sugar first by measuring it out and pouring it through a sifter or by pouring it into a fine-mesh sieve and shaking it through.
Using an electric mixer fitted with the whisk attachment or a handheld mixer whisk the sifted sugar, 3 tablespoons meringue powder, and 9-10 tablespoons room temperature water until the icing slowly drips down and smooths out on it's own.
If the icing is too thick add more water 1 tablespoon at a time. If it's too thin add more powdered sugar 1 tablespoon at a time until the desired consistency is reached.
Add gel food coloring, as needed to reach the desired colors.",4,▢ 4 cups powdered sugar,▢ 3 tablespoons meringue powder,▢ 9-10 tablespoons room temperature water,"▢ gel food coloring, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/royal-icing-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Milano Cookies,Amy Nash,Updated 12/06/20,NA,NA,Desserts,15 minutes,14 minutes,NA,29 minutes,24 milanos,6,"Preheat the oven to 325 degrees Fahrenheit. Line two baking sheets with parchment paper.
Beat 1 cup softened salted butter, 1 ¼ cups powdered sugar, and ¾ cup granulated sugar in the bowl of a stand mixer for 2-3 minutes until creamy and light. Add 2 large eggs, 1 egg white, and 2 teaspoons vanilla extract, then beat again, scraping the bottom and sides of the bowl.
Add 2 ½ cups all-purpose flour, ½ teaspoon baking soda, and ¾ teaspoon salt, mixing just until combined.
Transfer the dough to a piping bag fitted with a ½-inch round piping tip. Pipe 2-inch lines a couple inches apart on the parchment-paper-lined baking sheets, leaving enough room for the cookies to spread a bit in the oven. Bake for 13-15 minutes, just until the edges are golden brown. Remove the cookies and cool completely.
Meanwhile, melt 8 ounces chopped dark chocolate in a glass bowl set over, but not touching, simmering water in a pan, or in the microwave using short 20-second bursts of heat until melted and smooth.
Gently spread some of the melted chocolate onto the bottom side of half of the cookies, then sandwich with another cookie on top. The melted chocolate will firm up and set as it cools. Store in an airtight container on the counter for up to 5 days.",10,▢ 1 cup softened salted butter,▢ 1 ¼ cups powdered sugar,▢ ¾ cup granulated sugar,▢ 2 large eggs room temperature,▢ 1 egg white room temperature,▢ 2 teaspoons vanilla extract,▢ 2 ½ cups all-purpose flour,▢ ¾ teaspoon salt,▢ ½ teaspoon baking soda,▢ 8 ounces chopped dark chocolate,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/milano-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Cranberry Macadamia Cookies,Alyssa Rivers,11/11/20,5,3,Desserts,10 minutes,12 minutes,NA,22 minutes,36 servings,4,"Sift 3 cups all-purpose flour, ¾ teaspoon baking soda, and ¾ teaspoon salt together in a medium mixing bowl. Set aside.
Preheat oven to 350 degrees Fahrenheit. Cream together ¾ cup white sugar, 1 cup packed light brown sugar and 1 cup softened butter. Add 2 eggs and 1 tablespoon vanilla extract.
Add flour mixture until just mixed. Stir in 1 cup white chocolate baking chips, 1 cup chopped macadamia nuts, and 1 cup dried cranberries.
Drop cookies by rounded tablespoons on an ungreased baking sheet. Bake for 10-12 minutes or until just set. Allow to cool and transfer to a wire rack.",11,▢ 3 cups all-purpose flour,▢ ¾ teaspoon baking soda,▢ ¾ teaspoon salt,▢ ¾ cup white sugar,▢ 1 cup packed light brown sugar,▢ 1 cup softened butter,▢ 2 eggs,▢ 1 tablespoon vanilla extract,▢ 1 cup white chocolate baking chips,▢ 1 cup chopped macadamia nuts,▢ 1 cup dried cranberries,NA,NA,The Recipe Critic,https://therecipecritic.com/white-chocolate-cranberry-macadamia-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 Ingredient Pumpkin Chocolate Chip Cookies,Alyssa Rivers,Updated 09/04/24,4.29,7,Desserts,10 minutes,15 minutes,NA,25 minutes,12 cookies,4,"Preheat the oven to 350 degrees Fahrenheit. Line 2 baking sheets with parchment paper.
Now, in a large bowl, let's keep it simple. Just mix the 1 (15-ounce) can pumpkin puree and 1 (15.25-ounce) box spice cake mix until they're fully combined. Then, stir in 1 cup milk chocolate chips. It's that easy!
Use a medium cookie scoop to scoop the dough, about 2 ½ tablespoons per cookie, onto the prepared baking sheets, leaving about 2 inches between them.
Bake for 13-15 minutes, until the edges of the cookies are set and begin to turn golden brown. Remove them from the oven and allow them to cool on the baking sheet for 5 minutes before transferring them to a cooling rack to finish cooling.",3,▢ 1 (15-ounce) can pumpkin puree,▢ 1 (15.25-ounce) box spice cake mix,▢ 1 cup milk chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/3-ingredient-pumpkin-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Oreo Cookies,Alyssa Rivers,Updated 08/22/20,4.60,10,Desserts,10 minutes,8 minutes,NA,18 minutes,24 Cookies,4,"Preheat oven to 350 degrees. Line a cookie sheet with parchment paper or lightly spray with cooking spray.
In a medium sized mixing bowl, whisk together the flour, baking soda, baking powder, and salt. Set aside.
In a stand mixer or medium sized mixing bowl, beat together butter, sugar, and brown sugar about 2 minutes until fluffy. Beat in the eggs and vanilla. Slowly beat in the dry ingredients until incorporated. Mix in the crushed oreos until combined and lastly add the white chocolate chips.
Roll into 1 1/2 inch balls and place 2 inches apart on the cookie sheet. Bake for about 7-9 minutes until just starting to lightly brown.",11,▢ 3/4 Cup butter softened,▢ 3/4 Cup brown sugar,▢ 3/4 Cup sugar,▢ 2 eggs,▢ 1 teaspoon vanilla,▢ 2 1/2 cups flour,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon baking powder,▢ 1 teaspoon salt,▢ 14 oreo cookies coarsely crushed,▢ 2 cups white chocolate chips (12 oz) bag,NA,NA,The Recipe Critic,https://therecipecritic.com/white-chocolate-oreo-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter No Bake Cookies,Alyssa Rivers,Updated 11/25/21,NA,NA,Desserts,15 minutes,NA,NA,15 minutes,24 cookies,4,"Line two baking sheets with parchment paper and set them aside.
Add ½ cup salted butter, 1 ½ cups granulated sugar, and ½ cup milk to a large saucepan and heat over medium-high heat. While whisking, bring it to a rapid boil and whisk for one minute.
Remove it from the heat and immediately stir in 1 teaspoon vanilla extract, ¾ cup peanut butter, and 3 ½ cups quick oats until the peanut butter has melted and fully combined.
Use a large cookie scoop to immediately scoop the oat mixture onto the prepared baking sheets. Let the cookies sit until they have completely cooled and set up, about an hour.",6,▢ ½ cup salted butter,▢ 1 ½ cups granulated sugar,▢ ½ cup milk,▢ 1 teaspoon vanilla extract,▢ ¾ cup peanut butter,▢ 3 ½ cups quick oats,NA,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/peanut-butter-no-bake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buttery Lemon Shortbread Cookies with a Glaze,Alyssa Rivers,Updated 02/20/21,NA,NA,Desserts,20 minutes,12 minutes,NA,32 minutes,24 Cookies,6,"Preheat the oven to 350 degrees Fahrenheit. Line 2 sheet pans with parchment paper and set aside.
Add 2 cups softened unsalted butter to a large bowl and beat with a hand mixer or stand mixer on medium-high speed until fluffy. Add 1 cup powdered sugar, 3 tablespoons fresh lemon juice, and 1 tablespoon lemon zest and mix until combined.
In a medium bowl, whisk together 4 cups all-purpose flour, ½ teaspoon salt, and ½ teaspoon baking powder. Slowly add the flour mixture to the butter mixture and mix on medium speed until combined, scraping down the sides and bottom of the bowl as needed.
Roll the dough out on a lightly floured surface until it is about ¼-inch thick. Use a round cookie cutter or the top of a round glass to cut out the cookies. Bring together the scraps to repeat those steps until all the dough has been cut into cookies. Lay the cookies out on the prepared sheet pans, leaving about 2 inches between them.
Bake for 10-12 minutes, until the edges are lightly golden brown. Transfer the cookies to a cooling rack and let the cookies cool completely.
In a small bowl, whisk together 3 tablespoons fresh lemon juice, 1 tablespoon lemon zest, and 1 cup powdered sugar until smooth. Dip the tops of the cooled cookies in the glaze and set them on a wire rack so the excess glaze can drip off. Let them sit until the glaze has set up completely.",10,▢ 2 cups softened unsalted butter,▢ 1 cup powdered sugar,▢ 3 tablespoons fresh lemon juice about 1 large lemon,▢ 1 tablespoon lemon zest about 1 large lemon,▢ 4 cups all-purpose flour,▢ ½ teaspoon salt,▢ ½ teaspoon baking powder,▢ 3 tablespoons fresh lemon juice about 1 large lemon,▢ 1 tablespoon lemon zest about 1 large lemon,▢ 1 cup powdered sugar,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/lemon-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Snickerdoodles,Alyssa Rivers,Updated 01/04/21,5,1,Desserts,10 minutes,20 minutes,NA,30 minutes,24 cookies,8,"In a medium bowl, whisk the 3 ¾ cups all-purpose flour, 1 ½ teaspoons baking powder, ½ teaspoon salt, ½ teaspoon ground cinnamon, and ¼ teaspoon ground nutmeg together. Set aside.
In a stand mixer with a paddle attachment, whisk the 1 cup room-temperature unsalted butter, 1 cup granulated sugar, and ½ cup light brown sugar on medium-high speed until fluffy, about 2-3 minutes.
Mix in the ¾ cup pumpkin puree, then the 1 large egg, and then add the 2 teaspoon vanilla extract, mixing well between additions.
Slowly add in the flour mixture on low speed just until combined. Cover and chill the dough for an hour.
Preheat an oven to 350 degrees Fahrenheit and line two baking sheets with parchment paper. In a small bowl, combine the ½ cup granulated sugar and 1 teaspoon pumpkin pie spice for the coating and set aside.
Once the dough is chilled, take a tablespoon of the cookie batter and roll it into a ball. Roll the ball in the cinnamon sugar coating and place on the prepared baking sheet.
Repeat until the dough is gone, and slightly flatten each cookie dough ball with a heavy-bottomed glass or measuring cup.
Bake the cookies for 10-15 minutes or until the tops start to crack. Cool the cookies on the baking sheet for 5 minutes and transfer to a wire rack. Enjoy!",13,▢ 3 ¾ cups all-purpose flour,▢ 1 ½ teaspoons baking powder,▢ ½ teaspoon salt,▢ ½ teaspoon ground cinnamon,▢ ¼ teaspoon ground nutmeg,▢ 1 cup room-temperature unsalted butter,▢ 1 cup granulated sugar,▢ ½ cup light brown sugar,▢ ¾ cup pumpkin puree,▢ 1 large egg,▢ 2 teaspoon vanilla extract,▢ ½ cup granulated sugar,▢ 1 teaspoon pumpkin pie spice,The Recipe Critic,https://therecipecritic.com/pumpkin-snickerdoodles/,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Very Best No Bake Cookies,Alyssa Rivers,Updated 07/25/21,4,8,Desserts,10 minutes,5 minutes,NA,15 minutes,12 cookies,4,"In a medium-sized sauce pan over medium-high heat, add the ½ cup unsalted butter, 2 cups granulated sugar, ½ cup milk, and 4 tablespoons cocoa powder . Bring to a rolling boil for about 2 minutes. Remove from heat.
Stir in ½ cup peanut butter , 3 ½ cups quick oats , and 1 tablespoon vanilla and mix until incorporated.
Line a cookie sheet with parchment paper. Using a medium-sized cookie scoop, scoop the cookies and drop them onto the parchment paper.
Let the cookies set and cool to room temperature or refrigerate them before serving.",7,▢ ½ cup unsalted butter,▢ 2 cups granulated sugar,▢ ½ cup milk,▢ 4 tablespoons cocoa powder,▢ ½ cup peanut butter,▢ 3 ½ cups quick oats,▢ 1 tablespoon vanilla,NA,NA,NA,NA,NA,NA,The Recipe Critic,https://therecipecritic.com/no-bake-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
