title,author,dateinfo,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Chocolate No Bake Cookies,Julie Clark,Updated: 3/14/2024,4.84,6,Recipes,American,"chocolate cookies, easy cookie recipes, no bake dessert",5 minutes,5 minutes,Chill Time 30 minutes minutes,NA,21,9,"Combine butter, milk, sugars, and cocoa powder. Cook over low heat until butter melts, stirring occasionally. Do not turn up heat to make the process go by faster.
Once boiling, turn heat up to medium, stirring constantly.
Continue boiling for 1 minute and then take off heat. (Set a timer to prevent overcooking.)
Add in peanut butter and vanilla extract and stir.
Add in oats and stir again.
Add in chopped dark chocolate and give a quick stir (Don’t mix it in completely. You want a little bit of a chocolate swirl.)
Drop onto parchment lined sheet pan.
Chill for 30 minutes.
Store in an airtight container.",9,½ cup salted butter (1 stick),½ cup whole milk,1 cup light brown sugar,1 cup granulated sugar,¼ cup cocoa powder,¾ cup creamy peanut butter,2 teaspoons vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-no-bake-cookies/,2 cups instant oats,1 cup high quality dark chocolate (cut into chunks) (3.5 oz bar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Cut Out Sugar Cookies,Julie Clark,Updated: 3/15/2025,4.45,9,Cookies,American,"best sugar cookies, chocolate cookies, cut out cookies, rolled sugar cookies",25 minutes,12 minutes,Chill Time 2 hours hours,NA,36,13,"In a medium bowl, combine the flour, cocoa powder and salt with a wire whisk. **Be sure to spoon the flour and cocoa powder into the measuring cups, then level with a knife. This helps you not pack the flour too tightly so that your cookies are dry.**
In a stand mixer, cream the butter and sugar together. Add the eggs and vanilla and beat on medium speed until mixed well. You want this mixture to be smooth with no butter lumps so the cookies bake evenly.
Scrape down the sides of the bowl and add the flour mixture.
Mix just until combined, being careful not to overmix.
Divide the dough in half, gently flatten the ball into a disk and wrap tightly in plastic wrap.
Refrigerate for 1 hour.** See notes below.
On a floured surface, roll out the dough to 3/8″ thick. Use cookie cutters and cut as many shapes as possible, re-rolling the dough scraps and cutting again.
Place the shapes on a non-stick baking sheet.
Refrigerate the cookie dough for another hour.
Preheat the oven to 325 degrees.
Bake the cookies for 12-13 minutes, pulling the cookies out just before they start to brown.
Allow the cookies to cool for 2-3 minutes, then transfer them to a flat surface to cool.
Once the cookies are cooled, decorate as desired.",7,3 1/4 cups all purpose flour 422 grams,2/3 cup unsweetened cocoa powder 79 grams,1/2 teaspoon salt 3 grams,1 1/2 cups salted butter (softened) 12 ounces,1 1/2 cups granulated white sugar 300 grams,2 large eggs,2 teaspoons vanilla 10 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-cut-out-sugar-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Shortbread Cookies,Julie Clark,Updated: 12/14/2020,4.70,10,Holiday Recipes,American,"cranberry dessert, EASY COOKIE RECIPE, shortbread cookies",15 minutes,NA,NA,NA,28,14,"Line 2 baking sheets with parchment paper. Set aside.
Preheat oven to 325 F.
In a large bowl use an electric mixer to cream the butter until light and creamy.
Mix in the vanilla.
Gradually add the icing sugar to the butter mixture beating well.
In a medium bowl mix together the flour and cornstarch.
Gradually stir the flour/cornstarch mix into the creamed mixture until just incorporated.
Fold in the cranberries and white chocolate. Mix just enough to evenly combine.
Use your hands to form the dough into a ball.
On a floured surface roll the dough to ¼ inch thick.
Use a 2 ½ inch round cutter to cut out cookies and place on prepared pans.
**Chill the dough for about 30 minutes before baking.**
Bake for about 18-20 minutes, until just set and very lightly browned on the edges.
Allow to cool on the pans for 5 minutes before removing cookies to wire rack to cool completely.",7,"1 cup salted butter (softened, but not melted)",½ cup powdered sugar,2 teaspoons vanilla extract,1 ½ cups all-purpose flour,½ cup corn starch,½ cup finely chopped dried cranberries,½ cup white chocolate chips,Tastes of Lizzy T,https://www.tastesoflizzyt.com/cranberry-shortbread-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patriotic Pinwheel Cookies,Julie Clark,Updated: 4/24/2025,4.72,7,Cookies,American,"cookies for july 4, EASY COOKIE RECIPE, easy sugar cookie recipe, patriotic cookie, rolled cookies",20 minutes,10 minutes,Refrigerate Time 1 hour hour,NA,24,16,"In a medium bowl, whisk together the flour, baking powder and salt.
In a large mixing bowl, cream butter and sugar together until mixture is light and fluffy, about 3 minutes.
Add the egg and beat it in. Then add the vanilla and beat again.
Add the flour and beat just until combined.
Remove the dough and separate it into three equal pieces.
Shape one piece of the dough into a 4x2 rectangle (approximate, just use eyes to guess close), wrap it securely in wax paper and place it in the fridge. (This will be the white portion of the cookies.)
Add other two portions of dough to two separate bowls. Color one dough portion red and mix until it's incorporated. Color the other dough portion blue, mixing again until it's incorporated. Add enough dye to get the colors that you want. Remember that dye will deepen slightly as it sits.
Form both red and blue dough into separate rectangles between wax paper as in step 6. Refrigerate all dough for 30 minutes.
Place the red dough in between two pieces of wax paper and roll it into a rectangle about 1/8-inch thick. Repeat separately for white and blue dough.
Peel the top layer of wax paper off of the red dough and then peel the wax paper off one side of the white dough and use the other side to transfer the white dough on top of the red dough. Peel off the wax paper from one side of the blue dough and use the other side to transfer it atop the white dough. Very lightly roll the three layers together using a rolling pin.
To get a perfect rectangle, take a sharp knife and cut off any edges that stick over a rectangle.
Starting at the shorter end of the rectangle, roll the dough as tightly as possible into a log. Wrap the log in wax paper. Stand the roll up in a glass in the fridge for 4 hours or freezer for 30 minutes. (I've included a picture of this. Standing them up prevents them from getting a flat side.)
When ready to bake, preheat the oven to 350ºF and line two baking sheets with parchment paper.
Remove the dough from the fridge and slice each log into 1/4-inch rounds. You'll get between 18-24 cookies. Place the rounds about 2 inches apart on the baking sheets, as the cookies will expand when baked. You may need to do more than 2 batches.
Bake the cookies for 9 to 11 minutes until pale golden. Try not to let them brown. Let sit on tray for 3-4 minutes before transferring to a cooling rack.
Store in an airtight container.",9,1 1/2 cups all-purpose flour,1/4 teaspoon baking powder,1/4 teaspoon salt,1/2 cup butter room temperature (1 stick),2/3 cup sugar,1 large egg,1 teaspoon vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/patriotic-pinwheel-cookies/,Red food coloring,Blue food coloring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cool Whip Cookies,Julie Clark,Updated: 9/1/2024,4.63,407,Cookies,American,"cool whip cookies, easy cake mix cookies, EASY COOKIE RECIPE, fruity cookie recipe, how to make cake mix cookies",10 minutes,7 minutes,NA,17 minutes,20,5,"Preheat oven to 350ºF. Line a cooking sheet with a non-stick baking mat or spray with nonstick. cooking spray.
In a medium bowl, combine the cake mix, Cool Whip and egg. Stir until well mixed. 1 box lemon cake mix, 2 cups frozen whipped topping, 1 large egg
Place the powdered sugar in a small bowl. Drop the cookie dough by teaspoons into the powdered sugar and roll the dough to coat. Place the balls 1 ½ inches apart on the prepared baking sheet. ½ cup powdered sugar
Bake the cookies for 8-10 minutes. Remove them from the oven when they are set, but before they get too brown.
Remove the cookies from the cookie sheet to a cooling rack and allow them to cool. Makes about 20 cookies (2 1/2"" in diameter).",4,1 box lemon cake mix (15.25 ounces or a traditional 9×13 box cake mix),2 cups frozen whipped topping (thawed),1 large egg,1/2 cup powdered sugar,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/lemon-cool-whip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Peanut Butter Cookies,Julie Clark,Updated: 6/16/2024,4.92,12,Dessert Recipes,American,"4 ingredient cookies, EASY COOKIE RECIPE, peanut butter cookie recipe",10 minutes,8 minutes,NA,18 minutes,24,3,"Combine all ingredients until well blended. 
Drop by teaspoonfuls on ungreased cookie sheets. Bake at 350 degrees for 8-9 minutes. 
Cool for 5 minutes on the baking sheet, then move to a wire rack and cool completely.",4,1 cup creamy peanut butter,1 cup firmly packed brown sugar,1 large egg,1 teaspoon baking soda,NA,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/simple-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starbucks Confetti Cookies,Julie Clark,Updated: 4/16/2024,4.38,29,Cookies,American,"best sugar cookies, easy cookies, sprinkle cookies, white chocolate cookies",10 minutes,25 minutes,Chilling Time 1 hour hour,35 minutes,24,10,"In a bowl, stir together flour, baking soda, and baking powder. Set aside. 2 ¾ cups all purpose flour, 1 teaspoon baking soda, ½ teaspoon baking powder
In a large mixing bowl, use an electric mixer to cream together butter and sugar until smooth and creamy, about 2 minutes. Beat in the egg and Princess emulsion. Gradually blend in dry ingredients. The mixture will be dry and crumbly. 1 cup salted butter, 1 cup granulated sugar, 1 large egg, ¾ teaspoon LorAnn Princess Cake & Cookie Bakery Emulsion
Mix in the colored sugar just until combined. (The more you mix it, the more the sugar cookies will melt in and not show up well.) ½ cup coarse colored sugar crystals
Scoop the dough into the palm of your hand and shape into about 20-24 balls. Place on a parchment lined baking sheet. Slightly flatten the top of each cookie with the bottom of a glass. Refrigerate the cookie dough for 1 hour.
Preheat the oven to 375ºF and bake for 8-10 minutes. Do not let the cookies get brown.
Allow the cookies to cool for 5 minutes, then move them to a flat surface or wire rack to cool completely.
Melt the white chocolate in a microwave safe bowl in 20 second intervals, stirring between each time. Continue to do this until the chocolate is completely melted. 8 ounces white chocolate bar or melting wafers
Dip each cookie into the melted chocolate to cover half of the cookie with melted white chocolate.
Allow any extra chocolate to drip off, then place it on a parchment lined pan. Immediately sprinkle with colored sugar. 3 tablespoons coarse colored sugar crystals
Allow the cookies to set, then store them in an airtight container.",10,2 3/4 cups all purpose flour 357 grams,1 teaspoon baking soda 6 grams,1/2 teaspoon baking powder 2 grams,1 cup salted butter (room temperature) 8 ounces,1 cup granulated sugar 200 grams,1 large egg,3/4 teaspoon LorAnn Princess Cake & Cookie Bakery Emulsion 5 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/confetti-sugar-cookies/,1/2 cup coarse colored sugar crystals,8 ounces white chocolate bar or melting wafers (for dipping),3 tablespoons coarse colored sugar crystals (for sprinkling on top),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Lime Cookies,Julie Clark,Updated: 4/15/2024,4.56,106,Cookies,American,"easy sugar cookie recipe, key lime desserts",15 minutes,9 minutes,NA,24 minutes,17,11,"Line a light colored baking sheet with a nonstick baking mat. (Dark baking sheets make the cookies brown fast on the bottom.)
In a small bowl, add the flour, baking soda and salt and mix together until combined.
In another bowl, add the butter and sugar and mix until the texture is smooth and creamy. Add in the egg, vanilla, lime juice and zest and mix until combined.
Slowly add in the dry ingredients into the wet ingredients and mix until well combined.
Add in the white chocolate chips and fold until mixed in.
Use a cookie scoop to place the cookie dough in tablespoon (1 to 1 ½ tablespoons is good for these cookies) scoops on the baking sheet. You should get 20-24 cookies.
Refrigerate the scooped cookie dough for 30 minutes.
Preheat oven to 375ºF.
Once the cookie dough is chilled, roll the scoops into smooth balls. Don't handle the dough too much, just roll for a few seconds to get the ball smooth.
Bake for 7-8 minutes (mine were done in 7). Do not overbake! Allow the cookies to cool a few minutes and then transfer to a cooling rack to finish cooling.
Once cooled, mix together the powdered sugar and 1 tablespoon of lime juice to form a glaze. Add the ½ tablespoon of lime juice if needed to get it to a drizzling consistency (I usually use 1 ½ tablespoons). Drizzle teaspoon amount of glaze on each cookie, sprinkle with zest and allow to set so the icing can harden. Enjoy!",14,1 1/2 cup all purpose flour 195 grams,1/2 teaspoon baking soda 3 grams,1/2 teaspoon salt 4 grams,1/2 cup unsalted butter (room temperature) 4 ounces,1/4 cup granulated sugar 50 grams,1/4 cup light brown sugar 50 grams,1 large egg,Tastes of Lizzy T,https://www.tastesoflizzyt.com/key-lime-sugar-cookies/,1/2 teaspoon vanilla extract,1 teaspoon key lime zest (or zest of 1 key lime),2 1/2 tablespoons key lime juice,1/2 cup white chocolate chips 90 grams,3/4 cup powdered sugar 86 grams,1 – 1 1/2 tablespoons key lime juice,Zest from a lime to sprinkle on top,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Meringue Cookies,Julie Clark,Updated: 8/31/2024,4.67,3,Dessert Recipes,American,"egg white cookies, low fat cookies, spring cookies",10 minutes,NA,Rest Time 45 minutes minutes,55 minutes,40,15,"Prepare: Line a cookie sheet with parchment paper. Yes, you need to do this so the cookies don’t stick! Preheat the oven to 200º Fahrenheit.
Whip the eggs. Using an electric mixer or stand mixer with the whisk attachment, beat egg whites on medium speed and mix for 2 minutes. Make sure there is not one bit of yolk in your egg whites (again…no grease or fats in your egg whites at all!). If there is any yolk at all, your meringue will not turn out.
Add the flavor. Add lemon juice and gradually increase the speed to high.
Add the sugar. As you beat the egg mixture, slowly add your 1 cup of sugar, about 1 heaping tablespoon at a time.
Add the color. Once mixture forms stiff peaks, add one small drop of green gel food coloring. Fold the coloring in gently and do not overmix.
Pipe the meringue cookies. We used a Wilton size #12 piping tip and pastry bag. Pipe a dollop of meringue onto your lined baking sheet, about 1.5 inches in diameter. Garnish top portion of each “medallion” with green sprinkles.
Bake. Bake for two hours. Once they’ve been in the oven for two hours, turn off the heat and let sit in the oven for 35-45 minutes. Remove from oven and allow to cool to room temperature.
Line a baking sheet with parchment paper and preheat the oven to 200ºF. Set aside.
Using an electric mixer, beat egg whites on medium speed and mix for 2 minutes. Add lemon juice and gradually increase the speed to high. 4 large egg whites, ¼ teaspoon lemon juice
As you beat the egg mixture, slowly add your 1 cup of sugar. 1 cup granulated sugar
Once mixture forms stiff peaks, add one small drop of green gel food coloring. Green gel food coloring
Using a piping bag, pipe a dollop of meringue onto your lined baking sheet, about 1.5 inches in diameter.
Garnish top portion of each “medallion” with green sprinkles.
Bake for two hours. Once they’ve been in the oven for two hours, turn off the heat and let sit in the oven for 35-45 minutes.
Remove from oven and allow to cool to room temperature. ",5,4 large egg whites (at room temperature),¼ teaspoon lemon juice,1 cup granulated sugar,Green gel food coloring,Golden sprinkles,NA,NA,Tastes of Lizzy T,https://www.tastesoflizzyt.com/st-patricks-day-meringue-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Madeleine Cookies,Julie Clark,Updated: 3/13/2025,4.84,6,Dessert Recipes,French,"lemon madeleines, madeleine cookies",20 minutes,10 minutes,Resting Time 30 minutes minutes,30 minutes,24,8,"Preheat oven to 375 degrees Fahrenheit and coat a madeleine pan with butter then sprinkle each section with flour. Set aside.
In a medium bowl, sift together flour, baking powder and salt. Set aside.
Using a stand or electric mixer, beat eggs and sugar until creamy. Add lemon juice and lemon zest and continue mixing.
Melt the butter and slowly mix into your wet ingredients until thoroughly combined.
Fold in dry ingredients just until combined. Cover the bowl with a dish towel and allow for the batter to rest for about 30 minutes. 
Fill the molds of your madeleine pan about ¾ of the way and tap to ensure no air bubbles form. 
Bake for about 8 to 10 minutes or until edges become golden brown. 
Sprinkle with confectioners’ sugar before serving.",8,¾ cup all-purpose flour (plus extra for coating pan),1 teaspoon baking powder,pinch salt,2 large eggs,½ cup granulated sugar,Juice and zest of half a lemon,1/2 cup salted butter (melted) (plus extra for coating pan),Tastes of Lizzy T,https://www.tastesoflizzyt.com/lemon-madeleine-cookies/,Confectioners’ sugar for sprinkling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Julie Clark,Updated: 6/18/2025,5,3,Cookies,American,NA,10 minutes,NA,NA,NA,36,13,"Melt the shortening and chocolate together in the microwave. To do this, heat for 30 seconds in a microwave safe bowl, then stir. Heat in 15 second intervals, stirring between each time to melt the chocolate slowly. Do this until both are completely melted together.
Add the sugar and vanilla. Mix well.
Add the eggs, one at a time, beating after each addition.
In a small bowl, sift together the flour, baking powder and salt.
Add the chocolate chips to the flour mixture and mix to combine.
Add the flour mix to the wet ingredients and mix well.
Cover the dough and chill for at least 4 hours.
Preheat the oven to 350 degrees Fahrenheit.
Form the dough into balls.
Roll the cookie dough balls in powdered sugar, being sure to covering the balls well.
Bake on a non-stick baking mat for 10 minutes.
Allow the cookies to cool for 2-3 minutes on the baking sheet, then move them to a wire rack to cool completely.
Store in an airtight container.",9,1/2 cup shortening,4 ounces unsweetened chocolate,2 cups sugar,2 teaspoons vanilla extract,4 large eggs,2 cups all-purpose flour,2 teaspoons baking powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/chocolate-crinkle-cookies/,1/8 teaspoon salt,1 cup mini chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Cup Cookies,Julie Clark,Updated: 2/4/2024,4.67,6,Dessert Recipes,American,"chocolate peanut butter cookies, peanut butter cookies",20 minutes,8 minutes,NA,28 minutes,48,6,"In a mixing bowl, cream the butter, peanut butter and sugars. Add vanilla and mix. Add the eggs, one at a time, beating well after each addition. 1 cup salted butter, 1 cup creamy peanut butter, 1 cup granulated sugar, 1 cup packed brown sugar, 1 teaspoon vanilla extract, 3 large eggs
In a separate bowl, mix the flour, baking soda and salt. Add to mixture in mixing bowl and mix until well combined. 4 cups all-purpose flour, 2 teaspoons baking soda, ¼ teaspoon salt
Roll the dough into 1"" balls, then roll in sugar. Place onto a non-stick baking mat. Refrigerate the cookie dough balls for 30 minutes. ½ cup granulated sugar
Spray mini muffin tins with cooking spray, then place a cookie dough ball in each muffin cup.
Bake the cookies at 375º for about 8 minutes. If you like cookies to be soft, be sure not to over bake them. They shouldn't be browned at all.
As soon as the cookies come out of the oven, press the peanut butter cups into the center of the cookie. Allow the cookies to cool for about 10-15 minutes in the pan, then loosen the cookies and move them to a wire rack to cool completely. 48 miniature Reese's Peanut Butter Cups",11,"1 cup salted butter room temperature, 8 ounces",1 cup creamy peanut butter 250 grams,1 cup granulated sugar 200 grams,1 cup packed brown sugar 210 grams,1 teaspoon vanilla extract 5 grams,3 large eggs,4 cups all-purpose flour 520 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/reeses-peanut-butter-cup-cookies/,2 teaspoons baking soda 12 grams,1/4 teaspoon salt,1/2 cup granulated sugar for rolling,48 miniature Reese's Peanut Butter Cups unwrapped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Eggnog Cookies,Julie Clark,Updated: 1/3/2024,4.14,36,Dessert Recipes,American,"christmas cookies, easy sugar cookie recipe, frosted eggnog cookies",30 minutes,10 minutes,Chill Time 8 hours hours,40 minutes,48,19,"Combine ¼ cup buttermilk and baking soda in a small bowl. Set aside until step 5.
In a stand mixer, cream together the butter and sugar.
Add eggs, salt, vanilla and eggnog. Mix well.
Add 3 cups of flour, cinnamon, nutmeg, and baking powder. Blend until combined.
Add the buttermilk/baking soda mixture and the last 3 cups of flour. Mix until the flour is completely incorporated.
Wrap the cookie dough in plastic wrap and gently press it into a disc. Be sure it is wrapped tightly and refrigerate the dough overnight.
When you're ready to roll out the dough, preheat the oven to 350 degrees.
Sprinkle a pastry mat with flour. Divide the dough in half and roll out one-half of the dough, sprinkling flour on top of the dough as needed.
Cut out the dough in the shapes you'd like. Place the cookies on a nonstick baking mat.
Bake the cookies at 350 degrees for 9-10 minutes, removing them before they are browned.
Repeat with remaining dough, rerolling as needed.
Allow the cookies to cool, then frost them with eggnog frosting and sprinkles, if desired.
Store in an airtight container.
In a stand mixer bowl, with the mixer on medium speed, whip the butter for 2 minutes until it is almost white in color. 
Add in the powdered sugar, vanilla, cinnamon, nutmeg and 3 tablespoons of eggnog.
 Beat on low speed for 3-5 minutes, adding in the last 1-2 tablespoons of eggnog if the buttercream needs to be thinner.
Use a knife to spread frosting on the cooled cookies, or use a large Wilton cake decorating tip (1M or 2D work great!) to make a pretty swirl.
To decorate, sprinkle nutmeg on the top of the cookies.
Store in a single layer in an airtight container.",18,1/4 cup buttermilk,1 teaspoon baking soda,1 cup salted butter (softened),1 1/4 cups granulated sugar,3 large eggs,1/2 teaspoon salt,1 teaspoon vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/frosted-eggnog-cookies/,¾ cup eggnog,6 cups all-purpose flour (divided) (lightly spooned and leveled),1 teaspoon cinnamon,½ teaspoon ground nutmeg,1 tablespoon baking powder,1 cup salted butter (softened),1 1/2 teaspoons vanilla,4 cups powdered sugar,½ teaspoon cinnamon,¼ teaspoon nutmeg,3-4 tablespoons eggnog*,NA,NA,NA,NA,NA
Fruit Cake Cookie Bars,Julie Clark,Updated: 2/3/2024,4.70,13,Cookies,American,"christmas bars, christmas dessert, cookie bars, fruit cake bars",15 minutes,55 minutes,NA,10 minutes,20,12,"Spread pecans evenly over the bottom of a greased 10x15x1” baking pan.
Preheat the oven to 300 degrees Fahrenheit.
Crema together the butter and sugar. Add the eggs and vanilla. Beat well.
Add the flour and salt. Blend well.
Spoon the batter over the pecans. Dampen your hands and gently press to spread the dough evenly over the pecans.
Sprinkle the chopped fruit over the batter. Press down on the fruit slightly so it pushes gently into the dough.
Bake in the preheated oven for 50-55 minutes.
Once the bars are cooled, prepare a powdered sugar glaze.
Whisk together the powdered sugar, vanilla and 3 tablespoons of heavy cream. If needed, add additional heavy cream until the glaze is at drizzling consistency.
Drizzle the glaze over the cooled bars.
Sprinkle with chopped pecans, if desired.
Cut the bars and store in an airtight container.",13,2 cups pecan halves,½ cup butter (softened),1 ½ cups packed brown sugar,2 large eggs,1 teaspoon vanilla,1 cup self-rising flour,Dash of salt,Tastes of Lizzy T,https://www.tastesoflizzyt.com/fruit-cake-cookie-bars/,½ pound candied pineapple (chopped),½ pound candied cherries (chopped),1 cup powdered sugar,1/2 teaspoon rum extract (or ½ teaspoon vanilla extract),3 tablespoons heavy cream,2 tablespoons chopped pecans (for topping),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Almond Thumbprint Cookies,Julie Clark,Updated: 3/22/2024,4.84,6,Dessert Recipes,American,"christmas thumbprint cookies, cookies with almonds, thumbprint cookies",10 minutes,10 minutes,NA,20 minutes,18,5,"Preheat oven to 350 degrees.
Cream together first four ingredients. Stir in the flour and ground almond. Roll into 1 inch balls. Bake for 5 minutes and then quickly indent each center with your thumb. Fill the center with a small spoonful of jam or lemon curd.
Bake for another 5-7 minutes or until the cookies are done. They should not be browned at all. 
Cool on a wire rack.
Store in an airtight container. These cookies freeze well. ",7,1/3 cup brown sugar,½ cup salted butter,1 large egg,½ teaspoon almond extract (or vanilla extract),1 cup all-purpose flour,¾ cup ground almonds,1/3 cup raspberry jam (for filling),Tastes of Lizzy T,https://www.tastesoflizzyt.com/raspberry-almond-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Coconut Cookies,Julie Clark,Updated: 1/19/2026,4.86,7,Cookies,American,"cookies with coconut, cookies with oatmeal, how to make oatmeal cookies, iced cookies",10 minutes,9 minutes,NA,19 minutes,24,6,"Preheat the oven to 350º Fahrenheit.
In the bowl of a stand mixer*, use the paddle attachment to cream together the butter and sugars. Add the eggs and vanilla. Mix again.
1 cup salted butter, 1 cup granulated sugar, 1 cup brown sugar, 2 large eggs, 2 teaspoons vanilla extract
In a separate bowl, mix the dry ingredients (all of the remaining cookie ingredients). Whisk well. Add the dry ingredients into the wet ingredients and mix until combined.
1 teaspoon salt, 1 teaspoon baking powder, 1 teaspoon baking soda, 2 ½ cups all-purpose flour, 2 cups old fashioned rolled oats, 1 cup shredded coconut
Use a cookie scoop to scoop the dough and place on a cookie sheet lined with parchment paper or a non-stick baking mat. Bake the cookies for 8-10 minutes or until the edges are barely golden brown. Don't over bake the cookies.
Allow the cookies to cool for 3-4 minutes on the baking sheet, then move them to a wire rack to cool completely.
Whisk together the powdered sugar and 2 tablespoons of milk until smooth. Add another tablespoon of milk if the consistency is too thick. Dip the top of the cookie in the icing (or use a spoon to drizzle the cookies with icing) and place them on the cooling rack for the icing to set.
1 cup powdered sugar, 2-3 tablespoons 2% milk",13,1 cup salted butter room temperature,1 cup granulated sugar,1 cup brown sugar packed,2 large eggs,2 teaspoons vanilla extract,1 teaspoon salt,1 teaspoon baking powder,Tastes of Lizzy T,https://www.tastesoflizzyt.com/iced-coconut-oatmeal-cookies/,1 teaspoon baking soda,2 1/2 cups all-purpose flour,2 cups old fashioned rolled oats,1 cup shredded coconut,1 cup powdered sugar,2-3 tablespoons 2% milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruit Cake Cookies,Julie Clark,Updated: 4/29/2024,5,1,Dessert Recipes,American,"christmas cookies, fruit cake, fruit cookies",10 minutes,25 minutes,NA,35 minutes,24,9,"Preheat the oven to 300 degrees. Line a baking sheet with parchment paper or non-stick baking mats.
Sift together the flour, cinnamon and baking soda. Set aside.
Cream together the butter and sugar.
Add the eggs.
Add the flour to the dough, alternating with milk and mixing until all of the flour and milk is incorporated.
Add the nuts and candied fruit. Mix well.
Drop the dough by rounded tablespoons onto the baking sheets. You should get about 24 cookies.
Bake until the cookies are set, about 25-27 minutes.
Allow the cookies to cool on the pan for about 3-4 minutes, then move to a wire rack to cool completely.",10,1 ½ cups all-purpose flour,½ teaspoon cinnamon,¼ teaspoon baking soda,½ cup butter (room temperature),½ cup brown sugar,2 large eggs (room temperature),¼ cup milk,Tastes of Lizzy T,https://www.tastesoflizzyt.com/fruit-cake-cookies/,3 cups chopped mixed nuts,1 pound deluxe mixed candied fruit,½ pound candied pineapple (finely chopped),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricotta Sugar Cookies,Julie Clark,Updated: 3/19/2025,4.67,3,Cookies,American,"best sugar cookies, cookies with ricotta, iced cookies, soft cookies",20 minutes,12 minutes,NA,32 minutes,48,10,"Preheat oven to 350º Fahrenheit. Line cookie sheets with parchment paper or non-stick baking mats.
In the bowl of a stand mixer, cream together the softened butter and sugar. Beat in the eggs, one at a time, then mix in the ricotta cheese and vanilla. 1 cup salted butter, 2 cups granulated sugar, 2 large eggs, 15 ounces ricotta cheese, 2 teaspoons vanilla extract
In a separate bowl, combine the flour, baking powder and baking soda. 4 cups all-purpose flour, 1 teaspoon baking powder, 1 teaspoon baking soda
Mix the dry ingredients into the ricotta mixture. 
Use a small ice cream scoop to drop dough onto the cookie sheet.
Bake for 8 to 10 minutes. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely.
Place the powdered sugar in a medium-size bowl. Whisk in the heavy cream a tablespoon at a time until you reach the consistency you'd like your icing to be. 1 ½ cups powdered sugar, 4-5 tablespoons heavy cream
Add the vanilla extract and mix well. ½ teaspoon vanilla extract
Spoon the frosting on the top of the cookies. Immediately sprinkle with colored sprinkles.
Allow the frosting to set before storing the cookies in a single layer in an airtight container.",12,"1 cup salted butter room temperature, 8 ounces",2 cups granulated sugar 400 grams,2 large eggs,15 ounces ricotta cheese,2 teaspoons vanilla extract 10 grams,4 cups all-purpose flour 520 grams,1 teaspoon baking powder 5 grams,Tastes of Lizzy T,https://www.tastesoflizzyt.com/ricotta-cookies/,1 teaspoon baking soda 6 grams,1 1/2 cups powdered sugar 195 grams,4-5 tablespoons heavy cream 60 grams,1/2 teaspoon vanilla extract 3 grams,1/2 cup sprinkles of any color,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
