title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,source,link,ingredient18,ingredient19,ingredient20
Easy Molasses Ginger Cookies,Chris Scheuer,4.62, 13 ,Dessert/Cookies,American,Prep Time 20 minutes mins,Cook Time 22 minutes mins,NA,Total Time 42 minutes mins,NA,6,"Combine shortening, softened butter, sugar, egg and molasses in a large mixing bowl. Stir with a wooden spoon or sturdy spatula until smooth and creamy, about 1 minute.
Sprinkle flour, baking soda and spices evenly over the mixture in the bowl. Stir until all flour has been incorporated.
Cover bowl with plastic wrap and chill in the refrigerator for one hour.
Preheat oven to 350˚F. Line 2 sheet pans with parchment paper for easy clean up.
Place rolling sugar (sanding, Demerara, Turbinado or granulated) in a medium-size shallow bowl. Scoop up dough and roll into 1 ½-inch balls. Roll balls in sugar until coated.
Place dough balls on prepared sheet pan, spaced 1 ½-inches apart. Bake for 9-11 minutes. Allow to cool on pan for one minute, then transfer to cooling rack. Cool completely.",11,1 cup sugar,½ cup vegetable shortening,¼ cup very soft butter,1 large egg,¼ cup molasses,2 cups flour,2 teaspoons baking soda,2 teaspoons ground ginger,1 teaspoon ground cinnamon,½ teaspoon ground cloves,"½ cup sanding sugar, Demerara, Turbinado or granulated sugar, for rolling",NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/easy-molasses-ginger-cookies/,NA,NA,NA
Easy Christmas Shortbread Cookies,Chris Scheuer,4.81, 36 ,Dessert/Cookies,NA,Prep Time 45 minutes mins,Cook Time 12 minutes mins,NA,Total Time 57 minutes mins,NA,10,"Line 2 sheet pans with parchment paper. Set aside.
Place soft butter in a medium-size mixing bowl. Stir with a wooden spoon or sturdy spatula until nice and smooth. Add sugar and vanilla. Mix together by hand for about 1 minute, until fluffy and well blended.
Add the flour and cornstarch. Stir until flour is incorporated and the dough is shaggy. Turn out onto a lightly floured surface and press dough in a ball. Knead a few times until fairly smooth then form into a ball again and press with your hands into a flat disk.
On a lightly floured work surface, roll out dough to a ⅜-inch thickness. Keep work surface, dough and rolling pin lightly (not too much) dusted with flour. Cut desired shapes and place on prepared pans. Re-roll scraps as many times as needed to use up the dough.
Place cutouts in the refrigerator for at least one hour or up to 24 hours.
When ready to bake, preheat oven to 350˚F. Remove cookies from refrigerator and bake for 12-16 minutes or until just beginning to turn golden at the edges. Rotate pans halfway through for even browning. Cool completely before icing.
For the mint glaze, combine powdered sugar, half and half and ¼ teaspoon peppermint extract in a medium-size bowl. Mix until smooth. Glaze should be thick but pourable. Add a little more half and half if too thick. Taste the glaze and add more peppermint extract, if needed (see note above in post).Transfer the glaze to a shallow bowl.
To glaze the cookies, holding onto the edge of a cookie dip the top surface into the glaze, being sure all of the surface touches the glaze. Pull cookie up and out of the glaze. Allow excess glaze to drip back into the bowl. When glaze stops dripping, quickly flip the cookie right side up and give it a gentle jiggle to allow the glaze to flow evenly over the surface. Repeat with remaining cookies. Allow glaze to dry for 15-30 minutes.
For the buttercream piping, place butter in a medium-size bowl and stir until smooth. Add powdered sugar, 1 ½ tablespoons half and half and mint extract and stir vigorously until smooth, adding a bit more half and half if needed to achieve a thick but smooth consistency. Add food coloring, a drop at a time, to reach desired shade of green.
Place buttercream in a pastry bag fitted with a small round icing tip (I used a Wilton #5 round tip). Starting at the upper edge of one cookie, pipe the Christmas trees by making lines that are increasingly larger, stopping about ¼-inch above the lower edge of the cookie (see pictures above). Immediately sprinkle with sprinkles of choice. Set aside to dry.",13,"8 ounces butter, 2 sticks",½ cup powdered sugar,1 teaspoon vanilla extract,1 ¾ cups all-purpose flour,¼ cup cornstarch,2 cups powdered sugar,"4 tablespoons half and half (or milk), maybe more",¼-1 teaspoon peppermint extract,1 tablespoon very soft butter,1 cup powdered sugar,1 ½-2 tablespoons half and half (or milk),½ teaspoon peppermint extract,3-4 drops green food coloring,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/christmas-shortbread-cookies/,NA,NA,NA
Chocolate Chip Cherry Oatmeal Bars,Chris Scheuer,5, 1 ,Dessert,American,Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,9,"Preheat oven to 375˚F. Spray a 9x13-inch baking pan with baking spray and then line with parchment paper, allowing a few inches of overhang over the long sides of the pan.
For the candied pecans, combine pecans, honey and melted butter in a small bowl. Toss to coat pecans with honey/butter mixture. Set aside.
In a medium-size saucepan, combine dried cherries and sweetened condensed milk. Cook and stir over medium heat just until bubbly. Set aside to cool slightly while preparing the dough.
In a medium-size bowl, combine softened butter, brown sugar and vanilla, mix well.
Add flour, baking soda and salt; mix well. Stir in oats until incorporated. The dough will be thick.
With floured hands, evenly press half of the dough into the bottom of the prepared pan. Keep dipping your hands in flour if the dough is sticky.
Drop spoonfuls of the cherry mixture over the prepared crust. Spread evenly over the surface.
Sprinkle evenly with reserved oat mixture, using floured fingers if dough is sticky. Sprinkle half of the chocolate chips and half of the prepared pecans over the topping. Reserve remaining chips and pecans. Bake for 20 minutes.
Remove from oven and sprinkle with remaining chocolate chips and pecans. Return to oven for another 10-15 minutes until golden brown and center is not wiggly when pan is gently moved. If top is getting too brown, cover lightly with foil during last 5-10 minutes of baking.",16,For the candied pecans:,1 cup chopped pecans,1 teaspoon butter,2 teaspoons honey,"kosher salt, a pinch",For the bars:,2 cups dried cherries,1 14.4- ounce can sweetened condensed milk,"1 cup butter, softened",1 ⅓ cups brown sugar,2 teaspoons vanilla extract,1 cup all purpose flour,½ teaspoon baking soda,½ teaspoon kosher salt,2 ½ cups old fashioned rolled oats,1 cup mini chocolate chips,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/chocolate-chip-cherry-oatmeal-bars/,NA,NA,NA
Grannie Annie's Oatmeal Raisin Cookies with Toffee and Sea Salt,Chris Scheuer,4.80, 15 ,Dessert,American,Prep Time 15 minutes mins,Cook Time 30 minutes mins,NA,Total Time 45 minutes mins,NA,4,"Preheat oven to 350˚F. Line two sheet pans with parchment paper for easy clean up.
Cream butter and sugars, add eggs and vanilla and beat well.
Add flour, salt, baking soda and cinnamon and mix well.  Add oats, raisins, coconut and toffee bits. Mix until all ingredients are incorporated.
Use a cookie scoop (or a tablespoon) to scoop dough onto cookie sheets. Bake at 350°F. Bake for 10 minutes. Sprinkle with flaky sea salt. Remove to wire rack. Cool completely, then store in an airtight container.",13,"1 cup soft butter, I use salted",1 cup light brown sugar,1 cup white sugar,2 eggs,1 tablespoon vanilla extract,1 ½ cup all purpose flour,1 teaspoon salt,1 teaspoon baking soda,1 tablespoon cinnamon,"3 cups old fashioned, rolled oats",½ cup shredded coconut,8- ounces toffee bits,1 cup golden raisins,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/oatmeal-raisin-cookies/,NA,NA,NA
Glazed Shortbread Cutout Cookies,Chris Scheuer,4.42, 12 ,Cookies,American,Prep Time 1 hour hr,Cook Time 20 minutes mins,NA,Total Time 1 hour hr 20 minutes mins,NA,10,"For the cookies, preheat oven to 350˚F with the rack in the middle of the oven. Line two baking sheets with parchment paper.
Beat softened butter in the bowl of an electric mixer until soft and fluffy. Add powdered sugar and vanilla and beat until smooth.
Add flour and salt. Beat just until all flour is incorporated. Make sure there’s not dry flour at the bottom of the bowl.
Place dough onto a piece of plastic wrap and form into a disk. Wrap well and place in refrigerator for 15 minutes. (If you end up refrigerating more than 15 minutes, let dough sit out and warm up a bit before rolling. Otherwise it will crack when you try to roll it.)
Remove dough and unwrap. On a lightly floured surface roll out the dough into a ¼ inch (.6 cm) thick circle. I like to use ⅜ or ¼-inch dowels on either side of my dough as I roll it (pictured above in the post, the ¼ inch will be thinner). This keeps the dough at a perfect even thickness.
Cut into rounds or other shapes using a lightly floured cookie cutter. Place on the prepared baking sheets and place in the refrigerator for about 15 minutes. (This will firm up the dough so the cookies will maintain their shape better when baked.) Bake for 15-18 minutes, or until cookies are lightly browned at the edges. If your oven does not bake evenly, exchange the pans on the racks half way through baking time. Cool cookies on a wire rack.
Shortbread cookies with keep in an airtight container for about a week or they can be frozen.
To make the glaze, combine powdered sugar, vanilla, almond extract and 3 tablespoons of the milk in a medium large bowl. Mix well and add more milk, one teaspoon at a time until a thick but drizzle-able glaze is formed. Transfer half of the glaze to a small bowl (like a soup size bowl). With a toothpick, add a small amount of gel food coloring and stir all through the icing in circular movements to form a swirly pattern. Don’t stir too much or the icing will become a solid color. Use a light hand with the gel food coloring. A little goes a long way!
Dip one cookie at a time into the glaze. Let the cookie sit on the top of the glaze and gently push down at all the edges to ensure the surface of the cookie is covered with the glaze. With your thumb and forefinger, pull the cookie out of the glaze and allow the excess icing to drip off. Then quickly flip the cookie right side up and give it a gentle jiggle to allow the glaze to flow evenly over the surface. Repeat with remaining cookies. Add more of the white glaze to the bowl when needed (stir well before adding). Use a toothpick to swirl more food coloring through the glaze any time the swirly effect is getting lost. You may need to add a few more drops of milk if the glaze gets too thick. Just stir it in well and add a little more food coloring to restore the swirly effect.
Allow the cookies to sit on a wire rack for a least one hour to “set” the icing. Once the icing is set, cookies can be stacked in an airtight container with wax paper or parchment paper between the layers.",12,For the cookies:,"1 cup butter, softened",½ cup powdered sugar,1 teaspoon vanilla extract,2 cups all-purpose flour,¼ teaspoon salt,For the glaze:,2 cups powdered sugar,1 teaspoon vanilla extract,½ teaspoon almond extract,"4 tablespoons milk, maybe a little more",gel food coloring,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/glazed-shortbread-cutout-cookies/,NA,NA,NA
Easy Candy Cane Chocolate Chip Cookies,Chris Scheuer,5, 5 ,Dessert,American,Prep Time 20 minutes mins,Cook Time 30 minutes mins,NA,Total Time 50 minutes mins,NA,8,"Preheat oven to 325˚F. Line two sheet pans with parchment paper.
Place butter in a medium microwave-safe bowl (about 2 quart size). Microwave on high power for 20-30 seconds or until butter is starting to melt and has become soft. Don’t let it melted completely as the dough will be runny and the cookies will not have a good texture. (see picture in post)
Add sugars and mix with a wooded spoon or sturdy spatula until smooth and all brown sugar lumps are dissolved. Add vanilla and egg yolks, then stir again until smooth.
Add the flour and sprinkle the baking soda and salt over the top. Stir just until all flour mixture is incorporated and dough pulls away from sides of bowl. See “Tips” at the end of the post.
Add ½ cup of the chocolate chips and ½ cup of the crushed candy canes . Stir to combine. Reserve remaining chocolate chips and crushed candy canes.
Scoop up dough with a spoon or an ice cream scooper of your choice and place on prepared sheet pan. Leave 1 ½-2 inches between each cookie. I used a 1 ½ inch scooper. Press a few of the chocolate chips onto the top and sides of each dough scoop for a pretty look. (If you’re in a hurry, just add all the chips and into the dough.)
Bake for 12-15 minutes or until cookies are light golden brown. As soon as cookies emerge from the oven, sprinkle with about ½ teaspoon of the reserved crushed candy cane. Allow to cool for a few minutes on the pan, then transfer to a cooling rack.
Yield: --18-24",10,10 tablespoons salted butter,¾ cup light brown sugar,¼ cup white sugar,1 teaspoon vanilla extract,2 large egg yolks,1 ½ cups all purpose flour,1 teaspoon baking soda,¼ teaspoon kosher salt,¾ cup semi sweet chocolate chips,"¾ cup coarsely crushed candy canes, divided",NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/easy-candy-cane-chocolate-chip-cookies/,NA,NA,NA
Pumpkin Shortbread Cookies,Chris Scheuer,5, 10 ,"Cookies, Dessert",NA,Prep Time 20 minutes mins,Cook Time 20 minutes mins,NA,Total Time 40 minutes mins,NA,4,"Combine butter, brown sugar and vanilla extract in the bowl of an electric mixer. Beat at medium speed, scraping bowl often, until creamy. Add flour, pumpkin pie spice and salt. Beat at low speed, scraping bowl often, until well mixed. Cover; refrigerate until firm, about 45 minutes.
Heat oven to 350°F. Line two sheet pans with parchment paper. Place Demerara sugar in a large shallow bowl.
Shape dough into 1-inch balls**. Roll dough balls in Demerara sugar and place them 2 inches apart on prepared sheet pans.
Bake 14-18 minutes or until edges are lightly browned. Remove from oven and immediately, place a candy pumpkin in the center of each cookie. Press down gently, as far as you can. If cookie cracks when inserting pumpkin, just push it back together and hold in place for 2-3 seconds. Cool completely.",8,"1 cup butter, softened",⅔ cup brown sugar,½ teaspoon vanilla extract,2 cups all-purpose flour,1 ½ teaspoons pumpkin pie spice,½ teaspoon salt,"½ cup Demerara, or Turbinado sugar*",candy pumpkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/pumpkin-shortbread-cookies/,NA,NA,NA
Lemon Blueberry Shortbread Cookies,Chris Scheuer,5, 12 ,Dessert,American,Prep Time 15 minutes mins,Cook Time 40 minutes mins,NA,Total Time 55 minutes mins,NA,6,"Combine dried blueberries and apple juice or water in a microwave-safe cup or bowl. Cover tightly with plastic wrap and microwave on high or 45 seconds. Set aside to cool. Blueberries will absorb the juice (or water) and plump up a bit.
Preheat oven to 325˚F (150˚C). Line two sheet pans with parchment paper.
Combine flour, baking powder and salt. Stir well, then add cooled blueberries and lemon zest. Stir again, then set aside.
In the bowl of an electric mixer, cream the butter and sugar together, until light and fluffy.
Slowly add the dry ingredients, mix until completely combined.
With a cookie scoop or tablespoon, scoop dough onto prepared sheet pans, 1 ½ inches apart. I use a 1 ½ tablespoon cookie scoop (size and number of cookies will depend on the size of your scoop). Sprinkle each cookie lightly with sugar and bake for 15 to 20 minutes, until light golden brown. Remove to a wire rack to cool.",8,⅔ cup dried blueberries*,1 tablespoon apple juice or water,1 ¾ cups all-purpose flour,½ teaspoon baking powder,finely grated zest from 2 small lemons,¼ teaspoon salt,1 cup butter,"½ cup white sugar, plus additional for sprinkling",NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/lemon-blueberry-shortbread-cookies/,NA,NA,NA
One Bowl Toffee Bar Chocolate Chip Cookies,Chris Scheuer,4.93, 14 ,Dessert,American,Prep Time 15 minutes mins,Cook Time 15 minutes mins,NA,Total Time 30 minutes mins,NA,7,"Preheat oven to 325˚F. Line two sheet pans with parchment paper. Unwrap toffee bars and, with a sharp knife, cut them into bite size pieces. Set aside.
Place butter in a microwave-safe bowl (2 quart size is perfect. I use this one almost daily). Microwave on high power for 20-30 seconds or until butter is starting to melt and has become soft. Don’t let it melt completely, as the dough will be runny and the cookies will not have a good texture. (see picture in post)
Add sugars and mix with a wooden spoon or sturdy spatula until smooth and all brown sugar lumps are dissolved. Add vanilla and egg yolks, then stir again until smooth.
Add the flour and sprinkle the baking soda and salt over the top. Stir just until all flour mixture is incorporated and dough pulls away from sides of bowl. See “Tips” at the end of the post and picture in post.
Add ½ cup of the chocolate chips and half of the toffee bits. Stir to combine. Reserve remaining chocolate chips and toffee bits.
Scoop up dough with a spoon or an ice cream scooper of your choice and place on prepared sheet pan. Leave 1 ½-2 inches between each cookie. I like fairly large cookies and use a 2-inch ice cream scoop with a 3 tablespoon capacity.* Press a few of the reserved toffee pieces and chocolate chips onto the top and sides of each dough scoop for a pretty look. (If you’re in a hurry, just add all the chips and toffee pieces into the dough in step 5.)
Bake for 12-15 minutes or until cookies are light golden brown. Allow to cool for a few minutes on the pan, then transfer to a cooling rack.",10,"10 tablespoons salted butter, 142g",¾ cup light brown sugar,¼ cup white sugar,1 teaspoon vanilla extract,"2 egg yolks, from large eggs",1 ½ cups all-purpose flour,1 teaspoon baking soda,¼ teaspoon kosher salt,¾ cup semi-sweet chocolate chips,"4 toffee bars, 1.4 ounces each, (like Heath, Daim or Skor bars)",NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/one-bowl-toffee-bar-chocolate-chip-cookies/,NA,NA,NA
Blondie S'Mores Bars,Chris Scheuer,5, 5 ,Dessert,American,Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,7,"Adjust oven rack to middle position; heat oven to 350° F. Spray an 8-inch pan with cooking spray or grease lightly with oil. Cut an 8 x14-inch wide strip of foil and line pan foil with the 2 long sides extending over the top of pan. (You will use this later to easily remove bars from pan.) Spray or rub with oil to coat foil.
Heat butter in a medium large saucepan till just melted. Remove from heat and allow cool slightly for a few minutes. Whisk in sugar, mixing until well combined. Add egg and vanilla, stir to incorporate.
Add flour, baking powder, and salt together to mixture in pot. Using a rubber spatula stir just until combined; do not overmix.
Bake until top is shiny, cracked, and light golden brown, 18 to 22 minutes; do not overbake. Set aside to cool for 10 minutes. Set broiler to high with rack set 6-8inches from broiler.
Top blondies with chocolate chips (or lay candy bars across top to cover), then sprinkle with marshmallows. Place under the broiler for approximately 30 seconds to one minute or until marshmallows start to brown. Watch very carefully as marshmallow will quickly go from golden brown to burned.
Remove from oven and cool for 10 minutes then add Hershey bar pieces, randomly inserting them across top. I like to make it look like they’re “peeking” out from the marshmallows.
Set aside to cool completely. When ready to serve, lightly oil a sharp knife and cut into 2-inch squares.",10,6 tablespoons butter,¾ cup light brown sugar,1 large egg,2 teaspoons vanilla extract,¾ cup all purpose flour,½ teaspoon baking powder,¼ teaspoon kosher salt,1 ½ cups milk chocolate chips or 4-5 Hershey 1.55-ounce candy bars,3 cups miniature marshmallows,"1-2 1.55- ounce bar Hershey milk chocolate candy bars, I cut the bars into individual squares, then cut each one in irregular halves.",NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/blondie-smores-bars/,NA,NA,NA
Easy Valentine Shortbread Cookies,Chris Scheuer,5, 5 ,Dessert/Cookies,NA,Prep Time 30 minutes mins,Cook Time 18 minutes mins,NA,Total Time 48 minutes mins,NA,7,"Heat oven to 350°F. Pour sprinkles into a shallow bowl. Unwrap Hershey's Hugs and set aside.
Combine butter, sugar and ½ teaspoon vanilla extract in a mixer bowl. Beat at medium speed, scraping bowl often, until creamy.
Add flour; beat at low speed, scraping bowl often, until well mixed.
Shape dough into small 1-inch balls (I use a small ice cream scoop).
Roll balls of dough in sprinkles, patting sprinkles gently onto any areas where sprinkles have not adhered. You want to have the little balls pretty much completely covered with sprinkles.
Place 2 inches apart onto ungreased cookie sheets. Bake 14-18 minutes or until bottoms are lightly browned. 
Remove from oven and let cool for a minute or two then quickly place a Hershey's Hug in the center of each cookie, barely pressing down (about ¼ inch or less!) into the cookie. Don't be tempted to press the kiss too deeply into the cookies as they will crack at the edges. If you do have any cracking, gently push the crack back together while the cookies are still warm. To keep the kisses from melting, transfer cookies to a plate or small cutting board and refrigerate for 20 minutes. If you don't refrigerate them, the kisses will take quite a while to firm up. Be careful when you move them so the kisses don't collapse or distort in shape from the movement.",6,"1 cup salted butter, softened",⅔ cup sugar,½ teaspoon vanilla extract,2 cups all-purpose flour,"½ cup red, pink and white nonpareil (sprinkles)",1 10- ounce bag Hershey's Hugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/easy-valentine-shortbread-cookies/,NA,NA,NA
Easy Bakery Style Molasses Cookies,Chris Scheuer,4.89, 17 ,"Cookies, Dessert",NA,Prep Time 15 minutes mins,Cook Time 25 minutes mins,NA,Total Time 40 minutes mins,NA,7,"Place oven racks in lower and upper thirds of oven and preheat to 375°. Line two sheet pans with parchment paper. (I love these parchment paper sheets that are already cut to the size of a sheet pan.)
Melt butter in a medium large pot, just until melted. Remove from the heat and add sugars and stir to combine. Add molasses and egg and stir well.
Stir in flour, baking soda, cinnamon, ginger, cloves, and salt just until combined.
Place raw sugar in a shallow bowl. Scoop out dough with a cookie scoop (mine holds 2 tablespoons) and roll into balls. If dough seems sticky, chill 20 minutes. (Out of the four times I've made the cookies, only once did the dough seem sticky, but after a short stint in the refrigerator, it was perfect for rolling.
Roll balls, sugar and place on prepared pans, spacing 2” apart.
Bake cookies, rotating baking sheets halfway through, until cookies are puffed, cracked, and set around edges, 10-12 minutes. Transfer to wire racks and let cool.
Do Ahead: Cookie dough can be made and rolled into balls 2 weeks ahead. Freeze on a baking sheet; transfer to resealable plastic bags. Let sit at room temperature 30 minutes before rolling in sugar.",12,½ cup 1 stick butter,⅓ cup granulated sugar,¼ cup packed dark brown sugar,⅓ cup mild-flavored molasses,1 large egg,2 cups all-purpose flour,2 teaspoons baking soda,1½ teaspoon ground cinnamon,1 teaspoon ground ginger,½ teaspoon ground cloves,½ teaspoon kosher salt,"Raw sugar, also called Demera or Turbinado sugar, for rolling",NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/easy-bakery-style-molasses-cookies/,NA,NA,NA
Gingerbread Blondies,Chris Scheuer,5, 3 ,Dessert,NA,Prep Time 25 minutes mins,Cook Time 35 minutes mins,NA,Total Time 1 hour hr,NA,9,"Preheat oven to 350°F. Spray a 8-inch cake pan (or quarter sheet pan) with baking spray. Cut a length of parchment paper long enough to line the bottom of the pan with extra hanging over two of the sides. Press a crease in the parchment at the edges, so it fits snugly into the bottom. Set pan aside.
Melt the butter in a medium size pot over medium heat. Continue cooking for about 4-6 minutes till butter is foaming and turns a medium golden brown. Swirl the pan frequently and watch carefully as butter can quickly go from golden to burned. Don't let it go past medium brown as it will continue to darken a bit more when you take it off of the burner.
Remove from heat and allow to cool for 5 minutes, then add brown sugar and stir well. Add eggs, one at a time and stir till each is incorporated. Add vanilla and stir well.
Add flour, baking powder and spices and salt. Stir until all flour has disappeared. Pour batter into prepared pan and spread evenly .
Bake 25-35 minutes, or until a toothpick inserted in the center comes out with clean or with just a few moist crumbs. Cool completely before icing.
For the icing, whip the butter and cream cheese in the bowl of an electric mixer until soft and fluffy, about 1 minute. I like to use the whisk attachment for my mixer.
Reduce speed to low and slowly add the powdered sugar. Once the powdered sugar is incorporated, add vanilla and 2 tablespoons half and half. Beat for 3 minutes, stopping to scrape down the sides of the bowl occasionally. You may need to add more half and half if icing is too thick. Add a teaspoonful at a time until desired consistency is reach. You want a creamy and spreadable consistency.
Spread icing over cooled blondies. Sprinkle with nutmeg for garnish, if desired. Allow icing to set for at least one hour. I like to place the whole pan in the refrigerator for about an hour before cutting.
Cut blondies into 2-inch squares. Yields 16 bars if made in an 8x8-inch pan.",20,For the blondies:,1 cup butter,2 cups light brown sugar,2 large eggs,2 teaspoons vanilla extract,1 ½ cups all purpose flour,1 teaspoon baking powder,1 teaspoon cinnamon,1 teaspoon ground ginger,1 teaspoon ground allspice,½ teaspoon ground cloves,¼ teaspoon ground nutmeg,1 teaspoon salt,For the icing:,4 ounces butter,1 ounce cream cheese,2 ½ cups powdered sugar,The Cafe Sucre Farine,https://thecafesucrefarine.com/gingerbread-blondies/,1 teaspoon vanilla extract,2-3 tablespoons half & half,"nutmeg for garnish, if desired"
Candy Cane Shortbread Cookies,Adapted by Chris Scheuer from Land O Lakes,4.64, 11 ,Dessert,Holiday foods,Prep Time 20 minutes mins,Cook Time 20 minutes mins,NA,Total Time 40 minutes mins,NA,8,"Heat oven to 350°F. Pour sprinkles into shallow bowl. Unwrap Candy Cane Kisses
Combine butter, sugar and ½ teaspoon vanilla extract in bowl. Beat at medium speed, scraping bowl often, until creamy.
Add flour; beat at low speed, scraping bowl often, until well mixed.
Shape dough into small 1-inch balls (I use a small ice cream scoop).
Roll balls of dough in sprinkles, patting sprinkles gently onto any areas where sprinkles have not adhered. You want to have the little balls covered with sprinkles.
Place 2 inches apart onto ungreased cookie sheets.
Bake 14-18 minutes or until bottoms are lightly browned. Remove from oven and quickly place a kiss in the center of each cookie, pressing down barely (about ¼ inch or less!) into the cookie. Don't be tempted to press the kiss too deeply into the cookies as they will crack at the edges. If you do have any cracking, gently push the crack back together while the cookies are still warm.
Let the cookies stand 5 minutes on sheet pan, then carefully remove to cooling rack. Cool completely before moving or touching. The kisses will take a while to firm up. If you try to move them too soon the kisses will collapse or distort in shape.",6,"1 cup salted butter, softened",⅔ cup sugar,½ teaspoon vanilla extract,2 cups all-purpose flour,½ cup color nonpareil sprinkles,1 10- ounce bag Hershey's Holiday Candy Cane Kisses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/candy-cane-shortbread-cookies/,NA,NA,NA
Chocolate Chip Cherry Oatmeal Cookies,Chris Scheuer,4.20, 5 ,Dessert,American,Prep Time 30 minutes mins,Cook Time 30 minutes mins,NA,Total Time 1 hour hr,NA,6,"Preheat oven to 350˚F. Line two sheet pans with parchment paper for easy clean up.
Place cherries on a cutting board, and roughly chop with a sharp knife (just keep chopping until there aren't any more whole cherries). Set aside.
Cream sugar and butter until light and fluffy. Slowly add the oil and beat until oil is incorporated. Add egg and vanilla. Scrape the sides of the mixing bowl with a rubber spatula and then beat well.
With mixer on lowest speed, add the flour, salt and baking soda. Mix until flour is completely incorporated. Add rice cereal (Rice Krispies or generic brand), oatmeal, toffee bits, cherries and chocolate chips. Mix again till everything is blended in.
Scoop ¼ cup scoops onto prepared sheet pans**. I like to use an ice cream scoop for this.
Bake for 15-20 minutes or until light golden brown. The cookies are soft when they first come out of the oven so let them sit on the sheet pan for 3-5 minutes to firm up a bit, then transfer to a cooling rack to cool completely.",14,1 cup white sugar,1 cup brown sugar,2 sticks butter,"1 cup vegetable oil, I use sunflower oil but any mild flavored oil will work fine.",1 large egg,2 teaspoons vanilla,3 ¼ cups all-purpose flour,1 teaspoon baking soda,½ teaspoon salt,"1 cup rice cereal*, Rice Krispies or the generic brand works fine too",1 cup oatmeal,"8 ounces toffee bits, 1 8-ounce bag","1 cup dried cherries, finely chopped","3 cups chocolate chips, I like Ghiradelli",NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/chocolate-chip-cherry-oatmeal-cookies/,NA,NA,NA
Peach Raspberry Thumbprint Cookies,Adapted by Chris Scheuer from Land o' Lakes,5, 7 ,Dessert,NA,Prep Time 9 hours hrs 12 minutes mins,Cook Time 9 hours hrs 12 minutes mins,NA,NA,NA,10,"Combine softened butter, sugar and ½ teaspoon almond flavoring in bowl of a stand mixer.
Beat at medium speed, scraping bowl often, until soft and fluffy
Add flour; beat at low speed, scraping bowl often, until well mixed. Cover; refrigerate at least 1 hour or until firm.
Preheat oven to 350°F. Line two sheet pans with parchment paper for easy clean up.
Scoop and shape dough into 1-inch balls. I use a small ice cream scoop.
Place cookies 2 inches apart onto prepared cookie sheets. Make an indentation in center of each cookie with thumb (edges may crack slightly) or a round-ended utensil. Fill each indentation with about ¼ teaspoon jam.
Bake 14-18 minutes or until edges are lightly browned.
Let stand 1 minute on cookie sheets then remove to cooling rack. Cool completely.
Combine all glaze ingredients in bowl with whisk until smooth. Drizzle over cookies.
You can also serve these cookies plain or with a dusting of powdered sugar.",9,For the cookies:,"1 cup butter*, softened",⅔ cup sugar,½ teaspoon almond flavoring,2 cups all-purpose flour,"½ cup Peach Raspberry Freezer Jam, or your favorite jam",For the glaze:,1 cup powdered sugar,2-3 teaspoons half & half or milk,NA,NA,NA,NA,NA,NA,NA,NA,The Cafe Sucre Farine,https://thecafesucrefarine.com/peach-raspberry-thumbprint-cookies/,NA,NA,NA
