title,author,rating,ratingnum,course,cuisine,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,source,link,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34
Semmelknödel (German Bread Dumplings),Kimberly Killebrew,5,175,Side Dish,German,15 minutes,20 minutes,NA,35 minutes,NA,5,"Chop the hardened bread into small cubes and place them in a large bowl. Pour the hot milk over the bread, cover and let sit for 20-30 minutes or until softened.
Heat the butter in a frying pan and cook the onions just until transparent, do not brown them. Add the cooked onions to the bread mixture along with the eggs, cooked bacon (if using), parsley, salt, pepper and nutmeg. Knead the mixture together with your hands until very thoroughly combined, breaking up as many of the bread cubes as you can until it’s a soft and chunky-smooth consistency. If the dough is too wet, add breadcrumbs (not flour).
Wet your hands to prevent the dough from sticking and form Knödel about the size of a tennis ball (they will expand slightly when cooked). Press the Knoedel between your palms to make sure they're nice and compact. Bring a large, wide pot of lightly salted water to a very light simmer – not boiling but just on the verge of boiling with tiny fizzy bubbles floating up. Carefully drop the Semmel Knoedel in the water and let them ""steep"" 15-20 minutes. Do not at any point let the water boil or you risk your Knödel losing shape or falling apart. Carefully lift them out with a slotted spoon. 
Serve with Rouladen, Sauerbraten, Senfbraten, Geschnetzeltes, Jaegerschnitzel, etc.
To Freeze The Knödel: Let them cool completely, place them spread apart on a cookie sheet and freeze them, then transfer them to a freezer bag or container. To reheat, let them thaw and reheat them covered (to create some steam) in the microwave.
Makes 6-7 Semmelknödel, depending on the size.",12,"11 ounces of white crusty bread (traditionally Brötchen/crispy bread rolls are used) , left to sit out for a few days to get hard and then diced into small cubes","Note: It’s more convenient to use bags of unseasoned bread stuffing – it’s already cubed, simply let it dry out a little longer. (I do not advise using croutons though as they’re too hard.)",1 cup hot milk,1 tablespoon butter,3/4 cup very finely diced yellow onion,"4 strips bacon, diced and fried until crisp , optional for a variation called Speckknödel (Bacon Bread Dumplings)","2 large eggs , lightly beaten with a fork",3 tablespoons finely chopped fresh parsley,1 teaspoon salt (you can use less if using bacon),1/4 teaspoon freshly ground black pepper,1/8 teaspoon freshly ground nutmeg,"breadcrumbs, as needed",NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/semmel-knoedel-german-bread-dumplings/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIY Smoked Neck Bones & Ham Hocks,Kimberly Killebrew,4.98,43,Ingredient,American,10 minutes,NA,NA,10 minutes,NA,5,"Make the brine by placing all the ingredients, except for the neck bones, in a large bowl and stirring until the salt and sugar are dissolved.
Place the neck bones in a stainless steel or food grade plastic bucket/container with a lid, or divide between 2 gallon ziplock bags, and pour the brine over the neck bones. Cover with lid or close the ziplock bags and place the latter in a large dish to catch any leakage. Make sure the neck bones are covered in the brine. Refrigerate for 7 days, flipping the ziplock bags over each day to ensure even distribution of the brine.
After 7 days rinse off the neck bones and place them on a wire rack on a cookie sheet and refrigerate them uncovered for another 24 hours. This will help the smoke to better adhere to the neck bones.
Set your smoker to 200 degrees F and place the neck bones or ham hocks on the smoking grates, making sure they're not touching each other. Smoke the neck bones until they've reached an internal temperature of 150 degrees F, adding a handful of wood chips a couple of different times throughout the process. Smoking time will vary depending on the size of the neck bones but you can figure on about 2 hours.
Once done, wrap the neck bones and freeze them for long-term storage or refrigerate if you plan on using them within a week.
IF YOU DON'T HAVE A SMOKER: You can create a makeshift smoker in your oven. Place some wood chips in the bottom of a roasting pan (or something like it) on the bottom shelf of the oven and add just enough water to to the pan to moisten the chips without immersing them in water. Cover the pan with aluminum foil creating a tent at the top where the smoke can come out and circulate around the meat. Then place the prepared hocks on the oven rack above it and then roast them at 200 degrees F until they reach that 145 degree F internal temperature.",7,5 pounds pork neck bones or ham hocks,8 cups water,3/4 cup kosher salt,3/4 cup packed brown sugar,2 teaspoons pink curing salt aka Prague Powder #1,2 bay leaves,1 teaspoon black peppercorns,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/how-to-smoke-neck-bones-and-ham-hocks/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandelhörnchen (German Almond Horns),Kimberly Killebrew,4.99,65,Dessert,German,20 minutes,15 minutes,NA,35 minutes,30 cookies,7,"Place the marzipan, ground almonds, powdered sugar, almond extract, fresh lemon juice, and egg white in a mixing bowl or in the bowl of a food processor with the paddle attachment in place. Knead the mixture until it comes together in a thick and tacky, but not overly sticky, dough. If it’s too sticky add a little more ground almonds and/or sugar to it. Wrap the dough in plastic wrap and chill for at least 30 minutes (This can be made days in advance.)
When you’re ready to make the almond horns, break the dough off into pieces and roll them into 1-inch balls. Then roll each ball into a small log, tapering it off so each end is a little thinner.
Use a pastry brush to brush egg white all over the cookie dough.
Roll each cookie into the slivered almonds. They don’t have to be completely coated and keep in mind also that the ends will be dipped in chocolate. Bend each cookie into the shape of a crescent and place them on a lined cookie sheet about an inch and a half apart.
The oven should be preheated to 350 degrees. Bake the marzipan almond horns on the middle shelf for 10-15 minutes or until the tips are just starting to turn golden. Remove and let them cool completely.
Microwave some chocolate chips or chunks of chocolate until melted and then dip each end of the almond horns into the chocolate. Place the almond horns back on the cookie sheet or other surface to let the chocolate harden.
Store in an airtight container for up to a couple of weeks.",9,8 ounces marzipan,(click here for easy homemade marzipan recipe!),1 cup blanched finely ground almond flour,1 cup powdered sugar sifted,1 egg white,1/2 teaspoon quality almond extract,2 teaspoons fresh lemon juice,1 egg white for brushing,1 cup sliced almonds,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/mandelhoernchen-chocolate-dipped-marzipan-almond-horns/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Traditional Spotted Dick,Kimberly Killebrew,5,124,Dessert,english,20 minutes,NA,NA,20 minutes,6 servings,5,"Place metal cookie cutters, a folded towel, or crumpled tin foil in the bottom of a large stock pot to prevent the pudding mold from touching the bottom of the pot. Add water and bring to a boil. Generously grease a 1.6 liter pudding mold.
.
Place the flour, sugar, baking powder, salt and suet (or butter) in a food processor and pulse until the mixture resembles coarse sand. Transfer the mixture to a large mixing bowl.
Add the milk, lemon zest, vanilla extract and currants and stir until combined. Scoop the batter into the prepared pudding mold and secure it tightly with the lid.
Lower the pudding mold into the boiling water so that the water comes up to the halfway point of the pudding mold. Reduce the heat to a simmer and simmer undisturbed for 3-4 hours if using suet (it has a very high melting point and needs that amount of time to melt and create the ""pockets"" throughout the pudding that yields the characteristic light/spongy texture associated with suet-based puddings) or about 90 minutes if using butter. You'll likely need to weight the pudding mold down with something heavy to keep it from bobbing up and down in the water. I use a plate and then put something heavy on top of it, like another bowl. Check the water level periodically and add more water as needed to keep it at the halfway point of the pudding tin.
Remove the pudding mold from the water and let it sit for 15 minutes. Invert the pudding onto a plate. Slice into wedges and serve warm with Vanilla Custard. See NOTE about reheating.",10,2 cups all-purpose flour,2 teaspoons baking powder,1/4 teaspoon salt,"5 ounces shredded beef suet (highly recommended for best results, but can substitute 10 tablespoons chilled butter, diced)","2/3 cup caster sugar or regular granulated sugar , see NOTE",1 cup dried currants,3/4 cup milk,2 teaspoons quality vanilla extract,Zest of one large lemon,English Custard Sauce for serving (click link for recipe),NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/traditional-spotted-dick-english-steamed-currant-pudding-with-vanilla-custard/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kinderpunsch (German Christmas Punch),Kimberly Killebrew,5,56,"Beverages, Drinks",German,5 minutes,20 minutes,NA,25 minutes,NA,2,"To make the Kinderpunsch, simply place all the ingredients except for the honey and tea in a stock pot and bring to a boil. Reduce the heat, cover and simmer for 15 minutes. Add the tea bags and let them steep, covered, for 10 minutes. Remove the tea bags and add honey to taste. Reheat the punch until hot.
Serve hot. Optional garnishes to place in each mug include orange slices, cloves, a star anise or cinnamon stick.",9,2 cups apple juice,2 cups orange juice (or substitute half apple juice and half cherry juice) NOTE: some recipes use orange juice and some don't. If you omit the orange juice the Kinderpunsch will be translucent in color.,1/2 cup cherry juice (can substitute more orange or apple juice),2 cups water,2 cinnamon sticks,10 whole cloves,2 whole star anise,"5 bags hibiscus tea , or buy in bulk and use 5 teaspoons loose dried hibiscus petals",Honey to taste,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/kinderpunsch-german-non-alcoholic-spiced-punch/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Pear Butter,Kimberly Killebrew,4.74,19,NA,NA,15 minutes,NA,NA,15 minutes,96 tablespoons,6,"Place all the ingredients in a slow cooker and cook on LOW for 8-10 hours or on HIGH for 5-6 hours. Use an immersion blender (or transfer to a countertop blender) and puree until smooth.
Leave the lid of the slow cooker open and continue to simmer on LOW for 6+ hour, or on HIGH for 4+ hours, or until the pear butter has thickened to the desired consistency.
Taste the pear butter and if you prefer it sweeter add some more brown sugar and let it simmer for another 30 minutes or so.
Optional: Pears tend to be a little gritty. For a smoother taste, process the pear butter in a food mill.
If you're not canning the pear butter, it will store in the fridge for about 2 weeks.
To can for long-term storage: Ladle the hot pear butter into sterilized jars and screw on the washed lids and rims. Process in a boiling water bath for 10 minutes. Remove and let sit undisturbed for 24 hours before moving the jars. Store in a dark, cool place for up to a year. For best flavor consume within 4-6 months.",5,"6 pounds ripe pears ,quartered and cores and stems discarded (no need to peel the pears)",1 cup packed brown sugar,1 1/2 teaspoons ground cinnamon,1/8 teaspoon ground cloves,1/4 cup apple juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/caramel-pear-butter/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How To Make Fruit Leather,Kimberly Killebrew,4.75,8,NA,NA,NA,NA,NA,NA,NA,5,"Place the fruit in a pot (if using ground spices, add them too). If the fruit is really juicy, like plums, apples, peaches, etc, then you hardly have to add any water, just barely enough to keep the bottom from scorching. So just eyeball it, add maybe 1/4 cup of water or so. Check on your fruit as it is stewing to make sure it isn't scorching. If it looks like it needs a little more water, add more. Cover and stew the fruit for 5-10 minutes or until softened.
Puree the fruit until smooth. You can transfer it to a countertop blender or use an immersion blender. Pour the pureed fruit onto lined cookies sheets (either silicone or parchment paper). Spread it out to a thickness of about 1/4 inch or slightly less.
Heat the oven 140°F. To speed up the process you can turn on the convection setting if you have one. It typically takes 8-12 hours to dry out. You'll know your fruit leather is done when the surface is smooth and no longer sticky. (Note: You can dehydrate the fruit leather in either a conventional oven or in a food dehydrator, whichever you prefer. I have a dehydrator but prefer to use the oven for this. It's super simple spreading it out on two cookies sheets and placing them in the oven.
Slice the fruit leather into strips. (You can store the fruit leather either as one large strip and slice it later or store it in strips. Note: If you're using parchment paper the fruit leather is easiest to remove while it's still slightly warm to prevent it from sticking to paper.)
To store it, roll it in plastic wrap and then in an airtight container in the fridge or freezer.",2,"Fruit of your choice or any combination of fruits and berries ,washed, de-seeded as applicable, leave the peels on for added nurtition",Ground cinnamon and/or cloves if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/how-to-make-fruit-leather/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roasted Sweet Potato Fettuccine Alfredo,Kimberly Killebrew,4,1,NA,NA,10 minutes,30 minutes,NA,40 minutes,4 servings,7,"Place the sweet potatoes, shallots and garlic cloves in a bowl and toss with the olive oil.
Spread the vegetables out single-layer on a lined baking sheet.
Roast at 450 degrees F for about 25 minutes, flipping the veggies over after every 10 minutes or so, until browned.
Place the roasted veggies in a blender with the hot chicken stock and tarragon and puree until smooth. Add the cream, salt and pepper and puree again.
Place the puree in a medium saucepan over medium-high heat. Once the mixture begins to simmer stir in butter and Parmesan cheese until melted and the sauce is smooth. Add salt and pepper to taste.
Toss the freshly cooked hot pasta in the sauce until coated.
Served immediately sprinkled with some freshly grated Parmesan cheese and garnished with a sprig of tarragon.",12,"1 pound sweet potatoes ,peeled and cut diced","3 cloves garlic ,peeled and halved","3 medium shallots ,peeled and cut in half lengthwise (or quartered if large)",2 tablespoon extra virgin olive oil,3 cups hot chicken stock (vegetarian: use vegetable broth),1 small sprig fresh tarragon,½ teaspoon salt,¼ teaspoon freshly ground black pepper,⅓ cup heavy cream,4 tablespoons butter,1/3 cup freshly grated Parmesan cheese,"10 ounces fresh fettuccine or equivalent dried (Gluten Free: Use GF fettuccine, cooked al dente just before adding to the sauce so it's still hot)",NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/roasted-sweet-potato-fettuccine-alfredo/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Connection Sandwich (Two Ways),Kimberly Killebrew,5,2,Main Dish,French,10 minutes,NA,NA,10 minutes,NA,2,"Combine the ingredients for the garlic butter and set aside until ready to use. If storing it in the fridge, let is soften at room temperature before using it.
Spread the bottom half of each roll with a generous amount of garlic butter and top halves with mayonnaise. Layer the sandwiches with cucumber, brie and onion and place the top half of the sandwich on top. If making hors d'oeuvres with the sandwich rounds, use on slice of cucumber and you can secure the sandwiches by sticking a toothpick down the center.
Makes 4 sandwiches or 12 hors d'oeuvres",10,"4 large soft rolls if making hors d'oeuvres instead, cut 24 round circles out of sandwich bread about 2 inches in diameter and proceed using the standard directions",Large wedge of brie at room temperature,1 cucumber washed and thinly sliced,1 small onion thinly sliced,Mayonnaise,For the Garlic Butter:,1/4 cup unsalted butter at room temperature,2 large cloves garlic smashed and finely minced,2 tablespoons chopped fresh parsley,1/8 teaspoon salt,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/french-connection-sandwich-two-ways/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candied Ginger,Kimberly Killebrew,4.96,107,"Candy, condiment, Snack",All,10 minutes,10 minutes,NA,20 minutes,NA,4,"Place the sliced ginger in a medium pot and cover with water. Bring to a boil and simmer for 30 minutes. Reserve 1/2 cup of the ginger water and then drain the ginger slices.
Place the sliced ginger back in the pot with the reserved ginger water, sugar and pinch of salt. Bring to a boil, reduce the heat to medium, and simmer uncovered for 35-40 minutes or until the temperature on a candy thermometer reads 225 degrees F.
Drain the ginger in a colander over a bowl to catch the syrup (see Note).
Lay out the ginger slices on a cooling rack over a cookie sheet, separating the slices the best you can. Let cool for 2 hours (you want them sticky but not wet so that the sugar will adhere without dissolving).
Toss the ginger slices in a bowl of sugar so they are coated all over. Place the ginger slices back on the cooling rack to sit overnight.
Note: If you're in a very humid area you can dry the candied ginger in a food dehydrator or in the oven set to the lowest temperature (you may need to crack the oven door open.)
Store in an airtight container in a dark, cool place. Will keep for several months. It can also be frozen for at least 6 months.
This makes roughly 2 cups of candied ginger.",4,"1 pound fresh ginger root , preferably young/smaller roots, sliced about 1/8 inch thick (by hand or use a mandolin – it's much easier)",pinch of salt,2 cups white granulated sugar,extra sugar for coating,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/how-to-make-crystallized-ginger/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blonde French Onion Soup,Kimberly Killebrew,4,1,Soup,French,10 minutes,NA,NA,10 minutes,4 servings,2,"Melt the butter in a Dutch oven over medium-low heat and add the onions and sugar. Cover and cook for 20 minutes, stirring occasionally. Uncover, increase the heat to medium and cook until lightly browned, another 20-25 minutes.
Add the flour and stir until incorporated. Add the white wine and bring to a rapid boil for a minute. Add the chicken stock and salt, return to a boil, reduce the heat and simmer, covered, for 25 minutes. Add the cream and thyme and cook for a few more minutes to heat through.
Preheat the oven to 400 degrees F.
Place the baguette slices on a lined cookie sheet and sprinkle with the cheese. Bake for a few minutes, just until the cheese is bubbly and the edges of the baguette are lightly browned. Ladle the hot soup into bowls, place a cheese-baked baguette in each bowl and serve immediately sprinkled with a little fresh chopped parsley. Alternatively, place the unbaked baguette slices in oven-proof bowls, sprinkle with cheese, and bake. Carefully remove the hot bowls from the oven and serve immediately.",12,"2 pound yellow onions , halved and thinly sliced",5 tablespoons butter,1 teaspoon sugar,2 tablespoons all-purpose flour,1/2 cup dry white wine,"4 cups quality chicken stock , vegetarians: use vegetable stock",2 cups heavy cream,1/2 teaspoon minced fresh thyme,1 teaspoon salt,4 1- inch slices baguette bread,1 cup shredded aged Havarti or other aged flavorful cheese flavorful cheese,chopped fresh parsley for garnish,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/blonde-french-onion-soup/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Healthy Dog Biscuits,Kimberly Killebrew,4.89,9,Dog Treats,NA,10 minutes,40 minutes,NA,50 minutes,NA,2,"Preheat the oven to 350 degrees F. Line a cookie sheet.
Combine all the dry ingredients in a large mixing bowl. Add the remaining ingredients, except for the water, squeezing the fish oil from the capsules into the bowl with the other ingredients. Stir the mixture until it resembles coarse sand. Slowly add the water, starting with 1/2 cup and add more as needed. You want a thick dough that holds together without being too sticky. Use your hands to knead the dough a few times to make sure all the ingredients are incorporated.
Turn the dough out onto a lightly floured work surface and roll it out to 1/4 inch thickness. Use a cookie cutter to cut out biscuits and place them on a lined cookie sheet. Gather up the scraps of dough, roll it out again, and cut out the remaining biscuits.
Bake for about 40 minutes or until the biscuits are golden and hard. Let cool completely and keep stored in an airtight container. Will keep for several days.",12,2 cups whole wheat flour,1/2 cup old-fashioned oats,1/2 cup wheat germ,2 tablespoons unsalted sunflower seeds,2 tablespoons flax seeds,1 teaspoon ground cinnamon,1/3 cup natural unsweetened peanut butter,1/4 cup coconut oil,1/4 cup extra virgin olive oil,4 high quality fish oil capsules,1 tablespoon raw honey,1/2 to 3/4 cup water,NA,NA,NA,NA,Daring Gourmet,https://www.daringgourmet.com/mega-healthy-dog-biscuits/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peanut Butter Banana Bread,Kimberly Killebrew,5,1,Dessert,American,15 minutes,NA,NA,15 minutes,NA,3,"Preheat the oven to 350 degrees F. Grease a 9×5 inch loaf pan.
Sift together the flour, cocoa powder, baking soda, baking powder and salt in a bowl. Set aside.
In a large mixing bowl, add the bananas, sugar, sour cream, coconut oil, eggs and vanilla extract. Beat with an electric mixer just until combined. Use a rubber spatula to fold the flour mixture into the wet mixture, about half of the flour mixture at a time. Stir just until combined. Gently stir in the chocolate chips.
Pour the batter into the greased loaf pan and bake on the middle rack for 60-75 minutes or until a toothpick inserted into the middle of the cake comes out clean.
Let the cake sit in the pan for 5 minutes before removing it from the pan and transferring it to a wire rack to cool completely.
To make the glaze: Combine all ingredients in a small saucepan or in a microwavable dish, and heat just until it is melted enough to form a liquid-like mixture. Stir to combine and pour the glaze over the cake. If desired, sprinkle some chocolate chips and peanut butter chips over it before the glaze dries (other options: Reese’s Pieces, cut up Reese’s peanut butter cups, or drizzle melted chocolate over it for a pretty swirly pattern). Let the glaze set before slicing.",17,"1 1/2 cups spelt, einkorn or whole wheat flour",1/3 cup Dutch cocoa powder,1 teaspoon baking soda,1 teaspoon baking powder,1/2 teaspoon salt,"1 cup mashed bananas , about 2 large bananas",1 cup packed brown sugar,2/3 cup sour cream,1/3 cup coconut oil,2 large eggs,1 teaspoon vanilla extract,1 cup semi-sweet chocolate chips,For the Peanut Butter Glaze:,1/2 cup natural unsweetened peanut butter,1 cup powdered sugar,1/4 cup milk,Daring Gourmet,https://www.daringgourmet.com/double-chocolate-peanut-butter-banana-bread/,extra chocolate and peanut butter chips for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greek Grilled Asparagus Salad,Kimberly Killebrew,5,3,Salad,Greek,10 minutes,8 minutes,NA,18 minutes,NA,2,"Turn the oven on to ""Broil"".
Spread the asparagus out on a lined baking sheet and drizzle with the olive oil, then sprinkle with a little salt and freshly ground black pepper. Toss to coat and spread the asparagus out in a single layer. Roast for 6-8 minutes (depending on thickness) or until the asparagus is lightly browned, tossing once or twice. Remove from oven and set aside to cool. Once cooled, transfer to a cutting board and cut into 1-inch pieces.
To prepare the vinaigrette, combine all ingredients and shake until emulsified.
Place the cooled asparagus, red onion and cherry tomatoes in a large mixing bowl. Pour the vinaigrette over the vegetables and gently toss to combine. Add the Feta cheese and very carefully stir to combine. Let sit for at least 30 minutes before serving. If serving later, refrigerate. Best served at room temperature.
Serve as a side dish or as a light meal with some good crusty bread.",15,"1 bunch asparagus , washed and trimmed",2 tablespoons extra virgin olive oil,Salt and freshly ground black pepper,"1 pint cherry tomatoes , use red and yellow for more color if you can find them, cut in half",3/4 cup sliced red onion,1/2 – 3/4 cup diced Feta cheese,For the Vinaigrette:,3 tablespoons extra virgin olive oil,2 tablespoons red wine vinegar,1 tablespoon balsamic vinegar,1 teaspoon Dijon mustard,2 teaspoons chopped fresh rosemary or 1/2 teaspoon dried,1 teaspoon sugar,1/2 teaspoon salt,1/4 teaspoon freshly ground black pepper,NA,Daring Gourmet,https://www.daringgourmet.com/greek-style-grilled-asparagus-salad-tomatoes-feta-cheese/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toasted Almond Honey Cake,Kimberly Killebrew,5,3,Dessert,American,10 minutes,45 minutes,NA,53 minutes,NA,4,"Preheat the oven to 350 degrees F. Generously grease a 9x2 inch round cake pan.
Combine the flour, baking powder, baking soda, and salt in a medium bowl.
In a large mixing bowl, cream the butter and sugar for several minutes until light and fluffy. Add the eggs and beat another 2 minutes until lighter in color and fluffy. Add the honey, coconut oil, vanilla and almond extracts and beat until combined.
Using a rubber spatula, stir the flour mixture and honey yogurt into the wet mixture in thirds, alternating between the two, beginning and ending with the flour.
Spoon the batter into the prepared cake pan and bake for 35-45 minutes, or until a toothpick inserted into the very center of the cake comes out clean. Let the cake sit in the cake pan for 10 minutes before inverting onto a wire rack to cool completely.
Toast the sliced almonds in an oven preheated to 375 degrees F for 4-5 minutes or until light golden brown. Cool.
To make the glaze, combine the powdered sugar, honey and milk until no lumps are remaining. Place the rack over a cookie sheet and pour the glaze over the cooled cake, starting at the center and moving out, allowing the glaze to drip down the sides of the cake. Evenly sprinkle the almonds over the top of the cake. Let sit for at least 10 minutes before carefully transferring to a serving platter.",17,2 cups all-purpose unbleached flour,2 teaspoons baking powder,1 teaspoon baking soda,1/2 teaspoon salt,"1/2 cup unsalted butter , at room temperature",1/2 cup granulated sugar,2 large eggs,1/4 cup honey,"1 tablespoon coconut oil , or oil of choice",1/2 teaspoon pure vanilla extract,1/8 teaspoon pure almond extract,1 cup Greek honey yogurt,For the Honey Glaze:,1 1/2 cups sifted powdered sugar,2 tablespoons honey,3 tablespoons whole milk,Daring Gourmet,https://www.daringgourmet.com/toasted-almond-honey-cake/,1/3 cup sliced almonds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steamed Chocolate Pudding,Kimberly Killebrew,5,3,Dessert,"British, english",15 minutes,30 minutes,NA,45 minutes,NA,4,"Fill a large stock pot with enough water to cover the pudding mold just past the halfway point. Start bringing it to a boil now.
Generously butter a steamed pudding mold
In a small bowl, sift the flour, baking powder and salt. Stir in the chocolate powder.
In a large bowl, cream the butter and sugar for several minutes until light and fluffy. Add the eggs, vanilla and rum extracts and beat until thoroughly combined. Alternately stir in the flour mixture and the milk, beginning and ending with the flour.
Melt the chocolate bar chunks (either in a double boiler or microwave). Pour the melted chocolate into the batter and stir to combine.
Spoon the batter into the prepared pudding mold and secure the lid.
Place a dishtowel that's been folded several times in the bottom of the stock pot, positioning it with a long spoon if necessary. You must avoid letting the pudding mold touch the bottom of the pot and ensure that it remains standing straight throughout the steaming process. Do not let any water get into the mold.
Place the pudding mold on top of the folded towel, reduce the heat to low, cover the pot, and simmer for 1 1/2 hours.
Remove the pudding mold from the pot and let it sit for 5 minutes while you prepare the glaze.
To make the glaze, combine the three ingredients in a small saucepan, bring to a boil and simmer for 5 minutes.
Invert the pudding onto a wire rack positioned over a cookie sheet. While the pudding is still warm, brush the chocolate glaze all over then carefully transfer to a serving plate.
Serve warm with whipped cream, hot fudge sauce, or ice cream.
To reheat, place the pudding back in the mold, cover, and boil again for a few minutes until heated.",15,1 cup all-purpose flour,1 teaspoon baking powder,1/4 teaspoon salt,2 tablespoons cocoa powder,"1/4 cup unsalted butter , at room temperature","3/4 cup light brown sugar , packed",2 large eggs,1 teaspoon vanilla extract,1/2 teaspoon rum extract,1/2 cup whole milk,"4 ounces quality chocolate , I'm using 62% cocao), cut into chunks",For the Chocolate Glaze:,1 tablespoon cocoa powder,1/4 cup white granulated sugar,1/4 cup water,NA,Daring Gourmet,https://www.daringgourmet.com/heritage-steamed-chocolate-pudding/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whole Grain Pancakes,Kimberly Killebrew,5,2,Breakfast,NA,5 minutes,10 minutes,NA,15 minutes,22 Pancakes,1,"In a large mixing bowl combine the eggs, olive oil, coconut oil, honey, and vanilla extract and whisk to combine. Add the buttermilk and whisk to combine.
In a separate mixing bowl, add the flour, baking powder, baking soda, salt, ground flax seeds, wheat germ and wheat bran. Stir to combine.
Add the dry mixture to the wet mixture and mix with an electric beater until combined and no lumps remain. Stir in the cooked quinoa.
Use a 1/4 cup measuring cup to scoop out the batter and pour it onto a hot griddle or in a non-stick skillet. Cook on one side until small bubbles/holes appear in the batter, then flip to the other side and cook until golden brown on both sides, about 2 minutes per side. Serve hot with syrup of your choice.",14,2 large eggs,1/4 cup extra virgin olive oil,1 tablespoon coconut oil,3 tablespoons raw honey,1/2 teaspoon pure vanilla extract,"2 cups spelt, einkorn, whole wheat flour",1 1/2 teaspoons baking powder,1 1/2 teaspoons baking soda,1/4 teaspoon salt,3 tablespoons ground flax seeds,2 tablespoons wheat germ,2 tablespoons oat bran,2 cups buttermilk,1 cup cooked quinoa,NA,NA,Daring Gourmet,https://www.daringgourmet.com/mega-healthy-pancakes/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
