title,author,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,category,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30
Gluten-Free Shortbread,Erin,4.29,21,20 minutes,20 minutes,NA,40 minutes,8 servings,13,"Preheat the oven to 350°F and lightly grease a 9"" tart pan with a removable bottom.
In a large mixing bowl using an electric hand mixer or stand mixer, beat the butter, sugar, salt and vanilla at medium speed until combined.
Gradually beat in the flour at low speed until the flour is well incorporated. Do not over mix!
Press the dough onto the bottom of the prepared pan and using a fork, poke holes about every 1"".
Bake for 15-20 minutes or until golden brown.
Meanwhile, place the chopped nuts on a baking sheet. When you remove the shortbread from the oven, toast the nuts for about 3-8 minutes or until they smell toasty (the time will depend on how finely the nuts are chopped).
Remove the shortbread from the oven and use a sharp knife to cut the shortbread into 8 wedges. The shortbread will be quite fragile so let it cool completely in the pan.
Carefully remove the cookies from the pan using a spatula.
Place a piece of parchment paper or wax paper on a baking sheet that will fit in your refrigerator.
Melt the chocolate in a small saucepan over low heat while stirring frequently.
Spoon the chocolate over the top and sides of a piece of shortbread and use the spoon to even it out. Place the shortbread on the parchment paper and sprinkle with nuts. Repeat with the remaining pieces.
Place in the refrigerator for about 30 minutes to allow the chocolate to harden. You could alternatively let the cookies sit at room temperature for about 2 hours or until the chocolate has hardened.
Store in an airtight container at room temperature for up to 3 days.",7,▢ ½ cup unsalted butter softened,▢ ¼ cup + 2 tablespoons packed light brown sugar,▢ ½ teaspoon salt,▢ 1 teaspoon vanilla extract,▢ 1 cup all-purpose flour or 1-to-1 gluten-free baking flour,▢ ¾ cup milk chocolate chips or chopped milk chocolate,▢ ⅓ cup finely chopped pecans or other nuts,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/gluten-free-shortbread/,Chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween Chocolate Chip Cookies,Jamie,5,1,20 minutes,25 minutes,NA,45 minutes,15 -20 cookies,12,"Preheat oven to 350°F. Line an 8x8-inch baking pan with parchment paper.
In a large mixing bowl with an electric mixer, combine cookie mix, butter, and egg until a soft dough is formed.
If using, fold in sprinkles and mix until they are evenly incorporated.
Spread cookie dough into prepared pan.
Bake in preheated oven for 23-25 minutes.
Remove pan to wire rack and cool completely.
Once the cookies are cool, prepare the buttercream.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large mixing bowl with an electric mixer, cream butter on medium-high speed for about 6 minutes. With the mixer on low speed, slowly add in powdered sugar, and continue beating until well blended.
Add in vanilla, and 1 tablespoon of milk. Blend on low speed until moistened.
If needed, add additional milk 1 teaspoon at a time, until you reach the desired consistency. Beat at high speed until frosting is smooth and fluffy; about 5 more minutes.
If desired, use gel food dye to color the frosting.
Spread frosting onto cookie bars, or use a small biscuit cutter to cut the cookie bars into small circles. Pipe frosting onto cookies and top with festive sprinkles.",9,▢ 1 box Pillsbury Purely Simple™ Chocolate Chip Cookie Mix,▢ ½ cup unsalted butter room temperature,▢ 1 egg,▢ ⅓ cup festive sprinkles optional,▢ 1 cup unsalted butter softened,▢ 3 ¼ cups powdered sugar sifted,▢ 1 ½ teaspoons pure vanilla extract this helps maintain the bright white color,▢ 1-2 tablespoons milk,▢ gel food dye optional,NA,My Baking Addiction,https://www.mybakingaddiction.com/halloween-chocolate-chip-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S'mores Cookie Cups,Jamie,NA,NA,25 minutes,20 minutes,NA,45 minutes,NA,8,"Preheat oven to 350°F . Spray muffin tins with nonstick cooking spray.
Sift flours, baking soda, baking powder and salt into a bowl. Set aside.
Using a mixer fitted with paddle attachment, cream butter and sugars together until very light, about 5 minutes.
Add eggs, one at a time, mixing well after each addition. Stir in the vanilla.
Reduce speed to low, add dry ingredients and mix until just combined, 5 to 10 seconds. Stir in chocolate chips.
Use a large cookie scoop to distribute about 3 tablespoons of dough into the prepared muffins wells.
Bake in preheated oven for 18 to 20 minutes. Allow cookies to cool completely in the muffin pans.
When ready to serve, top with one roasted Campfire® Marshmallow and a milk chocolate square.",13,▢ 2 cups minus 2 tablespoons 8 1/2 ounces cake flour,▢ 1 ⅔ cups 8 1/2 ounces bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons coarse salt,▢ 2 ½ sticks 1 1/4 cups unsalted butter,▢ 1 ¼ cups 10 ounces light brown sugar,▢ 1 cup plus 2 tablespoons 8 ounces granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/smores-cookie-cups/,Cookies,▢ 1 pound semisweet chocolate chips,▢ 30 regular Campfire® Marshmallows,▢ 30 milk chocolate squares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Pudding Cookies,Jamie,4.43,7,15 minutes,12 minutes,NA,27 minutes,NA,7,"Preheat oven to 350°F. Line baking sheets with parchment paper.
In a large bowl, whisk together the flour, baking soda and salt. Set aside.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, cream butter and sugars on medium speed for 3 minutes. Add in dry pudding mix, eggs and vanilla and mix until incorporated.
Gradually add dry ingredients to the butter mixture and mix until just combined. Stir in chocolate chips and chopped Oreos.
Using a medium cookie scoop (about 1.5 tablespoons), scoop cookie dough balls onto prepared baking sheets at least 2 inches apart.
Bake in preheated oven for 10-12 minutes.
Allow cookies to cool on pan for about 3 minutes before carefully removing them to a wire rack to cool completely.",11,▢ 4 ½ cups all-purpose flour,▢ 2 teaspoons baking soda,▢ ½ teaspoon salt,▢ 2 cups butter room temperature,▢ 1 ½ cups brown sugar packed,▢ ½ cup granulated sugar,▢ 1 5.1- ounce box Oreo pudding mix instant,▢ 4 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 2 cups semisweet chocolate chips,My Baking Addiction,https://www.mybakingaddiction.com/oreo-pudding-cookies/,Cookies,▢ 10 Oreos chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salted Chocolate Chunk Cookies,Jamie,4.60,5,20 minutes,14 minutes,NA,34 minutes,NA,6,"Preheat oven to 350°F. Line baking sheets with parchment paper.
In a food processor, pulse the oats until they become the texture of coarse flour.
In a large bowl, whisk together the oats, flour, baking soda, baking powder and salt.
In the bowl of a stand mixer fitted with the paddle attachment, or in a large bowl with an electric mixer, beat the butter on medium speed for one minute. Add in the sugars and continue mixing for an additional 5-6 minutes. Mixture will become light and fluffy.
Reduce speed to low and add in eggs; mixing until combined. Add in vanilla and beat on medium speed for an additional minute. Reduce speed to low and gradually add in the dry ingredients until they are fully incorporated. Turn the speed back up to medium and mix for 1-2 minutes. Use a wooded spoon to stir in chocolate chunks.
Use a medium cookie scoop (about 1 1/2 tablespoons) to scoop dough onto prepared baking sheets. Bake in preheated oven for 12-14 minutes, or until golden brown. Remove cookies from oven and place pan on a cooking rack. Sprinkle each cookie with a bit of sea salt and allow cookies to cool completely.",11,▢ 1 ½ cups old-fashioned oats,▢ 3 cups all-purpose flour,▢ 1 ½ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 teaspoon sea salt,"▢ 1 ¼ cups 2 1/2 sticks unsalted butter, room temperature",▢ 1 ½ cups packed light brown sugar,▢ 1 cup granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,My Baking Addiction,https://www.mybakingaddiction.com/salted-chocolate-chunk-cookies/,Cookies,▢ 2 ½ cups semi-sweet chocolate chunks or chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-Free Chocolate Chip Cookies,Erin,4.63,27,20 minutes,9 minutes,NA,29 minutes,24 cookies,6,"1. Preheat the oven to 375 degrees F. Line a baking sheet with a piece of parchment paper.
2. In a medium mixing bowl, stir together the rice flour, potato starch, tapioca flour, xanthan gum, baking powder, baking soda and salt. Set aside.
3. In a large mixing bowl using an electric hand mixer or a stand mixer fitted with the beater blade, beat the butter, brown sugar and granulated sugar until light and creamy. One at a time, add the eggs and beat until well combined. Add the vanilla and then gradually add in the flour mixture. Beat just until combined. Stir in 1 1/2 cups chocolate chips.
4. Form balls of dough, about 50 grams or a little less than 3 tablespoons in size, and roll the tops and sides of the balls in the remaining 1/2 cup chocolate chips. Place the balls 2 1/2"" apart on the prepared baking sheet.
5. Bake for 9-12 minutes or until lightly browned and the surface no longer appears wet.
6. Let cool for 5 minutes and then remove to a wire rack to cool completely. Store in an airtight container for up to 4 days.",13,▢ 1 ½ cups 240 grams white rice flour,▢ ½ cup 96 grams potato starch (not potato flour),▢ ¼ cup 30 grams tapioca flour,▢ 1 teaspoon xanthan gum,▢ 1 teaspoon baking powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ ¾ cup unsalted butter softened,▢ ¾ cup firmly packed brown sugar,▢ ½ cup granulated sugar,My Baking Addiction,https://www.mybakingaddiction.com/gluten-free-chocolate-chip-cookies/,Cookies,▢ 2 large eggs room temperature,▢ 1 tablespoon vanilla extract,"▢ 1 12- ounce package 2 cups semi-sweet chocolate chips, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Bark,Jamie,5,1,10 minutes,NA,NA,10 minutes,16 servings,5,"Line a 9x9-inch pan with parchment paper.
Melt white chocolate in a double boiler or a heatproof bowl set over a pan of simmering water, stirring constantly until the chips are just melted and smooth.
Stir in 20 chopped Oreo cookies and spread mixture evenly into the prepared pan. Top with remaining 4 chopped Oreos.
Place pan into the refrigerator and allow the bark to harden for a few hours.
When you are ready to serve the Oreo Bark, use a sharp knife to chop the bark into pieces.",2,▢ 11 ounces high quality white chocolate chips,▢ 24 chopped Oreo cookies divided use,NA,NA,NA,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/oreo-bark/,Chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Taco Pie,Jamie,NA,NA,15 minutes,35 minutes,NA,50 minutes,6 servings,4,"1. Preheat oven to 400°F. Spray a 9-inch pie plate with nonstick cooking spray.
2. In a 10-inch skillet over medium heat, cook ground beef and onion until ground beef is brown and cooked through. Remove from heat and drain. Add in taco seasoning and stir to combine. Stir in green chilies and spoon seasoned beef into prepared pie plate.
3. In a medium bowl, combine milk, eggs and Bisquick mix, whisking until well combined. Pour into pie plate directly over beef.
4. Bake in preheated oven for 25 minutes or until knife inserted in center comes out clean. Sprinkle with cheese. Bake 8 to 10 minutes longer. Cool 5 minutes. If desired, serve with shredded lettuce, sour cream, tomatoes and salsa.",13,▢ 1 pound lean ground beef,▢ 1 medium onion chopped (1/2 cup),▢ 1 package 1 ounce taco seasoning mix or 1 1/2 tablespoons homemade taco seasoning,"▢ 1 can 4.5 ounces chopped green chiles, drained",▢ 1 cup milk,▢ 2 large eggs,▢ ½ cup Original Bisquick™ mix,▢ ¾ cup shredded Monterey Jack or Cheddar cheese 3 ounces,▢ Garnishes,▢ shredded lettuce,My Baking Addiction,https://www.mybakingaddiction.com/impossibly-easy-taco-pie-mexican-hot-chocolate-cookies/,Cookies,▢ sour cream,▢ chopped tomatoes,▢ salsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Graham Cracker Cookies,Jamie,4.42,184,10 minutes,7 minutes,NA,17 minutes,15 cookies,6,"Preheat oven to 350°F.
In the bowl of a stand mixer, cream together the butter and sugar until creamy
Beat in the vanilla and egg until well combined.
In a medium bowl, combine the graham cracker crumbs, flour, baking soda, and salt. Gradually add to the butter mixture until just combined.
Stir in the chocolate chips.
Using a medium cookie scoop, drop balls of dough onto a parchment-lined baking sheet. Bake for 7 minutes. Cookies will look slightly underdone, but should set up nicely as they cool.",9,"▢ ½ cup 1 stick butter, room temperature",▢ 1 cup brown sugar,▢ 2 teaspoons vanilla,▢ 1 egg,▢ 1 ½ cups graham cracker crumbs,▢ ¾ cup all purpose flour,▢ ½ teaspoon baking soda,▢ ¼ teaspoon salt,▢ 1 cup chocolate chips,NA,My Baking Addiction,https://www.mybakingaddiction.com/chocolate-chip-graham-cracker-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pistachio Pudding Linzer Cookies,Megan,5,2,30 minutes,8 minutes,Chill Time: 30 minutes mins,8 minutes,8 cookie sandwiches,9,"In the bowl of a stand mixer, cream together pudding, butter, and granulated sugar until fluffy.
Scrape down sides and beat in egg. Turn the speed down to low and slowly mix in flour and salt until well-combined.
Spread dough onto a sheet of parchment paper. Cover with another sheet of parchment, and roll dough to approximately 1/8-inch thick. Transfer dough (on the parchment) to a cookie sheet and freeze for 20 minutes.
Once dough has chilled, remove from the freezer and place parchment on counter. Remove the top parchment, flip it over, place it on the dough again, and flip the entire thing over. Remove the parchment that is now on top. (This step will help keep your cookies from sticking to the parchment after cutting.) Cut out rounds using a 3-inch round cutter. For half the cookies, cut out the center shape with a 1.5-inch clover cutter. Place cookies back on baking sheet and put in the freezer.
Preheat oven to 350°F. Once the oven has preheated, remove cookies from the freezer, transfer to a clean parchment-lined baking sheet, and bake cookies for 6-8 minutes.
Let cookies cool on baking sheet for 2 minutes before removing to a wire rack.
Once cookies are completely cooled, make the frosting. In the bowl of a stand mixer, beat together softened butter and powdered sugar. Add the vanilla paste and milk and beat until frosting is fluffy.
To fill the cookies, fit a pastry bag with an M2 tip and fill bag with frosting. Flip over full cookie round and pipe frosting onto bottom, starting from the outside and working your way in, in a circular motion. Top frosted cookie with clover-hole cookie.
To add sprinkles, fill clover hole completely with sprinkles. Gently press on sprinkles so they adhere evenly, then tip cookie onto a rimmed plate to remove excess sprinkles.",11,▢ 1 box pistachio pudding mix 3.4 ounces,▢ ½ cup unsalted butter softened,▢ ¾ cup granulated sugar,▢ 1 large egg,▢ 1 ½ cups all-purpose flour,▢ ¼ teaspoon salt,▢ ½ cup unsalted butter softened,▢ 8 ounces powdered sugar,▢ ½ teaspoon vanilla paste or regular vanilla extract,▢ 1 tablespoon 2% milk,My Baking Addiction,https://www.mybakingaddiction.com/pistachio-pudding-linzer-cookies/,Cookies,▢ Green sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thin Mint Cupcakes,Lizzy Early,4.45,60,25 minutes,20 minutes,NA,45 minutes,12 -14 cupcakes,12,"Preheat oven to 350°F and line pans with cupcake liners.
In a large bowl, whisk eggs, sugar, brown sugar, oil and vanilla extract together.
In a separate bowl, combine flour, cocoa powder, baking soda, baking powder and salt. Pour in half of these dry ingredients into the oil mixture and stir.
Add milk and gently stir again and then add the rest of the dry ingredients. Be careful not to over mix.
Fill cupcake liners half full and bake for 15-20 minutes or until and inserted knife comes out clean. Let cool.
Place chocolate chips and whipping cream in a small microwave-proof bowl and microwave for 40 seconds. Remove and stir and continue to microwave until smooth.
Dip cooled cupcakes into the ganache and turn right side up to let set.
Beat butter until smooth.
Add vanilla and mint extract and beat again.
Slowly add in powdered sugar until you reach your desired consistency (add milk if it becomes too thick).
Add as much green food dye as desired.
Pipe on over ganache and top cupcakes with Thin Mints! I crushed a few cookies and used them as ""sprinkles"".",18,▢ 2 eggs,▢ ½ cup granulated sugar,▢ ½ cup brown sugar,▢ ⅓ cup vegetable oil,▢ 2 teaspoons vanilla extract,▢ ¾ cup flour,▢ ½ cup unsweetened cocoa powder,▢ ½ teaspoon baking soda,▢ ¾ teaspoon baking powder,▢ ¼ teaspoon salt,My Baking Addiction,https://www.mybakingaddiction.com/thin-mint-cupcakes/,Cake,▢ ½ cup buttermilk or milk,▢ ⅔ cup chocolate chips,▢ 3 tablespoons heavy whipping cream,▢ ¾ cup butter softened,▢ 1 teaspoon vanilla extract,▢ 1 - 1-1/2 teaspoons mint or peppermint extract add this gradually to taste as the intensity of mint extract varies from brand to brand,▢ 2-3 cups powdered sugar,▢ green food dye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Cookies and Cream Popcorn,Emily,NA,NA,5 minutes,5 minutes,Chill Time: 10 minutes mins,20 minutes,NA,8,"Pop popcorn kernels in an air popper.
Spread popped corn onto a rimmed baking sheet.
Melt candy wafers in the microwave, following package directions.
Drizzle half of the melted candy over the popcorn and sprinkle with half of the Oreo crumbs.
Use a spoon to gently toss mixture together.
Drizzle with remaining melted candy wafers and sprinkle with remaining Oreos.
Refrigerate for 10 minutes to set the melted candy.
Break popcorn into pieces and store in an airtight container for up to 3 days.",4,▢ ⅓ cup un-popped popcorn kernels,▢ 10 ounces white candy melting wafers,▢ 12 mint Oreos crushed,▢ green sprinkles optional,NA,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/mint-cookies-and-cream-popcorn/,Chocolate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Coconut Chocolate Chip Cookies,Kristan,NA,NA,20 minutes,12 minutes,NA,32 minutes,NA,7,"Preheat oven to 350°F.
Drain jar of maraschino cherries in a colander, then rinse thoroughly. Place on paper towels to drain off any excess moisture while you prepare cookie dough.
In a medium bowl, combine flour and baking soda and set aside.
In the bowl of your mixer, beat the butter, brown sugar, and white sugar on medium speed until smooth and fluffy, about 2 minutes. Beat in the instant pudding mix until blended. Mix in the eggs, one at a time, then mix in both extracts. With the mixer on low, slowly add the flour mixture until combined.
Finely chop drained maraschino cherries, and add to the dough. Add coconut and chocolate chips and fold until combined.
Using a medium cookie scoop (about 2 Tablespoons), drop dough onto ungreased cookie sheets, a few inches apart. Bake until edges are golden brown; about 10-12 minutes.
Remove and let cool on baking sheets for about 3 minutes, then remove with a spatula and place on cooling rack.",12,▢ 12 oz jar maraschino cherries,▢ 2-1/4 cups all-purpose flour,▢ 1 teaspoon baking soda,"▢ 1 cup 2 sticks salted butter, slightly softened",▢ ¾ cup packed brown sugar,▢ ¼ cup granulated sugar,▢ 1 3.4 ounce package instant coconut cream pudding mix,▢ 2 large eggs,▢ 1 teaspoon vanilla extract,▢ 1 teaspoon almond extract,My Baking Addiction,https://www.mybakingaddiction.com/cherry-coconut-chocolate-chip-cookies/,Seasonal Ingredients,▢ 1 ½ cups milk chocolate chips,▢ 1 cup sweetened shredded coconut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berry Oreo Cookie Balls,Jamie,4,1,15 minutes,NA,NA,15 minutes,NA,4,"Line a large baking sheet with parchment paper.
In a large bowl with an electric mixer, beat cream cheese on medium speed for about 2 minutes. Add crushed Berry Burst Ice Cream Oreos and mix until well-combined.
Using a small cookie scoop, measure mixture (about 2 teaspoons) and then roll into cookie balls. Place rolled cookie balls on prepared cookie sheet and place into the refrigerator for about 30 minutes or into the freezer for 10 minutes.
Once cookies balls are chilled, melt candy wafers according to package directions. Dip cookie balls (see tip below) in melted candy wafers and place back onto parchment lined cookie sheet. If desired, sprinkle with festive Valentine's Day sprinkles. Once all cookie balls are dipped, refrigerate them for one hour.",4,▢ 1 15.25- ounce package Berry Burst Ice Cream Oreos crushed into fine crumbs,▢ 1 8- ounce package cream cheese softened,▢ 16 ounces white or dark candy melts,▢ festive spinkles,NA,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/berry-oreo-cookie-balls/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gluten-Free Lemon Thumbprint Cookies,Erin,4.63,16,20 minutes,11 minutes,NA,31 minutes,32 cookies,11,"1. In a medium mixing bowl, stir together the almond flour, coconut flour, sugar, baking powder and salt. Set aside.
2. In another medium mixing bowl, stir together the melted butter, egg, lemon zest, and lemon extract.
3. Add the dry mixture to the wet and stir just until combined. The dough will feel quite wet. Let it sit for 10 minutes to allow the coconut flour to absorb the liquid while the oven preheats.
4. Preheat the oven to 350 degrees F and line a cookie sheet with a piece of parchment paper.
5. Roll the dough into 1"" balls and place 2"" apart on the prepared cookie sheet. The dough will feel quite greasy.
6. Bake the cookies for 6 minutes and remove from the oven.
7. Using the rounded part of a 1/2 teaspoon measuring spoon, make an indentation about 3/4 of the way down into each cookie.

Fill each indentation with 1/2 teaspoon of lemon curd. Be sure not to overfill them.
8. Return the pan to the oven and bake for another 5-7 minutes or until the cookies feel like they have a firm outer layer. The cookies shouldn't brown around the edges - just on the bottom.
9. Let the cookies, which will be very soft at this point, cool for 5 minutes on the baking sheet and then remove to a wire rack to cool completely. The parchment paper may be a little greasy, but the cookies will not be.
10.Refrigerate in an airtight container for up to 4 days. Dust with powdered sugar before serving, if desired.",11,▢ 2 cups blanched almond flour,▢ ¼ cup coconut flour,▢ ½ cup granulated sugar,▢ 1 teaspoon baking powder,▢ ⅛ teaspoon salt,▢ ½ cup unsalted butter melted and cooled slightly,▢ 1 large egg room temperature,▢ 1 tablespoon lemon zest from 1 lemon,▢ 1 teaspoon lemon extract,▢ ⅓ cup lemon curd*,My Baking Addiction,https://www.mybakingaddiction.com/gluten-free-lemon-thumbprint-cookies/,Cookies,▢ powdered sugar optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candy Cane Snowball Cookies,Jamie,4.34,24,25 minutes,10 minutes,NA,35 minutes,NA,6,"1. Preheat oven to 350 degrees F. Line a baking sheets with parchment paper.
2. In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, beat Challenge Butter, vanilla and confectioners' sugar until smooth and creamy.
3. Add in flour, walnuts and salt. Mixing until just combined.
4. Using a small cookie scoop (about 2 teaspoons), measure and roll dough into balls. Place dough balls onto prepared baking sheets about 1 inch apart.
5. Bake in preheated oven for 8-10 minutes – taking care not to over bake. Allow cookies to cool on baking sheets for about 5 minutes before removing them to a wire rack to cool completely.
6. Once cookies are completely cool, melt candy melts according to package directions. Dip or spoon melted candy coating onto the tops of each cookie and immediately sprinkle with crushed candy canes.",8,"▢ 2 cups 4 sticks Challenge Unsalted Butter, room temperature",▢ 1 ½ teaspoons pure vanilla extract,▢ 1 cup confectioners' sugar sifted,▢ 3 ¼ cups all-purpose flour,▢ 1 ½ cups finely chopped walnuts,▢ ½ teaspoon salt,▢ 1 ½ cups white vanilla candy melts,▢ ⅔ cup crushed candy canes,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/candy-cane-snowball-cookies/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Sugar Cookie Bark,Jamie,4.43,7,15 minutes,14 minutes,Additional Time: 30 minutes mins,59 minutes,NA,5,"Preheat oven to 375°F. Line large cookie sheet with foil.
In medium bowl, stir cookie mix, butter and egg until a soft dough forms. Press dough into 12-inch square on cookie sheet.
Bake 10 to 14 minutes or until light golden brown; cool.
In microwavable bowl, microwave white vanilla baking chips uncovered on High 30 to 60 seconds, stirring every 30 seconds, until chips can be stirred smooth. Pour and spread over cooled cookie base. Immediately sprinkle with candy. Let stand until set, about 30 minutes.
Gently break up or cut cookie bark. Store tightly covered.",5,▢ 1 pouch Betty Crocker™ sugar cookie mix,▢ ⅓ cup unsalted butter softened,▢ 1 large egg,▢ 12 ounces vanilla baking chips (2 cups),▢ ⅓ cup coarsely crushed peppermint candy canes 14 miniature,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/peppermint-sugar-cookie-bark/,Cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molasses Crinkles,Jamie,NA,NA,15 minutes,10 minutes,NA,25 minutes,24 cookies,4,"In a large bowl with an electric mixer, beat shortening and brown sugar until light and fluffy; about 3 minutes. Add in egg, vanilla and molasses and mix until fully combined.
In a medium bowl, whisk together the flour, baking soda, salt, cloves, cinnamon and ginger. Slowly add dry ingredients to the shortening mixture and mix until just combined. Cover and refrigerate for at least 1 hour.
When you're ready to bake the cookies, preheat the oven to 375 °F and line two baking sheets with parchment paper.
Using a medium cookie scoop (about 1 1/2 tablespoons) roll dough into balls and then roll into the granulated sugar to coat. Place dough balls 2 inches apart on prepared baking sheets. Bake cookies in preheated oven for 10-12 minutes. Allow cookies to cool on baking sheets for about 3 minutes before removing the cookies to a wire rack to cool completely.",12,▢ ¾ cup shortening,▢ 1 cup packed light brown sugar,▢ 1 large egg,▢ 2 teaspoons pure vanilla extract,▢ ¼ cup molasses,▢ 2 ¼ cup all-purpose flour,▢ 2 teaspoons baking soda,▢ ¼ teaspoon salt,▢ ½ teaspoon ground cloves,▢ 1 teaspoon ground cinnamon,My Baking Addiction,https://www.mybakingaddiction.com/molasses-crinkles/,Cookies,▢ 1 teaspoon ground ginger,▢ ½ cup granulated sugar for rolling cookies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cup Cookie Bars,Jamie,4.48,17,15 minutes,25 minutes,NA,40 minutes,NA,5,"1. Preheat oven to 350 degrees F. Line an 8x8-inch baking pan with foil and spray with non-stick cooking spray.
2. In a medium bowl, combine flour, baking powder, baking soda, and salt.
3. In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl with an electric mixer, combine the melted butter and brown sugar. Add egg and vanilla, mixing until well combined. Gradually add in dry ingredients and mix until just combined. Stir in mini peanut butter cups.
4. Spread the batter into the prepared pan. Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 20 to 25 minutes. Remove pan to wire rack and cool completely.
5. In a medium, microwave-safe bowl, melt the chocolate chips and peanut butter on 50% power, stirring every 30 seconds, until completely smooth and melted. Spoon the mixture over the cooled cookie bars and spread into an even layer with an offset spatula. Refrigerate for at least 30 minutes, or until set. Remove from pan and cut into bars.",11,▢ 1 cup all-purpose flour,▢ ½ teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ ½ teaspoon salt,▢ ⅓ cup unsalted butter melted,▢ 1 cup packed light brown sugar,▢ 1 large egg,▢ 2 teaspoons pure vanilla extract,▢ 1 cup mini peanut butter cups,▢ ¾ cup semisweet chocolate chips,My Baking Addiction,https://www.mybakingaddiction.com/peanut-butter-cup-cookie-bars/,Bar Desserts,▢ 3 tablespoons creamy peanut butter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Milkshake,Jamie,4.20,5,5 minutes,NA,NA,5 minutes,2 servings,1,"In the pitcher of a blender, combine ice cream, Oreos and milk; blend until smooth. If desired, top with whipped cream and Halloween sprinkles.",5,▢ 2 cups quality vanilla ice cream,▢ 6 Candy Corn Oreos,▢ ⅔ cup milk,▢ whipped cream optional,▢ festive Halloween sprinkles optional,NA,NA,NA,NA,NA,My Baking Addiction,https://www.mybakingaddiction.com/oreo-milkshake/,Holidays,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
