title,author,date,rating,ratingnum,cuisine,course,categories1,categories2,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
White Chocolate Butter Pecan Blondies,Ashley Manila,"September 2, 2015",4,3,American,Dessert,"Filed Under: Bar Desserts, Blondies, Cookies, Recipes, Thanksgiving","Tagged With: blondie recipe, blondies, Butter Pecan Recipes, what is a blondie, white chocolate",10 minutes,25 minutes,NA,35 minutes,"1 - 8"" Pan",4,"Melt the butter in a small skillet over medium heat. Add in the pecans and cook, stirring frequently, until the mixture is lightly browned, about 5 minutes. Remove pecans from pan and let them cool a few minutes.
Preheat oven to 350 degrees (F). Line an 8x8 baking pan (or loaf pan) with parchment paper and spray parchment lightly with non-stick spray, set aside.
Melt butter in a medium-sized skillet over medium heat. Remove from heat and cool for a few minutes, then whisk in the brown sugar; beat until well combined. Add in the egg, beating until combined. Gently stir in the flour, baking powder, and cinnamon, being sure not to over mix. Fold in the buttered pecans, toffee bits, and white chocolate chips.
Bake for 25-30 minutes, or until the edges are firm and golden and the center is just slightly wobbly. Cool in pan for at least 20 minutes before cutting.",10,1 tablespoons unsalted butter,"1/2 cup pecans, chopped",1 stick butter (4 ounces),"1 cup light brown sugar, packed",1 large egg,1 cup flour (be sure not to pack your flour),1/2 teaspoon baking powder,1/2 teaspoon cinnamon,1/2 cup toffee bits (not the chocolate covered ones),3/4 cup white chocolate chips,Baker By Nature,https://bakerbynature.com/white-chocolate-butter-pecan-blondies-2/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple Chocolate Cookies,Ashley Manila,"August 19, 2015",5,1,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Recipes",NA,35 minutes,12 minutes,NA,47 minutes,18 very large cookies,6,"Place butter and semi-sweet chocolate chips in a small sauce pan over medium heat and cook for about 2 minutes – stirring constantly – or until the butter and chocolate are completely melted. Remove from heat and whisk until completely smooth. Place the bowl in the refrigerator for 25 minutes (set a timer!).
In the meantime...
Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper and set aside.
In a medium-sized bowl whisk together the flour, cocoa powder, baking soda, and sea salt; set aside.
Once the 25 minutes are up, add the sugars and the vanilla to the cooled chocolate mixture and whisk until well combined; about 2 minutes (I recommend using a stand mixer/ handheld mixer to do this, if you have one). Add in the eggs, one at a time, and beating well after each addition. Gently fold in the flour mixture with a rubber spatula, stirring only until the flour begins to disappear. Fold in chocolate chips.
Roll 3 tablespoon sized potions of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave enough room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets in preheated oven and bake for 12 minutes, or until the edges and tops are set but the centers still looks slightly underdone. Let cookies cool for 10 minutes on the baking sheet before transferring them to a wire wrack to cool completely.",11,"8 tablespoons unsalted butter, melted","1 cup semi-sweet chocolate chips, melted",2 1/4 cups all-purpose flour,1/4 cup unsweetened cocoa powder,1 teaspoon baking soda,1/2 teaspoon salt,1 cup + 2 tablespoons dark brown sugar,1/2 cup granulated sugar,2 teaspoons vanilla,"2 large eggs, at room temperature",Baker By Nature,https://bakerbynature.com/triple-chocolate-cookies/,2 cups milk chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy White Chocolate Peanut Butter Blondies,Ashley Manila,"August 8, 2015",5,5,American,Dessert,"Filed Under: Chocolate, Cookies, Peanut Butter, Recipes","Tagged With: blondie recipe, blondies, peanut butter recipes, what is a blondie, white chocolate",10 minutes,30 minutes,NA,40 minutes,1 - 9x13 Pan,4,"Preheat oven to 350 degrees (F). Line a 9"" x 13"" pan with parchment paper; lightly grease the paper and set aside.
Melt the butter in a medium saucepan over medium-heat. Remove from heat and stir in the peanut butter and brown sugar, whisk well to combine.
Whisk in eggs, one at a time, beating well after each addition. Stir in the salt, flour, and baking powder, mixing just until combined. Fold in the white chocolate chips and peanut butter chips.
Spread the mixture evenly in the pan, then sprinkle the top with additional white chocolate chips and peanut butter chips, if desired. Bake the blondies for 15 minutes, then cover the pan with aluminum foil and bake for another 15-18 minutes, or until they're light brown on the edges and top. Carefully remove them from the oven and cool completely before cutting.",10,"1/2 cup (4 ounces; one stick) unsalted butter, melted",1/2 cup creamy peanut butter,"1 and 3/4 cups dark brown sugar, packed","2 large eggs, at room temperature","1/2 teaspoon salt (fine sea salt, table salt, or kosher salt will all work)",2 cups all-purpose flour,1 teaspoon baking powder,1 1/2 cups white chocolate chips,1 cup peanut butter chips,"1 teaspoon flaky sea salt (I used Maldon Sea Salt and think it's the best), for sprinkling, optional",Baker By Nature,https://bakerbynature.com/thick-and-chewy-white-chocolate-peanut-butter-blondies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Espresso Toffee Chocolate Chip Cookies,Ashley Manila,"August 4, 2015",4.67,3,American,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, espresso powder, espresso powder for baking, espresso recipes, how to make chocolate chip cookies",10 minutes,14 minutes,NA,24 minutes,2 dozen cookies,7,"Preheat oven to 375 degrees (F).
Line 2 large baking sheets with parchment paper; set aside.
In a medium-sized bowl whisk together the dry ingredients; set aside.
In a large bowl combine the butter, sugars, and vanilla; whisk until light and fluffy; about 2 minutes (you may use a stand mixer/ handheld mixer to help if you have one).
Add the eggs and beat quickly – for only about 30 seconds – until they’re just combined. Let the mixture rest for 5 minutes, then beat the eggs for another 30 seconds. Gently fold in the flour mixture with a wooden spoon, stirring only until the flour begins to disappear.
Fold in the semi-sweet chocolate chips, toffee bits, and and chocolate covered espresso beans.
Roll 3 tablespoon-sized balls of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave enough room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets in preheated oven and bake for 11-14 minutes, or until golden at the edges but still soft in the middle. Let cookies cool for 5 minutes on the sheet before transferring to a wire wrack to cool completely.",12,2 1/2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon salt,1/4 teaspoon cinnamon,"15 tablespoons unsalted butter, at room temperature",1 cup + 2 tablespoons dark brown sugar,1/2 cup granulated sugar,2 1/2 teaspoons pure vanilla extract,"2 large eggs, at room temperature",1 1/2 cups semi-sweet chocolate chips,Baker By Nature,https://bakerbynature.com/espresso-toffee-chocolate-chip-cookies/,1 cup toffee bits (plain; not the chocolate covered variety),"1/2 cup chocolate covered espresso beans, roughly chopped (see post text for suggestions of where to buy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greek Yogurt Chocolate Chunk Cookies,Ashley Manila,"July 18, 2015",5,1,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Recipes",Tagged With: Greek yogurt,25 minutes,15 minutes,NA,40 minutes,2 dozen cookies,9,"In a medium-sized bowl combine the flours, baking soda, and salt; whisk well to combine; set aside.
In the body of a stand mixer fitted with the paddle attachment or in a large bowl using a handheld electric beater, beat the butter, sugars, and vanilla on medium-speed until light and fluffy; about 2 minutes.
Add in the eggs, one at a time, beating well after each addition, and scraping down the sides as necessary. Add in the Greek yogurt, beating just until incorporated. Reduce the mixer speed to low and add in the dry ingredients, beating just until combined.
Turn the mixer off and stir in the chocolate chunks with a wooden spoon.
Cover the bowl with a piece of saran wrap and refrigerate for at least 3 hours - up to 24 hours (allow the dough to slightly come to room temperature if in the fridge longer than 3 hours; just until it's easy to scoop).
30 minutes prior to baking, preheat your oven to 375 degrees (F). Line two large baking sheets with parchment paper; set aside.
Using a large spoon or melon baller (preferred), scoop out 3 tablespoon sized rounds of dough; using your hands roll the dough into a ball, then place on the prepared baking sheet. Repeat with all of the cookie dough, spacing them 2 inches apart on the baking sheet.
Bake cookies - one sheet at a time - for 11-15 minutes, or until golden brown. Sprinkle warm cookies with sea salt (if using).
Allow cookies to cool for 5 minutes on the baking sheet, then transfer to a wire rack to cool completely.",12,1 and 1/4 cups whole-wheat flour,1 and 1/4 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon salt,"4 ounces (1 stick) unsalted butter, at room temperature",1 cup firmly packed dark brown sugar,1/2 cup granulated sugar,2 teaspoons vanilla extract,"2 large eggs, at room temperature",1/2 cup *full-fat Greek yogurt,Baker By Nature,https://bakerbynature.com/greek-yogurt-chocolate-chunk-cookies/,2 cups dark or semi-sweet chocolate chunks,"Flaky sea salt, for sprinkling, optional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Cookie Bites,Ashley Manila,"June 25, 2015",4.50,2,American,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: M&M, M&M Recipes",10 minutes,15 minutes,NA,25 minutes,2 dozen cookies,6,"Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper; set aside.
In a medium-sized bowl whisk together the flour, baking soda, and sea salt; set aside.
Place one stick of butter in a small sauce pan over medium-high heat and cook for about 3 minutes – stirring almost constantly – or until the butter has browned. Remove from heat and stir in remaining stick of butter; whisk until completely smooth. Pour the hot butter into a heat proof bowl, then place the bowl in the refrigerator or freezer and bring the butter back to room temperature. *You’ll know the butter is at room temperature when you press a finger into the top and it makes a slight indentation.
Once the butter is at room temperature…
Add the sugars and the vanilla to the browned butter and beat on medium-speed until light and fluffy; about 2 minutes (you may use a stand mixer/ handheld mixer to help if you have one). Add the eggs and beat quickly – for only about 30 seconds – until they’re just combined; scrape down the sides of the bowl with a rubber spatula. Let the mixture rest for 5 minutes, then beat the eggs for another 30-45 seconds. Gently fold in the flour mixture with a wooden spoon, stirring only until the flour begins to disappear. Fold in the m&m minis.
Roll scant tablespoon sized balls of dough between your palms to form a ball, then place on prepared sheet (make sure to leave a little bit of room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets, one at a time, in preheated oven and bake for 7-8 minutes, or until golden at the edges but still soft in the middle. Let cookies cool for 15 minutes on the sheet before transferring to a wire wrack to cool completely.",9,2 1/2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon fine sea salt,"2 sticks (16 tablespoons; 8 ounces) unsalted butter, browned and brought back to room temperature",1 cup + 2 tablespoons dark brown sugar,1/2 cup granulated sugar,3 teaspoons vanilla,"2 large eggs, at room temperature",2 cups m&m minis,NA,Baker By Nature,https://bakerbynature.com/mm-cookie-bites/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter White Chocolate Macadamia Nut Cookies,Ashley Manila,"June 17, 2015",5,12,American,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: brown butter recipes, white chocolate",30 minutes,11 minutes,NA,41 minutes,2 dozen cookies,6,"Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper; set aside.
Place 8 tablespoons (1 stick) of butter in a small sauce pan over medium-high heat and cook for about 2 minutes – stirring almost constantly – until the butter has browned. Remove from heat and stir in remaining 7 tablespoons of butter; whisk until completely smooth. Place the bowl in the refrigerator or freezer and bring the butter back to room temperature. *You’ll know the butter is at room temperature when you press a finger into the top and it makes a slight indentation. It should be solid but soft.
Once the butter is at room temperature…
In a medium-sized bowl whisk together the flour, baking soda, and sea salt; set aside.
In a large bowl or in the bowl of a stand mixer combine the sugars, vanilla, and browned butter; cream on medium-speed until light and fluffy; about 2 minutes (I highly recommend using a stand mixer/ handheld mixer to help if you have one). Add the eggs and beat quickly – for only about 30 seconds – until they’re just combined. Let the mixture rest for 5 minutes, then beat the eggs for another 30 seconds. Using a rubber spatula gently fold in the flour mixture, stirring only until the flour begins to disappear. Fold in white chocolate chips and macadamia nuts.
Roll 3 tablespoon sized balls of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave enough room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets in preheated oven and bake for 11-14 minutes, or until golden at the edges but still soft in the middle. Let cookies cool for 5 minutes on the sheet before transferring to a wire wrack to cool completely.",10,"15 tablespoons salted butter, melted until browned and brought back to room temperature",2 1/4 cups all-purpose flour (plus more ONLY if the dough seems to need it; adding one tablespoon at a time),1 teaspoon baking soda,1/2 teaspoon kosher salt,1 cup + 2 tablespoons dark brown sugar,1/2 cup granulated sugar,2 teaspoons vanilla,"2 large eggs, at room temperature",2 cups white chocolate chips,"3/4 cup macadamia nuts, roughly chopped",Baker By Nature,https://bakerbynature.com/brown-butter-white-chocolate-macadamia-nut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bite-Sized Brown Butter Chocolate Chip Cookies,Ashley Manila,"May 21, 2015",5,3,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: brown butter recipes, chocolate chip cookie recipe, chocolate chip cookies, how to make chocolate chip cookies",15 minutes,7 minutes,NA,22 minutes,4 dozen,7,"Preheat oven to 350 degrees (F). Line 2 large baking sheets with parchment paper; set aside.
In a medium-sized bowl whisk together the flour, baking soda, and sea salt; set aside.
Place one stick of butter in a small saucepan over medium-high heat and cook for about 3 minutes – stirring almost constantly – or until the butter has browned. Remove from heat and stir in remaining stick of butter; whisk until completely smooth. P
our the hot butter into a heat proof bowl, then place the bowl in the refrigerator or freezer and bring the butter back to room temperature. *You’ll know the butter is at room temperature when you press a finger into the top and it makes a slight indentation.
Once the butter is at room temperature…
Add the sugars and the vanilla to the browned butter and beat on medium-speed until light and fluffy; about 2 minutes (you may use a stand mixer/ handheld mixer to help if you have one). Add the eggs and beat quickly – for only about 30 seconds – until they’re just combined; scrape down the sides of the bowl with a rubber spatula. Let the mixture rest for 5 minutes, then beat the eggs for another 30-45 seconds. Gently fold in the flour mixture with a wooden spoon, stirring only until the flour begins to disappear. Fold in the mini chocolate chips.
Roll scant tablespoon sized balls of dough between your palms to form a ball, then place on prepared sheet (make sure to leave a little bit of room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets, one at a time, in preheated oven and bake for 7-8 minutes, or until golden at the edges but still soft in the middle. Let cookies cool for 15 minutes on the sheet before transferring to a wire wrack to cool completely.",9,2 1/2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon flaky sea salt,2 sticks (16 tablespoons; 8 ounces) unsalted butter,1 cup + 2 tablespoons dark brown sugar,1/2 cup granulated sugar,3 teaspoons vanilla,"2 large eggs, at room temperature",2 1/2 cups mini chocolate chips,NA,Baker By Nature,https://bakerbynature.com/bite-sized-brown-butter-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Coconut Key Lime Cookies,Ashley Manila,"March 25, 2015",5,1,American,Dessert,"Filed Under: Coconut Recipes, Cookies, Recipes","Tagged With: coconut, coconut recipes, cookies, key lime, lime recipes, white chocolate",10 minutes,15 minutes,NA,25 minutes,2 dozen cookies,6,"Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper; set aside.
In a medium-sized bowl whisk together the flour, baking soda, and salt; set aside.
Place the butter and coconut oil in a large bowl and beat until creamy and combined; about 2 minutes (I recommend using a standmixer/ handheld mixer to help here if you have one).
Combine the granulated sugar and lime zest in a small bowl; rub the lime zest into the sugar until fragrant and well combined.
Add the lime infused sugar, brown sugar and vanilla to the butter/oil mixture and beat on medium-high speed until light and fluffy; about 2 minutes. Add the eggs in one at a time, beating well after each addition, and scraping down the sides as needed. Gradually stir in the dry ingredients, beating just until combined. Fold in white chocolate chips.
Roll 3 tablespoon sized balls of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave enough room in between each cookie for inevitable spreading). Continue this process until all the dough has been rolled. Place baking sheets in preheated oven and bake for 11-14 minutes, or until golden at the edges but still soft in the middle. Let cookies cool for 5 minutes on the sheet before transferring to a wire wrack to cool completely.",11,2 1/2 cups all-purpose flour,1 teaspoon baking soda,"1/2 teaspoon fine sea salt (table salt will work, too)","1 stick (4 ounces) unsalted butter, at room temperature","1/2 cup coconut oil, at room temperature (it should be solid but scoopable)",1 cup granulated sugar,2 teaspoons lime zest (from 2 small limes),2 tablespoons packed dark brown sugar,2 teaspoons vanilla extract,"2 large eggs, at room temperature",Baker By Nature,https://bakerbynature.com/white-chocolate-coconut-key-lime-cookies/,2 1/2 cups white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greek Yogurt Chocolate Chip Cookies,Ashley Manila,"January 7, 2015",4.50,2,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: chocolate chip cookie recipe, chocolate chip cookies, Greek yogurt, how to make chocolate chip cookies",3 minutes,15 minutes,NA,18 minutes,2 dozen cookies,9,"In a medium-sized bowl combine the flours, baking soda, and salt; whisk well to combine; set aside.
In the body of a stand mixer fitted with the paddle attachment or in a large bowl using a handheld electric beater, beat the coconut oil, sugars, and vanilla on medium-speed until light and fluffy; about 2 minutes.
Add in the eggs, one at a time, beating well after each addition, and scraping down the sides as necessary. Add in the Greek yogurt, beating just until incorporated. Reduce the mixer speed to low and add in the dry ingredients, beating just until combined.
Turn the mixer off and stir in the chocolate chips with a wooden spoon.
Cover the bowl with a piece of saran wrap and refrigerate for at least 3 hours – up to 24 hours.
30 minutes prior to baking, preheat your oven to 375 degrees (F). Line two large baking sheets with parchment paper; set aside.
Using a large spoon or melon baller (preferred), scoop out 3 tablespoon sized rounds of dough; using your hands roll the dough into a ball, then place on the prepared baking sheet. Repeat with all of the cookie dough, spacing them 2 inches apart on the baking sheet.
Bake cookies – one sheet at a time – for 12-15 minutes, or until golden brown.
Allow cookies to cool for 5 minutes on the baking sheet, then transfer to a wire rack to cool completely.",11,1 and 1/4 cups whole-wheat flour,1 cup all-purpose flour,1 teaspoon baking soda,3/4 teaspoon salt,"1/2 cup + 2 tablespoons coconut oil, softened but not liquified",1 cup firmly packed dark brown sugar,1/2 cup granulated sugar,2 teaspoons vanilla extract,"2 large eggs, at room temperature",1/2 cup *full-fat Greek yogurt,Baker By Nature,https://bakerbynature.com/greek-yogurt-chocolate-chip-cookies/,2 1/2 cups dark or semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter M&M Cookies,Ashley Manila,"December 13, 2014",5,3,Cookies,Dessert,"Filed Under: Chocolate, Cookies, Recipes","Tagged With: brown butter, brown butter recipes, Christmas, cookies, M&M, M&M Recipes",20 minutes,13 minutes,NA,33 minutes,24 cookies,9,"In a medium sized bowl whisk together the flour, baking soda, and sea salt; set aside.
Place 8 tablespoons of butter in a small sauce pan over medium-high heat and cook for about 2 minutes – stirring almost constantly – until the butter has browned. Remove from heat and stir in remaining butter; whisk until completely smooth. Place the bowl in the refrigerator or freezer and bring the butter back to room temperature. *You’ll know the butter is at room temperature when you press a finger into the top and it makes a slight indentation.
Once the butter is at room temperature… Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper and set aside.
Add the sugars and the vanilla to the browned butter and whisk until light and fluffy; about 2 minutes (you may use a stand-mixer or handheld mixer to help if you have one).
Add the eggs and beat quickly – for only about 30 seconds – until they’re just combined. Let the mixture rest for 5 minutes, then beat the eggs for another 30 seconds.
Gently fold in the flour mixture with a wooden spoon, stirring only until the flour begins to disappear. Fold in m&m's.
Roll 3 tablespoon sized balls of dough between your palms to form a ball (they should be big; almost a 1/4 cup), then place on prepared sheet (make sure to leave enough room in between each cookie for inevitable spreading).
Continue this process until all the dough has been rolled. Place baking sheets in preheated oven and bake for 11-13 minutes, or until golden at the edges but still soft in the middle. Press additional m&m's on top of the cookies right after removing the pan from the oven, if desired.
Let cookies cool for 5 minutes on the sheet before transferring to a wire wrack to cool completely.",9,2 1/2 cups all-purpose flour,1 teaspoon baking soda,1/4 teaspoon flaky sea salt,"16 tablespoons (2 sticks; 8 ounces) unsalted butter, one stick melted until browned",1 cup + 2 tablespoons dark brown sugar,1/2 cup granulated sugar,2 teaspoons vanilla,"2 large eggs, at room temperature",2 1/2 cups m&m's,NA,Baker By Nature,https://bakerbynature.com/brown-butter-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter and Honey Pistachio Cookie Bars,Ashley Manila,"December 8, 2014",4.89,9,Cookies,Dessert,"Filed Under: Bar Desserts, Cookies, Recipes","Tagged With: brown butter recipes, cookie bars",NA,NA,NA,NA,NA,6,"Preheat oven to 325 degrees (F).
Line an 8x8 inch baking pan with parchment paper, lightly spray the parchment paper and any exposed pan with non-stick spray; set aside.
Place butter in a small saucepan over medium-low heat; cook until butter has completely melted and *just begins to brown. Be sure not to over brown your butter here!
In a large bowl combine browned butter, brown sugar and honey; beat until smooth. Add egg and yolk and whisk until combined. Stir in 1 teaspoon of the salt and all of the flour; don't overmix!
Pour batter into prepared pan. Sprinkle with remaining salt and chopped pistachios.
Bake for 23-25 minutes, or until edges are set, the top is golden, but the center is still a little soft. Allow bars to cool in the pan for 10 minutes, then remove the bars and transfer to a cooling rack to cool completely. Once cool, cut into small squares and serve.",7,"10 tablespoons unsalted butter, melted until lightly browned",1 cup packed light brown sugar,3 1/2 tablespoons Don Victor Honey,1 large egg + 1 large egg yolk,1 1/4 teaspoons flaky sea salt,1 cup all-purpose flour,"1/4 cup shelled salted pistachios, roughly chopped",NA,NA,NA,Baker By Nature,https://bakerbynature.com/brown-butter-honey-pistachio-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thick and Chewy White Chocolate Cranberry Cookies,Ashley Manila,"December 6, 2014",4,5,American,Dessert,"Filed Under: Chocolate, Christmas, Cookies, Recipes","Tagged With: Cranberry Recipes, How to make chewy cookies",15 minutes,11 minutes,NA,26 minutes,2 dozen cookies,10,"Preheat oven to 375 degrees (F). Line 2 large baking sheets with parchment paper and set aside.
In a large bowl add the flour, baking soda, salt, and cinnamon. Whisk well to combine and set aside. 
In a large bowl using an electric handheld mixer, or in the bowl of a stand mixer fitted with the paddle attachment, add the butter, both sugars, vanilla, and orange zest. Beat on medium speed, scraping down the sides and bottom of the bowl as needed, for bout 2 minutes, or until light in color and fluffy in texture. 
Turn the mixer off again and use a rubber spatula to scrape the bottom and side of the bowl. This extra step ensures to batter missed getting incorporated. If you notice large pockets of wet ingredients, turn the mixer back on and mix for another 30 seconds or so. 
Add the eggs, one at a time, beating well after each addition.
Turn the mixer off and let the mixture rest for 5 minutes.
Using a strong rubber spatula or wooden spoon, add in the flour in thirds, mixing slowly and stirring only until the flour begins to disappear. Do not over mix or your cookies will be dry!
Finally, fold in the white chocolate chips and dried cranberries.
Using a large cookie scoop, scoop out about 3 tablespoons worth of cookies dough and roll it into a ball. Place cookie dough balls on prepared baking sheets, leaving at least 1"" of room in between each cookie for inevitable spreading.
Continue this process until all the dough has been rolled. Place baking sheets in preheated oven and bake for 9 to 11 minutes, or until golden at the edges but still soft in the middle. Let cookies cool for 10 minutes on the sheet before transferring to a wire wrack to cool completely.",12,2 and 1/2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon salt,1/8 teaspoon cinnamon,"1 cup unsalted butter, at room temperature","3/4 cup dark brown sugar, packed",3/4 cup granulated sugar,1 teaspoon orange zest (optional),1 Tablespoon pure vanilla extract,"2 large eggs, at room temperature",Baker By Nature,https://bakerbynature.com/thick-chewy-white-chocolate-cranberry-cookies/,2 cups white chocolate chips,"1 cup dried cranberries, chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggnog Frosted Gingerbread Cookies,Ashley Manila,"December 5, 2014",5,2,NA,NA,"Filed Under: Cookies, Recipes","Tagged With: eggnog, Eggnog Recipes, gingerbread",NA,NA,NA,NA,NA,7,"Preheat oven to 325 degrees (F). Line a large baking sheet with parchment paper or a non-stick silicon baking mat; set aside.
In a large bowl, cream butter and sugars until light and fluffy. Add the egg; beat well. Stir in molasses and vanilla; mix well.
In a medium sized mixing bowl combine flour, ginger, cinnamon, nutmeg, cloves, baking soda, and salt; mix well to combine. Gradually add dry mixture to wet mixture; stir until just combined.
Drop cookie dough by tablespoonfuls, leaving 2 inches between each ball.
Bake for 13-15 minutes or until cookies spring back when touched lightly. Allow cookies to cool a few minutes on the baking sheet, then transfer to a wire rack and cool completely.
In a large saucepan bring the brown sugar, eggnog and butter to a boil; cook and stir for 2 minutes, stirring occasionally. Remove from the heat and cool for 5 minutes.
Add confectioners' sugar, vanilla and salt; mix well. Frost cookies, then add sprinkles (if using).",21,"6 ounces unsalted butter, at room temperature",3/4 cup granulated sugar,1/4 cup packed brown sugar,"1 large egg, at room temperature",1/4 cup molasses (not blackstrap),1 1/2 teaspoons vanilla extract,2 1/4 cups all-purpose flour,2 teaspoons ground ginger,1 teaspoon ground cinnamon,1/8 teaspoon freshly grated nutmeg,Baker By Nature,https://bakerbynature.com/eggnog-frosted-gingerbread-cookies/,1/4 teaspoon ground cloves,1 teaspoon baking soda,1/2 teaspoon salt,1/3 cup packed brown sugar,1/4 cup eggnog,2 tablespoons butter,1 and 3/4 cups confectioners sugar,1/2 teaspoon vanilla extract,1/4 teaspoon salt,2 tablespoons heavy cream,"Gold sprinkles, optional",NA,NA
Ultimate Cookies and Cream Blondies,Ashley Manila,"November 4, 2014",5,3,Cookies,Dessert,"Filed Under: Bar Desserts, Chocolate, Cookies, Halloween, Recipes","Tagged With: blondie recipe, blondies, what is a blondie",NA,NA,NA,NA,NA,5,"Preheat oven to 325 degrees (F). Spray a 9x13-inch baking pan with nonstick cooking spray; set aside.
In a medium-sized bowl mix the flour, salt, and baking soda together until well combined; set aside. In a separate larger bowl whisk the melted butter and sugars together until well combined. Add the eggs and vanilla and mix well. Using a rubber spatula, fold the dry ingredients into the wet mixture, stirring until just combined; do not over mix.
Fold in the chopped cookies and candy pieces. Scrape the batter into the prepared pan, smoothing the top with the spatula.
Bake until the edges of the bars is light golden brown and the center is almost completely set, about 25 minutes (although it may take up to 30 minutes depending on your oven and how it runs).
Cool bars in the pan for at least 10 minutes before transferring them to a cooling rack. When ready to serve, Cut into small squares and serve. These are really good with milk and or coffee 🙂",10,2 1/8 cups all purpose flour,3/4 teaspoon salt,1/2 teaspoon baking soda,"1 and 1/2 sticks (6 ounces) unsalted butter, melted",1 cup granulated sugar,1/2 cup packed light brown sugar,"2 large eggs, at room temperature",1 teaspoon vanilla extract,1 cup chopped cookies and cream chocolate candy bars (I used Hershey's brand),"1 cup Oreo (or similar) cookies, chopped",Baker By Nature,https://bakerbynature.com/ultimate-cookies-and-cream-blondies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
