title,author,rating,ratingnum,categories,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Cake Mix Cookie Bars,Jamielyn Nye,4.97,110," Categorized as: 5 Ingredients Or Less, American, Bars, Birthdays, Cake Mix Cookies, Chocolate Chip Cookies, Cookies, Desserts, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 7 minutes mins,Cook Time: 20 minutes mins,NA,Total Time: 27 minutes mins,Servings: 24,4,"Preheat oven to 350°F. Line a 9×13"" pan with parchment paper and set aside. 
Combine the cake mix, 1/3 cup melted butter, 2 eggs and 1/2 teaspoon vanilla in a large bowl. Stir together until combined. Add in 1 cup chocolate chips and mix just until combined. 
Scoop the dough into the prepared baking dish. Press down evenly with a piece of parchment paper, or the palm of your hand. Top with additional chocolate chips if desired. Bake for 20 minutes, or until a toothpick comes clean. You don’t want them to brown. 
Allow to cool in the pan for about 15 minutes. Then remove and slice into squares. ",5,15.25 ounce box yellow cake mix,"⅓ cup butter , melted (can sub for canola oil)","2 large eggs , whisked",½ teaspoon vanilla,"1 cup chocolate chips , more for top if desired",NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/cake-mix-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine M&M Cookies,Jamielyn Nye,5,18," Categorized as: American, Chocolate Chip Cookies, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Valentine's Day, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 25 minutes mins,Servings: 24,4,"Preheat the oven to 375°F. Line two baking sheets with silicone baking mats or parchment paper and set aside. In a large bowl, cream together the butter and sugars with beaters. Mix for 1-2 minutes, or until creamy and fluffy. Add the eggs and vanilla and mix just until combined.
Add the flour, baking soda and salt and mix just until combined. Fold in the chocolate chips and M&M’s. 
Using a large cookie scoop (about 3 Tablespoons), scoop the cookie dough onto the baking sheet about 2 inches apart. Place any extra chocolate chips or M&M’s on the top of the cookies if desired.
Bake for 7-10 minutes, or until the edges are barely golden brown. Allow cookies to set on pan for 2-3 minutes, and then remove to a cooling rack.",10,1 cup unsalted butter,"1 cup light brown sugar , packed",¾ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,"3 cups all-purpose flour , spooned and leveled",1 teaspoon baking soda,1 teaspoon fine sea salt,"¾ cup semi-sweet chocolate chips , more if desired","1 cup Valentine M&M’s , more for tops if desired",I Heart Naptime,https://www.iheartnaptime.net/valentine-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Cup Cookies,Jamielyn Nye,5,4," Categorized as: 5 Ingredients Or Less, American, Christmas, Cookies, Desserts, Gluten-Free, Kid-Friendly, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 9 minutes mins,NA,Total Time: 19 minutes mins,Servings: 12,5,"Preheat oven to 350°F. Line one baking sheet with parchment paper or a baking mat and set aside.
Mix together 1 cup cream peanut butter, 1/2 cup sugar and 1 egg in a medium bowl. If the dough is too sticky, you can refrigerate for 10-20 minutes.
Roll dough into 12 (1″) balls (I like to use a medium cookie scoop) and drop into the sugar. Roll in sugar and then place onto prepared baking sheet. 
Bake for 8-10 minutes, or until very lightly browned on the bottoms. Remove from oven and let rest on pan for 2 minutes.
Place the peanut butter cups on top of the cookies while they're still warm. Then allow cookies to cool on a cooling rack. ",4,1 cup creamy peanut butter,"½ cup granulated sugar , plus more for rolling",1 egg,12 miniature Reese's peanut butter cups,NA,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/peanut-butter-cup-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Butterscotch Cookies,Jamielyn Nye,5,6," Categorized as: American, Christmas, Cookies, Desserts, Freezer-Friendly, Nut-Free, Oatmeal Cookies, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 15 minutes mins,Total Time: 35 minutes mins,Servings: 36,5,"Prep. Preheat the oven to 350°F. Line baking sheets with parchment paper or a silicone mat. 
Wet ingredients. Cream 1 cup butter in a large mixing bowl until smooth, about 1 minute. Add 1 1/4 cup brown sugars and 1/4 cup granulated sugar and mix until creamy. Add 2 large eggs and 2 teaspoons vanilla then mix until combined. 
Dry ingredients. Add 2 1/2 cups oats, 2 cups flour, 3/4 teaspoon salt and 1 1/2 teaspoons baking soda. Stir just until combined. Then fold in 1-2 cups butterscotch chips. Refrigerate dough at least 15 minutes.
Scoop. Use a medium cookie scoop and scoop onto the prepared baking sheets. Press extra butterscotch chips on top if desired. Refrigerate dough balls on the pan for 15-20 minutes if your prefer a little thicker cookie. 
Bake for 10 minutes, or until the edges are just light golden brown (the centers should look a little soft). Take them out a little early for softer cookies and bake a little longer for crispier cookies. Let rest on pan for a few minutes and then transfer to a cooling rack to cool completely. ",11,1 cup butter,"1 cup light brown sugar , packed",¼ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,2 ½ cups (225 g) old-fashioned oats,"2 cups (260g) all-purpose flour , spooned and leveled",¾ teaspoon fine sea salt,1 ½ teaspoons baking soda,½ teaspoon ground cinnamon,I Heart Naptime,https://www.iheartnaptime.net/oatmeal-butterscotch-cookies/,"1-2 cups butterscotch chips , more for tops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Cake Mix Cookies,Jamielyn Nye,5,18," Categorized as: American, Cake Mix Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Valentine's Day, Vegetarian, White Chocolate Cookies ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 25 minutes mins,Servings: 30,6,"Prep. Heat oven to 350°F and line a cookie sheet with parchment paper.
Cream butter and cream cheese. In a large bowl, combine 1/2 cup butter and 8 ounces cream cheese using an electric mixer until fluffy.
Make dough. Add 1 egg and 1 teaspoon vanilla and mix until completely incorporated. Then add box of cake mix and continue mixing until a dough forms (it will be thick). Fold in 1/2 cup white chocolate chips.
Scoop dough balls. If desired, place powdered sugar in a small bowl. Using a small cookie scoop, form one-inch dough balls and roll into powdered sugar to coat.
Bake. Place cookies 2 inches apart onto the cookie sheet and bake for 10-12 minutes, or until centers are set.
Cool. Let cookies cool completely on a wire rack. Then dust with more powdered sugar if desired. ",7,15.25 ounce package red velvet cake mix,"8 ounces cream cheese , softened","½ cup butter , softened",1 large egg,1 teaspoon vanilla extract,½ cup white chocolate chips,"powdered sugar , for rolling (optional)",NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/red-velvet-gooey-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Turtle Cookies,Jamielyn Nye,5,8," Categorized as: American, Chocolate Cookies, Christmas, Cookies, Desserts, Holiday Cookies, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,Refrigerate: 30 minutes mins,Total Time: 50 minutes mins,Servings: 16,8,"Creamy butter and sugar. Beat 1/2 cup butter with an electric mixer for 1 minute until smooth and creamy. Then mix in 2/3 cup sugar until creamy. Next add 1 egg yolk, 2 Tablespoons milk and 1 1/2 teaspoons vanilla. 
Dry ingredients. Add 1 cup flour, 1/3 cup cocoa powder and 1/2 teaspoon salt. Mix just until combined. Then wrap in plastic wrap and refrigerate for 1/2 hour. 
Preheat the oven to 350°F. Line a baking sheet with parchment paper. Place the chopped pecans in a shallow bowl. Then whisk 2 egg whites in a separate bowl until frothy. 
Roll in pecans. Use a medium cookie scoop or roll the dough into 16 balls. Using a fork, dip each dough ball into the egg white and then roll in the pecans. Gently press the pecans in along the sides and then place on the lined baking sheet.
Bake for 10 minutes, or just until set. The top should still look a little soft. While hot, use a teaspoon to make an indention in the center of each ball. Allow to set on the pan for a couple minutes and then transfer to a cooling rack.
Melt 2/3 caramel bits and 2 Tablespoons heavy cream in a microwave safe bowl at 50% power for 30 seconds. Stir and cook an additional 30 seconds or until melted. 
Pour 1 teaspoon of caramel into the top of each cookie. Be careful not to over fill. 
Drizzle chocolate. Place 1/3 cup chocolate chips in a zip top bag. Then place in a bowl with warm water until melted and smooth. Then snip the corner of the bag and drizzle the chocolate over the top of the cookies.",13,½ cup unsalted butter,⅔ cup granulated sugar,1 egg yolk,2 egg whites,2 Tablespoons milk,1 ½ teaspoons vanilla extract,1 cup (130g) all-purpose flour,⅓ cup unsweetened cocoa powder,½ teaspoon fine sea salt,1 cup chopped pecans,I Heart Naptime,https://www.iheartnaptime.net/turtle-cookies/,"⅔ cup kraft caramel bits , or 15 soft caramels",2 Tablespoons heavy cream,⅓ cup semi sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal M&M Cookies,Jamielyn Nye,5,26," Categorized as: American, Chocolate Chip Cookies, Chocolate Cookies, Cookies, Desserts, Freezer-Friendly, Kid-Friendly, Nut-Free, Oatmeal Cookies, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 20 minutes mins,Servings: 36,4,"Preheat the oven to 350°F. Line baking sheets with parchment paper or a silicone mat. Cream the butter in a large mixing bowl until smooth, about 1 minute. Add in the sugars and mix until creamy. Add eggs and vanilla and mix until combined. 
Add oats flour, salt and baking soda. Stir just until combined. Then fold in M&M's and chocolate chips. Refrigerate the dough at least 15 minutes.
Use a medium cookie scoop and scoop onto the prepared baking sheets. Press extra chocolate chips on top if desired. Refrigerate dough balls on the pan for 15-20 minutes if your prefer a little thicker cookie. 
Bake for 10 minutes, or until the edges are just light golden brown (the centers should look a little soft). Take them out a little early for softer cookies and bake a little longer for crispier cookies. Let rest on pan for 2 minutes and then transfer to a cooling rack to cool completely. ",11,1 cup unsalted butter,"1 ¼ cups light brown sugar , packed",¼ cup granulated sugar,2 large eggs,2 teaspoons vanilla extract,2 ½ cups (225 g) old-fashioned oats,2 cups (260g) all-purpose flour,1 teaspoon fine sea salt,1 ½ teaspoons baking soda,"¾ cup M&M's , more for the tops",I Heart Naptime,https://www.iheartnaptime.net/oatmeal-mm-cookies/,½ cups chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Chocolate Mint Cookies,Jamielyn Nye,5,12," Categorized as: American, Cake Mix Cookies, Chocolate Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 30 minutes mins,Servings: 24,4,"Preheat oven to 350°F. Line a baking sheet with a silicone mat or parchment paper and set aside.
In a large bowl, cream 1/2 cup butter and 8 ounces of cream cheese until smooth. Mix in one egg and 1/2 teaspoon peppermint extract and stir until combined. Add cake mix and stir until smooth. Then fold in the mint chips. Refrigerate the cookie dough for 20 minutes.
Once chilled, roll the dough into 1 1/2 inch balls and place on the baking sheet. Add a few more mint chips on top if desired. 
Bake for 11-13 minutes. Allow to cool on pan for a few minutes and then remove to cooling rack. The centers will harden as they cool. You want them to be soft.",6,"½ cup butter , softened","8 ounce package cream cheese , softened",1 egg,½ teaspoon peppermint extract,1 box Devil's Food cake mix,1 cup mint chips,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/chocolate-mint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Butter Toffee Cookies,Jamielyn Nye,5,2," Categorized as: American, Chocolate Chip Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 9 minutes mins,Chill time: 1 hour hr,Total Time: 1 hour hr 29 minutes mins,Servings: 24,6,"Melt 2 sticks of the butter in a pan over medium-heat. Cook for about 3-5 minutes, swirling the pan every so often. Allow the butter to brown (when it turns an amber golden color and has a nutty aroma, it’s done). Remove from the heat and then pour into a large mixing bowl.
In the large bowl, add 1 cup brown sugar and 1/2 cup white sugar. Mix for 1 minute, until combined. Then place in refrigerator for 10-15 minutes to cool. Once at room temperature (make sure it's not warm), mix in the 2 eggs + 1 egg yolk and 1 Tablespoon vanilla. 
Then add 2 1/2 cups flour, 1 teaspoon salt, 1 teaspoon baking soda and 1/2 teaspoon baking powder. Mix just until combined. Stir in the chocolate chips and toffee bits. Cover the bowl and refrigerate at least 45 minutes, up to 24 hours. Pull dough out 30 minutes before scooping if left in overnight. 
Preheat oven to 365°F (or 345°F for convection). Line two baking sheets with a baking mat or parchment paper and set aside.
Scoop cookie dough onto the prepared pan using a large cookie scoop, about 2 inches apart. Press extra toffee bits or chocolate chips on top if desired. I like to pop my pan in the freezer for 5 minutes once they're scooped. Then bake for 8-9 minutes, or just until the edges are golden brown and the center is set. For a crispier cookie bake the 9-10 minutes. 
Remove from oven and allow the cookies to cool for a few minutes on the pan. Sprinkle with flaked salt if desired. Then move to a cooling rack. Enjoy!",11,1 cup (2 sticks; 226 g) unsalted butter,"1 cup (200 g) light brown sugar , packed",½ cup (100 g) granulated sugar,2 large eggs + 1 egg yolk,1 Tablespoon vanilla extract,2 ½ cups (335 g) all-purpose flour,1 teaspoon fine sea salt,1 teaspoon baking soda,½ teaspoon baking powder,1 ½ cups semi-sweet chocolate chips ( can do half milk),I Heart Naptime,https://www.iheartnaptime.net/toffee-cookies/,¾ cup toffee bits ( or chopped heath bar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Whoopie Pies,Jamielyn Nye,5,4," Categorized as: American, Chocolate, Chocolate Cookies, Cookies, Desserts, Freezer-Friendly, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 15 minutes mins,Cook Time: 10 minutes mins,NA,Total Time: 25 minutes mins,Servings: 16,6,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside. In a small heavy bottom pot, melt the butter and chocolate chips over medium heat. Remove from heat and set aside to cool slightly.
In a medium sized bowl, whisk or sift together the flour, cocoa, baking powder, baking soda and salt.
In a large bowl, whisk together the sugar, eggs, sour cream, vinegar and vanilla. Fold in the melted chocolate. Then add in the flour mixture and mix until combined. Do not over mix.
Use a medium cookie scoop or Tablespoon to drop the cookies onto the pan about 1 1/2 inches apart. Bake for 10 to 12 minutes, or until the centers no longer look wet. Allow them to cool on the pan for a couple minutes and then transfer to a cooling rack.  
While the cookies are cooling, whip up your cream cheese frosting. Beat the butter in a large bowl with an electric mixer. Once smooth, beat in the cream cheese. Then slowly add in the powdered sugar and vanilla and mix until smooth. Add a pinch of salt if desired. Set aside until cookies have cooled.
Once the cookies have cooled, frost the BOTTOM of the cookies (generously) and then grab another cookie to put on top and gently press the two cookies together.",16,1 cup butter,½ cup semi-sweet chocolate chips,¼ cup unsweetened cocoa powder,2 ½ cups (325 g) all-purpose flour,1 ½ teaspoons baking powder,½ teaspoon baking soda,½ teaspoon fine sea salt,1 cup granulated sugar,¾ cup sour cream,2 large eggs,I Heart Naptime,https://www.iheartnaptime.net/chocolate-whoopie-pies/,½ Tablespoon white vinegar,1 ½ teaspoons vanilla extract,"6 ounces cream cheese , softened","½ cup butter , softened",2-3 cups powdered sugar,1 to 2 teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA
Halloween Sugar Cookies,Jamielyn Nye,5,5," Categorized as: American, Cookies, Desserts, Freezer-Friendly, Frosted Cookies, Halloween, Holiday Cookies, Kid-Friendly, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 8 minutes mins,Refrigerate Dough: 1 hour hr,Total Time: 1 hour hr 28 minutes mins,Servings: 30,7,"In a large bowl, mix together the butter and sugar. Beat until creamy. Add in eggs, vanilla, almond extract and sour cream and mix together until combined.
In a separate bowl, mix together the flour, baking soda, baking powder and salt. Slowly add dry ingredients to the wet ingredients. Mix just until combined.
Split dough in two and place in saran wrap. Refrigerate for 1-2 hours.
Once dough has chilled, preheat oven to 350°F. Roll out dough on a baker's mat or parchment paper. Add another 1/4 – 1/2 cup flour if dough is still sticky. Cut with floured Halloween cookie cutters.
Bake for 8-9 minutes, until bottoms are barely golden. Be very careful to not over bake. Remove from oven and allow to cool on pan for 2 minutes and then move to a cooling rack to cool. 
For the buttercream, combine all listed ingredients in a medium-sized bowl. Mix with an electric mixer until smooth. Divide into 2-3 bowls. Leave one bowl white and then add orange food coloring into the other. If making candy corn cookies, divide into 3 and add yellow. 
Once cookies are cooled, frost pumpkin cookies with orange frosting. For the ghost, frost with white frosting and add 2 candy eyes. For the candy corn, frost the tip with white, the middle with orange and the top with yellow. ",14,"1 cup butter , at room temp",1 ¾ cups granulated sugar,"2 eggs , at room temp",1 teaspoon vanilla extract,¼ teaspoon almond extract,1 cup sour cream,5 ½ cups all-purpose flour,1 ½ teaspoons baking soda,1 teaspoon baking powder,½ teaspoon fine sea salt,I Heart Naptime,https://www.iheartnaptime.net/halloween-sugar-cookies/,¾ cup butter,3 ½ cups powdered sugar,3-4 Tablespoons heavy cream,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spider Cookies,Jamielyn Nye,5,4," Categorized as: 5 Ingredients Or Less, American, Chocolate, Cookies, Desserts, Gluten-Free, Halloween, Holiday Cookies, Kid-Friendly, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 9 minutes mins,NA,Total Time: 19 minutes mins,Servings: 12,5,"Make cookie dough. Preheat oven to 350°F. Line one baking sheet with parchment paper or a baking mat and set aside. Mix together 1 cup peanut butter, 1/2 cup sugar and egg in a medium bowl. If the dough is too sticky, you can refrigerate for 10-20 minutes.
Roll in sugar. Roll dough into 12 (1″) balls (I like to use a medium cookie scoop) and drop into the sugar. Roll in sugar and then place onto prepared baking sheet. Press down with a fork creating a cross.
Bake. Bake for 8-10 minutes, or until very lightly browned on the bottoms. Remove from oven and let rest on pan for 2 minutes.
Place peanut butter cups. Place the peanut butter cups on top of the cookies while they're still warm. Then allow cookies to cool on a cooling rack. 
Decorate like spiders. Once cookies have cooled, melt the chocolate in a microwave safe bowl. Cook in 30 second increments, stirring in between until melted. Then place in a zip top bag to decorate. Snip off the edge and place two dots on top of the Reese's. Then attach the eyes. Next draw 4 legs on each side of the Reese's. Allow chocolate to harden. ",6,1 cup creamy peanut butter,"½ cup granulated sugar , plus more for rolling",1 egg,¼ cup chocolate melting wafers,12 miniature Reese's peanut butter cups,24 mini candy eyes,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/spider-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheesecake Cookie Bars,Jamielyn Nye,5,6," Categorized as: American, Bars, Chocolate, Chocolate Chip Cookies, Christmas, Cookies, Desserts, Kid-Friendly, Nut-Free, Vegetarian ",Prep Time: 20 minutes mins,Cook Time: 35 minutes mins,NA,Total Time: 55 minutes mins,Servings: 24,6,"In a large mixing bowl, cream together 1 cup butter, 1 cup brown sugar and 1 cup granulated sugar with an electric mixer. Beat for 1 to 2 minutes or until nice and creamy. Then mix in 2 eggs and 1 Tablespoon vanilla.
Add 2 1/2 cups flour, 1 teaspoon salt, 1 teaspoon baking soda and 1 teaspoon baking powder. Mix just until combined. Then fold in about 1 cup chocolate chips. Add more if desired. Refrigerate dough while oven is preheating.
Preheat oven to 350°F. Lightly grease a 9×13 baking pan. Reserve about 2 cups of your cookie dough and press remaining dough evenly into prepared pan.
In a small mixing bowl, combine 8 ounces cream cheese, 1/2 cup sugar, 1 egg. and 1 teaspoon vanilla. Beat with electric mixer at medium speed until smooth, being careful not to over mix. Spread cream cheese mixture over the cookie dough in your pan.
Break reserved dough into small pieces and sprinkle over cream cheese mixture. Sprinkle remaining chocolate chips over top.
Bake for 35 minutes or until center is almost set and edges are lightly golden. Then let cool in pan. Once cooled, slice into 24 bars. Store in the refrigerator. ",14,"1 cup unsalted butter , softened",1 cup granulated sugar,"1 cup light brown sugar , firmly packed",2 large eggs,1 Tablespoon vanilla extract,2 ½ cups all-purpose flour,"1 teaspoon fine sea salt , or table salt",1 teaspoon baking soda,1 teaspoon baking powder,"1 to 2 cups semi-sweet chocolate chips , reserve some for the top",I Heart Naptime,https://www.iheartnaptime.net/cheesecake-cookie-bars/,"8 ounces cream cheese , softened",½ cup granulated sugar,1 large egg,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Snickerdoodle Cake Mix Cookies,Jamielyn Nye,5,16," Categorized as: American, Cake Mix Cookies, Christmas, Cookies, Desserts, Freezer-Friendly, Kid-Friendly, Nut-Free ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,Cool Time: 40 minutes mins,Total Time: 1 hour hr,Servings: 24,6,"Prep. Preheat the oven to 350°F. Line a baking sheet with parchment paper.
Combine cinnamon sugar. Place the cinnamon sugar in a shallow bowl.
Make cookie dough. In a large bowl, stir the cake mix, 1 Tablespoon cinnamon, 1/3 cup oil, and 2 eggs until combined. If you have the time, refrigerate the dough 30 minutes (it will make it a little easier to work with, since it is sticky).
Scoop and roll. Using a medium cookie scoop or spoon, scoop the dough and roll into a ball. Roll balls in the cinnamon sugar and place on the baking sheet. 
Bake. Bake 9 to 11 minutes, or until the cookies are set but not brown. 
Cool. Let cool on the baking sheet several minutes before transferring to a cooling rack to cool completely.",5,"Cinnamon sugar , for rolling",1 (15.25-ounce) box white cake mix,1 Tablespoon ground cinnamon,"⅓ cup vegetable oil , or melted butter",2 large eggs,NA,NA,NA,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/snickerdoodle-cake-mix-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neiman Marcus Cookies,Jamielyn Nye,5,6," Categorized as: American, Chocolate, Chocolate Chip Cookies, Cookies, Desserts, Freezer-Friendly, Oatmeal Cookies ",Prep Time: 15 minutes mins,Cook Time: 8 minutes mins,NA,Total Time: 23 minutes mins,Servings: 30,5,"Preheat the oven to 375°F. Line a baking sheet with parchment paper. Cream the butter and sugars in a large bowl. Add eggs and vanilla and mix just until combined. 
Whisk the flour, salt, baking soda, baking powder and ground outs in a separate bowl. Gradually add flour mixture to the butter mixture while mixing. 
Fold in chocolate chips, nuts and grate the hershey bar in with the chips. 
Scoop the dough onto a lined cookie sheet and bake for 7-10 minutes or until the edges are just slightly golden brown. They may come out looking a little doughy but they will harden up fast. Allow to cool for 2 minutes on the pan and then move to a cooling rack. 
Once cooled store in a covered container for up to 3 days or freeze up to 3 months. ",13,"1 cup unsalted butter , slightly softened",1 cup granulated sugar,"1 cup light brown sugar , packed",2 eggs,2 teaspoons vanilla extract,"2 ¼ cups rolled old fashioned oats , grind in a blender",2 cups all-purpose flour,1 teaspoon baking powder,1 teaspoon baking soda,¾ teaspoon Kosher salt,I Heart Naptime,https://www.iheartnaptime.net/neiman-marcus-cookies/,"2 cups chocolate chips , 12 ounce bag","4 ounce Hershey bar or Symphony Bar , frozen","1 cups chopped nuts , walnuts or pecans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empire Biscuits,Jamielyn Nye,5,4," Categorized as: Cookies, Desserts, Freezer-Friendly, Frosted Cookies, Fruit Desserts, Holiday Cookies, Kid-Friendly, Valentine's Day, Vegetarian ",Prep Time: 10 minutes mins,Cook Time: 10 minutes mins,Chill: 1 hour hr,Total Time: 1 hour hr 20 minutes mins,Servings: 16,7,"Combine 3/4 cup butter and 1 cup powdered sugar in a large bowl. Beat with a mixer until light and fluffy. Add one 1 egg and 1 egg yolk then beat on medium speed until combined. Add 1 teaspoon vanilla and beat again. 
Chill dough. With the mixer on low speed, slowly add 2 3/4 cups cake flour and 1/2 teaspoon salt. Press the dough between two sheets of wax paper or plastic wrap and refrigerate for 1 hour.
Preheat oven to 350°F. Line a baking sheet with parchment paper or a silicone baking mat.
Roll out the dough 1/8″ thick onto a baking mat, parchment paper or a well floured surface. Press the cookie cutter into the dough and carefully move to the baking sheet. Repeat until you have 32 cookies.
Bake for 8 to 10 minutes, or until the edges are slightly light golden. Remove from the oven and allow to cool on the pan for 2 minutes. Then transfer to a cooling rack.
Add jam. Once the cookies are cooled, spread the raspberry jam onto the back side of the cookies. Press another cookie gently on top. 
Whisk together the icing ingredients in a small bowl until it is smooth and glossy. Use a small spatula to frost the top of the cookies. Add a heart sprinkle to the center if ",11,"¾ cup butter , softened",1 cup powdered sugar,1 large egg,1 egg yolk,1 teaspoon vanilla extract,"2 ¾ cups cake flour , can sub for sifted all-purpose flour",½ teaspoon Kosher salt,¾ cup raspberry jam,1 cup powdered sugar,2 Tablespoons hot water,I Heart Naptime,https://www.iheartnaptime.net/empire-biscuits/,"1 teaspoon almond extract , could also substitute with vanilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spritz Cookies,Jamielyn Nye,5,3," Categorized as: American, Christmas, Cookies, Desserts, Freezer-Friendly, Holiday Cookies, Kid-Friendly ",Prep Time: 10 minutes mins,Cook Time: 6 minutes mins,Chill: 30 minutes mins,Total Time: 46 minutes mins,Servings: 48,6,"Preheat oven to 350°F and line a baking sheet with parchment paper. 
Cream butter and sugar until fluffy, about 2 minutes. Beat in the egg, vanilla and almond extract. 
In a separate bowl, whisk in the flour, baking powder and salt. Gradually mix into the sugar mixture. If using food coloring, divide dough into bowls and mix in (I did red and green). Refrigerate dough for 30 minutes. 
Follow the direction on your cookie press and add the dough. Then press the cookies perpendicular onto the pan. Space them 1-inch apart.
Bake for 5-7 minutes, or until the edges are just barely turning golden. If you want them soft, take them out around 5 minutes or if you prefer a crisp cookie cook the full 7 minutes. Remove from oven and onto a cooling rack. 
Enjoy plain or with powdered sugar icing. Store in a covered container.",8,1 cup unsalted butter,¾ cup granulated sugar,1 large egg,1 teaspoon vanilla extract,1 teaspoon almond extract,2 ¼ cups all-purpose flour,1 teaspoon baking powder,½ teaspoon Kosher salt,NA,NA,I Heart Naptime,https://www.iheartnaptime.net/spritz-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
