title,author,rating,ratingnum,course,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19
Ginger Molasses Cookies,Lauren Allen,4.98,79,Dessert,45 minutes,10 minutes,NA,Total: 55 minutes mins,NA,6,"Preheat the oven to 375 degrees F. Line two cookie sheets with parchment paper.
In a medium bowl, whisk together the flour, baking soda, salt, cinnamon, cloves, and ginger. Set aside.
In another bowl beat together the butter and granulated sugar until light and creamy. Add the molasses and egg and mix until well combined. Stir in the dry ingredients and mix until combined.
Wrap the dough in plastic wrap and refrigerate for 30 minutes (or up to several days) before rolling into balls. Roll the dough into balls and then roll the dough balls in granulated sugar. 
Place on prepared sheet and bake for 8-10 minutes (don't over bake them if you want a soft, chewy cookie).
Remove the cookies to a cooling rack and allow to cool completely. Frost with cinnamon cream cheese frosting, if desired. Store in an airtight container, or in the freezer (they freeze really well!)",12,▢ 2 cups all-purpose flour,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1 teaspoon ground cinnamon,▢ 1/2 teaspoon ground cloves,▢ 1/2 teaspoon ground ginger,"▢ 3/4 cup butter, , room temperature (1 ½ sticks)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/soft-and-chewy-ginger-molasses-cookies/,▢ 3/4 cup granulated sugar,▢ 1 large egg,▢ 1/4 cup molasses,"▢ granulated sugar, , for rolling",▢ 1 batch Cinnamon Cream Cheese Frosting,NA,NA,NA,NA,NA,NA,NA
Christmas Cornflake Wreaths,Lauren Allen,4.99,366,Dessert,20 minutes,5 minutes,NA,Total: 25 minutes mins,NA,6,"Measure cornflakes into a large bowl.
Melt butter in a large saucepan over low heat. Once melted, add the marshmallows and stir continuously until completely melted. Stir in food coloring.
Pour melted marshmallow mixture over the cornflakes. Stir until well coated.
Lay out a piece of parchment paper on your kitchen counter. Dollop spoonfuls of the cornflake mixture onto the parchment paper. 
Grease your (clean) hands greased with butter or cooking spray, or dip them in a little bit of water. Use your fingers to shape each spoonful into an individual wreath. 
Top each wreath with cinnamon candies.",5,▢ 1/2 cup butter,"▢ 5 heaping cups mini marshmallows, , or about 52 large marshmallows",▢ 1 teaspoon green food coloring,▢ 6 cups cornflakes cereal,"▢ 1/2 cup red hots, , or small red cinnamon candies",NA,NA,Tastes Better from Scratch,https://tastesbetterfromscratch.com/christmas-cornflake-wreaths/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Brownies,Lauren Allen,5,31,Dessert,30 minutes,30 minutes,NA,Total: 1 hour hr,NA,7,"Preheat oven to 350 degrees F. Line a 9×13 pan with parchment, or spray with nonstick cooking spray.
Melt chocolate: Roughly chop the chocolate baking squares and place them in a microwave-safe bowl. Cut the butter into tablespoon pieces and place in the bowl with the chopped baking chocolate. Melt the chocolate and butter in 30 second intervals, stirring in between, until melted and smooth. Set aside.
Wet ingredients: In another bowl, beat eggs for about 3 minutes until frothy. Add the sugar and vanilla and beat. Add melted chocolate mixture that you set aside.
Combine flour and baking powder and gently stir into the brownie batter just until combined. Pour batter into prepared 9×13 pan.
Bake for 23-27 minutes, or until a toothpick inserted in the center comes out clean. Remove from oven and cool completely before frosting.
Peppermint Frosting: Combine all frosting ingredients and beat until light and fluffy. Add a little bit more milk to thin the frosting if needed. Gently spread the frosting over the cooled brownies.
Chocolate Glaze: Place chocolate chips in a microwave-safe bowl and cook in 30 second intervals, stirring after each time, until smooth. Drizzle the chocolate over the brownies and sprinkle crushed candy canes on top. ",14,▢ 4 ounces unsweetened baking chocolate,"▢ 1 cup butter, (2 sticks)",▢ 4 large eggs,▢ 2 cups granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 1/4 cups all-purpose flour,▢ 1/2 teaspoon baking powder,Tastes Better from Scratch,https://tastesbetterfromscratch.com/peppermint-candy-cane-brownies/,▢ 2 cups powdered sugar,"▢ 3 Tablespoons butter, , softened",▢ 1 teaspoon peppermint extract,▢ 1 Tablespoon milk,"▢ drop of red food coloring, (optional, to make it pink)","▢ 1 cup chopped high quality semi-sweet chocolate , (or Guittard or Ghirardelli chocolate chips)","▢ 4-5 candy canes, , crushed",NA,NA,NA,NA,NA
Lace Cookies,Lauren Allen,4.67,3,Dessert,20 minutes,7 minutes,Resting Time: 20 minutes mins,Total: 47 minutes mins,34 sandwich cookies,6,"Prep: Preheat oven to 350°F. Line 2 baking sheets with Silpat liners.
Grind Almonds: Add almonds to a food processor and pulse several times until the texture of breadcrumbs (but not so much that you make almond butter!)
Make Batter: Heat butter, brown sugar, and honey in a saucepan until melted. Transfer to a mixing bowl and stir in flour, vanilla, and almonds. Allow cookie batter to rest for 5 minutes.
Bake: Drop rounded 1 teaspoons of batter, 3 inches apart, on prepared baking sheets. Bake for 7-8 minutes until golden brown, watch them close so they don't over-bake!.
Cool: Lift the Silpat with cookies up and off the hot baking sheet and onto your counter to cool (to stop them cooking!). Once cooled off, transfer to wire rack.
Assemble: Melt chocolate in the microwave or double boiler. Allow chocolate to cool for about 15-20 minutes. Then spoon a thick layer of chocolate onto a cookie, sandwich gently with another cookie.  Allow to set.",7,▢ 1 ½ cups whole almonds,▢ ½ cup salted butter,▢ ¾ cup light brown sugar,▢ ¼ cup honey,▢ 5 Tablespoons all-purpose flour,▢ 1 teaspoon vanilla extract,▢ 12 oz semi-sweet chocolate*,Tastes Better from Scratch,https://tastesbetterfromscratch.com/lace-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Snickerdoodles,Lauren Allen,4.96,68,Dessert,10 minutes,10 minutes,Refrigerate: 10 minutes mins,Total: 30 minutes mins,NA,6,"Preheat oven to 375 degrees F. Line a baking tray with parchment paper or silpat liner.
Combine wet ingredients: Mix together butter and shortening until smooth. Add granulated sugar and brown sugar and cream together for a few minutes, until light and fluffy. Mix in egg, pumpkin, and vanilla.
Add dry ingredients: Add the flour, pumpkin pie spice, cream of tartar, baking soda, and salt and stir until combined.
Refrigerate dough for 10 minutes. Meanwhile, in a separate small bowl mix ¼ cup granulated sugar and 1 Tablespoon ground cinnamon. Roll dough into 24 dough balls.
Roll dough balls in cinnamon sugar. Place on baking sheet, 2 inches apart. Using the palm of your hand or bottom of a glass, lightly flatten each cookie dough ball.
Bake 8 to 10 minutes (don't over bake!) Remove immediately to a cooling rack to cool completely.",14,"▢ 3/4 cup butter, , softened",▢ 1/4 cup shortening,▢ 3/4 cups granulated sugar,▢ ¾ cups light brown sugar,▢ 1 large egg,"▢ ½ cup pumpkin puree, canned, or homemade",▢ 2 teaspoons vanilla extract,Tastes Better from Scratch,https://tastesbetterfromscratch.com/pumpkin-snickerdoodles/,▢ 3 cups all-purpose flour,▢ 3 teaspoons pumpkin pie spice,▢ 2 teaspoons cream of tartar,▢ 1 teaspoon baking soda,▢ 1/2 teaspoon salt,"▢ ¼ cup granulated sugar, , for rolling the dough balls","▢ 1 Tablespoon ground cinnamon, , for rolling the dough balls",NA,NA,NA,NA,NA
Pistachio Chocolate Chip Cookies,Lauren Allen,4.67,3,Dessert,10 minutes,12 minutes,Cooling: 10 minutes mins,Total: 32 minutes mins,18 cookies,9,"Chop Pistachios: Add half of the pistachios (&frac13; cup) to a food processor and pulse into fine crumbs. Set aside. Pulse remaining &frac13; cup just a few times, to chop them. Set aside.
Melt butter just until barely melted. Set aside to cool to room temperature.
Dry Ingredients: Combine flour, baking soda and salt in a small bowl and set aside.
Wet Ingredient: Mix melted butter and both sugars until well combined. Add egg, egg yolk, and vanilla and stir until combined. Stir in pistachio crumbs.
Combine: Add dry ingredients and stir to combine. Stir in most of the pistachios pieces and chocolate–I like to reserve some for topping on the baked cookies hot out of the oven.
Chill: The dough will be soft. Refrigerate it for at least 30 minutes or up to 2 days (or freeze for longer).
Bake: Heat oven to 350 degrees F. Line a baking sheet with parchment paper or a silpat baking mat. Divide dough into 18 balls (about 60 grams each) and place on a cookie sheet 2 inches apart. Bake for 10-14 minutes or until set on top.
Garnish: Immediately out of the oven add a few chocolate pieces in each, sprinkle with pistachio, and a tiny pinch of flake salt.
Cool for 10-15 minutes on the baking sheet before moving to a wire cooling rack.",12,"▢ 2/3 cup shelled pistachios, , divided (70g, 2.5oz)","▢ 2 cups + 2 Tablespoons all-purpose flour , (270g)","▢ 1/2 teaspoon baking soda , (2.5g)","▢ 1/2 teaspoon kosher salt , (2.5g)","▢ 12 Tablespoons unsalted butter (1 ½ sticks) , , melted and cooled until warm (170g)","▢ 1 cup light brown sugar , (200g)","▢ 1/2 cup granulated sugar , (100g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/pistachio-chocolate-chip-cookies/,▢ 1 large egg,▢ 1 large egg yolk,"▢ 2 teaspoons vanilla extract , (10ml)","▢ 1 1/2 cups chopped semi-sweet chocolate, , or chocolate chips (I use half of each) (260g)","▢ Flake salt, , for garnish",NA,NA,NA,NA,NA,NA,NA
Cookie Dough Truffles,Lauren Allen,4.52,31,Dessert,45 minutes,NA,NA,Total: 45 minutes mins,20 truffles,4,"Cookie Dough: In a mixing bowl beat together the butter, brown sugar, 1 teaspoon of milk and vanilla. Stir in the heat treated* flour and salt, just until combined. Add another splash of milk, if need to make a softer cookie dough. Stir in mini chocolate chips. 
Roll into balls: Grease your hands with cooking spray then roll the dough into 20 small balls. Refrigerate for 30 minutes, or freeze for 15 minutes.
Melt Chocolate: When the dough is firm, melt the chocolate chips in the microwave at 50% power, stirring every 30 seconds until smooth. 
Dip: Drop a cookie dough ball into the melted chocolate and turn to coat. Lift it up onto the fork and allow excess chocolate to drip off through the tines of the fork. Place on parchment paper. Repeat with remaining dough balls. Refrigerate until chocolate is set. ",8,"▢ 1/3 cup butter, (76g), softened","▢ 1/3 cup light brown sugar, (73g)",▢ 1 1/2 teaspoons vanilla extract,"▢ 1 cup all-purpose flour, (125g), heat treated*",▢ pinch salt,"▢ 1-2 teaspoons milk, (as needed)","▢ 1/2 cup mini chocolate chips, (85g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-chip-cookie-dough-truffles/,"▢ 12 oz high quality chocolate*, (340g), like callebaut, Baker's or Ghirardelli, or use chocolate almond bark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Sandwich Cookies,Lauren Allen,5,1,Dessert,30 minutes,10 minutes,Refrigeration: 30 minutes mins,Total: 1 hour hr 10 minutes mins,NA,7,"Chocolate cookies: Mix flour, cocoa powder, baking soda, and salt in a bowl. In a separate bowl mix butter and sugars until well creamed together. Mix in egg and vanilla extract. Mix in dry ingredients until combined. 
Refrigerate dough for 30 minutes.
Preheat oven to 350 degrees F. Line baking sheets with parchment paper.
Roll dough into small, 2 teaspoon sized balls (about 30 cookies). Press down lightly on the top of the balls to slightly flatten. 
Bake for 6-8 minutes. Cool 5 minutes on baking sheet, then remove to cooling rack to cool completely before frosting.
Peppermint frosting: Mix butter and cream cheese until smooth. Add powdered sugar and peppermint extract and mix for 2-3 minutes.
Assemble: Add small spoonful of filling onto inside of cooled cookie. Sandwich with another cookie, pressing gently until frosting peeks through. Dip outsides of cookie in crushed candy canes.",14,"▢ 1 1/4 cups all-purpose flour, (156 grams)","▢ 1/2 cup unsweetened cocoa powder, (43 grams)","▢ 1 teaspoon baking soda, (5 g)",▢ 1/8 teaspoon salt,"▢ 1/2 cup butter, , room temperature (113 grams)","▢ 3/4 cup granulated sugar, (150 grams)","▢ 1/4 cup light brown sugar, , packed (55 grams)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/peppermint-sandwich-cookies/,▢ 1 large egg,"▢ 1 teaspoon vanilla extract, (5 ml)","▢ 1/4 cup butter, (57 grams)","▢ 4 oz cream cheese, (113 grams)","▢ 1 3/4 cups powdered sugar, (220 grams)","▢ 1 teaspoon peppermint extract, (5 ml)","▢ candy canes, , crushed",NA,NA,NA,NA,NA
Spider Cookies,Lauren Allen,4.49,27,Dessert,20 minutes,10 minutes,NA,Total: 30 minutes mins,NA,6,"Preheat oven to 350 degrees F.
Make Cooking Dough: In a medium bowl mix together flour, salt, and baking soda. In a separate large mixing bowl beat the butter and sugars together with an electric mixer until well blended. Add the egg, egg yolk, and vanilla. Stir in the dry ingredients and mix until just combined. Gently stir in ¾ cup chocolate chips. The dough will be soft.
Bake: Scoop dough into balls and place on a parchment lined cookie sheet. Bake for 10-12 minutes. 
Add chocolate chips on top: Remove from oven and place 3-4 chocolate chips into the tops of each cookie, point side up.
Melt Chocolate: Add remaining chocolate chips to a microwave safe bowl and microwave, on low power, stirring every 30 seconds, until melted. 
Draw Spider legs: Spoon the melted chocolate into a ziplock bag. Use scissors to cut the smallest slit from one of the corners (you want the hole to be very small to make your spider legs). Squeeze the melted chocolate through the small hole, next to the chocolate chips on top of the cookie, to make 8 spider legs.",10,▢ 2 cups + 2 Tablespoons all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,"▢ 12 Tablespoons butter, , melted and cooled until warm",▢ 1 cup light brown sugar,▢ 1/2 cup granulated sugar,▢ 1 large egg,Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-chip-spider-cookies/,▢ 1 large egg yolk,▢ 2 teaspoons vanilla extract,"▢ 2 cups semi-sweet chocolate chips, , divided",NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Cake,Lauren Allen,5,2,Dessert,20 minutes,35 minutes,NA,Total: 55 minutes mins,12 servings,7,"Preheat oven to 350 degrees F.
Melt Butter: Add butter to a microwave safe bowl and microwave for about 45 seconds, or until most of it has melted. Allow it to cool for a few minutes.
Make cookie dough: Add melted butter, granulated sugar and brown sugar to a medium bowl and beat with an electric mixer until well blended. Add the egg, egg yolk, and vanilla and mix until combined. Stir in the flour, baking soda, and salt, just until combined. Gently stir in the chocolate chips.
Bake: Press the cookie dough into a 9'' springform pan or lined round cake pan.
Bake for 35-40 minutes. (Cover with a tent of aluminum foil if the top is browning too much). Allow to cool for at least 15  minutes before removing from pan. Cool completely before frosting.
Frosting: In a medium bowl, use an electric hand mixer to mix butter for 30 seconds. Add remaining ingredients and mix for a few minutes, until well-combined and fluffy. Add more milk, to thin, or powdered sugar to thicken, as needed, for a good frosting consistency.
Decorate: Pipe large chocolate swirls around the top outer edge of the cookie (I like the Wilton 1M or 2D piping tips). Add sprinkles.",16,"▢ 12 Tablespoons melted butter, , cooled until warm (¾ cup) (170g)","▢ 1 cup light brown sugar, (200g)","▢ 1/2 cup granulated sugar, (100g)",▢ 1 large egg,▢ 1 egg yolk,"▢ 2 teaspoons vanilla extract, (10 ml)","▢ 2 cups + 2 Tablespoons all-purpose flour, (265g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/cookie-cake/,"▢ 1/2 teaspoon baking soda, (2.5g)","▢ 1/2 teaspoon salt, (2.5g)","▢ 1 1/2 cups semi-sweet chocolate chips, , (I use half semi-sweet and milk chocolate)(225g)","▢ 4 Tablespoons butter, , room temp (57 grams)","▢ 1 cup powdered sugar, (120 grams)","▢ 1/4 cup unsweetened cocoa powder, (20 grams)","▢ 1 1/2 teaspoons milk, , or more if needed plus more as needed (7.5 ml)",▢ 1 splash vanilla extract,▢ rainbow sprinkles,NA,NA,NA
Oatmeal Creme Pies,Lauren Allen,5,3,Dessert,15 minutes,10 minutes,Refrigerate: 30 minutes mins,Total: 55 minutes mins,NA,8,"Line baking trays with parchment paper or silpat liners.
Wet ingredients: Add butter to a large mixing bowl or stand mixer and beat until smooth. Add sugars and mix together until creamed, light and fluffy, about 2-3 minutes. Add eggs and vanilla extract and mix until combined.
Dry Ingredients: In a separate bowl stir together oats, flour, baking soda, salt, and cinnamon. 
Combine: Add to the wet mixture and mix until combined.
Chill: Cover dough and chill in the refrigerator for 30 minutes (or up to 2 days). Preheat oven to 350 degrees F.
Bake: Scoop dough into 1 Tablespoon-size balls, about 20 grams each (I use a 1-inch cookie scoop. Place on prepared baking sheets 2-inches apart. Bake for about 10 minutes, or until edges are lightly golden. Allow to cool on baking sheets for 10 minutes before moving to a cooling rack.
Cream filling: Mix butter with electric mixers until smooth. Add powdered sugar and 2 Tablespoons cream or milk, vanilla and mix for 2 minutes. Add a little more milk, if it’s too thick. Mix for 2 more minutes until very light and creamy.
Assemble: Scoop a small dollop of frosting onto the bottom of one cookie. Press a second cookie on top, to sandwich together.",14,"▢ 1 cup unsalted butter, , room temp","▢ 1 cup light brown sugar, , firmly packed",▢ ½ cup granulated sugar,"▢ 2 large eggs, , room temp",▢ 1 teaspoon vanilla extract,▢ 3 cups quick oats*,▢ 1 ¾ cup all-purpose flour,Tastes Better from Scratch,https://tastesbetterfromscratch.com/oatmeal-creme-pies/,▢ 1 teaspoon baking soda,▢ 3/4 teaspoon kosher salt,▢ ¾ teaspoon ground cinnamon,"▢ 1/2 cup butter, , room temp",▢ 2 1/2 cups powdered sugar,"▢ 2-3 Tablespoons cream, , or milk",▢ 1 teaspoon vanilla extract,NA,NA,NA,NA,NA
Chocolate Crinkle Cookies,Lauren Allen,4.84,18,Dessert,20 minutes,15 minutes,Chill Dough:: 2 hours hrs,Total: 2 hours hrs 35 minutes mins,18 cookies,8,"Melt Chocolate: Add butter and chocolate to a microwave safe bowl and microwave on low power, in 20 second intervals, stirring, until melted and smooth. Set aside.
Whisk dry ingredients in a bowl: flour, cocoa powder, baking powder, salt.
Wet Ingredients: In a mixing bowl combine oil and sugars. Mix in eggs. Mix in sour cream and vanilla. 
Combine: Mix in melted chocolate to wet ingredients. Stir in dry ingredients, just until combined. Fold in mini chocolate chips.
Chill dough in the fridge for at least 2 hours, or overnight.
Preheat oven to 325 degrees F. Line baking sheets with parchment paper. 
Prep Cookies: Scoop two heaping tablespoon size balls of cookie dough (should make 18 cookies). Add granulated sugar and powdered sugar to separate small bowls. Roll dough balls in the granulated sugar, and then powdered sugar and place on a baking sheet, 2 inches apart.
Bake for about 14-18 minutes, or until the tops are cracked and no longer look/feel doughy. Remove from oven and cool completely on the baking sheet.",15,"▢ 8 oz dark chocolate, , chopped (60% cocoa) (226 g)","▢ ½ cup unsalted butter, , cut into chunks (113 g)","▢ 1 3/4 cups all-purpose flour, (219 g)","▢ 3 Tablespoons unsweetened cocoa powder, (15 g)","▢ 1 ¼ teaspoon baking powder, (5 g)","▢ 1/2 teaspoon kosher salt, (3 g)","▢ 3 Tablespoons oil, , vegetable or canola (45 ml)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/chocolate-crinkle-cookies/,"▢ 1/2 cup light brown sugar, , packed (110 g)","▢ 1/3 cup granulated sugar, (67 g)",▢ 3 eggs,"▢ ¼ cup sour cream, (60 g)","▢ 1 teaspoon vanilla extract, (5 ml)","▢ 1 cup mini chocolate chips, (170 g)","▢ ½ cup powdered sugar, (60 g)","▢ ½ cup granulated sugar, (100 g)",NA,NA,NA,NA
Biscoff Cookies,Lauren Allen,5,8,Dessert,20 minutes,12 minutes,NA,Total: 32 minutes mins,NA,9,"Preheat oven to 375 degrees F. Line a baking sheet with parchment paper.
Scoop cookie butter: Line a plate or second small baking sheet with a small piece of parchment paper. Measure out 1 cup of cookie butter to use in cookie dough and set aside. With remaining ½ cup cookie butter, scoop 24 small scoops (about 1 teaspoon size) onto parchment paper and place in the freezer while you make the cookie dough.
Wet ingredients: In the bowl of a stand mixer, add butter, white sugar, and brown sugar then mix for 1 minute. Add 1 cup cookie butter and mix for 2-3 more minutes, until light colored and fluffy. Add eggs, egg yolk, and vanilla then mix until well combined.
Dry Ingredients: Add flour, baking soda, baking powder and salt then mix to combine. Stir in 1 ½ cups white chocolate chips.
Scoop dough into 24 balls, about 3 Tablespoon-size, or 70 grams, if you want to measure with a scale.
Fill: Remove cookie butter scoops from freezer. Press a deep indention into the center of a cookie dough ball and add one of the cold balls of cookie butter. Seal to close, and roll back into a ball. Top each cookie dough ball with a few extra white chocolate chips.  
Refrigerate: Place dough balls on a large plate and refrigerate, covered, for 30 minutes before baking.
Bake cookies on prepared baking sheet, 1’’ apart (I fit 12 to a baker’s half sheet pan) for 12-15 minutes, or until the cookies are no longer shiny on top. Don’t over-bake.
Decorate: Allow cookies to cool on baking sheet for at least 15 minutes before removing to a wire cooling rack. Melt vanilla melting wafers in microwave according to package instructions and drizzle over cookies. Top with biscoff cookie crumbs.",14,"▢ 1 cup unsalted butter, , room temp (227 g)","▢ 1 1/2 cups light brown sugar, (330 g)","▢ 1/2 cup granulated sugar, (100 g)","▢ 14 oz container lotus cookie butter*, , divided (about 1.5 cups cookie butter or speculoos) (400 g)","▢ 2 large eggs, , room temp",▢ 1 egg yolk,"▢ 2 teaspoons vanilla extract, (10 ml)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/biscoff-cookies/,"▢ 3 cups all-purpose flour, (375 g)","▢ 1 teaspoon baking soda, (5 g)","▢ 1 teaspoon baking powder, (5 g)","▢ 1 teaspoon kosher salt, (5 g)","▢ 11 oz bag white chocolate chips, , divided cups (312 g)","▢ 10 Biscoff cookies, , crushed","▢ ½ cup vanilla melting wafers, , or chopped almond bark, melted, for drizzle (optional) (85 g)",NA,NA,NA,NA,NA
Lemon Bars,Lauren Allen,4.83,108,Dessert,15 minutes,30 minutes,NA,Total: 45 minutes mins,NA,6,"Preheat oven to 350 degrees F. Line the bottom of an 8'' pan with parchment paper, or grease with cooking spray and set aside.
Shortbread Crust: In a mixing bowl or the bowl of a stand mixer, cream together the butter and powdered sugar. Add the flour and salt and mix on low speed, just until combined. 
Bake Crust: Press the dough evenly into the bottom of the prepared dish. Bake for 10 minutes. Remove from oven and set aside.
Lemon filling: Mix lemon zest and sugar in a mixing bowl. Add the lemon juice, flour, baking powder, and eggs. Mix until well combined and the sugar is dissolved. Pour mixture over the baked crust.
Bake lemon bars at 350 degrees F for 35-40 more minutes, or until the filling has set. Remove from oven and allow to cool completely. 
Dust with powdered sugar before cutting and serving. Store lemon bars in the refrigerator.",10,"▢ 1/2 cup butter, , room temp",▢ 1/4 cup powdered sugar,▢ 1 cup all-purpose flour,▢ dash of salt,"▢ 2 large lemons, , zested",▢ 2 cups granulated sugar,▢ 1/3 cup fresh lemon juice,Tastes Better from Scratch,https://tastesbetterfromscratch.com/perfect-lemon-bars/,▢ 1/3 cup all-purpose flour,▢ 1 teaspoon baking powder,▢ 4 large eggs,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough,Lauren Allen,4.97,33,Dessert,15 minutes,NA,NA,Total: 15 minutes mins,NA,4,"Add flour to a microwave-safe bowl and microwave on high for 30 seconds. Stir and cook again at 15 second intervals until it reads 160 degrees F on an instant read thermometer. Allow to cool before using.
Add butter, sugar, and brown sugar to a mixing bowl and beat well until creamed together, 2-3 minutes. Add vanilla and 2 Tablespoons of milk and mix.
Stir in flour and salt and mix well until smooth. Add another splash of milk, if the cookie dough is too dry. Stir in chocolate chips. Refrigerate until ready to eat.
Leftover cookie dough will keep in the refrigerator for up to one week or can be frozen for up to 3 months.",8,"▢ 3/4 cup butter, , softened (170 g)","▢ 1/2 cup granulated sugar, (100 g)","▢ 3/4 cup light brown sugar, , firmly packed (150 g)","▢ 2-3 Tablespoons milk, , or dairy-free milk (30-45 g)","▢ 2 teaspoons vanilla extract, (10 ml)","▢ 2 cups all-purpose flour, , heat treated* (or sub gluten-free flour) (250 g)","▢ 1/2 teaspoon salt, (3 g)",Tastes Better from Scratch,https://tastesbetterfromscratch.com/edible-cookie-dough/,"▢ 1 cup semi-sweet or milk chocolate chips, (175 g)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownie Truffles,Lauren Allen,4.77,38,Dessert,20 minutes,30 minutes,NA,Total: 50 minutes mins,35 truffles,6,"Prepare and bake brownies according to recipe instructions. Do not over bake them, as this recipe works best with soft, warm brownies. 
Place a piece of parchment paper on a baking sheet and set aside. 
Form into balls: Once brownies have cooled enough to handle, use a fork to crumble them up, scoop 1 heaping tablespoon into your hands and press together to form into a ball. Should make about 35 balls.
Melt the chocolate chips in a double boiler (I make my own by placing a heat proof bowl over a pot of lightly simmering water), or in the microwave, stirring often until smooth.  
Coat in chocolate: Drop brownie ball into the bowl of melted chocolate and use a fork to coat it on all sides, then lift up and allow the excess chocolate to drip off into bowl. 
Place on prepared pan and top with sprinkles if desired. Allow to set up at room temperature, or refrigerate for a few minutes until chocolate sets. ",3,"▢ 1 pan Brownies*, baked in a 9×13 inch pan","▢ 3 cups semi-sweet chocolate chips*, , Guittard or Ghirardelli","▢ chocolate spinkles, optional",NA,NA,NA,NA,Tastes Better from Scratch,https://tastesbetterfromscratch.com/brownie-truffles/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caramel Crunch Bars,Lauren Allen,4.92,35,Dessert,15 minutes,5 minutes,NA,Total: 1 hour hr 20 minutes mins,NA,11,"Line an un-greased 9x13 inch baking pan with parchment paper, leaving an overhang on either end. 
Line the parchment paper with one layer of club crackers, cutting them to fit if necessary.
In a large saucepan, melt butter over medium heat. 
Add graham cracker crumbs, brown sugar, granulated sugar and milk. Stir well and bring mixture to a boil — boil for 5 minutes, stirring constantly. (Begin timing 5 minutes from when you see the first bubbles.) 
Remove from heat and spread half of the mixture over crackers and gently smooth it into an even layer. 
Place another single layer of crackers over the top, cutting to fit if necessary. Spread remaining mixture evenly over crackers. 
Top with one more layer of crackers. Set aside.
In a small saucepan, combine peanut butter, chocolate chips, and butterscotch chips. 
Melt over medium-low heat, stirring constantly, until smooth. Spread evenly over top of crackers.
Chill for at least 1 hour. Remove from fridge and allow chocolate to rest for a minute or so before cutting. This will help avoid breaks in chocolate as it's being cut. 
Pull up on the parchment paper to remove them from the pan. Cut into bars. Store in the refrigerator.",9,"▢ 70-80 club crackers, (about 2 full sleeves)",▢ 1 cup butter,"▢ 2 cups graham cracker crumbs, (about 1 ½ full sleeves), crushed","▢ 1 cup light brown sugar, , packed",▢ 1/3 cup granulated sugar,▢ 1/2 cup milk,▢ 2/3 cup creamy peanut butter,Tastes Better from Scratch,https://tastesbetterfromscratch.com/caramel-crunch-bars/,▢ 1/2 cup semi-sweet chocolate chips,▢ 1/2 cup butterscotch chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Swirl Brownies,Lauren Allen,4.80,5,Dessert,15 minutes,30 minutes,Cool: 15 minutes mins,Total: 45 minutes mins,12 brownies,10,"Preheat oven to 350 degrees F.
Add all ingredients for the pumpkin swirl to a bowl and stir well to combine. Set aside.
Melt butter in the microwave and then set aside to cool. 
Sift dry ingredients together in a bowl; flour, sugar cocoa powder, baking powder and salt. 
In another small bowl whisk together the eggs and vanilla. Add mixture to the dry ingredients and gently stir. 
Pour melted and (slight cooled butter) over the top and mix just until combined (don't overmix). 
Pour ¾ of the brownie batter into the bottom of a greased 8x8'' pan and smooth into an even layer. 
Pour the pumpkin mixture on top and smooth into an even layer. 
Spoon remaining brownie batter over the top. Use a butter knife to gently swirl the batter in both directions.
Bake at 350 degrees F for 25- 33 minutes or until the brownies are set and a toothpick inserted into the center comes out clean (or with just a few crumbs). Allow to cool for at least 15 minutes before cutting.",12,▢ 1/2 cup all-purpose flour,▢ 1 cup granulated sugar,▢ 1/3 cup unsweetened cocoa powder,▢ 1/4 teaspoon baking powder,▢ 1/4 teaspoon salt,▢ 2 large eggs,▢ 1 teaspoon vanilla extract,Tastes Better from Scratch,https://tastesbetterfromscratch.com/pumpkin-swirl-brownies/,"▢ 1/2 cup butter, , melted then cooled",▢ 1/4 cup canned pumpkin,▢ 1 large + 1 egg yolk egg,▢ 1 teaspoon vanilla extract,▢ 1/4 teaspoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA
