title,author,datelisted,rating,ratingnum,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,source,link,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21
Carrot Cake Cookies with Cream Cheese Frosting,Anjali,"Apr 2, 2020",NA,NA,10 minutes,10 minutes,NA,Total Time: 20 minutes minutes,Servings: 6 cookies,7,"Preheat oven to 350F and grease a 9x11 baking tray with cooking spray/vegetable oil/butter.
First mix butter and sugar until light and fluffy. This process is called creaming. Now add egg and vanilla essence. Mix for 2 minutes at medium to high speed with a stand mixer or hand mixer.
Use a sifter to sift and add All-Purpose flour, Baking Soda, Baking Powder, Ground Cinnamon, and Ground Nutmeg in our batter.
Add grated carrots and fold them in the batter with a spoon. Mix well.
Cover the cookie dough in a plastic wrap and keep it in the fridge for some time.
Use an ice-cream scoop or your hands to make small cookie dough balls and place them on the baking tray. Bake for 10-12 minutes or until the sides are brown. Let them cool down at the room temperature before transferring to a cooling rack.
Mix cream cheese, pineapple juice, grated carrots, and granulated sugar with a hand mixer or stand mixer for 3-5 minutes until it becomes light and fluffy. Use a spoon to glaze your carrot cake cookies.",15,½ Cup Unsalted Butter softened at room temperature,½ Cup Brown Sugar,1 Whole Egg,½ Teaspoon Vanilla Essence,½ Cup Grated Carrots,1 Cup All-Purpose Flour,½ Teaspoon Baking Soda,½ Teaspoon Baking Powder,Recipe Magik,https://www.recipemagik.com/carrot-cake-cookies-with-cream-cheese-frosting/,½ Teaspoon Ground Cinnamon,½ Teaspoon Ground Nutmeg,3 Teaspoon Milk,2 Oz Cream cheese,2 Tablespoon Pineapple Juice,¼ Cup Granulated Sugar,1 Tablespoon Grated carrots,NA,NA,NA,NA,NA,NA
Cute Easter Chick Oreo Cookies - Easy Peasy Easter Treat,Anjali,"Mar 26, 2020",NA,NA,5 minutes,10 minutes,2 Hours freezing time: 2 hours hours,Total Time: 2 hours hours 15 minutes minutes,Servings: 7,5,"First, dip the Oreos in Yellow candy melt. Freeze them well until coated or about 1 hour.
Meanwhile, melt the White chocolate chips/candy melts using an oven at 30-second increment. Divide it into 2 parts.
Add black food color in one and orange in other. Mix well to make a smooth mix.
Use a dropper to make the Eyes and nose of your Chick Oreos.
Freeze the Easter Chick Oreo Cookies for 1 hour and they are ready!",5,7 Pieces Oreo Cookies,1 Cup Yellow Candy Melts,½ Cup White Candy Melts or white chocolate chips,Black food color can replace with dark chocolate chips,Orange Food Color Can replace with cut-up Cherries,NA,NA,NA,Recipe Magik,https://www.recipemagik.com/cute-easter-chick-oreo-cookies-easy-peasy-easter-treat/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Easter Bunny Cookies - Cutest Easter Dessert,Anjali,"Mar 24, 2020",NA,NA,10 minutes,10 minutes,0 minutes minutes,Total Time: 20 minutes minutes,Servings: 10 cookies,6,"Preheat oven to 350F and grease a baking tray with cooking spray.
Cream Peanut Butter, Unsalted Butter, and Granulated Sugar until light and fluffy with a hand-held mixer or stand mixer.
Add Vanilla Essence, and egg. Whisk well until the egg is combined.
Add in All-Purpose Flour, Baking Soda, and Baking Powder and fold it lightly.
Make two small discs with the cookie dough - one slightly larger than the other. Stick them both by placing another small disc on the back. Cut out four more oval-shapes. Attach two as ears and rest two as paws. Cut out another tiny ball and dip it in white chocolate. Stick it in place of bunny's tail.
Bake in a pre-heated oven for up to 5-7 minutes.",8,1 Cup All-Purpose Flour,½ Cup Peanut Butter,1 large egg,½ Cup Granulated Sugar,¼ Cup Unsalted Butter,½ Teaspoon Vanilla Essence,½ Teaspoon Baking Powder,½ Teaspoon Baking Soda,Recipe Magik,https://www.recipemagik.com/peanut-butter-easter-bunny-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter Egg Peanut Butter Cookie Dough Truffles,Anjali,"Mar 21, 2020",NA,NA,10 minutes,10 minutes,NA,Total Time: 20 minutes minutes,NA,9,"Use a hand mixer to mix brown sugar, butter, peanut butter, and confectioner's sugar.
Now sift all-purpose flour into the mixture and mix well until it forms a crumbly kind of texture.
Roll it out and make small Easter Egg shapes with your kitchen knife or egg-shaped cookie cutter or plastic Easter Egg-shaped toys.
Let them bake in a preheated oven for 5-7 minutes and bring them to room temperature.
Melt white chocolate in a double boiler or in a microwave oven by stirring every 30 seconds until it gets creamy and smooth.
Add oil or butter to make it smooth and divide it in three parts.
Add Yellow, Blue and Pink food color individually and mix it well.
Now use a piping bag or a spoon to drizzle this colored chocolate over your Easter Egg Peanut Butter cookie dough truffles.
Let them freeze for a while and enjoy!",10,½ Cup Peanut Butter,½ Cup Butter Unsalted,1 Cup Brown Sugar,½ Cup Confectioner's Sugar,1 Cup All-Purpose Flour,3.5 Oz White Chocolate,1 Cup Butter unsalted,1 Drop Yellow Gel Food Color,Recipe Magik,https://www.recipemagik.com/easter-egg-peanut-butter-cookie-dough-truffles/,1 Drop Pink Gel Food Color,1 Drop Blue Gel Food Color,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Chocolate Chip Cranberry Oatmeal Cookie Bars,Anjali,"Mar 20, 2020",NA,NA,10 minutes,20 minutes,NA,Total Time: 30 minutes minutes,Servings: 8 bars,11,"Preheat oven to 350F and grease a 9x11 baking tray with cooking spray.
Cream butter, brown sugar, and granulated sugar until light and fluffy.
Add Yogurt, some vinegar, and vanilla essence into the mix.
Add flour, cornstarch, baking soda, and baking powder after sieving it in another bowl.
Lightly fold this into the wet ingredients and add cranberries and white chocolate chips.
Bring it all together and keep the cookie dough in the fridge overnight or for at least 2 hours.
Bring the dough to room temperature and roll it out with a rolling pin.
Make small squares or rectangles and put them on the baking tray.
Let them bake at 220C or 420F for 20 minutes or until a toothpick inserted in the center comes out clean.
Let them cool down and then take them out.
Enjoy!",14,½ Cup Unsalted Butter,½ Cup Brown Sugar,¼ Cup Granulated Sugar,1 Teaspoon Vanilla Essence,½ Tablespoon Thick Greek Yogurt,½ Teaspoon Vinegar,1 Cup All-Purpose Flour,1 Cup Old Fashioned Rolled Oats,Recipe Magik,https://www.recipemagik.com/white-chocolate-chip-cranberry-oatmeal-cookie-bars/,½ Teaspoon Cornstarch,½ Teaspoon Baking Soda,½ Teaspoon Baking Powder,1 Pinch Sea Salt,1 Cup Dried Cranberries,½ Cup White Chocolate Chips,NA,NA,NA,NA,NA,NA,NA
Chewy Oatmeal Cranberry White Chocolate Chip Cookies,Anjali,"Mar 18, 2020",NA,NA,15 minutes,10 minutes,NA,Total Time: 25 minutes minutes,Servings: 20 cookies,13,"Preheat oven to 350F and grease a 9x11 baking tray with cooking spray. Line it with parchment paper for easy cleanup.
Cream butter, brown sugar, and granulated sugar for 3 minutes at medium to high speed using a hand mixer or stand mixer until light and fluffy.
Add Vanilla Essence, Yogurt, and Vinegar and mix well.
Sieve flour, cornstarch, baking soda, baking powder, and salt into your wet ingredients.
Use a wooden spoon or silicon spatula to fold the ingredients until all are well mixed.
To this add one cup of dried cranberries with white chocolate chips and lightly fold it into the cookie batter.
Chill the dough after covering it in a plastic wrap overnight or for 2 hours.
Take them out and bring the dough to room temperature. Make small 1-inch balls out of cookie dough and press them softly just a little with your palm. Do not make it too flat or thin.
Bake in a preheated oven at 350F for 10-12 minutes.
At 8 minute mark take out your cookies and press in some more white chocolate chips over your cookies.
Bake for the remaining 2-3 minutes in that same preheated oven.
Let them stay in the oven for at least 10 minutes before transferring them to a cooling rack.
Enjoy with a glass of milk!",14,½ cup Unsalted Butter,½ Cup Brown Sugar,¼ Cup Granulated Sugar,½ Teaspoon Vanilla Essence,½ Tablespoon Thick Greek Yogurt,½ Teaspoon Vinegar,1¼ Cup All-Purpose Flour,1 Cup Old-fashioned rolled Oats,Recipe Magik,https://www.recipemagik.com/oatmeal-cranberry-white-chocolate-chip-cookies/,1 Teaspoon Cornstarch,½ Teaspoon Baking Soda,½ Teaspoon Baking Powder,1 Pinch Sea Salt,1 Cup Dried Cranberries,½ Cup White Chocolate Chips,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Oatmeal Cookies,Anjali,"Mar 5, 2020",5,1,15 minutes,15 minutes,NA,Total Time: 30 minutes minutes,Servings: 20 cookies,11,"Preheat oven to 350F and line your baking tray with parchment paper or a silicone mat.
First cream peanut butter, sugar, and some salted butter in a bowl. Use a hand mixer and whisk well for at least 2-3 minutes at medium speed or until its fluffy.
Throw in egg and vanilla essence and beat well.
In a separate bowl mix refined flour, baking soda, baking powder, nutmeg powder, cinnamon powder and a pinch of salt.
Now, add rolled oats and some peanuts into your dry ingredients.
Finally, add these dry ingredients into your wet ingredients in parts and lightly fold the mixture.
Wrap the dough in a plastic wrap and let it chill for at least 30 minutes or an hour.
Use a cookie scoop to make small cookie balls and place them on your baking sheet. Do not keep them too close. Leave some gap between each cookie ball.
Do not tap the cookies. Let them be fluffy. It will make your cookies tall.
Bake them for at least 10-13 minutes or unless a toothpick comes out clean.
Let them cool in a cooling rack for 10 minutes.",14,½ Cup Peanut Butter,¼ Cup Salted Butter,½ Cup Light Brown Sugar,¼ Cup White Sugar powdered,1 large Egg,1 teaspoon Vanilla Essence,1 Cup Refined Flour,½ Cup Old Fashioned rolled oats,Recipe Magik,https://www.recipemagik.com/healthy-oatmeal-peanut-butter-cookies/,½ teaspoon Baking soda,½ teaspoon Baking Powder,1 pinch Salt,1 teaspoon Nutmeg powdered,1 teaspoon Cinnamon powdered,½ Cup Chopped Peanuts,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Chip Cookies,Anjali,"Feb 25, 2020",NA,NA,10 minutes,15 minutes,NA,Total Time: 25 minutes minutes,Servings: 10 Pieces,11,"First, take the brown sugar and granulated sugar. Cream it with Butter. Whisk for 2 to 3 minutes in high speed with a hand blender. You can add 2 spoons of Milk as well. It'll ease the process.
Now, you will have to slowly start adding your flour. Add the flour in small batches and keep folding it with the wet mixture.
Do not overmix the flour. Just give it a stir and lightly fold it with the wet ingredients so that it gets well incorporated.
Now ad in the Mint Extract along with a drop of Green food color.
Now add Baking Soda, a Pinch of Salt and Vinegar. Whisk all of this for 2 minutes at low to medium speed, until you get a dough.
Now throw in some Chocolate Chips and Mix it with a wooden spoon
Refrigerate the Cookie dough for 30 minutes. After you get the cookie dough out, it should have a tight doughie consistency.
Use a Cookie Scoop to scoop out your cookies and place the cookies in a greased cookie tray lined with Parchment paper. Do not grease the Parchement Paper as this will flatten your cookies.
Bake these Mint Chocolate Chip Cookies at 350F for 13 minutes.
Allow the cookies to stay in the oven for 5 minutes and then take them out on the cooling rack.
Enjoy the Mint Chocolate Chip Cookies with a glass of warm milk.",10,½ Cup Unsalted Butter (room temp.),¼ Cup Brown Sugar,2 tablespoon Granulated Sugar,½ tablespoon Mint Extract,1 tablespoon Vinegar,1 Drop Green Food Color,½ Cup Refined Flour,½ teaspoon Baking Soda,Recipe Magik,https://www.recipemagik.com/mint-chocolate-chip-cookies/,1 Pinch Salt,½ Cup Dark Semi-Sweet Choco Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthy Double Chocolate Walnut Oatmeal Cookies - Eggless, Sugar-Free, Flourless Cookies",Anjali,"Feb 25, 2020",NA,NA,5 minutes,14 minutes,5 minutes cooking time: 5 minutes minutes,Total Time: 24 minutes minutes,NA,4,"First, mix the Cocoa Powder with Chocolate Chips and heavy cream. Also, throw in the chopped walnuts and whisk it well until all gets well combined.
To this sieve Oats flour along with baking soda
Add in the Vinegar, Yogurt, and Oil. Whisk everything well with a handheld mixer until you get lumpy cookie dough.
Place cookie dough balls in a lined baking tray and bake at 350 F for 12 minutes. After 12 minutes, use a spoon to press the top and continue baking for a further 2 minutes. Allow the cookies to stay in the hot oven for 5 more minutes before you get them out on the cooling rack.",9,1 Cup Oats flour Old fashioned rolled Oats,1 Cup Dark Cocoa Powder,1 Cup Semi-Sweet Chocolate Chips,¼ Cup Chopped Walnuts,1 Cup Heavy Cream Optional,1 teaspoon Baking Powder,1 Cup Vegetable Oil Can use Coconut Oil for a healthier option,2 teaspoon Greek Yogurt Can replace with Sour cream,Recipe Magik,https://www.recipemagik.com/healthy-double-chocolate-walnut-oatmeal-cookies/,1 teaspoon White Vinegar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cute & Soft Easter Thumbprint Cookies,Anjali,"Feb 23, 2020",NA,NA,10 minutes,7 minutes,NA,Total Time: 17 minutes minutes,Servings: 8 Cookies,15,"Pre Heat your Oven to 375 F
In a mixing bowl, mix together Flour, Baking soda and Baking Powder
In another mixing Bowl, whisk Butter and Sugar for 4-5 minutes using a hand held mixer at high speed.
Sieve the dry ingredients into the wet mixture and fold it with a wooden or silicon spatula
To this add Vinegar, Yogurt and Vanilla Essence
Whisk this mixture using a hand held blender for2-3 minutes or until cookie dough is formed.
Line a 11*8 Baking tray with Parchment paper.
Use your palms to make small sized balls of the cookie dough and place it on the baking tray
Bake your cookies for 7 minutes and 375F
Melt chopped dark chocolate with Butter on a double boiler.
Stir well using a wooden or silicon spatual untill all are well combined
After 7 minutes of baking the cookies allow them to be in the oven for an additional 5 minutes.
Take out the cookies and use your thumb to make small thumbprint over the cookies
Fill the holes with some chocolate ganache
To this place one small M&Ms and allow the cookies to chill",11,1 Cup Brown Sugar,½ Cup Butter Room Temperature,½ teaspoon White Vinegar,1 teaspoon Yogurt,½ teaspoon Vanilla Essence,1 Cup Refined flour,½ teaspoon Baking Soda,½ teaspoon Baking Powder,Recipe Magik,https://www.recipemagik.com/cute-soft-easter-thumbprint-cookies-recipe/,¼ Cup Chopped Dark Chocolate,¼ Cup Butter,8 Pieces Colorful M&Ms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easter M&M Chocolate chip Cookies,Anjali,"Feb 20, 2020",NA,NA,10 minutes,15 minutes,0 minutes minutes,Total Time: 25 minutes minutes,Servings: 6 cookies,10,"Preheat your oven to 190C or 370F and line your baking tray with parchment paper.
First cream melted butter, brown sugar, and powdered sugar for 5 minutes or until light and fluffy with a stand mixer or a handheld mixer.
Add egg and vanilla essence and whisk well for another 1-2 minutes.
Sieve the dry ingredients - (refined flour, baking soda, baking powder, and cornstarch) with a siever and add them to your wet ingredients.
Whisk well until everything is combined.
Add M&M, Rainbow Sprinklers and Chocolate Chips into the cookie dough and lightly fold them into the batter. Your batter should not be very moist. It should be dry and soft.
Chill the cookie dough after wrapping it with a plastic sheet for 30-minutes.
Bake your cookies for 10-12 minutes.
Take them out and keep them on a cooling rack.
Once they are at room temperature you can serve it with a glass of milk.",12,¼ cup Butter both salted and unsalted works,½ cup Brown Sugar,¼ cup Granulated sugar,1 large Egg,1 teaspoon Vanilla Essence,1 Cup All Purpose Flour,½ teaspoon Baking Soda,½ teaspoon Baking Powder,Recipe Magik,https://www.recipemagik.com/easter-mm-chocolate-chip-cookies-eggless/,2 tablespoon Cornstarch,½ Cup M&M,⅓ Cup Sprinklers,¼ Cup Dark Unsweetened Chocolate Chips,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Cookies with White Chocolate Chips,Anjali,"Feb 6, 2020",NA,NA,15 minutes,12 minutes,NA,Total Time: 27 minutes minutes,Servings: 20 cookies,14,"Preheat oven to 350F and grease a 9x11"" baking tray with cooking spray and line with silicone mat or parchment paper.
Add the Butter and Sugar in a large mixing bowl. Cream the Butter and sugar using a stand mixer or handheld mixer until light and fluffy.
Add Egg, Vanilla Extract, Nutella, Milk and mix it well into the batter.
Sieve the dry ingredeints - Flour, Baking soda, Cocoa powder into the wet ingredients in parts and mix just enough with a hand blender or stand mixer.
Fold Dark Semi-Sweet chocolate chips into the cookie dough and cover it with a plastic wrap. Let it chill for 2 hours or over-night in the refrigerator.
Take it out and let it come back to room temperature.
Use an ice-cream scoop to make small balls and place them on a baking tray lined with parchment paper.
Keep at least a 2-inch gap between each ball. Make sure you make a small 1-inch ball.
Bake for 10 minutes and let it chill in the oven for 5 minutes.
Take them out and let them chill in the baking tray for additional 30-minutes
Now, place them on a cooling rack and let them chill at room temperature for additional 30-minutes.
Melt white chocolate in a double boiler. OR Melt White Chocolate Chips with a few drops of coconut oil in the oven at 30 seconds bursts.
Use a spatula to mix melted white chocolate, softened butter with granulated sugar.
When the glaze gets light and fluffy, use a spoon to glaze the cookies.",15,½ cup Butter unsalted,½ cup Brown Sugar,¼ cup Granulated sugar,1 large Egg,½ teaspoon Vanilla Extract,1 Cup Nutella,¼ cup Milk,1½ Cup All-Purpose Flour,Recipe Magik,https://www.recipemagik.com/double-chocolate-nutella-cookies-with-white-chocolate-chips/,½ Cup Cocoa Powder,½ tablespoon Baking Soda,1½ tablespoon Cornstarch,"½ CUP Chocolate Chips dark, semi sweet",4 Oz White Chocolate,½ Cup Butter,¼ Cup Granulated Sugar,NA,NA,NA,NA,NA,NA
Easter Colored Crinkle Cookies,Anjali,"Feb 1, 2020",NA,NA,20 minutes,10 minutes,0 minutes minutes,Total Time: 30 minutes minutes,Servings: 16 cookies,10,"Preheat oven to 350F and grease a baking tray (9*11) with cooking spray.
Mix unsalted butter, brown sugar and granulated sugar with a hand mixer or stand mixer.
Add vanilla essence, egg to the butter-sugar mixture and mix until it becomes light and fluffy.
Sieve all-purpose flour, baking soda, baking powder, cornstarch and salt into the bowl of wet ingredients and mix until just combined. Don't over mix. Just lightly fold with your hands or a spoon or a rubber spatula.
Divide your cookie dough into four equal parts into four separate bowls. Make sure the bowls are clean and dry.
Add individual color in each dough and mix well with a spoon or rubber spatula until you get the color you want. Repeat this with all four colors. (Pink, Purple, Blue, and Yellow)
Take a bowl full of confectioner's sugar and coat your cookie dough balls in the sugar until it looks like a small snowball.
Make medium-sized cookie dough balls.
Bake them in a preheated oven at 350F for 10 minutes.
Let them cool down for 5-6 minutes before transferring them to the cooling rack.",15,½ Cup Unsalted Butter softened (at room temperature),½ Cup Brown Sugar,¼ Cup Granulated Sugar,½ Teaspoon Vanilla Essence,1 large egg,1½ Cup All-Purpose Flour,½ Teaspoon Baking Soda,½ Teaspoon Baking Powder,Recipe Magik,https://www.recipemagik.com/easter-colored-crinkle-cookies/,1 Teaspoon Cornstarch,1 Pinch Salt,3 Drops Pink,3 Drops Blue,3 Drops Yellow,3 Drop each Purple - Mix Pink and Blue,½ Cup Confectioner's sugar,NA,NA,NA,NA,NA,NA
Carrot Cake Chocolate Chip Cookies,Anjali,"Jan 15, 2020",NA,NA,20 minutes,12 minutes,cooling time: 5 minutes minutes,Total Time: 37 minutes minutes,Servings: 6 cookies,5,"preheat oven to 350 degrees F
First in a mixing bowl cream the Butter and Sugar until smooth and creamy. To this mixture add eggs and vanilla essence. Whisk well until combined
Next, sieve the flour along with baking soda and baking powder into the wet mixture and fold it with a spoon.
Add in the chocolate chips, grated carrots, ground cinnamon, ground nutmeg, and milk. Mix everything well using a spoon and make your cookie dough
Bake your cookies at 360F for 12 minutes or until they start to get brown from the sides.",12,1 Cup Brown Sugar,1 Cup Unsalted Butter Melted and at room temperature,2 large Egg,1 Tablespoon Vanilla Essence,2 Cup all-purpose flour,1 Teaspoon Baking Soda,1 Teaspoon Baking Powder,¼ Cup Chocolate Chips,Recipe Magik,https://www.recipemagik.com/carrot-cake-chocolate-chip-cookies/,½ Cup Grated Carrots,1 Pinch Ground Cinnamon,1 Pinch Ground Nutmeg,1 Tablespoon Milk,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keto Peanut Butter Oat Cookies - Gluten Free | Sugar Free | Low-Carb | Eggless,Anjali,"Jan 2, 2020",2.50,2,10 minutes,15 minutes,no resting time required: 0 minutes minutes,Total Time: 25 minutes minutes,Servings: 12 cookies,14,"Put the Oven to Pre Heat at 375 F
Mix the rolled Oats and Almond Flour in a large mixing bowl.
To this add the baking soda along with salt, ground Cinnamon and ground Nutmeg. Whisk until combined.
Melt the Peanut Butter and Maple Syrup in the oven. Microwave for 10-15 seconds and fold until combined.
To this add Vanilla Essence and Vinegar and beat until combined. You can use a hand held mixer or stand mixer or just fold using a silicone spatula.
Mix the dry ingredients with the wet ingredients and use a wooden or silicon spatula to mix it. The cookie dough should be thick and sticky to touch.
Within 10 fold your dough will come together.
Add chopped Almonds and Peanuts at this stage (only if you wish to). You can also put it later over the cookies once these have been baked for like 10 minutes.
Finally make small cookie dough balls using a cookie scooper and put these Keto Peanut butter Oat Cookies in a lined baking dish for baking at 375°F for 12 minutes
After 12 minutes, check the cookies. They should be soft from the top and should start getting brown from the bottom and sides. If the cookies haven't spreaded just tap the top using a spatula so that it begins to spread.
Put the Peanut butter Oats Cookies for baking for another 3 minutes.
Keep it in the oven for another 5 minutes
Take it out on a cooling rack and allow them to cool down
Enjoy your Keto Peanut Butter Oat Cookies with a glass of Milk or Tea.",12,¼ Cup Rolled Oats (can use oats flour as well) use Gluten Free Oats,1 Cup Almond Flour,½ teaspoon Baking Soda gluten free,¼ teaspoon Ground Cinnamon,½ teaspoon Ground Nutmeg,1 Pinch Kosher Salt,¼ Cup Chopped Almonds optional,¼ Cup Chopped toasted Peanuts optional,Recipe Magik,https://www.recipemagik.com/keto-peanut-butter-oat-cookies/,2 Cup Creamy Peanut Butter,1 Cup Maple Syrup,½ teaspoon Vanilla Extract,1 teaspoon White Vinegar or 2 large Eggs (can use egg whites only),NA,NA,NA,NA,NA,NA,NA,NA,NA
Best Christmas Cookies of the season 🍪,Anjali,"Dec 5, 2019",5,3,10 minutes,10 minutes,allow the cookies to rest: 20 minutes minutes,Total Time: 40 minutes minutes,Servings: 12 cookies,0,,14,flour,baking powder,salt,unsalted butter softened,sugar,eggs,pure vanilla extract,almond extract,Recipe Magik,https://www.recipemagik.com/best-christmas-cookies-of-the-season/,powdered sugar,lemon juice,egg whites,M&Ms,Hersheys Kisses,crushed candy canes,NA,NA,NA,NA,NA,NA,NA
Carrot Wafer Cookies,Anjali,"Nov 10, 2019",NA,NA,5 minutes,5 minutes,1 hour hour,Total Time: 1 hour hour 10 minutes minutes,Servings: 4 Cookies,4,"First, melt the candy as per the directions given on the package.
Coat half of your sugar waffle cookies with orange candy melt.
Use a spoon to carefully drizzle green candy melt on the remaining half of the sugar waffle cookies so as to resemble the leaves of your carrot.
Freeze this for 1 hour and take it out right before you're about to serve.",2,1 Pack Sugar Waffle Cookies,1 Pack candy melts orange & green,NA,NA,NA,NA,NA,NA,Recipe Magik,https://www.recipemagik.com/carrot-wafer-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Batter Funfetti Chocolate Chip Easter Cookies (eggless),Anjali,"Nov 5, 2019",5,1,10 minutes,12 minutes,8 minutes minutes,Total Time: 30 minutes minutes,Servings: 8 Cookies,8,"Preheat your oven to 180C or 350 F and line your baking tray with parchment paper.
First cream melted butter, and brown sugar for 3 minutes or until light and fluffy with a stand mixer or a handheld mixer.
Add egg and vanilla essence and whisk well for another 1-2 minutes.
Sieve the dry ingredients - (AP Flour, Baking soda, and Vanilla Cake mix) with a siever and add them to your wet ingredients.
Whisk well until everything is combined.
Add Rainbow Funfetti and Chocolate Chips into the cookie dough and lightly fold them into the batter. Your batter should not be very moist.
Bake your cookies for 10 minutes.
After 10 Minutes, get your cookies out and put in some more chocolate chips and Funfetti on top of the cookies.",9,¼ Cup Butter Softened,1 Cup Brown Sugar,1 large egg,½ teaspoon Vanilla Essence,1 Cup Cake flour,¼ Cup Vanilla Cake Mix (Dry),½ teaspoon Baking Soda,¼ Cup Semi Sweet Choco Chips,Recipe Magik,https://www.recipemagik.com/cake-batter-funfetti-chocolate-chip-cookies-eggless/,¼ Cup Colorful sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mint Chocolate Chip Cookie Dough Balls,Anjali,"Nov 4, 2019",NA,NA,10 minutes,15 minutes,NA,Total Time: 25 minutes minutes,Servings: 13 Pieces,8,"First of all, lets cream the butter, brown sugar and granulated sugar for at least 2-3 minutes on high speed with a hand blender.
Gradually add Refined flour and keep folding the mixture with a spoon. Do not over mix.
Add Mint Extract & Green Food Color into the mix.
Include Baking Soda, Vinegar and a pinch of salt into the batter.
Whisk at low speed for at least 2 minutes or until well incorporated.
Throw in Chocolate Chips into the mixture and lightly fold it.
Use cookie scoop or spoon to make small balls.
Enjoy!",10,½ Cup Unsalted Butter,¼ Cup Brown Sugar,2 tablespoon Granulated Sugar,½ tablespoon Mint Extract,1 Drop Green Food Color,1 tablespoon Vinegar,½ Cup Refined Flour,½ teaspoon Baking Soda,Recipe Magik,https://www.recipemagik.com/mint-chocolate-chip-cookie-dough-balls/,1 Pinch Salt,½ Cup Dark and Semi Sweet Choco Chip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet White Chocolate Chip Cookies,Anjali,"Oct 24, 2019",NA,NA,30 minutes,30 minutes,NA,Total Time: 1 hour hour,Servings: 20,16,"Add Refined Flour in a bowl.
Then add, cocoa powder to it.
Now throw in some baking soda and some salt into the mixture.
Add in 1 1/2 Cups of Brown Sugar and mix well.
Add a cup of softened butter.
Pour in 1/2 teaspoon of Vanilla Essence, milk and eggs into the batter.
Next you have to add in some thick Greek yogurt followed by Red Food color.
Whisk it at medium speed for 1 Minute.
Add Unsweetened Choco chips and white choco chips into the cookie batter.
Mix it well with a spatula and seal the cookie dough in a plastic wrap.
Refrigerate it for 30 Minutes.
Grease a baking tray with Oil/Butter and line it with parchment paper.
Make small cookie balls and place them on the baking tray.
Bake for 13 minutes in a 350F (180C) preheated oven.
After the cookies are baked, push in some choco chips from the top.
Enjoy it with warm milk.",13,4 cup Refined Flour,1/4 cup Cocoa Powder,1 teaspoon Baking Soda,1/2 teaspoon Salt,1/2 cup Brown Sugar,1 cup Softened Butter,1/2 teaspoon Vanilla Essence,1 tablespoon Milk,Recipe Magik,https://www.recipemagik.com/red-velvet-white-chocolate-chip-cookies/,2 qt Eggs,1/2 cup Thick Greek Yogurt,1 teaspoon Red Food Color,1/2 cup Unsweetened Choco Chips,1/2 cup White Choco Chips,NA,NA,NA,NA,NA,NA,NA,NA
Soft Chocolate Chip Cookies,Anjali,"Oct 23, 2019",NA,NA,3 minutes,10 minutes,NA,Total Time: 13 minutes minutes,Servings: 12 cookies,10,"First cream the butter with brown sugar and granulated sugar
Now slowly start adding the all purpose flour.
Do Not Over mix the flour.
Now add in vanilla essence, baking soda, vinegar and salt.
Whisk it for two minutes at a medium speed.
Now throw in a cup of chocolate chips and lightly fold it into the mixture.
Make small cookie balls and place them on a greased baking tray lined with parchment paper.
Preheat your oven to 350F and bake the cookies for at least 13 minutes or until they turn brown from the sides and are firm at the top.
Take them only after 5 minutes of baking and let them cool on the cooling rack.
Enjoy with a glass of milk.",9,1/2 cup Unsalted Butter (room temp.),1/4 cup Brown Sugar,2 tablespoon Granulated Sugar,1/2 teaspoon Vanilla Essence,1 teaspoon Vinegar,1/2 cup All Purpose Flour,1/2 teaspoon Baking Soda,1/2 teaspoon Salt,Recipe Magik,https://www.recipemagik.com/soft-chocolate-chips-cookies/,1/2 cup Unsweetened Chocolate Chip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
