title,author,genre,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,source,link,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26,ingredient27,ingredient28,ingredient29,ingredient30,ingredient31,ingredient32,ingredient33,ingredient34,ingredient35,ingredient36,ingredient37,ingredient38,ingredient39,ingredient40,ingredient41,ingredient42,ingredient43,ingredient44,ingredient45,ingredient46,ingredient47,ingredient48,ingredient49,ingredient50,ingredient51,ingredient52,ingredient53,ingredient54,ingredient55,ingredient56,ingredient57,ingredient58
Cream Cheese Mints Recipe,Becky Hardin,Cookies,4.87,22,45 minutes,0 minutes,15 minutes,105 mints,14,NA,NA,NA,NA,NA,NA,NA," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 2 tablespoons unsalted butter 28 grams, room temperature (¼ stick)", ½ teaspoon kosher salt,The Cookie Rookie,https://www.thecookierookie.com/cream-cheese-mints/, ½ teaspoon pure peppermint extract 2 grams, ½ teaspoon pure vanilla extract 2 grams," 2 pounds powdered sugar 908 grams, plus more for dipping"," Food coloring red, blue, and/or green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Balls Recipe,Becky Hardin,Cookies,4.37,11,30 minutes,0 minutes,1 hour,30 truffles,8," 19.1 ounces Oreo cookies 541 grams, divided (1 package)"," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 8 ounces semi-sweet baking chocolate 227 grams (1 package), use high-quality like Ghirardelli", 8 ounces white baking chocolate 227 grams (1 package),NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/oreo-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreo Balls Recipe,Becky Hardin,Cookies,4.37,11,30 minutes,0 minutes,30 minutes,30 truffles,8,NA,NA,NA,NA," 19.1 ounces Oreo cookies 541 grams, divided (1 package)"," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 8 ounces semi-sweet baking chocolate 227 grams (1 package), use high-quality like Ghirardelli", 8 ounces white baking chocolate 227 grams (1 package),NA,NA,The Cookie Rookie,https://www.thecookierookie.com/oreo-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
How to Grill the Perfect Steak,Becky Hardin,Cookies,4.61,23,20 minutes,15 minutes,35 minutes,4,1, 4 steaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/meat-temperature-chart/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rum Balls Recipe,Becky Hardin,Desserts,5,7,20 minutes,0 minutes,20 minutes,24 balls,7, 11 ounces vanilla wafer cookies 312 grams (1 box)," ¾ cup desiccated unsweetened coconut 85 grams, divided", 2 cups pecans 250 grams, ½ cup powdered sugar 57 grams, ¼ cup unsweetened cocoa powder 21 grams, ¼ cup coconut rum 57 grams, 2 tablespoons maple syrup 39 grams,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/rum-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Kiss Cookies Recipe,Becky Hardin,Desserts,4.67,3,10 minutes,10 minutes,35 minutes,15 cookies,5," 14.5 ounces gingerbread cake and cookie mix 411 grams (1 box), Betty Crocker recommended"," ¼ cup half-and-half 57 grams, room temperature"," 3 tablespoons salted butter 42 grams, room temperature (⅜ stick)", ½ cup raw cane sugar 100 grams, 15 Hershey’s Hugs 68 grams,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/gingerbread-kiss-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Cookies Recipe,Becky Hardin,Desserts,4.15,7,15 minutes,15 minutes,30 minutes,24 cookies,10," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", 1 cup dark brown sugar 213 grams, ½ cup granulated sugar 100 grams," 2 large eggs 100 grams, room temperature", 2 teaspoons pure vanilla extract 8 grams, 1¼ cups All Purpose Flour 204 grams, ½ teaspoon Baking Soda 3 grams, 1 teaspoon kosher salt 3 grams, 3 cups Old Fashioned Rolled Oats 300 grams, 2 cups semisweet chocolate chips 340 grams,The Cookie Rookie,https://www.thecookierookie.com/oatmeal-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gooey Butter Cake Recipe,Becky Hardin,Desserts,5,8,30 minutes,30 minutes,2 hours,18 slices,20, 1 teaspoon instant yeast 3 grams," ½ cup milk 114 grams, warm (100-110°F)"," 8 tablespoons unsalted butter 113 grams, room temperature (1 stick)", ¼ cup granulated sugar 50 grams," 2 large eggs 100 grams, room temperature"," 1 egg yolk 14 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, ½ teaspoon kosher salt, 2 cups all-purpose flour 240 grams, ,The Cookie Rookie,https://www.thecookierookie.com/gooey-butter-cake/," 10 tablespoons unsalted butter 141 grams, melted (1¼ sticks)", 1¼ cup granulated sugar 250 grams, ¼ cup light corn syrup 78 grams, ¼ teaspoon kosher salt," 1 large egg 50 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon almond extract 1 gram, 1 cup all-purpose flour 120 grams," ¼ cup milk 57 grams, room temperature"," ¼ cup powdered sugar 28 grams, for dusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Cookies,Becky Hardin,Desserts,4.76,29,10 minutes,11 minutes,21 minutes,12 cookies,12, 2 cups all-purpose flour 240 grams, 1.5 ounces instant maple and brown sugar oatmeal 43 grams (1 package), 1 teaspoon baking soda 6 grams, ½ teaspoon kosher salt, ½ teaspoon cornstarch," ½ cup unsalted butter 113 grams, room temperature (1 stick)", 1½ cups brown sugar 320 grams, ¼ cup granulated sugar 50 grams," 2 large eggs 100 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams,The Cookie Rookie,https://www.thecookierookie.com/best-chocolate-chip-cookies/, 2 tablespoons half-and-half 28 grams, 1 cup semisweet chocolate chips 170 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Mug Cookie,Becky Hardin,Desserts,4.69,22,5 minutes,1 minute,10 minutes,1,9," 1 tablespoon unsalted butter 14 grams, melted (⅛ stick)", 1 tablespoon granulated sugar 13 grams, 1 tablespoon brown sugar 13 grams, 1 egg yolk 14 grams, ½ teaspoon pure vanilla extract 2 grams, 3 tablespoons all-purpose flour 23 grams, ⅛ teaspoon kosher salt, 2 tablespoons semisweet chocolate chips 21 grams," Vanilla ice cream optional, for serving",NA,The Cookie Rookie,https://www.thecookierookie.com/chocolate-chip-mug-cookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Breakfast Cookies Recipe,Becky Hardin,Desserts,4.84,6,20 minutes,10 minutes,NA,32 cookies,14, 1½ cups all-purpose flour 180 grams, 1½ cups quick-cooking oats 134 grams, 2 teaspoons ground cinnamon 6 grams, 1½ teaspoons baking powder 6 grams, ¼ teaspoon kosher salt," ½ cup unsweetened applesauce 125 grams, room temperature"," ½ cup unsalted butter 113 grams, room temperature (1 stick)", ½ cup granulated sugar 100 grams, ¼ cup brown sugar 53 grams," 1 large egg 50 grams, room temperature",The Cookie Rookie,https://www.thecookierookie.com/breakfast-cookies-chocolate-chip/, 1 teaspoon pure vanilla extract 4 grams," ¾ cup semisweet chocolate chips 128 grams, divided"," ¾ cup raisins 128 grams, divided", 2 tablespoons flaxseeds 18 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Banana Oatmeal Cookies Recipe,Becky Hardin,Desserts,4.66,23,15 minutes,12 minutes,37 minutes,40 cookies,13, 2 bananas mashed," ½ cup unsalted butter 113 grams, slightly melted (1 stick)", 1 cup brown sugar 213 grams, ½ cup granulated sugar 100 grams, 1 tablespoon pure vanilla extract 12 grams, 2½ cups all-purpose flour 300 grams, 1½ cups old-fashioned oats 150 grams, 1 tablespoon cornstarch 7 grams, 2 teaspoons ground cinnamon 6 grams, 1 teaspoon baking soda 6 grams,The Cookie Rookie,https://www.thecookierookie.com/banana-breakfast-cookies/, ½ teaspoon baking powder 2 grams, ½ teaspoon kosher salt," 1¼ cups semisweet chocolate chips 213 grams, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apple Cinnamon Breakfast Cookies Recipe,Becky Hardin,Desserts,4.61,58,20 minutes,10 minutes,40 minutes,30 cookies,12, 1½ cups all-purpose flour 180 grams, 2 cups old-fashioned rolled oats 200 grams, 1 tablespoon ground cinnamon 9 grams, ½ teaspoon baking soda 3 grams, ¼ teaspoon ground nutmeg, ¼ teaspoon kosher salt," ½ cup unsalted butter 113 grams, slightly melted (1 stick)", ¾ cup brown sugar 160 grams, ¼ cup granulated sugar 50 grams," 1 large egg 50 grams, room temperature",The Cookie Rookie,https://www.thecookierookie.com/apple-cinnamon-breakfast-cookies/, 2 teaspoons pure vanilla extract 8 grams," 1 cup finely diced apple 113 grams, peeled (from 1 apple)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Brownie Cookies,Becky Hardin,Desserts,4.67,27,10 minutes,12 minutes,52 minutes,24 cookies,4," 18 ounces brownie mix 510 grams, Ghirardelli Chocolate Supreme recommended (1 box)"," 2 large eggs 100 grams, room temperature"," ¼ cup unsalted butter 57 grams, melted (½ stick)", 1 cup mini M&M’s 177 grams,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/mm-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S’more Brownie Cookies Recipe,Becky Hardin,Desserts,4.67,30,10 minutes,12 minutes,52 minutes,32 cookies,6," 18 ounces brownie mix 510 grams, Ghirardelli Chocolate Supreme recommended", 2 large eggs 100 grams," ¼ cup unsalted butter 57 grams, melted (½ stick)", 1 cup chocolate chips 170 grams, 1 cup mini marshmallows 43 grams, ¼ cup crushed graham crackers 36 grams (from about 2½ cracker sheets),NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/smore-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mocha Cookies Recipe,Becky Hardin,Desserts,4.58,14,15 minutes,10 minutes,1 hour,15 cookies,24, 1¾ cups all-purpose flour 210 grams, ¼ cup unsweetened cocoa powder 21 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon baking powder 2 grams, ⅛ teaspoon kosher salt," ¾ cup unsalted butter 170 grams, room temperature (1½ sticks)", ¼ cup granulated sugar 50 grams, ¼ cup brown sugar 53 grams, 2 ounces espresso 57 grams," 2 large eggs 100 grams, room temperature",The Cookie Rookie,https://www.thecookierookie.com/mocha-cookies/, 1 teaspoon pure vanilla extract 4 grams, 1½ cups espresso baking morsels 255 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mocha Cookies Recipe,Becky Hardin,Desserts,4.58,14,15 minutes,10 minutes,25 minutes,15 cookies,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/mocha-cookies/,NA,NA, 1¾ cups all-purpose flour 210 grams, ¼ cup unsweetened cocoa powder 21 grams, 1 teaspoon baking soda 6 grams, ½ teaspoon baking powder 2 grams, ⅛ teaspoon kosher salt," ¾ cup unsalted butter 170 grams, room temperature (1½ sticks)", ¼ cup granulated sugar 50 grams, ¼ cup brown sugar 53 grams, 2 ounces espresso 57 grams," 2 large eggs 100 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams, 1½ cups espresso baking morsels 255 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cream Pies Recipe,Becky Hardin,Desserts,4.45,29,30 minutes,10 minutes,1 hour,20 sandwich cookies,36," 1 cup unsalted butter 227 grams, room temperature (2 sticks)", ¾ cup brown sugar 160 grams, ¼ cup granulated sugar 50 grams," 2 large eggs 100 grams, room temperature", 2 tablespoons unsulphured molasses 43 grams, 1 teaspoon pure vanilla extract 4 grams, 2½ cups quick-cooking oats 223 grams, 2 cups all-purpose flour 240 grams, 1 teaspoon baking soda 6 grams, 1 teaspoon ground cinnamon 3 grams,The Cookie Rookie,https://www.thecookierookie.com/oatmeal-cream-pies/, ½ teaspoon kosher salt, ⅛ teaspoon ground cloves, ," ½ cup unsalted butter 113 grams, room temperature (1 stick)", 1 cup powdered sugar 113 grams, 1 tablespoon heavy cream 14 grams, 1 teaspoon pure vanilla extract 4 grams, 1 cup marshmallow fluff 128 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Cream Pies Recipe,Becky Hardin,Desserts,4.45,29,30 minutes,10 minutes,10 minutes,20 sandwich cookies,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/oatmeal-cream-pies/,NA,NA,NA,NA,NA,NA,NA,NA," 1 cup unsalted butter 227 grams, room temperature (2 sticks)", ¾ cup brown sugar 160 grams, ¼ cup granulated sugar 50 grams," 2 large eggs 100 grams, room temperature", 2 tablespoons unsulphured molasses 43 grams, 1 teaspoon pure vanilla extract 4 grams, 2½ cups quick-cooking oats 223 grams, 2 cups all-purpose flour 240 grams, 1 teaspoon baking soda 6 grams, 1 teaspoon ground cinnamon 3 grams, ½ teaspoon kosher salt, ⅛ teaspoon ground cloves, ," ½ cup unsalted butter 113 grams, room temperature (1 stick)", 1 cup powdered sugar 113 grams, 1 tablespoon heavy cream 14 grams, 1 teaspoon pure vanilla extract 4 grams, 1 cup marshmallow fluff 128 grams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tie-Dye Cookies Recipe,Becky Hardin,Desserts,4.75,4,45 minutes,10 minutes,1 hour,24 cookies,18," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", ⅔ cup granulated sugar 133 grams," 1 large egg 50 grams, room temperature and lightly beaten", 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon almond extract 1 gram, 2¼ cups all-purpose flour 270 grams, ¾ teaspoon kosher salt, Food coloring," Coarse sanding sugar optional, for topping",NA,The Cookie Rookie,https://www.thecookierookie.com/tie-dye-cookies-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tie-Dye Cookies Recipe,Becky Hardin,Desserts,4.75,4,45 minutes,10 minutes,25 minutes,24 cookies,18,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1 cup unsalted butter 226 grams, room temperature (2 sticks)",The Cookie Rookie,https://www.thecookierookie.com/tie-dye-cookies-butter-cookies/, ⅔ cup granulated sugar 133 grams," 1 large egg 50 grams, room temperature and lightly beaten", 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon almond extract 1 gram, 2¼ cups all-purpose flour 270 grams, ¾ teaspoon kosher salt, Food coloring," Coarse sanding sugar optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spritz Cookies Recipe,Becky Hardin,Desserts,4.78,9,20 minutes,10 minutes,30 minutes,60 cookies,8," 1 cup unsalted butter 226 grams, room temperature (2 sticks)", ⅔ cup granulated sugar 133 grams, 1 teaspoon kosher salt 3 grams," 3 large egg yolks 42 grams, room temperature", ½ teaspoon pure vanilla extract 2 grams, ½ teaspoon almond extract 2 grams, 2½ cups all-purpose flour 300 grams," Sprinkles and sanding sugars optional, for decorating",NA,NA,The Cookie Rookie,https://www.thecookierookie.com/spritz-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cranberry Orange Biscotti Recipe,Becky Hardin,Baking,4.67,6,20 minutes,40 minutes,1 hour,20 biscotti,10," 4 tablespoons unsalted butter 57 grams, room temperature (½ stick)", ½ cup granulated sugar 100 grams," 2 large eggs 100 grams, room temperature", 1 teaspoon pure vanilla extract 4 grams," ¼ teaspoon almond extract 1 gram, optional", 1¼ cups all purpose flour 150 grams, ¼ cup almond flour 24 grams, 1 teaspoon baking powder 4 grams, 1 teaspoon orange zest 2 grams, 1 cup dried cranberries 170 grams,The Cookie Rookie,https://www.thecookierookie.com/cranberry-orange-biscotti/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Splatter Paint Christmas Cookies Recipe,Becky Hardin,Baking,4.15,7,2 hours,12 minutes,22 hours,36 2-inch cookies,32, 1 cup unsalted butter 226 grams (2 sticks), ⅔ cup granulated sugar 133 grams," 1 large egg 50 grams, lightly beaten", 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon almond extract 1 gram, 2¼ cups all-purpose flour 270 grams, ½ teaspoon kosher salt, ¼ teaspoon coarse sea salt, ," ¼ cup light corn syrup 78 grams, divided",The Cookie Rookie,https://www.thecookierookie.com/splatter-paint-christmas-cookies/," ¼ cold water 57 grams, divided", 4 cups powdered sugar 452 grams, ¼ teaspoon pure vanilla extract 1 gram (or almond extract), ," Food coloring white, red, and green", Extra water or vodka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Splatter Paint Christmas Cookies Recipe,Becky Hardin,Baking,4.15,7,2 hours,12 minutes,12 minutes,36 2-inch cookies,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/splatter-paint-christmas-cookies/,NA,NA,NA,NA,NA,NA, 1 cup unsalted butter 226 grams (2 sticks), ⅔ cup granulated sugar 133 grams," 1 large egg 50 grams, lightly beaten", 1 teaspoon pure vanilla extract 4 grams, ¼ teaspoon almond extract 1 gram, 2¼ cups all-purpose flour 270 grams, ½ teaspoon kosher salt, ¼ teaspoon coarse sea salt, ," ¼ cup light corn syrup 78 grams, divided"," ¼ cold water 57 grams, divided", 4 cups powdered sugar 452 grams, ¼ teaspoon pure vanilla extract 1 gram (or almond extract), ," Food coloring white, red, and green", Extra water or vodka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Butter Cookies Recipe,Becky Hardin,Baking,4.61,109,30 minutes,10 minutes,2 hours,42 cookies,24," 1¼ cups unsalted butter 283g, room temperature (2½ sticks)", 1 cup granulated sugar 200g, 1 cup brown sugar 213g," 2 large eggs 100g, room temperature", 1 tbsp pure vanilla extract 12g, ¾ cup unsweetened cocoa powder 63g, 2 cups all-purpose flour 240g, 1¼ tsp baking soda 8g, 1½ tsp espresso powder 4g, 1 tsp kosher salt 3g,The Cookie Rookie,https://www.thecookierookie.com/chocolate-butter-cookies/, ¾ tsp coarse sea salt," colorful nonpareils sprinkles optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Butter Cookies Recipe,Becky Hardin,Baking,4.61,109,30 minutes,10 minutes,40 minutes,42 cookies,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/chocolate-butter-cookies/,NA,NA," 1¼ cups unsalted butter 283g, room temperature (2½ sticks)", 1 cup granulated sugar 200g, 1 cup brown sugar 213g," 2 large eggs 100g, room temperature", 1 tbsp pure vanilla extract 12g, ¾ cup unsweetened cocoa powder 63g, 2 cups all-purpose flour 240g, 1¼ tsp baking soda 8g, 1½ tsp espresso powder 4g, 1 tsp kosher salt 3g, ¾ tsp coarse sea salt," colorful nonpareils sprinkles optional, for topping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Sandwich Cookies Recipe,Becky Hardin,Baking,4.2,10,45 minutes,15 minutes,1 hour,24 sandwich cookies,58," ½ cup unsalted butter 113 grams, room temperature (1 stick)", ½ cup coconut oil 114 grams, 1 cup brown sugar 213 grams, ¾ cup granulated sugar 150 grams, 2 teaspoons kosher salt 6 grams, 1½ teaspoons pure vanilla extract 6 grams," 2 large eggs 50 grams, room temperature", 1¾ cup all-purpose flour 210 grams, ½ cup bread flour 60 grams, 1 teaspoon baking soda 6 grams,The Cookie Rookie,https://www.thecookierookie.com/carrot-cake-sandwich-cookies/, 1 teaspoon baking powder 4 grams, 1½ teaspoons ground cinnamon 5 grams, 1½ teaspoons apple pie spice 5 grams, 1 teaspoon ground ginger 3 grams," 1 cup old-fashioned oats 100 grams, slightly ground", ¾ cup sweetened shredded coconut 64 grams," 3 cups grated carrots 270 grams, from about 9 carrots(2 cups/180 grams yield after squeezing out water)", ¾ cup golden raisins 128 grams, ¾ cup chopped roasted pecans 86 grams, , 1¼ cup powdered sugar 141 grams," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 5 tablespoons unsalted butter 71 grams, room temperature"," 2 tablespoons sour cream 28 grams, room temperature", ½ teaspoon pure vanilla extract 2 grams, ¼ teaspoon ground ginger, ½ teaspoon kosher salt, ½ lemon juiced and zested, ½ orange juiced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrot Cake Sandwich Cookies Recipe,Becky Hardin,Baking,4.2,10,45 minutes,15 minutes,30 minutes,24 sandwich cookies,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Cookie Rookie,https://www.thecookierookie.com/carrot-cake-sandwich-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ½ cup unsalted butter 113 grams, room temperature (1 stick)", ½ cup coconut oil 114 grams, 1 cup brown sugar 213 grams, ¾ cup granulated sugar 150 grams, 2 teaspoons kosher salt 6 grams, 1½ teaspoons pure vanilla extract 6 grams," 2 large eggs 50 grams, room temperature", 1¾ cup all-purpose flour 210 grams, ½ cup bread flour 60 grams, 1 teaspoon baking soda 6 grams, 1 teaspoon baking powder 4 grams, 1½ teaspoons ground cinnamon 5 grams, 1½ teaspoons apple pie spice 5 grams, 1 teaspoon ground ginger 3 grams," 1 cup old-fashioned oats 100 grams, slightly ground", ¾ cup sweetened shredded coconut 64 grams," 3 cups grated carrots 270 grams, from about 9 carrots(2 cups/180 grams yield after squeezing out water)", ¾ cup golden raisins 128 grams, ¾ cup chopped roasted pecans 86 grams, , 1¼ cup powdered sugar 141 grams," 8 ounces cream cheese 227 grams, room temperature (1 brick)"," 5 tablespoons unsalted butter 71 grams, room temperature"," 2 tablespoons sour cream 28 grams, room temperature", ½ teaspoon pure vanilla extract 2 grams, ¼ teaspoon ground ginger, ½ teaspoon kosher salt, ½ lemon juiced and zested, ½ orange juiced
