title,author,rating,ratingnum,cuisine,category1,category2,preptime,cooktime,customtime,totaltime,totaltime2itsaproblemifthisisdifferentfromtotaltime1otherwiseignore,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22
Heart Oreo Truffles,Amanda Davis,5, 2 ,American,Desserts,Candy,NA,NA,NA,20 minutes,20 minutes,48 heart truffles,9,"Process Oreos in your food processor.
Add cream cheese and process until completely combined.
Line a baking sheet with waxed paper and use a cookie scoop to scoop out uniform amounts of the Oreo dough.
Roll each one into a ball. Chill on the sheet for about an hour.
Remove from fridge and pinch the bottom of the ball to form the bottom of the heart.
Use a butter knife, toothpick or skewer to dent the top end of the ball to form the heart humps.
Complete for all and chill in the freezer for 30 minutes.
Dip the hearts into chocolate and place on waxed paper lined baking sheet.
Drizzle with white chocolate and/or a combination of chocolate and white chocolate. Chill.",4,"▢ 36 cookies Oreos any flavor, do not remove cream centers",▢ 8 oz cream cheese,▢ 16 oz Good quality chocolate for dipping or almond bark,▢ White chocolate for drizzling optional,NA,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/heart-oreo-truffles/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valentine Play Dough Cookie Pops,Amanda Davis,5, 2 ,American,Desserts,"Cookies, Brownies, & Bars",NA,8 minutes,NA,28 minutes,28 minutes,24 lollipops,6,"In a bowl cream butter, cream cheese and sugar until fluffy. Add egg and vanilla; beat until smooth.
In a medium bowl combine flour, baking powder and salt. Add dry ingredients to the creamed mixture. Stir till soft dough forms. Divide dough according to however many colors you plan to use. Tint each with a different food color. Wrap in plastic wrap and chill for 2 hours.
Preheat oven to 350 degrees F. Shape dough into 3/4 inch balls and for each cookie place 3-4 different colored balls together to make 1 large ball. Roll it just enough to form a rough ball, then shape into a 12-inch long roll (like a snake).
Starting at one end, coil roll to make a 2 3/4 inch round cookie. Place cookies 3 inches apart on lightly greased baking sheet. Carefully insert lollipop sticks into bottoms of cookies.
For hearts, follow the instructions above. After inserting the stick, use your fingers to squeeze the dough at the bottom of the circle and combine at the stick, then use a separate lollipop stick or a butter knife to create an indent in the top and shape the heart.
Bake cookies for 8 minutes or until lightly browned. Cool and store in an airtight container.",10,▢ ¾ cup butter softened,▢ 3 ounces cream cheese,▢ 1 cup white sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 2 ¾ cups all-purpose flour,▢ 1 teaspoon baking powder,▢ ¼ teaspoon salt,▢ assorted colors of paste food coloring,▢ 24 lollipop sticks,NA,Amanda's Cookin,https://amandascookin.com/valentine-play-dough-cookie-pops/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monster Eyeball Cookie Pops,Amanda Davis,5, 2 ,American,Desserts,"Cookies, Brownies, & Bars",NA,15 minutes,NA,30 minutes,30 minutes,NA,12,"Preheat oven to 350 F and line a baking sheet with parchment paper.
In a large bowl combine both flours, baking soda, baking powder, and Kosher salt. 
In a separate mixing bowl, cream together butter, brown sugar and granulated sugar. 
Add egg and vanilla extract and mix until combined well. 
Stir in dry ingredients. 
Add chocolate chips and stir until combined.
Measure out 3 tablespoons of dough and roll it into a ball. Place 4 balls of dough onto the sheet, two at each end, offset (so that sticks don't hit cookies, see next step).
Insert lollipop sticks about 3/4 way into the cookie ball. 
Bake for 13-15 minutes, or until edges are just starting to turn golden brown and centers are set. 
Remove from oven and place pan on wire rack. Use the edge of a spatula to shape any cookies that spread out of shape. 
Add candy eyeballs to the cookies while they are still hot! 
Let cool for five minutes before moving to the cooling rack to cool completely. ",13,▢ 4.25 ounces cake flour,▢ 4.25 ounces all purpose flour,▢ ½ teaspoon baking soda,▢ ¾ teaspoons baking powder,▢ ¾ teaspoon Kosher salt,▢ 10 tablespoons unsalted butter room temperature,▢ 5 ounces packed light brown sugar,▢ 4 ounces granulated sugar,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 7.5 oz bag dark chocolate or semi-sweet chocolate chips 1/2 bag,Amanda's Cookin,https://amandascookin.com/monster-eyeball-cookie-pops/,▢ Candy eyeballs,▢ 12- inch lollipop sticks,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Chocolate Chip Bars,Amanda Davis,5, 6 ,American,Desserts,"Cookies, Brownies, & Bars",NA,22 minutes,NA,32 minutes,32 minutes,24 bars,4,"Preheat oven to 375 F. Line a 13x9 pan with foil, grease or spray the foil. You can also use parchment paper.
Whisk together flour, baking soda and salt.
Using an electric mixer, cream the butter, sugars, and peanut butter until light and fluffy. Beat in egg and vanilla until well combined. Turn mixer down to low and slowly add in dry ingredients. Turn off mixer and fold in chocolate.
Press cookie dough into prepared pan and bake 20-22 minutes or until golden brown. Cool on wire rack in pan. When cooled completely, lift out by foil and cut into bars.",10,▢ 1 ¾ cups all purpose flour,▢ ¾ teaspoons baking soda,▢ ¼ teaspoons salt,▢ ¾ cup unsalted butter 1 1/2 sticks (softened),▢ 1 cup creamy peanut butter,▢ ½ cup sugar,▢ ½ cup packed light brown sugar,▢ 1 large egg,▢ 1 teaspoon vanilla,▢ 12 oz chopped semi sweet chocolate or a bag of chocolate chunks or chips,NA,Amanda's Cookin,https://amandascookin.com/peanut-butter-chocolate-chunk-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip Blondies,Amanda Davis,4.67, 3 ,NA,Desserts,"Cookies, Brownies, & Bars",NA,20 minutes,NA,NA,32 minutes,3 dozen,2,"In a large bowl, combine the brown sugar, butter, eggs and vanilla just until blended. Combine the flour, baking powder and salt; add to brown sugar mixture. Stir in chocolate chips.
Spread into a greased 13-in. x 9-in. baking pan. Bake at 350° for 18-20 minutes or until a toothpick inserted near the center comes out clean. Cool on a wire rack. Cut into bars.",8,▢ 1-1/2 cups packed brown sugar,▢ ½ cup butter melted,▢ 2 eggs lightly beaten,▢ 1 teaspoon vanilla extract,▢ 1-1/2 cups all-purpose flour,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup 6 ounces semisweet chocolate chips,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/chocolate-chip-blondies-with-peanut/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi Mud Cookies,Amanda Davis,5, 2 ,American,Desserts,"Cookies, Brownies, & Bars",NA,12 minutes,NA,27 minutes,27 minutes,30 cookies,6,"Microwave ONE CUP of the semisweet chocolate morsels in a small microwave-safe glass bowl at HIGH 1 minute or until smooth, stirring every 30 seconds.
Beat butter and sugar at medium speed with an electric mixer until creamy; add eggs, 1 at a time, beating until blended after each addition. Gently beat in vanilla, then the melted chocolate.
Combine flour, baking powder, and salt; whisking together in a small bowl. Gradually add to flour mixture to the chocolate mixture, beating until well blended.
Stir in remaining semi sweet chocolate chips.
Drop dough by heaping tablespoonfuls (my cookie scoop worked perfectly) onto parchment paper-lined baking sheets. Press 3 marshmallows into each portion of dough.
Bake at 350° for 10 to 12 minutes (10 minutes was perfect for mine) or until set. Let cool on cookie sheet for a few minutes to allow them to rest and deflate a bit, then remove to wire racks to cool completely.",9,▢ 12 oz bag semisweet chocolate chips separated,▢ ½ cup unsalted butter softened,▢ 1 cup granulated sugar,▢ 2 large eggs,▢ 1 teaspoon vanilla,▢ 1 ½ cups all-purpose flour,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 cup plus 2 Tbsp. miniature marshmallows,NA,NA,Amanda's Cookin,https://amandascookin.com/mississippi-mud-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cinnamon Chocolate Chip Cookies,Amanda Davis,5, 48 ,NA,Desserts,"Cookies, Brownies, & Bars",NA,10 minutes,NA,30 minutes,30 minutes,NA,5,"Preheat oven to 350 degrees F (175 degrees C). 
In a medium bowl, beat together the butter, shortening, brown sugar, and superfine sugar until smooth and creamy; then add eggs and vanilla and beat well. 
In a large bowl, mix together flour, baking soda, baking powder, salt, cinnamon, and pudding mix. Turn mixer to low and gradually mix the dry into the creamy mixture until well blended. 
Use a spoon or sturdy rubber spatula to stir in chocolate chips.
Drop by teaspoonfuls 2 inches apart onto parchment lined baking sheets. Bake in a preheated oven for 10-11 minutes, until light golden brown. Remove from oven; allow cookies to cool momentarily on baking sheets before removing them to wire racks to cool completely.",14,▢ ½ cup unsalted butter softened,▢ ½ cup butter flavored shortening,▢ ¾ cup superfine sugar run granulated sugar through a blender,▢ ¾ cup light brown sugar,▢ 1 teaspoon vanilla extract,▢ 2 eggs,▢ 2 ¼ cups all-purpose flour,▢ 1 teaspoon baking soda,▢ ⅛ teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 teaspoon ground cinnamon,Amanda's Cookin,https://amandascookin.com/chocolate-chip-cinnamon-cookies/,▢ 1 3.4 ounce package instant vanilla pudding mix,▢ or 1/2 cup Amanda’s homemade pudding mix which is what I used,▢ 1 package 2 cups semisweet chocolate chips (I used Ghirardelli),NA,NA,NA,NA,NA,NA,NA,NA
Funfetti Marshmallow Cereal Bars,Amanda Davis,5, 14 ,American,Desserts,"Cookies, Brownies, & Bars",NA,10 minutes,NA,15 minutes,15 minutes,12 bars,3,"Lightly grease a 9x9 or 13x9 pan; set aside.
In a large pot over low heat, melt the butter. Stir in the vanilla and marshmallows. Continue stirring until marshmallows are just melted. Do not over-cook.
Remove from heat and add cereal. Stir until almost combined, then add sprinkles. Carefully mix them to distribute, then pour mixture into prepared pan. With buttered wax paper, press cereal into an even layer. Allow to cool before cutting.",5,▢ 4 tablespoons butter,▢ ½ teaspoon vanilla,▢ 10 oz bag of marshmallows,▢ 7 cups corn Chex cereal*,▢ ½ cup funfetti sprinkles,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/funfetti-marshmallow-cereal-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shamrock Shaped Brownies,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,25 minutes,NA,35 minutes,35 minutes,12 brownies,9,"Preheat your oven to 350 degrees F.
Grease a 13 inch x 9 inch brownie pan and set aside.
In a large mixing bowl, mix all the dry ingredients (flour, cocoa powder, kosher salt & sugar) except for chocolate chips until combined.
In a 2-cup wet measure, add 1 cup Canola oil, vanilla extract and 5 large eggs. Use an electric mixer to thoroughly combine the ingredients; make sure not to over mix. Manually mix in 1 cup chocolate morsels.
Pour all the batter into the pre-greased 13"" x 9"" inch brownie pan and spread evenly with baking spatula.
Bake for 25 minutes and you can check for doneness using a butter knife or a toothpick, after it's inserted in the middle it should come out clean. Leave in for another 5 minutes if it's not done and do not exceed 30 minutes. Exactly 25 minutes always works best for me. A slightly underdone brownie will taste much better than overcooked brownies. When they are done, allow them to cool for 5-10 minutes to set up.
Use the shamrock-shaped cookie cutter to cut the brownies, to remove the brownies, cut around the cookie cutter and using a spatula lift up the brownies.
Optional: sprinkle with confectioner's sugar for serving and/or outline with a thin line of green or white icing.
They are delicious served warm. Enjoy!",10,▢ 1 ¾ cups unbleached all-purpose flour,▢ ½ cup unsweetened cocoa powder,▢ 1 teaspoon kosher salt,▢ 2 cups organic cane sugar,▢ 5 large eggs,▢ 1 cup Canola oil you can substitute the same amount vegetable oil,▢ 1 teaspoon organic vanilla extract,▢ 1 cup semi-sweet chocolate morsels,▢ Optional: store bought icing in green or white,▢ Optional: 1-2 tablespoons confectioner's sugar,NA,Amanda's Cookin,https://amandascookin.com/shamrock-shaped-brownies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Monster and Elmo Cookies,Amanda Davis,5, 8 ,American,Desserts,"Cookies, Brownies, & Bars",NA,15 minutes,NA,25 minutes,25 minutes,NA,5,"First you need to make your sugar cookies and let them cool. While the cookies are cooling you'll tint your frostings. Separate the white frosting into two bowls.
Use a toothpick or a butter knife to lift a small amount (less than an 1/8 teaspoon) of gel food coloring out and add it to one of the bowls of frosting. This is all experimentation. Mix it all together and add more if needed to reach the desired color. Repeat for the second color.  
To decorate your Cookie Monster and Elmo cookies and make the frosting look like that fun muppet hair we all know and love, first spread some colored frosting on the sugar cookie.
Next simply touch the frosting with the butter knife and pull upward. Keep doing this over and over until you are happy with the results.
It's not much more complicated than that! All that's left to do is add two jumbo candy eyes. To look like Cookie Monster, make sure you position the eyes so they look jumbled or cross-eyed. For Elmo, add a butterscotch disc for the nose.",4,▢ 16 ounce Package refrigerator sugar cookie dough or homemade sugar cookies,▢ 16 ounce tub vanilla frosting or homemade white frosting,▢ Red and blue gel food coloring NOT liquid food coloring - see notes,▢ 48 Jumbo candy eyes,NA,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/cookie-monster-elmo-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marbled Mint Cheesecake Brownies,Amanda Davis,5, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,25 minutes,NA,45 minutes,45 minutes,24 brownies,15,"Preheat oven to 325F
Grease a heart-shaped cakes pan, or line and grease a large casserole pan - about 9x13"". Set aside.
In a small bowl, sift together the cocoa powder, salt and baking powder. Set aside.
Place the butter in a small saucepan over medium heat and cook for 8-10 minutes until slightly golden brown. Small pieces of milk fat will turn a chocolate brown and that's okay.
Remove the pan from the stove and immediately stir in the white sugar with a wooden spoon.
Add in the cocoa mixture and then allow to cool to room temperature, about 5-8 minutes.
Meanwhile, prepare the cheesecake mixture.
Combine the egg, cream cheese, sugar and mint extract and beat with an electric mixer until smooth.
Color to preference with the optional green food dye and set aside.
Returning to the brownie batter, add in the eggs one at a time, then the vanilla and flour, beating thoroughly after each addition. Beat for 2 minutes before adding in the chocolate chips.
Fold the brownie mixture into the prepared baking pan.
Add dollops of the cheesecake mixture overtop of the brownie mixture and use a spoon to fold the two to create a marbled design.
Cover with tinfoil and bake for 22-25 minutes, until the cheesecake seems set.
Check the doneness of the brownies with a toothpick - you may need to bake uncovered for an additional 5 minutes.
Cool before drizzling with melted chocolate, optional.",14,▢ ⅔ cup butter,▢ 1 ¼ cups white sugar,▢ ¾ cup cocoa powder,▢ ½ teaspoon salt,▢ ½ teaspoon baking powder,▢ 2 large eggs,▢ 1 teaspoons vanilla extract,▢ ⅔ cup flour,▢ ½ cup milk chocolate chips,▢ 1 large egg,▢ 4 oz package cream cheese,Amanda's Cookin,https://amandascookin.com/marbled-mint-cheesecake-brownies/,▢ ⅓ cup sugar,▢ ½ teaspoon mint extract,▢ Green food dye optional,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Peanut Butter Cookies,Amanda Davis,5, 1 ,NA,Desserts,"Cookies, Brownies, & Bars",NA,8 minutes,NA,28 minutes,28 minutes,NA,5,"Preheat oven to 375 degrees F.
Combine shortening, Nutella, peanut butter, brown sugar, milk and vanilla in large bowl. Beat with electric mixer at medium speed until well blended. Add egg. Beat just until blended.
Combine flour, salt and baking soda. Add to creamed mixture at low speed. Mix just until blended.
Drop by heaping teaspoonfuls (using a cookie scoop works great) 2 inches apart onto ungreased baking sheet. Flatten slightly in crisscross pattern with tines of fork.
Bake for 7 to 8 minutes, or until set and just beginning to brown. DO NOT OVERBAKE. Cool 2 minutes on baking sheet. Remove cookies to cooling racks to cool completely.",10,▢ ½ cup butter flavored shortening,▢ ¼ cup creamy peanut butter,▢ ½ cup Nutella,▢ 1 ¼ cups firmly packed light brown sugar,▢ 2 tbsp milk,▢ 1 tbsp vanilla,▢ 1 egg,▢ 2 cups all purpose flour,▢ ¾ tsp salt,▢ ¾ tsp baking soda,NA,Amanda's Cookin,https://amandascookin.com/nutella-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Fudge Cookies,Amanda Davis,5, 3 ,American,Desserts,"Cookies, Brownies, & Bars",NA,15 minutes,NA,35 minutes,35 minutes,48 cookie cups,11,"Preheat oven to 325 degrees F.
Sift together the flour, baking soda and salt.
Cream together butter, peanut butter, white and brown sugars.
Mix in egg and 1/2 teaspoon of vanilla.
Stir the flour mixture into the creamed mixture.
Shape the dough into 48 balls, 1 inch each. place each ball into one compartment of a mini muffin tin.
Bake for 14-16 minutes or until lightly browned.
Remove from oven and immediately make wells in the center of each using a melon baller (I used an oven thermometer).
Cool in pan for 5 minutes then carefully remove to wire racks.
Place chocolate chips in a double boiler over simmering water stir in sweetened condensed milk and vanilla and mix well until chips are melted. You can use the microwave if you prefer, cook in 30 second increments until melted.
Fill each cookie well with the chocolate mixture.",13,▢ ½ cup unsalted butter softened,▢ ½ cup creamy peanut butter,▢ ½ cup granulated white sugar,▢ ½ cup packed brown sugar,▢ 1 large egg,▢ ½ tsp vanilla extract,▢ 1 ¼ cup all purpose flour,▢ ¾ tsp baking soda,▢ ½ tsp table salt,▢ 1 cup milk chocolate chips,▢ 1 cup semi-sweet chocolate chips,Amanda's Cookin,https://amandascookin.com/chocolate-chip-cookies-and-fudge/,▢ 14 ounce sweetened condensed milk,▢ 1 tsp vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA
Easy Fruit Pizza,Amanda Davis,5, 5 ,NA,Desserts,"Cookies, Brownies, & Bars",NA,NA,NA,NA,35 minutes,NA,10,"This recipe makes two small 'pizzas' in 8inch round pans.
Preheat your oven to the temperature stated on the brownie box mix.
line two 8in cake pans (removable bottom pans only!) with parchment paper otherwise you will find the brownies bases will stick to the pan, even if they are non stick pans.
Prepare the brownie mix according to the instructions on the box, then divide it evenly between the two lined cake pans and spread it to the edges to make the pizza bases.
Bake according to directions on the box.
While the bases are cooking prepare the frosting by adding all the ingredients to a mixing bowl and blend until combined.
Prepare your fruit by cutting it into thin slices.
When the brownie bases have cooked remove them from the cake pans before they cool, otherwise they may stick to the sides.
Wait until the brownie bases are fully cooled before you move them off the base of the cake pans, they may be too soft to move while they are still hot and may fall apart if you try.
Once the bases are fully cooled, add the cream cheese frosting and then decorate with fruit, and serve.",8,▢ 1 box of Brownie Mix,▢ eggs and oil to make brownie mix,▢ Soft fruit for topping,▢ CREAM CHEESE FROSTING,▢ 8 oz full-fat cream cheese softened,▢ ¼ cup soft butter,▢ 2 cups powdered sugar,▢ 1 tsp vanilla extract,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/easy-fruit-pizza/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Patty Brownies,Amanda Davis,5, 5 ,NA,Desserts,"Cookies, Brownies, & Bars",NA,NA,NA,NA,35 minutes,NA,4,"Mix the brownies as directed on the package, adding 1 teaspoon of peppermint extract.
Bake as directed on box.
Cool, then cut into slices.
Serve warm, topped with chocolate syrup, chopped Peppermint Patties, and fresh mint.",4,▢ Boxed Brownie Mix,▢ 1 teaspoon peppermint extract,▢ 1 cup chopped Peppermint Patties,"▢ Garnish: Chocolate syrup chopped Peppermint Patties, and fresh mint",NA,NA,NA,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/peppermint-patty-brownies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berrylicious Cookie Bars,Amanda Davis,5, 4 ,NA,Desserts,"Cookies, Brownies, & Bars",NA,NA,NA,NA,35 minutes,NA,12,"Preheat your oven to 350 degrees.
Grease a 13 x 9 inch baking dish with butter.
Using a stand mixer, beat the butter until smooth.
Add the brown sugar and baking powder and continue to beat.
Add vanilla and egg to mixture; beat until combined.
Slowly add the flour to mixture, continuing to beat while adding it.
Remove the bowl from the stand mixture and stir in the oats.
Reserve about a 1/2 cup of dough; press the rest of the dough into your baking dish.
Spread the mixed berries across the top of the dough, then sprinkle in the almond slivers.
Crumble pieces from the reserved dough across the top of the berries.
Bake for 35 minutes or until you can insert a toothpick cleanly.
Allow to cool before cutting into bars.",9,▢ 2 sticks of butter softened,▢ 2 cups of light brown sugar packed,▢ 2 teaspoons baking powder,▢ 1 egg,▢ 1 teaspoon vanilla,▢ 2 cups all purpose flour,▢ 2 cups oats,▢ ¼ cups almond slivers,▢ 2 cups frozen mixed berries,NA,NA,Amanda's Cookin,https://amandascookin.com/berrylicious-cookie-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Brownie Cookies,Amanda Davis,5, 4 ,American,Desserts,"Cookies, Brownies, & Bars",NA,13 minutes,NA,33 minutes,33 minutes,NA,5,"Preheat oven to 350 degrees F. In a medium bowl, beat the brownie mix, butter, cream cheese, and egg. The dough will be sticky. Spray cookie scoop with cook spray then scoop the dough onto an ungreased cookie sheet, making about 18-24 cookies (depending on the size of your scoop). Smooth the edges of each to form a round cookie.
In a separate bowl, mix the powdered sugar and the peanut butter until it is completely combined. Form the mixture into about 1 inch balls. Make sure you have one ball for each cookie. Set aside.
Bake for the cookie dough 12-13 minutes, keeping an eye out to make sure the cookies doesn't over cook or undercook.
As soon as the cookies come out of the oven, press a peanut butter ball lightly into the center of each cookie. The peanut butter mixture will soften slightly. Let the cookies cool for 5 minutes, then transfer them to a wire rack to cool completely.
Melt the almond bark chocolate in a microwavable bowl for 60 seconds. Stir the chocolate and melt for additional 15 seconds or until the chocolate is completely melted. Spoon about 1/2 a tablespoon of melted chocolate on top of each cookie so it covers the peanut butter ball. Let the chocolate set.",7,▢ 15.5 ounce box fudge brownie mix,▢ 3.25 tablespoons butter melted,▢ 3.25 oz. cream cheese softened,▢ 1 large egg,▢ 1 cup powdered sugar,▢ 1 cup creamy peanut butter,▢ 4 ounces almond bark chocolate,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/buckeye-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orange Chocolate Chip Cookies,Amanda Davis,4, 1 ,American,Desserts,"Cookies, Brownies, & Bars",NA,10 minutes,NA,35 minutes,35 minutes,46 cookies,9,"Preheat oven to 350 F and line insulated baking sheets with parchment paper.
Whisk together flour, baking powder, baking soda, and salt. Set aside.
In a mixer bowl set to medium speed, cream butter, shortening, and both sugars until light and fluffy. Add eggs, one at a time, beating well after each addition.
Beat in orange zest and vanilla extract.
Turn mixer down to low and gradually add the dry ingredients until incorporated.
Fold in chopped chocolate with a wooden spoon.
Use a 1 1/2 tablespoon cookie scoop to drop cookies onto baking sheet about 2-inches apart.
Bake 10-12 minutes or until edges are lightly browned.
Remove from oven and let cool on pan for 5 minutes then move cookies to a wire rack to cool completely.",12,"▢ 12.6 ounces unbleached all purpose flour 2 3/4 cup, 357g",▢ 2 teaspoons baking powder 8g,▢ ½ teaspoon baking soda 2g,▢ ¼ teaspoon salt 2g,▢ 4 ounces unsalted butter softened. 1/2 cup,▢ 3.4 ounces shortening 1/2 cup,"▢ 6.9 ounces packed brown sugar 1 cup, 195g","▢ 4 ounces granulated sugar 1/2 cup, 116g",▢ 2 eggs,▢ 2 Tablespoons grated orange zest 9g,▢ ½ teaspoon pure vanilla extract,Amanda's Cookin,https://amandascookin.com/orange-chocolate-chip-cookies/,▢ 2 cups chopped bittersweet chocolate two and half 4 ounces bars. 288g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magic Bars,Amanda Davis,5, 5 ,American,Desserts,"Cookies, Brownies, & Bars",NA,30 minutes,NA,35 minutes,35 minutes,24 bars,6,"Preheat oven to 350 degrees F.
Melt butter in the microwave and transfer to a 9 x 13 inch baking pan.
Sprinkle graham crumbs over the top of the melted butter. Sprinkle coconut over the graham cracker crumbs. 
Sprinkle crumbs with chocolate chips and butterscotch chips.
Cover chips with sweetened condensed milk. Sprinkle the milk layer with chopped pecans.
Bake for 30 minutes. Remove from oven to wire rack and allow to cool before cutting into squares.",7,▢ ½ cup unsalted butter,▢ 1 cup graham cracker crumbs,▢ 1 cup shredded sweetened coconut,▢ 1 cup semisweet chocolate chips,▢ 1 cup butterscotch chips,▢ 14 ounce can sweetened condensed milk,▢ 1 ½ cup chopped pecans,NA,NA,NA,NA,Amanda's Cookin,https://amandascookin.com/seven-layer-bars-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Filled Peanut Butter Cookies,Amanda Davis,4.84, 6 ,American,Desserts,"Cookies, Brownies, & Bars",NA,9 minutes,NA,19 minutes,19 minutes,36 cookies,6,"Preheat oven to 375 degrees F.
In a medium bowl, whisk together flour, salt and baking soda. Set aside.
In a large mixer bowl, beat butter, peanut butter and brown sugar on medium high speed until light and fluffy, about 4-5 minutes. Turn mixer down to low and add milk, vanilla and egg. Mix until combined then turn up to medium high for one minute. Scrape down sides of bowl and turn mixer on low.
Slowly add the flour mixture until just combined.
Measure a tablespoon of cookie dough and roll in your hands a moment, then flatten it in your palm. Place a Hershey's Drop candy in the center of the cookie dough. Close the cookie dough around the filling, forming a ball. Roll gently in your hands and place on the cookie sheet. Flatten slightly in crisscross pattern with tines of fork.
Bake for 7 to 9 minutes, or until set and just beginning to brown. DO NOT OVERBAKE. Cookies will appear puffy when they come out of the oven and will relax and sink a little as they cool. Cool 3-4 minutes on baking sheet. Remove cookies to racks to cool completely.",10,▢ 1 ¾ cups unbleached all purpose,▢ ¾ teaspoon salt,▢ ¾ teaspoon baking soda,▢ ½ cup unsalted butter softened,▢ ¾ cup creamy peanut butter,▢ 1 ¼ cups firmly packed light brown sugar,▢ 3 tablespoons milk,▢ 1 tablespoon vanilla,▢ 1 large egg,▢ Hershey's Drops candy,NA,Amanda's Cookin,https://amandascookin.com/hershey-drop-stuffed-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No-Bake Peanut Butter Pudding Bars,Amanda Davis,5, 3 ,NA,Desserts,"Cookies, Brownies, & Bars",NA,NA,NA,20 minutes,20 minutes,NA,5,"Line a rimmed cookie sheet with foil and set aside.
Over medium heat combine sugar and corn syrup in a large saucepan and cook until bubbling at the edges, stirring occasionally. Cook, stirring, one minute more. Remove from heat and stir in peanut butter until melted. Stir in rice and corn cereals until completely coated. Press mixture into the lined cookie sheet.
In saucepan over low heat, melt 3/4 cup unsalted butter. Remove from heat and stir in powdered sugar, vanilla pudding mix and milk. Spread pudding mixture over the cereal layer in the pan.
In microwave or in a saucepan over low heat, melt chocolate chips and 1/2 cup butter. Stir until melted and creamy, spread over pudding mixture in pan.
Refrigerate for one hour to set. Lift bars out with foil and cut into squares or triangles.",11,▢ 1 cup sugar,▢ 1 cup light corn syrup,▢ 2 cups creamy peanut butter,▢ 3 cups Rice Krispies,▢ 3 cups Corn Flakes,▢ ¾ cup unsalted butter,▢ 4 cups powdered sugar,▢ 2 4- serving packages vanilla instant pudding,▢ ¼ cup milk,▢ 1 12- oz package semi sweet chocolate chips,▢ ½ cup unsalted butter,Amanda's Cookin,https://amandascookin.com/no-bake-peanut-butter-pudding-bars/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
