title,author,dateentry,dateupdate,rating,ratingnum,category,cuisine,keyword,preptime,cooktime,customtime,totaltime,yield,maybehasyield,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,source,link,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23
Carnival Cookies,Shelly,"Posted: Oct 22, 2018","Updated: Oct 4, 2022",3.7,3,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,20 cookies 1x,NA,9,"Preheat oven to 375°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter and sugar together for 2 minutes on medium speed.
Add in the eggs, vanilla, salt, and baking soda. Mix for an additional minute on medium speed, scraping the sides of the bowl as necessary.
Turn the mixer to low speed and add in the flour, mixing until just combined.
Stir in the sprinkles, white chips and chopped Circus Cookies until evenly incorporated.
Using a large (3- tablespoon) cookie scoop, portion out dough and place onto the prepared baking sheet.
Bake for 9-10 minutes until the edges are lightly golden.The tops of the cookies will feel set, but the insides will be slightly under-baked, this is fine.
As soon as the cookies come out of the oven, gently press a whole Circus Cookie onto the top of each.
Transferring the cookies to a wire rack to cool completely.",10,"1 cup cold butter, cubed",1 1/2 cups granulated sugar,2 eggs,2 teaspoons vanilla extract,1 teaspoon kosher salt,Cookies & Cups,https://cookiesandcups.com/carnival-cookies/,1 teaspoon baking soda,3 cups all purpose flour,3/4 cup multicolored sprinkles,1 cup white chocolate chips,1 heaping cup coarsely chopped Frosted Circus Cookies + 20 whole cookies to garnish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Perfect Soft Peanut Butter Cookie,Cookies & Cups,"Posted: Oct 19, 2018","Updated: Sep 14, 2021",5,47,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,24 cookies 1x,NA,9,"Preheat the oven to 350°F/175°C
Line a baking sheet with parchment paper or a silicone mat and set aside.
Add the butter and peanut butter into the bowl of your stand mixer fitted with the paddle attachment. Turn the mixer onto medium speed and mix for 1 minute, or until smooth and combined. Add both sugars and with the mixer still on medium beat the mixture for 2 minutes until pale in color and fluffy, scraping the sides of the bowl as necessary. Add in the egg and vanilla and continue mixing for 45 more seconds until combined and smooth.
Add in the cornstarch, baking soda, baking powder and salt and mix for an additional few seconds until combined.
Turn the mixer to low and add in the flour, mixing until the dough comes together. Stir in the peanut butter chips evenly.
Using a medium cookie scoop (2 tablespoons) scoop the dough onto the prepared baking sheet, placing the scoops 2 inches apart.
Garnish with extra peanut butter chips, if desired.
Bake the cookies for 9-10 minutes until they are golden at the edges.
Remove the pan from the oven and allow the cookies to cool on the baking sheet for 4-5 minutes and then transfer them to a wire rack to cool completely.",12,"1/2 cup butter, room temp",1/2 cup creamy peanut butter,1/2 cup granulated sugar,1/2 cup light brown sugar,1 egg,Cookies & Cups,https://cookiesandcups.com/the-perfect-soft-peanut-butter-cookie/,1 1/2 teaspoons vanilla,1 teaspoon cornstarch,1/2 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon kosher salt,1 cup all purpose flour,1 cup peanut butter chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perfect Chocolate Chunk Cookies,Cookies & Cups,"Posted: Oct 6, 2018","Updated: Oct 4, 2022",4.6,21,Cookies,NA,NA,NA,NA,NA,NA,NA,makes 20 large cookies,10,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In bowl of stand mixer fitted with the paddle attachment, mix the butter until smooth and then add the brown sugar and granulated sugar. Mix for 2 minutes on medium speed, scraping the sides down as needed.
Next add the eggs and vanilla, baking powder, baking soda and salt and mix until smooth.
Turn the mixer to low and add in the flour until incorporated.
Stir in both chocolates.
Form about 1/4 cup of cookie dough into a balls and place on baking sheet about 2 1/2 inches apart.
Place remaining dough in the refrigerator until ready to bake.
Bake for 9-10 minutes until edges are golden. Tops of cookies might seem undercooked. Make sure to not over-bake!
Remove from oven and allow the cookies to cool on cookie sheet for 5 minutes, then transfer to a wire rack to continue cooling.
Repeat with remaining dough.",11,"1 cup butter, cold cut into cubes",1 cup light brown sugar,1/2 cup granulated sugar,2 eggs,1 tablespoon vanilla,Cookies & Cups,https://cookiesandcups.com/perfect-chocolate-chunk-cookies/,1 teaspoon baking powder,1/4 teaspoon baking soda,1 teaspoon kosher salt,3 cups all purpose flour,10 ounces milk chocolate chunks,10 ounces semi sweet chocolate chunks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Tea Cakes,Cookies and Cups,"Posted: Sep 19, 2018","Updated: Mar 10, 2021",4.9,19,Dessert,NA,NA,10 minutes,NA,NA,10 minutes,24 cookies 1x,NA,8,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In bowl of stand mixer fitted with the paddle attachment, mix the butter and sugar together for 1 minute until mixed. Add in eggs and vanilla (and vanilla beans), baking powder, and salt and mix until incorporated, scraping sides of the bowl as necessary.
Turn mixer to low and mix in the flour until the dough just comes together.
Form the dough into 2- inch balls and place on lined baking sheet.
Bake for 10-12 minutes until the edges are slightly golden, careful not to over-bake.
Transfer the cookies to a wire rack while preparing your glaze
For glaze whisk ingredients all together in a bowl. Pour directly over the tea cakes.
Allow glaze to set before eating.",10,"1 cup butter, room temperature",1 cup granulated sugar,2 eggs,1 teaspoon vanilla and beans from one vanilla bean pod (optional),2 teaspoon baking powder,Cookies & Cups,https://cookiesandcups.com/southern-tea-cakes/,1/2 teaspoon kosher salt,3 cups all purpose flour,2 cups powdered sugar,3-4 tablespoons milk,1 vanilla bean with beans scraped out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krispie Treat Chocolate Chip Cookies,Shelly,"Posted: Sep 12, 2018","Updated: Aug 23, 2020",5,1,Cookies,NA,NA,10 minutes,12 minutes,NA,22 minutes,20 cookies 1x,NA,8,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the melted butter and both sugars together for 1 minutes on medium speed. Add in the vanilla, egg, egg yolk, salt, and baking soda and continue mixing for 30 seconds until combined and smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, mixing until just combined.
Stir in the chocolate chips until evenly incorporated.
Using a large (3 tablespoon) cookie scoop, portion out the dough. Take the halved marshmallows and form the dough completely around the marshmallow, doing your best to make sure the marshmallow is sealed in the middle.
Place the dough balls onto the prepared baking sheet and bake for 12-13 minutes, or until the edges are lightly golden. Make sure not to overbake these, as the marshmallow will melt all over the place, no matter how well you think you sealed your dough.
With the cookies still on the baking sheet, gently press pieces of the krispie treats into the warm cookie.
Allow the cookies to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.",11,"3/4 cup butter, melted",1 cup light brown sugar,1/2 cup granulated sugar,1 teaspoon vanilla extract,"1 egg plus, 1 egg yolk",Cookies & Cups,https://cookiesandcups.com/krispie-treat-chocolate-chip-cookies/,1/2 teaspoon kosher salt,1/2 teaspoon baking soda,2 cups all purpose flour,2 cups semi-sweet chocolate chips,"10 marshmallows (not mini), cut in half","5-6 pre-made krispie treat bars, cut into small pieces.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Outrageous Cookies and Cream Cookies,Shelly,"Posted: Sep 4, 2018","Updated: Feb 11, 2024",4.4,15,Cookies,NA,NA,15 minutes,10 minutes,NA,25 minutes,24 cookies 1x,NA,9,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix together the butter and both sugars for 3 minutes on medium speed, until light and fluffy.
Add in the dry pudding mix and mix for another minute.
Scrape down the sides of the bowl as necessary and mix in the eggs, vanilla, baking soda, and salt for 1 minute, until smooth and evenly combined.
Turn the mixer to low speed and add in the flour, mixing until just combined.
Stir in the white and semi-sweet chips until evenly mixed.
Separate each Oreo cookie into 2 cookies. Try your best to keep the filling on one of the sides, this doesn’t have to be perfect.
Using a large (3 tablespoon) cookie scoop, portion each mound of dough out. Sandwich the dough in between each Oreo cookie half, placing the side with more cream on top (*see note). Place on your prepared baking sheet 2- inches apart.
Bake for 10 minutes, or until the edges are lightly golden. Allow the cookies to cool on the baking sheet for 2-3 minutes before transferring them to a wire rack to cool completely.",12,"1 cup salted butter, room temperature",3/4 cup light brown sugar,1/4 cup granulated sugar,1 (4.2- ounce) Instant Oreo Pudding Mix,2 eggs,Cookies & Cups,https://cookiesandcups.com/outrageous-cookies-and-cream-cookies/,2 teaspoons vanilla,1 teaspoon baking soda,1/2 teaspoon kosher salt,2 1/4 cups all purpose flour,1 cup white chocolate chips,1 1/2 cups semi-sweet chocolate chips,24 Oreo cookies (I used Double Stuf),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Coconut Praline Cookies,Shelly,"Posted: Aug 29, 2018","Updated: May 7, 2024",NA,NA,Candy,NA,NA,20 minutes,NA,NA,20 minutes,24 pralines 1x,NA,6,"Line a large baking sheet with parchment paper and set aside.
Combine the brown sugar, granulated sugar, evaporated milk, corn syrup, and butter in a large saucepan over medium heat. Stir frequently until melted and smooth.
Bring the mixture to a boil, and allow it to boil without stirring until soft ball stage (235°F) is reached (approximately 3-5 minutes). 
Once the temperature is reached, remove the pan from heat and slowly stir in the vanilla.
Mix in the coconut and pecans and stir for 4-5 minutes until mixture is thickened and cooled slightly.
Using a medium (2- tablespoon) cookie scoop, drop the mixture onto the prepared cookie sheet. Sprinkle with flaked sea salt and allow the cookies to cool completely at room temperature or in the refrigerator.",9,2 cups light brown sugar,1/2 cup granulated sugar ,1/2 cup evaporated milk,1/2 cup light corn syrup,1 stick salted butter,Cookies & Cups,https://cookiesandcups.com/no-bake-coconut-praline-cookies/,1 teaspoon vanilla extract,2 cups unsweetened flaked coconut,2 cups chopped pecans,1 teaspoon flaked sea salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cake Mix Biscotti,Shelly,"Posted: Aug 22, 2018","Updated: Jan 14, 2024",4.7,25,Cookies,NA,NA,10 minutes,40 minutes,NA,50 minutes,40 cookies 1x,NA,6,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment combine the cake mix, flour, butter, eggs, and vanilla. Mix on low for 30 seconds, and then turn the mixer up to medium and mix for 2 minutes until combined, scraping the sides of the bowl as necessary.
Add in the chocolate chips and pecans and mix on low until evenly incorporated. Dough will be thick.
Lightly sprinkle a clean counter top with flour. Divide the dough in half. Roll each half of the dough into a 12×2- inches log. Place both logs onto the prepared baking sheet, and bake for 25-30 minutes, until the edges are golden. Reduce oven temperature to 325°F. Cool on the baking sheet for 15 minutes.
Using a serrated knife, carefully slice the logs into 1- inch slices. Arrange the slices evenly onto the baking sheet and place back in the oven for 10 minutes, flipping cookies over once halfway through baking.
Transfer to a wire rack to cool completely.",7,1 (15.25) box vanilla cake mix,1 cup all purpose flour,"1/2 cup butter, melted",3 eggs,1 teaspoon vanilla extract,Cookies & Cups,https://cookiesandcups.com/cake-mix-biscotti/,1 1/2 cups mini chocolate chips,3/4 cup chopped pecans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Raisin Cookies,Cookies & Cups,"Posted: Aug 21, 2018","Updated: Aug 10, 2022",5,20,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,36 cookies 1x,NA,11,"In stand mixer cream the butter and sugar together about 2 minutes until fluffy.
Add eggs and vanilla and beat until combined.
In separate bowl whisk flour, baking soda, sea salt, and cinnamon together.
Turn mixer to low and slowly add flour mixture into butter mixture until combined.
Slowly add in oats and mix until evenly incorporated.
Finally add in raisins and white chips and stir until mixed in. 
Let dough chill for at least 2 hours (overnight is best).
When ready to bake preheat oven to 350°. Line baking sheets with parchment paper. 
Using a medium cookie scoop, portion out the dough and place 2 inches apart on baking sheet.
Bake for 9-11 minutes until golden around edges, but still soft in center. Do not over-bake!! 
Let cool on baking sheet for 3 minutes and transfer to cooling rack.",11,"1 cup butter, room temperature",1 1/2 cups dark brown sugar,2 eggs,1 tablespoon vanilla,1 1/2 cups all purpose flour,Cookies & Cups,https://cookiesandcups.com/oatmeal-raisin-cookies/,1 teaspoon baking soda,1 teaspoon cinnamon,1 teaspoon coarse sea salt,3 cups old fashioned oats,1 1/2 cups raisins,1 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triple Chip Pudding Cookies,Shelly,"Posted: Aug 13, 2018","Updated: Dec 30, 2024",5,16,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,22 cookies 1x,NA,7,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter and brown sugar on medium speed for 3 minutes. Add in the dry pudding mix, and mix on medium for an additional minute, scraping the sides of the bowl as necessary.
Add in the vanilla, eggs, baking soda, baking powder and salt. Mix for 1 minute, until evenly incorporated.
Turn mixer to low and add in the flour, mixing until just combined.
Stir in the chips until evenly distributed. Cover and chill for at least 2 hours or overnight.
Using a large (3- tablespoon) cookie scoop, drop the dough onto the prepared baking sheet 2- inches apart. Bake for 10-12 minutes, until lightly golden at the edges.
Allow the cookies to cool on the baking sheet for 3 minutes, and then transfer to a wire rack to cool completely.",12,"1 cup butter, room temperature",1 cup light brown sugar,1 (3.4- ounce) package instant vanilla pudding,2 teaspoons vanilla extract ,2 large eggs,Cookies & Cups,https://cookiesandcups.com/triple-chip-pudding-cookies/,1 teaspoon baking soda,1 teaspoon baking powder,1 teaspoon flaked sea salt,2 1/2 cups all purpose flour,1 cup semi-sweet chocolate chips,1 cup milk chocolate chips,1 cup white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacques Torres Chocolate Chip Cookie Recipe,Shelly,"Posted: Jun 25, 2018","Updated: Jan 17, 2021",4.7,29,Dessert,NA,NA,10 minutes,18 minutes,NA,28 minutes,20 cookies 1x,NA,7,"In a large bowl, sift together (or whisk) the cake flour, bread flour, baking soda, and baking powder. Set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the butter, brown sugar, and granulated sugar together for 5 minutes, until light and fluffy. Add in the eggs one at a time until mixed, and then vanilla. Continue mixing for an additional minute, scraping the sides as necessary.
Turn mixer to low and add in the flour mixture, until just combined. Fold in the chocolate until evenly incorporated. Cover and chill dough for 24-72 hours.
When ready to bake, preheat the oven to 350°F. Line a baking sheet with parchment paper.
Allow the chilled dough to sit out at room temperature for 20-30 minutes before baking to soften slightly. Scoop out 3.5 ounces of dough for each cookie, using a large cookie scoop. This is approximately 1/4 cup. Place mounds onto your baking sheet, spacing them 3- inches apart.
Bake cookies for 15-18 minutes, until the edges are golden. Turn your baking sheet 180- degrees once, halfway through baking.
Remove from the oven and immediately sprinkle with sea salt. Allow the cookies to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.",11,2 cups minus 2 tablespoons (8 ½ ounces) cake flour,1 2/3 cups bread flour,1 1/4 teaspoons baking soda,1 1/2 teaspoons baking powder,"1 1/4 cups butter, room temperature (I used salted)",Cookies & Cups,https://cookiesandcups.com/jacques-torres-chocolate-chip-cookie-recipe/,1 1/4 cups light brown sugar,1 cup plus 2 tablespoons granulated sugar,2 large eggs,2 teaspoons pure vanilla extract,1 ¼ pounds chopped dark or semi-sweet chocolate chunks or disks,flaked sea salt to sprinkle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Fudge Stripe Cookies,Shelly,"Posted: Jun 14, 2018","Updated: Nov 27, 2022",5,4,Dessert,NA,NA,20 minutes,6 minutes,NA,26 minutes,24 cookies 1x,NA,8,"Preheat oven to 400°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment, mix the butter and sugar together on medium speed for 2 minutes until fluffy. Add in the egg, vanilla, salt, and baking powder and continue mixing for 1 minute until combined, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, mixing until incorporated.
Divide the dough in half and roll it out on a lightly floured counter to 1/3- inch thick. Using a 3- inch round cutter, cut out the dough. Re-roll the scraps, so all the dough is used. Using a smaller, round cutter, or the back of a large piping tip, cut out the center of each circle.
Place on the baking sheet, and bake for 6 minutes, or until the edges are lightly golden.
Transfer the cookies to a wire rack to cool completely.
In a large bowl, melt the chocolate in 30-second increments, stirring after each, until the chocolate is melted and smooth. Prepare a piping tip fitted with a small round tip. Fill the bag with 1/3 of the melted chocolate. Alternatively, you can use a zip-top bag with the corner cut off.
Drizzle the chocolate in stripes on top of each cookie. Place the cookies in the refrigerator for 10 minutes to set the chocolate. Remove the cookies from the refrigerator. Reheat the chocolate, if necessary, and dip the bottoms of the cookies into the chocolate, tapping off the excess. Place the cookies upside-down back onto the wire rack and place them back in the refrigerator for 15 minutes to set.",8,"1 cup butter, cold and cubed",1 cup granulated sugar,1 egg,1 teaspoon vanilla,1/2 teaspoon kosher salt,Cookies & Cups,https://cookiesandcups.com/homemade-fudge-stripes-cookies/,2 teaspoons baking powder,2 1/2 cups flour,"10 ounces dark chocolate, chopped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemonhead Cookies,Shelly,"Posted: May 21, 2018","Updated: Dec 8, 2022",4.6,12,Dessert,NA,NA,2 hours,11 minutes,NA,2 hours 11 minutes,36 cookies 1x,NA,7,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of you stand mixer fitted with the paddle attachment, mix the butter, sugar, and lemon zest together for 2 minutes until light and fluffy. Add in the eggs, vanilla, salt, baking powder, and baking soda and mix for an additional minute, until combined, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, mixing until just incorporated. With mixer still on low, add in the crushed lemon candies, mixing until evenly combined.
Cover and chill dough for 2 hours or overnight.
Scoop out 2 tablespoons of dough, and roll into balls. Place them on a baking sheet 2- inches apart, and bake for 9 -11 minutes, or until the cookies are very lightly golden at the edges. Allow the cookies to cool on the baking sheet for 4-5 minutes. Transfer to a wire racket cool completely.
For the glaze, in a medium bowl, whisk the powdered sugar and water together until a thin glaze forms.
Dip the tops of each cookie into the glaze and allow excess to drip off before returning to the wire rack, allowing the glaze to set.",12,"1 cup butter, room temperature",2 cups granulated sugar,2 tablespoons lemon zest,2 eggs,1 tablespoon vanilla extract,Cookies & Cups,https://cookiesandcups.com/lemonhead-cookies/,1/2 teaspoon kosher salt,1/2 teaspoon baking powder,1/2 teaspoon baking soda,3 1/2 cups all purpose flour,1 cup finely crushed Lemonhead candies,1 cup powdered sugar,2 tablespoons water or milk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sprinkle Refrigerator Cookies,Shelly,"Posted: May 15, 2018","Updated: Sep 9, 2022",5,6,Cookies,NA,NA,10 minutes,8 minutes,NA,18 minutes,30 cookies 1x,NA,8,"In the bowl of your stand mixer fitted with the paddle attachment, mix together the butter and sugar on medium speed for 2 minutes.
Add the eggs, vanilla, salt, and baking soda and mix for an additional minute, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in the flour, and mix until just combined.
With mixer still on low, add in the sprinkles and mix until evenly incorporated.
Divide the dough into 3 equal portions, and form into logs approximately 2 inches in diameter. Wrap each portion in plastic wrap and refrigerate for 3 hours or overnight.
Preheat oven to 375°F. Line your baking sheet with parchment paper and set aside.
Remove the dough from the refrigerator and place on a cutting board. Unwrap and slice the dough into 1/3- inch slices. Place on baking sheet 2- inches apart and bake for 7-8 minutes, or until lightly golden around the edges.
Allow to cool for 3 minutes on the baking sheet and then transfer to a wire rack to cool completely.",8,"1 cup butter, room temperature",1 cup granulated sugar,2 eggs,2 teaspoons vanilla extract,1 teaspoon kosher salt,Cookies & Cups,https://cookiesandcups.com/sprinkle-refrigerator-cookies/,1/2 teaspoon baking soda,3 cups flour,3/4 cup rainbow sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Nutter Butters,Cookies & Cups,"Posted: May 3, 2018","Updated: Sep 9, 2022",4.5,4,Cookies,NA,NA,1 hour 10 minutes,8 minutes,NA,1 hour 18 minutes,24 cookies 1x,NA,7,"In the bowl of your stand mixer, fitted with the paddle attachment mix the butter, peanut butter, and both sugars together until light and fluffy, about 2 minutes on medium speed. Add in eggs, vanilla, baking soda, and baking powder continuing to mix until combined, scraping the sides of the bowl as necessary.
Turn the mixer to low and add in flour, mixing until just combined. Refrigerate dough for 1 hour.
Preheat oven to 375°F. Line a baking sheet with parchment paper and set aside.
Form the chilled dough into 1- inch balls and then roll them into a log shape. Coat each log in granulated sugar and place on baking sheet about 2 inches apart. Using a fork, press down on the dough creating a criss-cross pattern. Pinch the center to create the peanut shape.
Bake for 7-8 minutes until edges are lightly golden. Cool on baking sheet 2-3 minutes and then transfer to wire rack to continue cooling.
In the clean bowl of your stand mixer fitted with the paddle attachment, mix the butter and peanut butter together on medium speed until smooth. Slowly add in the powdered sugar and beat until filling is smooth. Add your milk, one tablespoon at a time until desired consistency is reached.
Spread a heaping tablespoon of filling onto the bottom of one of the peanut butter cookies and then top with another cookie to create sandwich.",14,"1 cup butter, room temperature",1 cup creamy peanut butter,1 cup granulated sugar,"1 cup light brown sugar, packed",2 eggs,Cookies & Cups,https://cookiesandcups.com/homemade-nutter-butters-2/,2 teaspoon vanilla,1 teaspoon baking soda,1 teaspoon baking powder,2 1/2 cups flour,1/3 cup extra granulated sugar for rolling,"1 cup butter, room temperature","1 cup creamy peanut butter, room temperature",4 cups powdered sugar,2-3 tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA,NA
Super Soft Sprinkle Pudding Cookies,Cookies & Cups,"Posted: May 1, 2018","Updated: Sep 9, 2022",4.5,70,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,24 cookies 1x,NA,7,"Preheat oven to 350°F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment beat the butter and sugar on medium speed for 2 minutes. Add in the egg, yolk, vanilla, baking soda and salt. Mix until combined, scraping the sides of the bowl as necessary.
Next mix in the pudding mix for 30 seconds.
Turn the mixer to low and add in the flour, mixing until just combined.
Finally add in the sprinkles and mix until incorporated evenly.
Using a medium (2 tablespoon) sized cookie scoop drop dough onto the prepared baking sheet 2 inches apart. Bake for 8-10 minutes until the cookies are almost set. Don’t over-bake if you want super soft soft cookies.
Allow the cookies to cool on the baking sheet for 3 minutes before transferring to a wire rack to cool completely.",9,3/4 cup butter,1 cup granulated sugar,"1 egg, plus 1 yolk",1 teaspoon vanilla,1 teaspoon baking soda,Cookies & Cups,https://cookiesandcups.com/super-soft-sprinkle-pudding-cookies/,1/2 teaspoon kosher salt,1 (3.5-ounce packet instant vanilla pudding mix),2 cups flour,1/2 cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malted Chocolate Chip Oatmeal Cookies,Shelly,"Posted: Apr 2, 2018","Updated: Sep 9, 2022",3.7,6,Cookies,NA,NA,10 minutes,10 minutes,NA,20 minutes,36 cookies 1x,NA,0,,11,"1 cup butter, room temperature",1 cup light brown sugar,1/2 cup granulated sugar,2 eggs,1 tablespoon vanilla,Cookies & Cups,https://cookiesandcups.com/malted-oatmeal-chocolate-chip-cookies/,3/4 cup malted milk powder,1/2 teaspoon baking soda,1 teaspoon kosher salt,1 1/2 cups flour,3 cups quick oats,2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Cream Cheese Cookies,Shelly,"Posted: Mar 28, 2018","Updated: Sep 9, 2022",4.8,29,Cookies,NA,NA,10 minutes,NA,NA,10 minutes,30 cookies 1x,NA,6,"Preheat the oven to 350° F. Line a baking sheet with parchment paper and set aside.
In the bowl of your stand mixer fitted with the paddle attachment mix the cream cheese and butter together on medium speed until combined and smooth. Add in both sugars and mix for an additional minute.
Add vanilla, salt, and baking soda and continue mixing until smooth, scraping the sides of the bowl as necessary.
Turn the mixer to low and mix in the flour until just combined. Finally add in the coconut, until evenly distributed without over mixing.
Using a medium (2- tablespoon) sized cookie scoop, Drop the cookie dough onto the prepared cookie sheet. Bake for 10-12 minutes, or until the cookies are golden at the edges and just set on top. Don’t over bake.
Allow the cookies to cool on the baking sheet for 3-4 minutes and then transfer to a wire rack to cool completely.",9,"6 ounces cream cheese, room temperature","3/4 cup butter, room temperature",1 cup light brown sugar,1/2 cup granulated sugar,2 teaspoons vanilla,Cookies & Cups,https://cookiesandcups.com/coconut-cream-cheese-cookies/,1/2 teaspoon kosher salt,1/2 teaspoon baking soda,2 1/4 cups all purpose flour,2 cups sweetened flaked coconut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Treasure Cookies,Cookies & Cups,"Posted: Mar 19, 2018","Updated: Sep 9, 2022",4.5,2,Cookies,NA,NA,25 minutes,9 minutes,NA,34 minutes,30 cookies 1x,NA,8,"Preheat oven to 375°
Line a baking sheet with parchment paper, set aside.
In a small saucepan melt 1/2 cup butter oven medium-low heat. Continue cooking once melted until butter begins to brown, swirling the pan constantly so butter doesn’t burn. Once butter becomes golden brown remove from heat and allow to cool slightly (about 10 or so minutes)
In a medium bowl whisk graham cracker crumbs, flour, baking powder, and salt together. Set aside.
In bowl of stand mixer beat together sweetened condensed milk and slightly cooled browned butter until combined. Add in graham cracker mixture until combined.
Add in coconut and mix until combined. Finally stir in chocolate chips.
Using a 2 tablespoon sized cookie scoop, scoop dough onto prepared sheet 2 inches apart and bake for 8-9 minutes until edges are slightly golden.
Remove from oven and allow cookies to cool on baking sheet for 3-4 minutes before transferring to a wire rack to cool completely.",8,"1/2 cup butter, melted and browned",1 1/2 cups graham cracker crumbs,1/2 cup flour,1 teaspoon baking powder,1/2 teaspoon kosher salt,Cookies & Cups,https://cookiesandcups.com/treasure-cookies/,1 (14- ounce) can sweetened condensed milk,1 1/4 cup sweetened flaked coconut,2 cups chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosting Filled Chocolate Chip Cookies,Cookies & Cups,"Posted: Mar 14, 2018","Updated: Sep 9, 2022",4,6,Cookies,NA,NA,1 hour 10 minutes,10 minutes,NA,1 hour 20 minutes,30 cookies 1x,NA,9,"Mix the butter, powdered sugar, water and vanilla together in bowl with mixer until smooth. Add in sprinkles and mix until combined.
Roll frosting into balls using 1 teaspoon of mixture each. Place on a lined pan and freeze for 1 hour.
Preheat oven to 350°. Line baking sheet with parchment paper or silicone mat and set aside.
Mix the butter and sugar together for 2 minutes on medium speed in the bowl of your stand mixer fitted with the paddle attachment. Add in egg and vanilla and continue mixing until smooth, scraping sides as needed. Add in baking soda and salt and mix until combined.
Add in flour and stir until just combined.
Finally stir in chocolate chips and sprinkles.
Scoop out about 2 1/2 tablespoons of cookie dough for each cookie. Form dough around frozen ball of frosting making sure to cover frosting completely and roll into a ball. Place on baking sheet about 2 inches apart.
Bake for 10-11 minutes. Remove when edges begin to golden.
Transfer to wire rack.",15,"1/4 cup butter, room temperature",1 1/4 cups powdered sugar,2 teaspoons water,1/2 tsp vanilla,2 tablespoons sprinkles,Cookies & Cups,https://cookiesandcups.com/frosting-filled-chocolate-chip-cookies/,"1 cup butter, room temperature",1 cup light brown sugar,1/2 cup granulated sugar,2 eggs,2 teaspoons vanilla,1 teaspoon baking soda,1 teaspoon kosher salt,2 3/4 cup flour,2 cups chocolate chips,1/3 cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA
